* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:22:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Starsea s.01 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.342 -23.8352
0.732422 61.540 -47.0820
1.098633 58.060 -68.2533
1.464844 51.437 -79.5458
1.831055 45.148 -12.8017
2.197266 53.034 4.0033
2.563477 56.384 -12.9420
2.929688 57.598 -32.7155
3.295899 57.597 -50.1153
3.662110 56.900 -61.3414
4.028321 56.356 -63.4995
4.394532 57.059 -60.5373
4.760743 58.745 -61.1885
5.126954 60.354 -66.6015
5.493164 61.444 -73.4897
5.859375 62.056 -79.0677
6.225586 62.455 -81.9698
6.591797 62.952 -82.6469
6.958008 63.663 -82.9227
7.324219 64.445 -84.1688
7.690430 65.111 -86.3294
8.056641 65.595 -88.5973
8.422852 65.953 -90.3193
8.789063 66.285 -91.4319
9.155274 66.647 -92.3567
9.521485 67.026 -93.5241
9.887696 67.371 -95.0225
10.253907 67.589 -96.6606
10.620118 67.735 -98.2352
10.986329 67.869 -99.7039
11.352540 68.008 -101.1565
11.718751 68.149 -102.6737
12.084962 68.281 -104.2420
12.451173 68.405 -105.7909
12.817384 68.574 -107.2781
13.183595 68.752 -108.7210
13.549806 68.931 -110.1543
13.916017 69.100 -111.5750
14.282228 69.257 -112.9391
14.648439 69.405 -114.2078
15.014650 69.550 -115.3887
15.380861 69.693 -116.5262
15.747072 69.830 -117.6576
16.113283 69.959 -118.7801
16.479493 70.082 -119.8631
16.845704 70.193 -120.8854
17.211915 70.298 -121.8587
17.578126 70.398 -122.8158
17.944337 70.491 -123.7811
18.310548 70.575 -124.7550
18.676759 70.651 -125.7230
19.042970 70.720 -126.6772
19.409181 70.786 -127.6236
19.775392 70.849 -128.5723
20.141603 70.909 -129.5239
20.507814 70.968 -130.4683
20.874025 71.025 -131.3961
21.240236 71.081 -132.3072
21.606447 71.137 -133.2083
21.972658 71.191 -134.1020
22.338869 71.243 -134.9808
22.705080 71.291 -135.8327
23.071291 71.338 -136.6517
23.437502 71.383 -137.4420
23.803713 71.427 -138.2126
24.169924 71.469 -138.9675
24.536135 71.506 -139.7041
24.902346 71.540 -140.4177
25.268557 71.571 -141.1084
25.634768 71.599 -141.7822
26.000979 71.626 -142.4461
26.367190 71.649 -143.1030
26.733401 71.669 -143.7523
27.099612 71.686 -144.3928
27.465823 71.702 -145.0257
27.832033 71.716 -145.6535
28.198244 71.728 -146.2774
28.564455 71.740 -146.8968
28.930666 71.751 -147.5112
29.296877 71.761 -148.1212
29.663088 71.770 -148.7270
30.029299 71.778 -149.3263
30.395510 71.786 -149.9136
30.761721 71.792 -150.4844
31.127932 71.799 -151.0391
31.494143 71.807 -151.5821
31.860354 71.814 -152.1185
32.226565 71.820 -152.6487
32.592776 71.824 -153.1681
32.958987 71.826 -153.6717
33.325198 71.828 -154.1584
33.691409 71.830 -154.6324
34.057620 71.831 -155.1000
34.423831 71.831 -155.5651
34.790042 71.830 -156.0273
35.156253 71.827 -156.4835
35.522464 71.822 -156.9306
35.888675 71.817 -157.3669
36.254886 71.810 -157.7935
36.621097 71.804 -158.2127
36.987308 71.799 -158.6281
37.353519 71.793 -159.0428
37.719730 71.787 -159.4577
38.085941 71.780 -159.8701
38.452152 71.772 -160.2756
38.818363 71.764 -160.6704
39.184573 71.756 -161.0546
39.550784 71.748 -161.4320
39.916995 71.741 -161.8064
40.283206 71.734 -162.1790
40.649417 71.727 -162.5467
41.015628 71.719 -162.9053
41.381839 71.710 -163.2529
41.748050 71.702 -163.5913
42.114261 71.694 -163.9245
42.480472 71.686 -164.2558
42.846683 71.677 -164.5853
43.212894 71.667 -164.9108
43.579105 71.657 -165.2293
43.945316 71.646 -165.5395
44.311527 71.635 -165.8423
44.677738 71.624 -166.1402
45.043949 71.614 -166.4357
45.410160 71.604 -166.7302
45.776371 71.593 -167.0235
46.142582 71.582 -167.3135
46.508793 71.570 -167.5982
46.875004 71.558 -167.8763
47.241215 71.546 -168.1483
47.607426 71.534 -168.4157
47.973637 71.522 -168.6799
48.339848 71.510 -168.9407
48.706059 71.498 -169.1969
49.072270 71.485 -169.4474
49.438481 71.473 -169.6926
49.804692 71.461 -169.9339
50.170902 71.449 -170.1734
50.537113 71.437 -170.4119
50.903324 71.426 -170.6491
51.269535 71.413 -170.8840
51.635746 71.401 -171.1155
52.001957 71.388 -171.3430
52.368168 71.376 -171.5661
52.734379 71.363 -171.7850
53.100590 71.350 -171.9998
53.466801 71.338 -172.2113
53.833012 71.326 -172.4202
54.199223 71.314 -172.6267
54.565434 71.301 -172.8304
54.931645 71.289 -173.0302
55.297856 71.276 -173.2255
55.664067 71.264 -173.4166
56.030278 71.252 -173.6044
56.396489 71.240 -173.7903
56.762700 71.228 -173.9751
57.128911 71.216 -174.1591
57.495122 71.203 -174.3417
57.861333 71.191 -174.5220
58.227544 71.177 -174.6990
58.593755 71.164 -174.8719
58.959966 71.151 -175.0408
59.326177 71.137 -175.2064
59.692388 71.124 -175.3700
60.058599 71.112 -175.5326
60.424810 71.099 -175.6945
60.791021 71.086 -175.8555
61.157232 71.073 -176.0151
61.523442 71.061 -176.1727
61.889653 71.048 -176.3280
62.255864 71.035 -176.4807
62.622075 71.022 -176.6301
62.988286 71.009 -176.7759
63.354497 70.996 -176.9182
63.720708 70.982 -177.0577
64.086919 70.969 -177.1950
64.453130 70.956 -177.3308
64.819341 70.943 -177.4648
65.185552 70.930 -177.5971
65.551763 70.917 -177.7273
65.917974 70.904 -177.8557
66.284185 70.891 -177.9824
66.650396 70.877 -178.1074
67.016607 70.864 -178.2307
67.382818 70.851 -178.3526
67.749029 70.838 -178.4730
68.115240 70.824 -178.5921
68.481451 70.811 -178.7099
68.847662 70.798 -178.8261
69.213873 70.785 -178.9404
69.580084 70.772 -179.0529
69.946295 70.759 -179.1645
70.312506 70.746 -179.2757
70.678717 70.734 -179.3868
71.044928 70.721 -179.4975
71.411139 70.708 -179.6068
71.777350 70.696 -179.7138
72.143561 70.683 -179.8180
72.509771 70.670 -179.9196
72.875982 70.657 179.9813
73.242193 70.644 179.8844
73.608404 70.632 179.7894
73.974615 70.619 179.6960
74.340826 70.607 179.6039
74.707037 70.595 179.5125
75.073248 70.583 179.4210
75.439459 70.571 179.3292
75.805670 70.559 179.2371
76.171881 70.547 179.1453
76.538092 70.535 179.0549
76.904303 70.522 178.9667
77.270514 70.510 178.8813
77.636725 70.498 178.7984
78.002936 70.486 178.7175
78.369147 70.474 178.6379
78.735358 70.462 178.5589
79.101569 70.451 178.4805
79.467780 70.439 178.4030
79.833991 70.428 178.3264
80.200202 70.417 178.2507
80.566413 70.405 178.1756
80.932624 70.394 178.1013
81.298835 70.383 178.0280
81.665046 70.371 177.9559
82.031257 70.360 177.8856
82.397468 70.349 177.8168
82.763679 70.337 177.7492
83.129890 70.326 177.6826
83.496101 70.315 177.6168
83.862311 70.304 177.5522
84.228522 70.293 177.4890
84.594733 70.282 177.4270
84.960944 70.271 177.3650
85.327155 70.261 177.3018
85.693366 70.251 177.2368
86.059577 70.241 177.1704
86.425788 70.230 177.1044
86.791999 70.219 177.0409
87.158210 70.208 176.9808
87.524421 70.198 176.9239
87.890632 70.187 176.8688
88.256843 70.178 176.8140
88.623054 70.168 176.7587
88.989265 70.158 176.7028
89.355476 70.148 176.6472
89.721687 70.139 176.5927
90.087898 70.129 176.5393
90.454109 70.119 176.4870
90.820320 70.109 176.4354
91.186531 70.099 176.3846
91.552742 70.089 176.3349
91.918953 70.079 176.2865
92.285164 70.069 176.2396
92.651375 70.059 176.1938
93.017586 70.050 176.1487
93.383797 70.040 176.1037
93.750008 70.030 176.0586
94.116219 70.021 176.0134
94.482430 70.011 175.9685
94.848641 70.002 175.9240
95.214851 69.992 175.8802
95.581062 69.982 175.8370
95.947273 69.973 175.7946
96.313484 69.963 175.7528
96.679695 69.954 175.7118
97.045906 69.945 175.6712
97.412117 69.936 175.6310
97.778328 69.926 175.5908
98.144539 69.917 175.5509
98.510750 69.908 175.5114
98.876961 69.899 175.4730
99.243172 69.890 175.4359
99.609383 69.881 175.4002
99.975594 69.872 175.3655
100.341805 69.864 175.3310
100.708016 69.855 175.2962
101.074227 69.847 175.2606
101.440438 69.839 175.2242
101.806649 69.830 175.1877
102.172860 69.821 175.1518
102.539071 69.812 175.1175
102.905282 69.804 175.0851
103.271493 69.795 175.0544
103.637704 69.786 175.0249
104.003915 69.778 174.9956
104.370126 69.770 174.9659
104.736337 69.762 174.9356
105.102548 69.754 174.9051
105.468759 69.746 174.8747
105.834970 69.738 174.8448
106.201180 69.730 174.8153
106.567391 69.722 174.7861
106.933602 69.713 174.7571
107.299813 69.705 174.7286
107.666024 69.697 174.7009
108.032235 69.689 174.6743
108.398446 69.681 174.6486
108.764657 69.673 174.6236
109.130868 69.665 174.5988
109.497079 69.657 174.5741
109.863290 69.650 174.5494
110.229501 69.642 174.5250
110.595712 69.634 174.5010
110.961923 69.626 174.4774
111.328134 69.619 174.4540
111.694345 69.611 174.4307
112.060556 69.604 174.4071
112.426767 69.596 174.3832
112.792978 69.588 174.3593
113.159189 69.580 174.3357
113.525400 69.572 174.3129
113.891611 69.564 174.2911
114.257822 69.556 174.2706
114.624033 69.549 174.2509
114.990244 69.541 174.2320
115.356455 69.533 174.2134
115.722666 69.526 174.1952
116.088877 69.519 174.1772
116.455088 69.512 174.1597
116.821299 69.505 174.1422
117.187510 69.498 174.1241
117.553720 69.492 174.1053
117.919931 69.485 174.0854
118.286142 69.478 174.0652
118.652353 69.471 174.0450
119.018564 69.465 174.0256
119.384775 69.458 174.0073
119.750986 69.451 173.9900
120.117197 69.444 173.9734
120.483408 69.437 173.9576
120.849619 69.430 173.9427
121.215830 69.423 173.9290
121.582041 69.416 173.9167
121.948252 69.409 173.9053
122.314463 69.403 173.8944
122.680674 69.396 173.8833
123.046885 69.390 173.8716
123.413096 69.384 173.8591
123.779307 69.378 173.8459
124.145518 69.372 173.8320
124.511729 69.366 173.8179
124.877940 69.361 173.8037
125.244151 69.355 173.7897
125.610362 69.350 173.7761
125.976573 69.345 173.7630
126.342784 69.340 173.7505
126.708995 69.335 173.7384
127.075206 69.330 173.7267
127.441417 69.325 173.7155
127.807628 69.320 173.7048
128.173839 69.315 173.6944
128.540049 69.311 173.6842
128.906260 69.306 173.6738
129.272471 69.302 173.6630
129.638682 69.297 173.6517
130.004893 69.293 173.6401
130.371104 69.288 173.6286
130.737315 69.283 173.6177
131.103526 69.278 173.6076
131.469737 69.273 173.5986
131.835948 69.268 173.5906
132.202159 69.264 173.5834
132.568370 69.259 173.5768
132.934581 69.254 173.5703
133.300792 69.250 173.5637
133.667003 69.246 173.5569
134.033214 69.242 173.5496
134.399425 69.237 173.5421
134.765636 69.233 173.5342
135.131847 69.229 173.5264
135.498058 69.224 173.5187
135.864269 69.220 173.5114
136.230480 69.216 173.5046
136.596691 69.211 173.4983
136.962902 69.207 173.4925
137.329113 69.203 173.4871
137.695324 69.198 173.4817
138.061535 69.194 173.4760
138.427746 69.190 173.4698
138.793957 69.186 173.4633
139.160168 69.182 173.4564
139.526379 69.178 173.4495
139.892589 69.173 173.4427
140.258800 69.169 173.4365
140.625011 69.165 173.4307
140.991222 69.161 173.4253
141.357433 69.157 173.4204
141.723644 69.152 173.4159
142.089855 69.148 173.4117
142.456066 69.144 173.4078
142.822277 69.141 173.4041
143.188488 69.137 173.4004
143.554699 69.133 173.3967
143.920910 69.129 173.3929
144.287121 69.126 173.3891
144.653332 69.122 173.3853
145.019543 69.119 173.3817
145.385754 69.115 173.3782
145.751965 69.111 173.3747
146.118176 69.108 173.3711
146.484387 69.104 173.3672
146.850598 69.101 173.3632
147.216809 69.097 173.3593
147.583020 69.093 173.3558
