* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2023 10:43:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRN I3 Foam Tips L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 80.037 169.9056
0.732422 77.522 160.4744
1.098633 71.177 155.0213
1.464844 63.354 -71.9378
1.831055 76.440 -61.9648
2.197266 81.368 -69.3535
2.563477 84.128 -77.2624
2.929688 85.804 -84.1565
3.295899 86.865 -89.4489
3.662110 87.619 -93.0783
4.028321 88.281 -95.5729
4.394532 88.945 -97.8150
4.760743 89.590 -100.4780
5.126954 90.154 -103.6816
5.493164 90.603 -107.1267
5.859375 90.953 -110.4375
6.225586 91.255 -113.4288
6.591797 91.557 -116.1823
6.958008 91.871 -118.9154
7.324219 92.181 -121.7682
7.690430 92.461 -124.6967
8.056641 92.699 -127.5362
8.422852 92.908 -130.1421
8.789063 93.106 -132.4886
9.155274 93.306 -134.6607
9.521485 93.504 -136.7633
9.887696 93.684 -138.8342
10.253907 93.762 -140.8326
10.620118 93.782 -142.6945
10.986329 93.788 -144.3963
11.352540 93.788 -145.9743
11.718751 93.784 -147.4938
12.084962 93.771 -149.0025
12.451173 93.746 -150.5084
12.817384 93.757 -151.9922
13.183595 93.763 -153.4351
13.549806 93.760 -154.8347
13.916017 93.752 -156.2032
14.282228 93.741 -157.5550
14.648439 93.726 -158.8970
15.014650 93.710 -160.2277
15.380861 93.690 -161.5403
15.747072 93.669 -162.8255
16.113283 93.652 -164.0737
16.479493 93.645 -165.2786
16.845704 93.638 -166.4394
17.211915 93.632 -167.5592
17.578126 93.625 -168.6402
17.944337 93.616 -169.6797
18.310548 93.605 -170.6726
18.676759 93.592 -171.6184
19.042970 93.576 -172.5247
19.409181 93.558 -173.4018
19.775392 93.535 -174.2532
20.141603 93.507 -175.0721
20.507814 93.477 -175.8499
20.874025 93.444 -176.5906
21.240236 93.411 -177.3139
21.606447 93.376 -178.0421
21.972658 93.337 -178.7786
22.338869 93.290 -179.4993
22.705080 93.239 179.8309
23.071291 93.190 179.2270
23.437502 93.150 178.6622
23.803713 93.123 178.0784
24.169924 93.102 177.4249
24.536135 93.078 176.6953
24.902346 93.042 175.9347
25.268557 92.994 175.2120
25.634768 92.941 174.5775
26.000979 92.890 174.0353
26.367190 92.849 173.5471
26.733401 92.816 173.0626
27.099612 92.786 172.5531
27.465823 92.753 172.0245
27.832033 92.714 171.5057
28.198244 92.669 171.0249
28.564455 92.624 170.5915
28.930666 92.580 170.1932
29.296877 92.540 169.8061
29.663088 92.502 169.4103
30.029299 92.463 168.9984
30.395510 92.422 168.5766
30.761721 92.377 168.1577
31.127932 92.329 167.7534
31.494143 92.280 167.3688
31.860354 92.232 167.0017
32.226565 92.186 166.6455
32.592776 92.142 166.2932
32.958987 92.099 165.9411
33.325198 92.057 165.5899
33.691409 92.014 165.2433
34.057620 91.972 164.9061
34.423831 91.929 164.5817
34.790042 91.888 164.2708
35.156253 91.847 163.9718
35.522464 91.807 163.6813
35.888675 91.768 163.3960
36.254886 91.729 163.1135
36.621097 91.688 162.8334
36.987308 91.647 162.5574
37.353519 91.604 162.2883
37.719730 91.560 162.0289
38.085941 91.514 161.7813
38.452152 91.467 161.5469
38.818363 91.420 161.3270
39.184573 91.373 161.1236
39.550784 91.327 160.9378
39.916995 91.284 160.7666
40.283206 91.246 160.5998
40.649417 91.213 160.4214
41.015628 91.182 160.2160
41.381839 91.151 159.9777
41.748050 91.116 159.7163
42.114261 91.075 159.4539
42.480472 91.031 159.2145
42.846683 90.985 159.0111
43.212894 90.941 158.8399
43.579105 90.900 158.6850
43.945316 90.862 158.5302
44.311527 90.825 158.3691
44.677738 90.788 158.2065
45.043949 90.749 158.0514
45.410160 90.711 157.9083
45.776371 90.674 157.7742
46.142582 90.639 157.6414
46.508793 90.604 157.5048
46.875004 90.569 157.3643
47.241215 90.533 157.2242
47.607426 90.496 157.0886
47.973637 90.460 156.9586
48.339848 90.424 156.8328
48.706059 90.389 156.7090
49.072270 90.353 156.5870
49.438481 90.318 156.4682
49.804692 90.282 156.3548
50.170902 90.248 156.2481
50.537113 90.214 156.1471
50.903324 90.181 156.0486
51.269535 90.149 155.9484
51.635746 90.118 155.8445
52.001957 90.085 155.7395
52.368168 90.052 155.6399
52.734379 90.018 155.5513
53.100590 89.986 155.4722
53.466801 89.956 155.3925
53.833012 89.926 155.3000
54.199223 89.896 155.1906
54.565434 89.862 155.0751
54.931645 89.825 154.9748
55.297856 89.786 154.9075
55.664067 89.749 154.8736
56.030278 89.719 154.8533
56.396489 89.693 154.8191
56.762700 89.669 154.7536
57.128911 89.644 154.6599
57.495122 89.615 154.5575
57.861333 89.582 154.4676
58.227544 89.549 154.4001
58.593755 89.517 154.3502
58.959966 89.487 154.3062
59.326177 89.458 154.2592
59.692388 89.430 154.2069
60.058599 89.402 154.1513
60.424810 89.374 154.0942
60.791021 89.345 154.0358
61.157232 89.315 153.9773
61.523442 89.284 153.9235
61.889653 89.252 153.8803
62.255864 89.221 153.8504
62.622075 89.191 153.8302
62.988286 89.164 153.8110
63.354497 89.137 153.7853
63.720708 89.110 153.7509
64.086919 89.083 153.7109
64.453130 89.056 153.6707
64.819341 89.028 153.6337
65.185552 89.000 153.6008
65.551763 88.972 153.5715
65.917974 88.945 153.5452
66.284185 88.919 153.5205
66.650396 88.894 153.4940
67.016607 88.869 153.4620
67.382818 88.843 153.4237
67.749029 88.816 153.3851
68.115240 88.786 153.3568
68.481451 88.757 153.3476
68.847662 88.728 153.3569
69.213873 88.704 153.3730
69.580084 88.682 153.3787
69.946295 88.661 153.3634
70.312506 88.639 153.3303
70.678717 88.614 153.2944
71.044928 88.586 153.2714
71.411139 88.560 153.2652
71.777350 88.536 153.2643
72.143561 88.514 153.2502
72.509771 88.491 153.2138
72.875982 88.465 153.1660
73.242193 88.435 153.1331
73.608404 88.403 153.1382
73.974615 88.375 153.1805
74.340826 88.355 153.2292
74.707037 88.342 153.2417
75.073248 88.328 153.1940
75.439459 88.307 153.1024
75.805670 88.275 153.0184
76.171881 88.236 152.9975
76.538092 88.198 153.0618
76.904303 88.171 153.1831
77.270514 88.157 153.2995
77.636725 88.152 153.3554
78.002936 88.146 153.3351
78.369147 88.134 153.2669
78.735358 88.114 153.1975
79.101569 88.088 153.1604
79.467780 88.062 153.1595
79.833991 88.040 153.1762
80.200202 88.020 153.1899
80.566413 88.002 153.1927
80.932624 87.983 153.1879
81.298835 87.964 153.1802
81.665046 87.944 153.1691
82.031257 87.923 153.1531
82.397468 87.899 153.1378
82.763679 87.874 153.1368
83.129890 87.848 153.1617
83.496101 87.825 153.2088
83.862311 87.808 153.2566
84.228522 87.794 153.2785
84.594733 87.779 153.2628
84.960944 87.760 153.2236
85.327155 87.735 153.1927
85.693366 87.707 153.1982
86.059577 87.680 153.2457
86.425788 87.660 153.3149
86.791999 87.645 153.3737
87.158210 87.634 153.3994
87.524421 87.622 153.3914
87.890632 87.607 153.3676
88.256843 87.588 153.3497
88.623054 87.568 153.3493
88.989265 87.548 153.3632
89.355476 87.531 153.3804
89.721687 87.514 153.3923
90.087898 87.497 153.4007
90.454109 87.478 153.4145
90.820320 87.459 153.4416
91.186531 87.442 153.4806
91.552742 87.427 153.5199
91.918953 87.415 153.5452
92.285164 87.402 153.5499
92.651375 87.386 153.5408
93.017586 87.367 153.5342
93.383797 87.345 153.5458
93.750008 87.324 153.5798
94.116219 87.304 153.6275
94.482430 87.288 153.6734
94.848641 87.273 153.7065
95.214851 87.257 153.7272
95.581062 87.240 153.7451
95.947273 87.222 153.7704
96.313484 87.205 153.8058
96.679695 87.190 153.8445
97.045906 87.176 153.8758
97.412117 87.164 153.8930
97.778328 87.150 153.8986
98.144539 87.134 153.9018
98.510750 87.117 153.9123
98.876961 87.100 153.9336
99.243172 87.084 153.9623
99.609383 87.070 153.9912
99.975594 87.055 154.0157
100.341805 87.041 154.0365
100.708016 87.026 154.0584
101.074227 87.010 154.0860
101.440438 86.995 154.1205
101.806649 86.980 154.1582
102.172860 86.967 154.1937
102.539071 86.954 154.2232
102.905282 86.941 154.2459
103.271493 86.927 154.2647
103.637704 86.913 154.2833
104.003915 86.897 154.3054
104.370126 86.882 154.3326
104.736337 86.866 154.3645
105.102548 86.852 154.3985
105.468759 86.839 154.4308
105.834970 86.826 154.4575
106.201180 86.813 154.4773
106.567391 86.799 154.4921
106.933602 86.785 154.5072
107.299813 86.769 154.5280
107.666024 86.754 154.5578
108.032235 86.739 154.5953
108.398446 86.726 154.6361
108.764657 86.714 154.6747
109.130868 86.703 154.7073
109.497079 86.692 154.7333
109.863290 86.680 154.7549
110.229501 86.667 154.7759
110.595712 86.654 154.8000
110.961923 86.641 154.8296
111.328134 86.627 154.8649
111.694345 86.615 154.9039
112.060556 86.604 154.9427
112.426767 86.593 154.9777
112.792978 86.582 155.0068
113.159189 86.571 155.0303
113.525400 86.559 155.0511
113.891611 86.546 155.0732
114.257822 86.533 155.1002
114.624033 86.519 155.1344
114.990244 86.506 155.1756
115.356455 86.494 155.2204
115.722666 86.483 155.2638
116.088877 86.473 155.3013
116.455088 86.463 155.3311
116.821299 86.452 155.3562
117.187510 86.441 155.3817
117.553720 86.429 155.4115
117.919931 86.417 155.4455
118.286142 86.406 155.4793
118.652353 86.396 155.5087
119.018564 86.385 155.5330
119.384775 86.374 155.5565
119.750986 86.362 155.5845
120.117197 86.350 155.6188
120.483408 86.339 155.6553
120.849619 86.329 155.6876
121.215830 86.319 155.7133
121.582041 86.307 155.7363
121.948252 86.295 155.7649
122.314463 86.282 155.8048
122.680674 86.270 155.8540
123.046885 86.260 155.9040
123.413096 86.252 155.9462
123.779307 86.243 155.9784
124.145518 86.234 156.0057
124.511729 86.223 156.0354
124.877940 86.212 156.0704
125.244151 86.204 156.1074
125.610362 86.196 156.1396
125.976573 86.188 156.1640
126.342784 86.179 156.1839
126.708995 86.168 156.2071
127.075206 86.156 156.2404
127.441417 86.146 156.2847
127.807628 86.136 156.3346
128.173839 86.129 156.3826
128.540049 86.122 156.4231
128.906260 86.116 156.4548
129.272471 86.109 156.4801
129.638682 86.101 156.5030
130.004893 86.093 156.5268
130.371104 86.085 156.5537
130.737315 86.076 156.5841
131.103526 86.068 156.6169
131.469737 86.060 156.6504
131.835948 86.052 156.6835
132.202159 86.045 156.7161
132.568370 86.037 156.7497
132.934581 86.029 156.7859
133.300792 86.022 156.8248
133.667003 86.016 156.8642
134.033214 86.010 156.9007
134.399425 86.005 156.9307
134.765636 86.000 156.9528
135.131847 85.994 156.9679
135.498058 85.986 156.9798
135.864269 85.977 156.9938
136.230480 85.968 157.0148
136.596691 85.958 157.0449
136.962902 85.949 157.0824
137.329113 85.940 157.1227
137.695324 85.933 157.1615
138.061535 85.925 157.1982
138.427746 85.917 157.2362
138.793957 85.909 157.2806
139.160168 85.903 157.3322
139.526379 85.898 157.3849
139.892589 85.895 157.4287
140.258800 85.893 157.4560
140.625011 85.889 157.4678
140.991222 85.882 157.4748
141.357433 85.873 157.4906
141.723644 85.863 157.5236
142.089855 85.855 157.5718
142.456066 85.848 157.6250
142.822277 85.843 157.6722
143.188488 85.838 157.7083
143.554699 85.832 157.7363
143.920910 85.825 157.7636
144.287121 85.817 157.7969
144.653332 85.809 157.8376
145.019543 85.802 157.8826
145.385754 85.796 157.9261
145.751965 85.791 157.9631
146.118176 85.786 157.9918
146.484387 85.780 158.0142
146.850598 85.773 158.0353
147.216809 85.765 158.0599
147.583020 85.758 158.0903
147.949231 85.751 158.1245
148.315442 85.745 158.1571
148.681653 85.740 158.1830
149.047864 85.734 158.2019
149.414075 85.727 158.2185
149.780286 85.719 158.2404
150.146497 85.711 158.2725
150.512708 85.704 158.3139
150.878918 85.698 158.3593
151.245129 85.693 158.4022
151.611340 85.689 158.4401
