* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2023 10:44:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRN I3 Foam Tips R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.315 -24.5308
0.732422 87.562 -48.4522
1.098633 84.193 -70.1914
1.464844 77.893 -81.7908
1.831055 71.948 -22.8518
2.197266 79.450 -4.8550
2.563477 83.074 -22.0860
2.929688 84.672 -42.7735
3.295899 85.136 -61.6464
3.662110 84.911 -75.5755
4.028321 84.561 -82.1498
4.394532 84.905 -82.6785
4.760743 86.152 -83.4411
5.126954 87.610 -87.9089
5.493164 88.720 -94.6200
5.859375 89.364 -101.1445
6.225586 89.684 -105.8040
6.591797 89.941 -108.1962
6.958008 90.338 -109.3638
7.324219 90.871 -110.8382
7.690430 91.383 -113.2595
8.056641 91.750 -116.2249
8.422852 91.964 -119.0209
8.789063 92.099 -121.2485
9.155274 92.235 -123.0297
9.521485 92.404 -124.7759
9.887696 92.578 -126.7678
10.253907 92.648 -128.9736
10.620118 92.651 -131.1990
10.986329 92.639 -133.3167
11.352540 92.633 -135.3498
11.718751 92.636 -137.3800
12.084962 92.636 -139.4194
12.451173 92.627 -141.3913
12.817384 92.666 -143.2180
13.183595 92.719 -144.9023
13.549806 92.781 -146.5138
13.916017 92.841 -148.1039
14.282228 92.889 -149.6484
14.648439 92.920 -151.0791
15.014650 92.944 -152.3624
15.380861 92.970 -153.5412
15.747072 92.996 -154.6970
16.113283 93.018 -155.8760
16.479493 93.034 -157.0559
16.845704 93.032 -158.1822
17.211915 93.021 -159.2282
17.578126 93.008 -160.2211
17.944337 92.997 -161.2119
18.310548 92.985 -162.2293
18.676759 92.967 -163.2639
19.042970 92.945 -164.2922
19.409181 92.923 -165.3067
19.775392 92.902 -166.3180
20.141603 92.883 -167.3304
20.507814 92.863 -168.3254
20.874025 92.843 -169.2729
21.240236 92.826 -170.1606
21.606447 92.817 -171.0097
21.972658 92.814 -171.8580
22.338869 92.810 -172.7249
22.705080 92.799 -173.5911
23.071291 92.777 -174.4110
23.437502 92.749 -175.1450
23.803713 92.721 -175.7865
24.169924 92.698 -176.3658
24.536135 92.681 -176.9314
24.902346 92.667 -177.5245
25.268557 92.651 -178.1615
25.634768 92.627 -178.8298
26.000979 92.591 -179.4964
26.367190 92.547 179.8745
26.733401 92.499 179.3011
27.099612 92.455 178.7726
27.465823 92.417 178.2560
27.832033 92.384 177.7180
28.198244 92.352 177.1482
28.564455 92.317 176.5632
28.930666 92.279 175.9906
29.296877 92.241 175.4467
29.663088 92.205 174.9273
30.029299 92.172 174.4180
30.395510 92.139 173.9123
30.761721 92.105 173.4195
31.127932 92.070 172.9561
31.494143 92.035 172.5287
31.860354 92.002 172.1260
32.226565 91.973 171.7263
32.592776 91.943 171.3143
32.958987 91.911 170.8927
33.325198 91.873 170.4804
33.691409 91.831 170.0979
34.057620 91.790 169.7507
34.423831 91.752 169.4225
34.790042 91.718 169.0828
35.156253 91.685 168.7069
35.522464 91.649 168.2953
35.888675 91.605 167.8779
36.254886 91.555 167.4964
36.621097 91.504 167.1754
36.987308 91.460 166.9012
37.353519 91.426 166.6294
37.719730 91.397 166.3188
38.085941 91.366 165.9651
38.452152 91.329 165.6055
38.818363 91.288 165.2875
39.184573 91.249 165.0267
39.550784 91.219 164.7897
39.916995 91.196 164.5192
40.283206 91.174 164.1820
40.649417 91.143 163.7997
41.015628 91.098 163.4355
41.381839 91.044 163.1501
41.748050 90.990 162.9598
42.114261 90.946 162.8289
42.480472 90.913 162.6992
42.846683 90.885 162.5303
43.212894 90.857 162.3193
43.579105 90.824 162.0897
43.945316 90.789 161.8656
44.311527 90.752 161.6552
44.677738 90.716 161.4515
45.043949 90.681 161.2453
45.410160 90.645 161.0360
45.776371 90.608 160.8315
46.142582 90.570 160.6404
46.508793 90.534 160.4653
46.875004 90.499 160.3000
47.241215 90.467 160.1334
47.607426 90.437 159.9559
47.973637 90.406 159.7641
48.339848 90.374 159.5632
48.706059 90.338 159.3648
49.072270 90.301 159.1803
49.438481 90.264 159.0154
49.804692 90.227 158.8669
50.170902 90.193 158.7255
50.537113 90.161 158.5821
50.903324 90.130 158.4328
51.269535 90.099 158.2794
51.635746 90.067 158.1255
52.001957 90.035 157.9737
52.368168 90.002 157.8251
52.734379 89.969 157.6821
53.100590 89.936 157.5485
53.466801 89.903 157.4268
53.833012 89.872 157.3140
54.199223 89.842 157.2008
54.565434 89.814 157.0769
54.931645 89.785 156.9394
55.297856 89.753 156.7963
55.664067 89.718 156.6628
56.030278 89.681 156.5517
56.396489 89.644 156.4652
56.762700 89.609 156.3953
57.128911 89.576 156.3312
57.495122 89.545 156.2679
57.861333 89.514 156.2067
58.227544 89.486 156.1481
58.593755 89.462 156.0835
58.959966 89.440 155.9959
59.326177 89.419 155.8712
59.692388 89.395 155.7116
60.058599 89.365 155.5400
60.424810 89.329 155.3879
60.791021 89.292 155.2758
61.157232 89.257 155.1995
61.523442 89.227 155.1351
61.889653 89.202 155.0570
62.255864 89.177 154.9577
62.622075 89.150 154.8501
62.988286 89.120 154.7543
63.354497 89.089 154.6805
63.720708 89.060 154.6220
64.086919 89.034 154.5641
64.453130 89.008 154.4980
64.819341 88.982 154.4280
65.185552 88.953 154.3648
65.551763 88.925 154.3139
65.917974 88.898 154.2701
66.284185 88.872 154.2233
66.650396 88.846 154.1679
67.016607 88.819 154.1078
67.382818 88.791 154.0508
67.749029 88.762 154.0002
68.115240 88.734 153.9517
68.481451 88.707 153.8982
68.847662 88.680 153.8383
69.213873 88.652 153.7778
69.580084 88.623 153.7235
69.946295 88.596 153.6755
70.312506 88.570 153.6256
70.678717 88.545 153.5659
71.044928 88.519 153.4974
71.411139 88.492 153.4318
71.777350 88.463 153.3816
72.143561 88.437 153.3478
72.509771 88.413 153.3165
72.875982 88.392 153.2695
73.242193 88.370 153.2018
73.608404 88.343 153.1295
73.974615 88.313 153.0804
74.340826 88.282 153.0717
74.707037 88.256 153.0939
75.073248 88.236 153.1144
75.439459 88.220 153.1012
75.805670 88.202 153.0486
76.171881 88.177 152.9832
76.538092 88.147 152.9444
76.904303 88.116 152.9540
77.270514 88.090 152.9981
77.636725 88.072 153.0370
78.002936 88.057 153.0350
78.369147 88.041 152.9867
78.735358 88.018 152.9183
79.101569 87.990 152.8648
79.467780 87.961 152.8434
79.833991 87.935 152.8429
80.200202 87.912 152.8371
80.566413 87.890 152.8089
80.932624 87.867 152.7634
81.298835 87.839 152.7218
81.665046 87.811 152.7022
82.031257 87.784 152.7056
82.397468 87.761 152.7157
82.763679 87.742 152.7133
83.129890 87.724 152.6887
83.496101 87.705 152.6462
83.862311 87.683 152.5986
84.228522 87.658 152.5585
84.594733 87.633 152.5347
84.960944 87.607 152.5305
85.327155 87.583 152.5445
85.693366 87.563 152.5684
86.059577 87.545 152.5879
86.425788 87.530 152.5887
86.791999 87.514 152.5659
87.158210 87.495 152.5298
87.524421 87.471 152.5031
87.890632 87.445 152.5054
88.256843 87.421 152.5396
88.623054 87.402 152.5863
88.989265 87.387 152.6164
89.355476 87.375 152.6105
89.721687 87.359 152.5735
90.087898 87.337 152.5312
90.454109 87.312 152.5119
90.820320 87.287 152.5268
91.186531 87.266 152.5623
91.552742 87.249 152.5908
91.918953 87.236 152.5913
92.285164 87.221 152.5634
92.651375 87.202 152.5258
93.017586 87.180 152.5008
93.383797 87.157 152.4990
93.750008 87.136 152.5143
94.116219 87.118 152.5322
94.482430 87.101 152.5421
94.848641 87.084 152.5444
95.214851 87.066 152.5464
95.581062 87.048 152.5537
95.947273 87.031 152.5647
96.313484 87.014 152.5732
96.679695 86.997 152.5753
97.045906 86.979 152.5735
97.412117 86.959 152.5757
97.778328 86.938 152.5883
98.144539 86.918 152.6115
98.510750 86.899 152.6404
98.876961 86.881 152.6685
99.243172 86.864 152.6915
99.609383 86.847 152.7087
99.975594 86.830 152.7213
100.341805 86.813 152.7296
100.708016 86.796 152.7345
101.074227 86.778 152.7376
101.440438 86.760 152.7423
101.806649 86.741 152.7521
102.172860 86.723 152.7681
102.539071 86.706 152.7874
102.905282 86.690 152.8050
103.271493 86.675 152.8160
103.637704 86.660 152.8196
104.003915 86.644 152.8198
104.370126 86.627 152.8229
104.736337 86.610 152.8343
105.102548 86.593 152.8548
105.468759 86.577 152.8800
105.834970 86.563 152.9026
106.201180 86.550 152.9174
106.567391 86.535 152.9245
106.933602 86.520 152.9305
107.299813 86.503 152.9437
107.666024 86.486 152.9691
108.032235 86.470 153.0039
108.398446 86.456 153.0391
108.764657 86.444 153.0643
109.130868 86.432 153.0746
109.497079 86.418 153.0737
109.863290 86.402 153.0727
110.229501 86.384 153.0830
110.595712 86.366 153.1098
110.961923 86.349 153.1492
111.328134 86.334 153.1906
111.694345 86.321 153.2233
112.060556 86.309 153.2432
112.426767 86.296 153.2540
112.792978 86.281 153.2637
113.159189 86.265 153.2792
113.525400 86.249 153.3015
113.891611 86.234 153.3267
114.257822 86.219 153.3506
114.624033 86.204 153.3722
114.990244 86.190 153.3951
115.356455 86.175 153.4232
115.722666 86.161 153.4565
116.088877 86.148 153.4899
116.455088 86.137 153.5161
116.821299 86.126 153.5317
117.187510 86.113 153.5406
117.553720 86.099 153.5511
117.919931 86.085 153.5699
118.286142 86.071 153.5967
118.652353 86.059 153.6248
119.018564 86.047 153.6464
119.384775 86.034 153.6605
119.750986 86.020 153.6742
120.117197 86.005 153.6972
120.483408 85.990 153.7336
120.849619 85.977 153.7773
121.215830 85.967 153.8160
121.582041 85.956 153.8406
121.948252 85.945 153.8526
122.314463 85.931 153.8634
122.680674 85.916 153.8854
123.046885 85.901 153.9220
123.413096 85.888 153.9653
123.779307 85.877 154.0023
124.145518 85.867 154.0253
124.511729 85.855 154.0373
124.877940 85.842 154.0488
125.244151 85.828 154.0696
125.610362 85.815 154.1017
125.976573 85.803 154.1398
126.342784 85.793 154.1762
126.708995 85.783 154.2072
127.075206 85.774 154.2334
127.441417 85.763 154.2579
127.807628 85.753 154.2834
128.173839 85.742 154.3111
128.540049 85.731 154.3422
128.906260 85.720 154.3773
129.272471 85.710 154.4156
129.638682 85.701 154.4534
130.004893 85.693 154.4860
130.371104 85.685 154.5114
130.737315 85.676 154.5322
131.103526 85.666 154.5546
131.469737 85.655 154.5824
131.835948 85.645 154.6135
132.202159 85.636 154.6420
132.568370 85.627 154.6634
132.934581 85.617 154.6801
133.300792 85.606 154.6996
133.667003 85.593 154.7286
134.033214 85.582 154.7663
134.399425 85.572 154.8049
134.765636 85.563 154.8365
135.131847 85.553 154.8606
135.498058 85.542 154.8853
135.864269 85.529 154.9208
136.230480 85.518 154.9706
136.596691 85.508 155.0276
136.962902 85.501 155.0797
137.329113 85.496 155.1176
137.695324 85.490 155.1413
138.061535 85.482 155.1578
138.427746 85.473 155.1749
138.793957 85.464 155.1952
139.160168 85.454 155.2177
139.526379 85.445 155.2414
139.892589 85.434 155.2685
140.258800 85.424 155.3027
140.625011 85.414 155.3438
140.991222 85.406 155.3860
141.357433 85.399 155.4207
141.723644 85.392 155.4441
142.089855 85.384 155.4610
142.456066 85.374 155.4822
142.822277 85.362 155.5163
143.188488 85.352 155.5630
143.554699 85.345 155.6133
143.920910 85.339 155.6564
144.287121 85.333 155.6873
144.653332 85.326 155.7091
145.019543 85.319 155.7287
145.385754 85.311 155.7505
145.751965 85.302 155.7740
146.118176 85.294 155.7966
146.484387 85.285 155.8176
146.850598 85.275 155.8412
147.216809 85.264 155.8727
147.583020 85.254 155.9150
147.949231 85.244 155.9656
148.315442 85.237 156.0180
148.681653 85.232 156.0656
149.047864 85.227 156.1039
149.414075 85.222 156.1315
149.780286 85.217 156.1498
150.146497 85.210 156.1632
150.512708 85.202 156.1788
150.878918 85.192 156.2037
151.245129 85.183 156.2409
