* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 2:02:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legacy 3 00 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.932 170.2856
0.732422 58.022 158.6471
1.098633 56.088 142.8484
1.464844 52.521 117.2198
1.831055 48.357 60.1192
2.197266 51.536 -5.4750
2.563477 55.509 -33.6326
2.929688 57.736 -47.5219
3.295899 58.974 -53.7833
3.662110 59.973 -54.5894
4.028321 61.231 -53.3390
4.394532 62.695 -53.5546
4.760743 64.031 -56.1182
5.126954 65.049 -59.9518
5.493164 65.761 -63.7148
5.859375 66.299 -66.6288
6.225586 66.818 -68.7403
6.591797 67.394 -70.6898
6.958008 67.996 -73.0598
7.324219 68.553 -75.9198
7.690430 69.025 -78.9326
8.056641 69.426 -81.7241
8.422852 69.802 -84.1570
8.789063 70.187 -86.3592
9.155274 70.580 -88.5394
9.521485 70.959 -90.7843
9.887696 71.300 -93.0187
10.253907 71.532 -95.1148
10.620118 71.710 -97.0150
10.986329 71.879 -98.7650
11.352540 72.041 -100.4516
11.718751 72.188 -102.1215
12.084962 72.314 -103.7606
12.451173 72.419 -105.3335
12.817384 72.557 -106.8323
13.183595 72.691 -108.2856
13.549806 72.814 -109.7285
13.916017 72.923 -111.1723
14.282228 73.017 -112.6036
14.648439 73.099 -114.0078
15.014650 73.174 -115.3874
15.380861 73.244 -116.7585
15.747072 73.308 -118.1304
16.113283 73.371 -119.4954
16.479493 73.437 -120.8368
16.845704 73.499 -122.1448
17.211915 73.560 -123.4241
17.578126 73.619 -124.6838
17.944337 73.674 -125.9245
18.310548 73.724 -127.1346
18.676759 73.769 -128.3016
19.042970 73.812 -129.4228
19.409181 73.852 -130.5080
19.775392 73.890 -131.5691
20.141603 73.926 -132.6107
20.507814 73.957 -133.6293
20.874025 73.984 -134.6208
21.240236 74.006 -135.5864
21.606447 74.025 -136.5332
21.972658 74.041 -137.4667
22.338869 74.053 -138.3887
22.705080 74.062 -139.2976
23.071291 74.069 -140.1939
23.437502 74.074 -141.0813
23.803713 74.077 -141.9635
24.169924 74.079 -142.8403
24.536135 74.080 -143.7074
24.902346 74.080 -144.5602
25.268557 74.080 -145.3973
25.634768 74.081 -146.2201
26.000979 74.081 -147.0305
26.367190 74.082 -147.8278
26.733401 74.083 -148.6103
27.099612 74.083 -149.3773
27.465823 74.083 -150.1296
27.832033 74.081 -150.8672
28.198244 74.078 -151.5880
28.564455 74.074 -152.2889
28.930666 74.069 -152.9693
29.296877 74.063 -153.6333
29.663088 74.058 -154.2878
30.029299 74.051 -154.9375
30.395510 74.043 -155.5822
30.761721 74.032 -156.2175
31.127932 74.021 -156.8400
31.494143 74.009 -157.4506
31.860354 73.997 -158.0541
32.226565 73.985 -158.6553
32.592776 73.972 -159.2554
32.958987 73.958 -159.8507
33.325198 73.944 -160.4362
33.691409 73.930 -161.0084
34.057620 73.916 -161.5675
34.423831 73.903 -162.1168
34.790042 73.891 -162.6602
35.156253 73.880 -163.2006
35.522464 73.868 -163.7375
35.888675 73.855 -164.2681
36.254886 73.842 -164.7876
36.621097 73.827 -165.2931
36.987308 73.813 -165.7843
37.353519 73.799 -166.2645
37.719730 73.785 -166.7383
38.085941 73.771 -167.2085
38.452152 73.756 -167.6750
38.818363 73.741 -168.1353
39.184573 73.724 -168.5868
39.550784 73.707 -169.0292
39.916995 73.691 -169.4641
40.283206 73.675 -169.8940
40.649417 73.659 -170.3208
41.015628 73.644 -170.7446
41.381839 73.628 -171.1645
41.748050 73.611 -171.5793
42.114261 73.595 -171.9876
42.480472 73.578 -172.3887
42.846683 73.561 -172.7828
43.212894 73.545 -173.1709
43.579105 73.529 -173.5541
43.945316 73.513 -173.9332
44.311527 73.496 -174.3077
44.677738 73.480 -174.6767
45.043949 73.463 -175.0398
45.410160 73.446 -175.3975
45.776371 73.430 -175.7509
46.142582 73.413 -176.1007
46.508793 73.395 -176.4462
46.875004 73.378 -176.7858
47.241215 73.360 -177.1190
47.607426 73.342 -177.4462
47.973637 73.325 -177.7692
48.339848 73.307 -178.0896
48.706059 73.290 -178.4076
49.072270 73.273 -178.7223
49.438481 73.255 -179.0322
49.804692 73.237 -179.3369
50.170902 73.220 -179.6371
50.537113 73.203 -179.9338
50.903324 73.186 179.7723
51.269535 73.169 179.4817
51.635746 73.151 179.1953
52.001957 73.134 178.9138
52.368168 73.116 178.6375
52.734379 73.098 178.3657
53.100590 73.080 178.0977
53.466801 73.062 177.8333
53.833012 73.044 177.5728
54.199223 73.026 177.3166
54.565434 73.008 177.0641
54.931645 72.990 176.8145
55.297856 72.972 176.5659
55.664067 72.955 176.3176
56.030278 72.937 176.0701
56.396489 72.919 175.8249
56.762700 72.900 175.5837
57.128911 72.882 175.3474
57.495122 72.864 175.1155
57.861333 72.846 174.8869
58.227544 72.828 174.6605
58.593755 72.810 174.4360
58.959966 72.793 174.2136
59.326177 72.775 173.9935
59.692388 72.758 173.7759
60.058599 72.740 173.5613
60.424810 72.722 173.3498
60.791021 72.704 173.1420
61.157232 72.686 172.9378
61.523442 72.668 172.7368
61.889653 72.650 172.5380
62.255864 72.633 172.3407
62.622075 72.615 172.1448
62.988286 72.596 171.9506
63.354497 72.578 171.7588
63.720708 72.559 171.5695
64.086919 72.539 171.3827
64.453130 72.520 171.1981
64.819341 72.501 171.0158
65.185552 72.482 170.8358
65.551763 72.463 170.6579
65.917974 72.444 170.4819
66.284185 72.426 170.3076
66.650396 72.407 170.1350
67.016607 72.388 169.9644
67.382818 72.370 169.7965
67.749029 72.351 169.6315
68.115240 72.332 169.4695
68.481451 72.313 169.3099
68.847662 72.295 169.1525
69.213873 72.276 168.9971
69.580084 72.258 168.8437
69.946295 72.239 168.6924
70.312506 72.221 168.5429
70.678717 72.202 168.3949
71.044928 72.184 168.2480
71.411139 72.166 168.1021
71.777350 72.147 167.9575
72.143561 72.128 167.8146
72.509771 72.110 167.6737
72.875982 72.091 167.5349
73.242193 72.072 167.3979
73.608404 72.054 167.2627
73.974615 72.035 167.1294
74.340826 72.017 166.9980
74.707037 71.999 166.8681
75.073248 71.981 166.7389
75.439459 71.964 166.6095
75.805670 71.946 166.4796
76.171881 71.928 166.3498
76.538092 71.910 166.2214
76.904303 71.892 166.0956
77.270514 71.874 165.9732
77.636725 71.855 165.8539
78.002936 71.837 165.7370
78.369147 71.820 165.6214
78.735358 71.802 165.5066
79.101569 71.784 165.3927
79.467780 71.767 165.2801
79.833991 71.749 165.1693
80.200202 71.731 165.0604
80.566413 71.714 164.9535
80.932624 71.697 164.8481
81.298835 71.680 164.7440
81.665046 71.663 164.6407
82.031257 71.646 164.5383
82.397468 71.629 164.4370
82.763679 71.612 164.3369
83.129890 71.595 164.2382
83.496101 71.578 164.1404
83.862311 71.562 164.0429
84.228522 71.545 163.9453
84.594733 71.528 163.8477
84.960944 71.511 163.7511
85.327155 71.494 163.6565
85.693366 71.477 163.5647
86.059577 71.459 163.4754
86.425788 71.442 163.3878
86.791999 71.426 163.3007
87.158210 71.409 163.2138
87.524421 71.393 163.1272
87.890632 71.376 163.0415
88.256843 71.359 162.9572
88.623054 71.343 162.8744
88.989265 71.327 162.7928
89.355476 71.311 162.7119
89.721687 71.295 162.6311
90.087898 71.279 162.5503
90.454109 71.263 162.4697
90.820320 71.247 162.3896
91.186531 71.231 162.3106
91.552742 71.215 162.2333
91.918953 71.198 162.1582
92.285164 71.182 162.0853
92.651375 71.166 162.0141
93.017586 71.150 161.9438
93.383797 71.135 161.8735
93.750008 71.119 161.8033
94.116219 71.103 161.7337
94.482430 71.087 161.6656
94.848641 71.071 161.5997
95.214851 71.055 161.5358
95.581062 71.039 161.4733
95.947273 71.024 161.4109
96.313484 71.009 161.3479
96.679695 70.994 161.2841
97.045906 70.979 161.2200
97.412117 70.964 161.1561
97.778328 70.949 161.0930
98.144539 70.933 161.0308
98.510750 70.918 160.9697
98.876961 70.903 160.9096
99.243172 70.888 160.8506
99.609383 70.873 160.7928
99.975594 70.858 160.7359
100.341805 70.843 160.6800
100.708016 70.828 160.6249
101.074227 70.814 160.5706
101.440438 70.799 160.5168
101.806649 70.785 160.4633
102.172860 70.770 160.4100
102.539071 70.756 160.3568
102.905282 70.741 160.3041
103.271493 70.727 160.2521
103.637704 70.712 160.2012
104.003915 70.698 160.1511
104.370126 70.683 160.1017
104.736337 70.669 160.0530
105.102548 70.654 160.0051
105.468759 70.640 159.9585
105.834970 70.625 159.9131
106.201180 70.611 159.8688
106.567391 70.597 159.8248
106.933602 70.583 159.7807
107.299813 70.569 159.7364
107.666024 70.555 159.6923
108.032235 70.541 159.6490
108.398446 70.528 159.6068
108.764657 70.514 159.5654
109.130868 70.500 159.5244
109.497079 70.487 159.4833
109.863290 70.473 159.4419
110.229501 70.460 159.4003
110.595712 70.446 159.3590
110.961923 70.433 159.3181
111.328134 70.419 159.2779
111.694345 70.405 159.2384
112.060556 70.392 159.1999
112.426767 70.378 159.1625
112.792978 70.364 159.1262
113.159189 70.351 159.0909
113.525400 70.337 159.0561
113.891611 70.324 159.0218
114.257822 70.311 158.9879
114.624033 70.297 158.9548
114.990244 70.284 158.9226
115.356455 70.271 158.8914
115.722666 70.257 158.8611
116.088877 70.244 158.8314
116.455088 70.231 158.8021
116.821299 70.218 158.7733
117.187510 70.206 158.7446
117.553720 70.193 158.7159
117.919931 70.180 158.6869
118.286142 70.168 158.6576
118.652353 70.155 158.6282
119.018564 70.142 158.5993
119.384775 70.129 158.5715
119.750986 70.116 158.5450
120.117197 70.104 158.5199
120.483408 70.091 158.4955
120.849619 70.079 158.4713
121.215830 70.067 158.4467
121.582041 70.055 158.4214
121.948252 70.043 158.3953
122.314463 70.031 158.3687
122.680674 70.019 158.3419
123.046885 70.007 158.3156
123.413096 69.995 158.2903
123.779307 69.982 158.2664
124.145518 69.970 158.2440
124.511729 69.958 158.2227
124.877940 69.947 158.2021
125.244151 69.936 158.1818
125.610362 69.925 158.1613
125.976573 69.914 158.1406
126.342784 69.904 158.1196
126.708995 69.893 158.0985
127.075206 69.883 158.0775
127.441417 69.873 158.0569
127.807628 69.862 158.0370
128.173839 69.851 158.0182
128.540049 69.841 158.0007
128.906260 69.830 157.9842
129.272471 69.820 157.9686
129.638682 69.810 157.9534
130.004893 69.800 157.9382
130.371104 69.790 157.9228
130.737315 69.780 157.9070
131.103526 69.770 157.8911
131.469737 69.760 157.8749
131.835948 69.750 157.8587
132.202159 69.740 157.8428
132.568370 69.730 157.8271
132.934581 69.720 157.8119
133.300792 69.710 157.7970
133.667003 69.701 157.7823
134.033214 69.691 157.7677
134.399425 69.681 157.7531
134.765636 69.671 157.7387
135.131847 69.661 157.7249
135.498058 69.652 157.7117
135.864269 69.642 157.6991
136.230480 69.633 157.6870
136.596691 69.623 157.6750
136.962902 69.614 157.6632
137.329113 69.604 157.6516
137.695324 69.595 157.6404
138.061535 69.586 157.6298
138.427746 69.576 157.6194
138.793957 69.567 157.6093
139.160168 69.558 157.5991
139.526379 69.549 157.5886
139.892589 69.540 157.5781
140.258800 69.530 157.5678
140.625011 69.521 157.5582
140.991222 69.511 157.5495
141.357433 69.502 157.5415
141.723644 69.493 157.5341
142.089855 69.483 157.5269
142.456066 69.474 157.5198
142.822277 69.465 157.5126
143.188488 69.456 157.5056
143.554699 69.447 157.4987
143.920910 69.438 157.4921
144.287121 69.429 157.4857
144.653332 69.420 157.4792
145.019543 69.411 157.4727
145.385754 69.403 157.4662
145.751965 69.394 157.4599
146.118176 69.385 157.4539
146.484387 69.377 157.4482
146.850598 69.369 157.4426
147.216809 69.360 157.4370
147.583020 69.352 157.4312
147.949231 69.344 157.4253
148.315442 69.335 157.4194
148.681653 69.327 157.4138
149.047864 69.319 157.4086
149.414075 69.310 157.4039
