* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 2:14:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legacy 3 10 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.855 -25.0238
0.732422 61.904 -49.8799
1.098633 58.017 -74.0601
1.464844 49.567 -93.7714
1.831055 44.583 35.1046
2.197266 54.261 21.2717
2.563477 57.243 -1.2430
2.929688 58.051 -22.7586
3.295899 57.587 -40.2294
3.662110 56.445 -49.4714
4.028321 55.887 -47.5905
4.394532 57.167 -43.1956
4.760743 59.248 -46.0076
5.126954 60.928 -53.7609
5.493164 61.962 -62.0812
5.859375 62.513 -68.1958
6.225586 62.925 -71.0613
6.591797 63.529 -71.7305
6.958008 64.373 -72.4513
7.324219 65.246 -74.4296
7.690430 65.952 -77.2578
8.056641 66.453 -79.9655
8.422852 66.833 -81.9346
8.789063 67.202 -83.2374
9.155274 67.608 -84.4040
9.521485 68.021 -85.8653
9.887696 68.387 -87.6435
10.253907 68.618 -89.5008
10.620118 68.775 -91.2411
10.986329 68.924 -92.8618
11.352540 69.076 -94.4828
11.718751 69.226 -96.1835
12.084962 69.361 -97.9306
12.451173 69.485 -99.6408
12.817384 69.652 -101.2771
13.183595 69.830 -102.8714
13.549806 70.007 -104.4660
13.916017 70.172 -106.0529
14.282228 70.324 -107.5780
14.648439 70.465 -108.9986
15.014650 70.604 -110.3257
15.380861 70.742 -111.6100
15.747072 70.873 -112.8890
16.113283 70.995 -114.1549
16.479493 71.110 -115.3715
16.845704 71.214 -116.5174
17.211915 71.312 -117.6089
17.578126 71.405 -118.6837
17.944337 71.491 -119.7667
18.310548 71.567 -120.8537
18.676759 71.632 -121.9262
19.042970 71.691 -122.9748
19.409181 71.747 -124.0084
19.775392 71.800 -125.0410
20.141603 71.851 -126.0758
20.507814 71.900 -127.1041
20.874025 71.946 -128.1163
21.240236 71.992 -129.1121
21.606447 72.036 -130.0974
21.972658 72.079 -131.0727
22.338869 72.119 -132.0293
22.705080 72.157 -132.9557
23.071291 72.193 -133.8485
23.437502 72.228 -134.7147
23.803713 72.263 -135.5637
24.169924 72.294 -136.3975
24.536135 72.322 -137.2101
24.902346 72.346 -137.9953
25.268557 72.368 -138.7550
25.634768 72.389 -139.4980
26.000979 72.407 -140.2326
26.367190 72.422 -140.9603
26.733401 72.434 -141.6782
27.099612 72.444 -142.3842
27.465823 72.452 -143.0806
27.832033 72.458 -143.7716
28.198244 72.463 -144.4588
28.564455 72.467 -145.1400
28.930666 72.470 -145.8123
29.296877 72.473 -146.4763
29.663088 72.477 -147.1349
30.029299 72.480 -147.7896
30.395510 72.482 -148.4375
30.761721 72.483 -149.0732
31.127932 72.484 -149.6932
31.494143 72.484 -150.2983
31.860354 72.485 -150.8912
32.226565 72.485 -151.4728
32.592776 72.484 -152.0419
32.958987 72.482 -152.5967
33.325198 72.480 -153.1386
33.691409 72.478 -153.6719
34.057620 72.475 -154.2000
34.423831 72.470 -154.7237
34.790042 72.464 -155.2401
35.156253 72.457 -155.7466
35.522464 72.449 -156.2428
35.888675 72.440 -156.7314
36.254886 72.432 -157.2148
36.621097 72.423 -157.6944
36.987308 72.413 -158.1698
37.353519 72.403 -158.6403
37.719730 72.393 -159.1063
38.085941 72.384 -159.5678
38.452152 72.373 -160.0245
38.818363 72.363 -160.4753
39.184573 72.353 -160.9198
39.550784 72.342 -161.3578
39.916995 72.332 -161.7896
40.283206 72.322 -162.2145
40.649417 72.312 -162.6314
41.015628 72.302 -163.0397
41.381839 72.292 -163.4406
41.748050 72.282 -163.8364
42.114261 72.273 -164.2290
42.480472 72.262 -164.6183
42.846683 72.251 -165.0025
43.212894 72.239 -165.3793
43.579105 72.227 -165.7484
43.945316 72.215 -166.1109
44.311527 72.203 -166.4694
44.677738 72.191 -166.8258
45.043949 72.179 -167.1810
45.410160 72.167 -167.5340
45.776371 72.153 -167.8824
46.142582 72.140 -168.2237
46.508793 72.126 -168.5565
46.875004 72.113 -168.8814
47.241215 72.100 -169.2016
47.607426 72.088 -169.5209
47.973637 72.077 -169.8418
48.339848 72.064 -170.1633
48.706059 72.051 -170.4822
49.072270 72.037 -170.7943
49.438481 72.022 -171.0979
49.804692 72.008 -171.3936
50.170902 71.994 -171.6843
50.537113 71.981 -171.9730
50.903324 71.968 -172.2615
51.269535 71.955 -172.5494
51.635746 71.942 -172.8354
52.001957 71.928 -173.1173
52.368168 71.914 -173.3939
52.734379 71.900 -173.6653
53.100590 71.886 -173.9329
53.466801 71.872 -174.1984
53.833012 71.859 -174.4627
54.199223 71.845 -174.7249
54.565434 71.830 -174.9828
54.931645 71.816 -175.2349
55.297856 71.802 -175.4811
55.664067 71.788 -175.7231
56.030278 71.774 -175.9631
56.396489 71.760 -176.2021
56.762700 71.747 -176.4398
57.128911 71.732 -176.6754
57.495122 71.718 -176.9084
57.861333 71.704 -177.1389
58.227544 71.689 -177.3671
58.593755 71.674 -177.5927
58.959966 71.659 -177.8153
59.326177 71.644 -178.0347
59.692388 71.629 -178.2515
60.058599 71.614 -178.4663
60.424810 71.600 -178.6793
60.791021 71.585 -178.8897
61.157232 71.570 -179.0965
61.523442 71.555 -179.2995
61.889653 71.541 -179.4996
62.255864 71.527 -179.6989
62.622075 71.513 -179.8984
62.988286 71.499 179.9022
63.354497 71.484 179.7045
63.720708 71.469 179.5107
64.086919 71.453 179.3216
64.453130 71.438 179.1367
64.819341 71.423 178.9544
65.185552 71.407 178.7736
65.551763 71.392 178.5940
65.917974 71.377 178.4164
66.284185 71.361 178.2419
66.650396 71.345 178.0705
67.016607 71.330 177.9009
67.382818 71.315 177.7317
67.749029 71.299 177.5619
68.115240 71.284 177.3920
68.481451 71.268 177.2236
68.847662 71.252 177.0579
69.213873 71.236 176.8955
69.580084 71.221 176.7354
69.946295 71.205 176.5766
70.312506 71.190 176.4186
70.678717 71.174 176.2621
71.044928 71.159 176.1082
71.411139 71.143 175.9578
71.777350 71.128 175.8104
72.143561 71.113 175.6647
72.509771 71.098 175.5192
72.875982 71.084 175.3733
73.242193 71.069 175.2276
73.608404 71.054 175.0835
73.974615 71.038 174.9423
74.340826 71.023 174.8044
74.707037 71.007 174.6695
75.073248 70.992 174.5364
75.439459 70.977 174.4044
75.805670 70.962 174.2731
76.171881 70.947 174.1429
76.538092 70.931 174.0143
76.904303 70.916 173.8876
77.270514 70.901 173.7624
77.636725 70.886 173.6379
78.002936 70.871 173.5133
78.369147 70.857 173.3886
78.735358 70.842 173.2644
79.101569 70.827 173.1417
79.467780 70.812 173.0212
79.833991 70.797 172.9033
80.200202 70.782 172.7873
80.566413 70.767 172.6726
80.932624 70.753 172.5587
81.298835 70.739 172.4455
81.665046 70.724 172.3335
82.031257 70.710 172.2234
82.397468 70.695 172.1155
82.763679 70.681 172.0095
83.129890 70.667 171.9044
83.496101 70.653 171.7993
83.862311 70.640 171.6935
84.228522 70.626 171.5874
84.594733 70.611 171.4821
84.960944 70.597 171.3790
85.327155 70.582 171.2786
85.693366 70.568 171.1807
86.059577 70.554 171.0845
86.425788 70.539 170.9891
86.791999 70.525 170.8943
87.158210 70.511 170.8004
87.524421 70.497 170.7079
87.890632 70.483 170.6170
88.256843 70.468 170.5274
88.623054 70.454 170.4386
88.989265 70.440 170.3505
89.355476 70.426 170.2633
89.721687 70.412 170.1774
90.087898 70.398 170.0929
90.454109 70.385 170.0095
90.820320 70.371 169.9262
91.186531 70.358 169.8424
91.552742 70.344 169.7578
91.918953 70.331 169.6729
92.285164 70.317 169.5886
92.651375 70.304 169.5059
93.017586 70.290 169.4248
93.383797 70.276 169.3453
93.750008 70.263 169.2671
94.116219 70.249 169.1900
94.482430 70.236 169.1143
94.848641 70.222 169.0401
95.214851 70.209 168.9672
95.581062 70.196 168.8951
95.947273 70.183 168.8231
96.313484 70.170 168.7508
96.679695 70.157 168.6789
97.045906 70.144 168.6080
97.412117 70.130 168.5389
97.778328 70.117 168.4716
98.144539 70.104 168.4056
98.510750 70.091 168.3397
98.876961 70.078 168.2731
99.243172 70.065 168.2061
99.609383 70.052 168.1391
99.975594 70.039 168.0735
100.341805 70.025 168.0101
100.708016 70.012 167.9492
101.074227 69.999 167.8902
101.440438 69.986 167.8321
101.806649 69.973 167.7739
102.172860 69.961 167.7150
102.539071 69.949 167.6556
102.905282 69.936 167.5965
103.271493 69.923 167.5381
103.637704 69.911 167.4810
104.003915 69.898 167.4252
104.370126 69.886 167.3704
104.736337 69.873 167.3164
105.102548 69.861 167.2629
105.468759 69.849 167.2095
105.834970 69.837 167.1561
106.201180 69.825 167.1024
106.567391 69.813 167.0485
106.933602 69.801 166.9947
107.299813 69.788 166.9415
107.666024 69.776 166.8894
108.032235 69.764 166.8390
108.398446 69.751 166.7902
108.764657 69.739 166.7429
109.130868 69.727 166.6967
109.497079 69.715 166.6509
109.863290 69.703 166.6051
110.229501 69.691 166.5590
110.595712 69.680 166.5127
110.961923 69.668 166.4666
111.328134 69.656 166.4211
111.694345 69.644 166.3770
112.060556 69.632 166.3341
112.426767 69.620 166.2924
112.792978 69.608 166.2514
113.159189 69.597 166.2106
113.525400 69.585 166.1700
113.891611 69.573 166.1296
114.257822 69.562 166.0898
114.624033 69.550 166.0505
114.990244 69.539 166.0117
115.356455 69.527 165.9729
115.722666 69.516 165.9341
116.088877 69.505 165.8950
116.455088 69.494 165.8558
116.821299 69.482 165.8167
117.187510 69.471 165.7780
117.553720 69.459 165.7399
117.919931 69.448 165.7028
118.286142 69.437 165.6670
118.652353 69.425 165.6324
119.018564 69.414 165.5991
119.384775 69.403 165.5663
119.750986 69.392 165.5333
120.117197 69.381 165.5000
120.483408 69.370 165.4663
120.849619 69.359 165.4330
121.215830 69.348 165.4007
121.582041 69.337 165.3698
121.948252 69.326 165.3401
122.314463 69.315 165.3109
122.680674 69.305 165.2817
123.046885 69.294 165.2519
123.413096 69.283 165.2217
123.779307 69.272 165.1918
124.145518 69.262 165.1628
124.511729 69.251 165.1350
124.877940 69.241 165.1082
125.244151 69.231 165.0819
125.610362 69.222 165.0554
125.976573 69.212 165.0285
126.342784 69.203 165.0013
126.708995 69.194 164.9742
127.075206 69.185 164.9477
127.441417 69.175 164.9222
127.807628 69.166 164.8979
128.173839 69.157 164.8745
128.540049 69.148 164.8519
128.906260 69.139 164.8295
129.272471 69.131 164.8072
129.638682 69.122 164.7847
130.004893 69.113 164.7622
130.371104 69.104 164.7396
130.737315 69.095 164.7172
131.103526 69.087 164.6951
131.469737 69.078 164.6735
131.835948 69.069 164.6523
132.202159 69.060 164.6315
132.568370 69.051 164.6108
132.934581 69.043 164.5904
133.300792 69.034 164.5702
133.667003 69.025 164.5503
134.033214 69.016 164.5309
134.399425 69.008 164.5123
134.765636 68.999 164.4942
135.131847 68.991 164.4766
135.498058 68.982 164.4593
135.864269 68.974 164.4420
136.230480 68.966 164.4247
136.596691 68.958 164.4073
136.962902 68.949 164.3904
137.329113 68.941 164.3741
137.695324 68.933 164.3591
138.061535 68.924 164.3453
138.427746 68.916 164.3327
138.793957 68.908 164.3208
139.160168 68.900 164.3088
139.526379 68.892 164.2963
139.892589 68.885 164.2829
140.258800 68.877 164.2687
140.625011 68.869 164.2541
140.991222 68.861 164.2396
141.357433 68.852 164.2255
141.723644 68.844 164.2123
142.089855 68.836 164.1996
142.456066 68.828 164.1874
142.822277 68.819 164.1752
143.188488 68.811 164.1627
143.554699 68.803 164.1498
143.920910 68.795 164.1367
144.287121 68.787 164.1237
144.653332 68.779 164.1110
145.019543 68.771 164.0989
145.385754 68.763 164.0876
145.751965 68.755 164.0769
146.118176 68.747 164.0668
146.484387 68.739 164.0570
146.850598 68.732 164.0477
147.216809 68.724 164.0390
147.583020 68.716 164.0310
147.949231 68.709 164.0238
148.315442 68.701 164.0173
