* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 3:18:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin HiFI P1 Deep Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.668 -21.8248
0.732422 76.793 -43.5797
1.098633 73.206 -65.1410
1.464844 66.396 -85.9258
1.831055 40.415 14.8462
2.197266 63.121 47.3116
2.563477 65.829 27.2769
2.929688 64.700 7.5777
3.295899 60.015 -8.8644
3.662110 47.228 14.3159
4.028321 55.203 100.8998
4.394532 58.835 87.5902
4.760743 58.076 67.7190
5.126954 53.387 43.3745
5.493164 40.348 -30.2839
5.859375 49.162 -146.3951
6.225586 51.647 -168.5042
6.591797 48.600 -174.2252
6.958008 43.947 -112.0136
7.324219 51.906 -77.9692
7.690430 55.765 -80.7318
8.056641 57.043 -84.6293
8.422852 57.076 -82.6003
8.789063 57.194 -73.6985
9.155274 58.144 -64.8991
9.521485 59.240 -61.6204
9.887696 59.793 -62.0887
10.253907 59.647 -62.9807
10.620118 59.101 -62.2166
10.986329 58.561 -59.7715
11.352540 58.238 -57.4298
11.718751 58.057 -56.8150
12.084962 57.880 -58.1310
12.451173 57.686 -60.8706
12.817384 57.583 -64.6659
13.183595 57.580 -69.3052
13.549806 57.670 -74.3405
13.916017 57.853 -79.0139
14.282228 58.162 -82.6915
14.648439 58.638 -85.3464
15.014650 59.250 -87.4906
15.380861 59.889 -89.5452
15.747072 60.440 -91.4007
16.113283 60.871 -92.6035
16.479493 61.237 -92.8671
16.845704 61.605 -92.4392
17.211915 61.997 -91.9583
17.578126 62.355 -91.8993
17.944337 62.609 -92.2368
18.310548 62.737 -92.6239
18.676759 62.775 -92.7904
19.042970 62.776 -92.7773
19.409181 62.764 -92.8221
19.775392 62.727 -93.0404
20.141603 62.660 -93.2790
20.507814 62.604 -93.3216
20.874025 62.632 -93.2447
21.240236 62.786 -93.5216
21.606447 63.028 -94.6694
21.972658 63.263 -96.7907
22.338869 63.411 -99.4704
22.705080 63.448 -102.0170
23.071291 63.423 -103.8105
23.437502 63.427 -104.6242
23.803713 63.548 -104.7806
24.169924 63.802 -104.9523
24.536135 64.120 -105.6886
24.902346 64.400 -107.0825
25.268557 64.568 -108.7932
25.634768 64.603 -110.2745
26.000979 64.546 -111.0462
26.367190 64.484 -110.9570
26.733401 64.501 -110.3326
27.099612 64.621 -109.8172
27.465823 64.789 -109.9368
27.832033 64.918 -110.7654
28.198244 64.950 -111.9477
28.564455 64.885 -112.9643
28.930666 64.779 -113.4402
29.296877 64.712 -113.3656
29.663088 64.740 -113.0968
30.029299 64.860 -113.0953
30.395510 65.023 -113.6108
30.761721 65.175 -114.5777
31.127932 65.289 -115.7405
31.494143 65.371 -116.8503
31.860354 65.443 -117.7953
32.226565 65.524 -118.6166
32.592776 65.614 -119.4218
32.958987 65.700 -120.2729
33.325198 65.764 -121.1288
33.691409 65.800 -121.8752
34.057620 65.817 -122.4116
34.423831 65.837 -122.7318
34.790042 65.873 -122.9392
35.156253 65.925 -123.1764
35.522464 65.976 -123.5228
35.888675 66.010 -123.9420
36.254886 66.024 -124.3241
36.621097 66.032 -124.5850
36.987308 66.055 -124.7465
37.353519 66.102 -124.9293
37.719730 66.168 -125.2597
38.085941 66.232 -125.7719
38.452152 66.279 -126.3848
38.818363 66.308 -126.9683
39.184573 66.333 -127.4382
39.550784 66.371 -127.8085
39.916995 66.429 -128.1662
40.283206 66.500 -128.5954
40.649417 66.572 -129.1165
41.015628 66.632 -129.6835
41.381839 66.679 -130.2271
41.748050 66.718 -130.7018
42.114261 66.754 -131.1048
42.480472 66.793 -131.4613
42.846683 66.833 -131.8008
43.212894 66.872 -132.1414
43.579105 66.909 -132.4891
43.945316 66.941 -132.8419
44.311527 66.967 -133.1915
44.677738 66.989 -133.5247
45.043949 67.008 -133.8295
45.410160 67.028 -134.1074
45.776371 67.053 -134.3793
46.142582 67.083 -134.6778
46.508793 67.115 -135.0268
46.875004 67.141 -135.4220
47.241215 67.159 -135.8291
47.607426 67.170 -136.2028
47.973637 67.178 -136.5144
48.339848 67.192 -136.7695
48.706059 67.215 -137.0044
49.072270 67.247 -137.2626
49.438481 67.281 -137.5706
49.804692 67.312 -137.9251
50.170902 67.337 -138.2985
50.537113 67.353 -138.6556
50.903324 67.366 -138.9702
51.269535 67.379 -139.2363
51.635746 67.397 -139.4705
52.001957 67.421 -139.7046
52.368168 67.450 -139.9700
52.734379 67.478 -140.2789
53.100590 67.501 -140.6144
53.466801 67.516 -140.9394
53.833012 67.529 -141.2224
54.199223 67.545 -141.4647
54.565434 67.570 -141.7052
54.931645 67.599 -141.9942
55.297856 67.626 -142.3528
55.664067 67.641 -142.7520
56.030278 67.644 -143.1303
56.396489 67.639 -143.4393
56.762700 67.636 -143.6798
57.128911 67.639 -143.8961
57.495122 67.644 -144.1333
57.861333 67.646 -144.3925
58.227544 67.640 -144.6293
58.593755 67.632 -144.7960
58.959966 67.631 -144.8938
59.326177 67.645 -144.9826
59.692388 67.669 -145.1367
60.058599 67.693 -145.3811
60.424810 67.705 -145.6666
60.791021 67.708 -145.9071
61.157232 67.711 -146.0513
61.523442 67.728 -146.1295
61.889653 67.765 -146.2346
62.255864 67.812 -146.4520
62.622075 67.853 -146.7948
62.988286 67.877 -147.1966
63.354497 67.884 -147.5612
63.720708 67.883 -147.8289
64.086919 67.885 -148.0082
64.453130 67.896 -148.1554
64.819341 67.913 -148.3246
65.185552 67.929 -148.5299
65.551763 67.939 -148.7469
65.917974 67.943 -148.9431
66.284185 67.945 -149.1070
66.650396 67.950 -149.2534
67.016607 67.956 -149.4048
67.382818 67.962 -149.5720
67.749029 67.966 -149.7498
68.115240 67.969 -149.9285
68.481451 67.972 -150.1066
68.847662 67.975 -150.2923
69.213873 67.979 -150.4916
69.580084 67.981 -150.6988
69.946295 67.981 -150.8991
70.312506 67.984 -151.0838
70.678717 67.990 -151.2622
71.044928 68.001 -151.4581
71.411139 68.014 -151.6905
71.777350 68.023 -151.9538
72.143561 68.026 -152.2157
72.509771 68.023 -152.4368
72.875982 68.022 -152.5992
73.242193 68.028 -152.7219
73.608404 68.043 -152.8507
73.974615 68.063 -153.0279
74.340826 68.080 -153.2648
74.707037 68.089 -153.5364
75.073248 68.088 -153.7993
75.439459 68.079 -154.0188
75.805670 68.068 -154.1855
76.171881 68.058 -154.3110
76.538092 68.049 -154.4106
76.904303 68.043 -154.4906
77.270514 68.039 -154.5485
77.636725 68.040 -154.5871
78.002936 68.048 -154.6245
78.369147 68.063 -154.6920
78.735358 68.083 -154.8175
79.101569 68.100 -155.0069
79.467780 68.111 -155.2397
79.833991 68.114 -155.4798
80.200202 68.111 -155.6962
80.566413 68.107 -155.8779
80.932624 68.104 -156.0350
81.298835 68.104 -156.1879
81.665046 68.105 -156.3507
82.031257 68.104 -156.5226
82.397468 68.100 -156.6893
82.763679 68.094 -156.8324
83.129890 68.087 -156.9409
83.496101 68.083 -157.0171
83.862311 68.084 -157.0762
84.228522 68.091 -157.1398
84.594733 68.101 -157.2267
84.960944 68.111 -157.3447
85.327155 68.120 -157.4879
85.693366 68.124 -157.6404
86.059577 68.124 -157.7848
86.425788 68.122 -157.9111
86.791999 68.121 -158.0208
87.158210 68.120 -158.1237
87.524421 68.121 -158.2301
87.890632 68.122 -158.3439
88.256843 68.121 -158.4606
88.623054 68.119 -158.5728
88.989265 68.118 -158.6765
89.355476 68.117 -158.7753
89.721687 68.119 -158.8777
90.087898 68.121 -158.9906
90.454109 68.123 -159.1146
90.820320 68.124 -159.2438
91.186531 68.125 -159.3706
91.552742 68.125 -159.4914
91.918953 68.126 -159.6087
92.285164 68.129 -159.7285
92.651375 68.132 -159.8545
93.017586 68.135 -159.9854
93.383797 68.136 -160.1149
93.750008 68.137 -160.2364
94.116219 68.138 -160.3476
94.482430 68.140 -160.4518
94.848641 68.143 -160.5556
95.214851 68.146 -160.6643
95.581062 68.149 -160.7791
95.947273 68.151 -160.8963
96.313484 68.150 -161.0104
96.679695 68.148 -161.1169
97.045906 68.146 -161.2148
97.412117 68.144 -161.3063
97.778328 68.142 -161.3952
98.144539 68.140 -161.4851
98.510750 68.138 -161.5781
98.876961 68.136 -161.6741
99.243172 68.132 -161.7704
99.609383 68.128 -161.8628
99.975594 68.124 -161.9476
100.341805 68.121 -162.0240
100.708016 68.119 -162.0957
101.074227 68.120 -162.1701
101.440438 68.123 -162.2550
101.806649 68.126 -162.3551
102.172860 68.129 -162.4693
102.539071 68.130 -162.5911
102.905282 68.129 -162.7117
103.271493 68.127 -162.8239
103.637704 68.124 -162.9239
104.003915 68.121 -163.0120
104.370126 68.118 -163.0905
104.736337 68.117 -163.1626
105.102548 68.116 -163.2308
105.468759 68.115 -163.2972
105.834970 68.115 -163.3627
106.201180 68.115 -163.4280
106.567391 68.115 -163.4932
106.933602 68.116 -163.5589
107.299813 68.116 -163.6260
107.666024 68.117 -163.6962
108.032235 68.118 -163.7713
108.398446 68.118 -163.8522
108.764657 68.118 -163.9383
109.130868 68.117 -164.0276
109.497079 68.115 -164.1176
109.863290 68.112 -164.2057
110.229501 68.108 -164.2903
110.595712 68.105 -164.3708
110.961923 68.101 -164.4471
111.328134 68.098 -164.5201
111.694345 68.095 -164.5908
112.060556 68.093 -164.6606
112.426767 68.091 -164.7303
112.792978 68.089 -164.8001
113.159189 68.087 -164.8694
113.525400 68.084 -164.9373
113.891611 68.083 -165.0033
114.257822 68.081 -165.0680
114.624033 68.080 -165.1329
114.990244 68.079 -165.1999
115.356455 68.078 -165.2700
115.722666 68.077 -165.3430
116.088877 68.075 -165.4174
116.455088 68.072 -165.4910
116.821299 68.070 -165.5620
117.187510 68.066 -165.6295
117.553720 68.063 -165.6930
117.919931 68.060 -165.7526
118.286142 68.057 -165.8087
118.652353 68.055 -165.8622
119.018564 68.054 -165.9149
119.384775 68.053 -165.9696
119.750986 68.053 -166.0290
120.117197 68.053 -166.0947
120.483408 68.052 -166.1661
120.849619 68.050 -166.2405
121.215830 68.048 -166.3143
121.582041 68.044 -166.3848
121.948252 68.041 -166.4512
122.314463 68.037 -166.5143
122.680674 68.033 -166.5750
123.046885 68.030 -166.6329
123.413096 68.026 -166.6871
123.779307 68.024 -166.7366
124.145518 68.022 -166.7825
124.511729 68.022 -166.8290
124.877940 68.024 -166.8817
125.244151 68.027 -166.9454
125.610362 68.030 -167.0210
125.976573 68.032 -167.1052
126.342784 68.033 -167.1918
126.708995 68.032 -167.2743
127.075206 68.030 -167.3488
127.441417 68.028 -167.4148
127.807628 68.026 -167.4744
128.173839 68.025 -167.5304
128.540049 68.024 -167.5843
128.906260 68.022 -167.6360
129.272471 68.020 -167.6843
129.638682 68.018 -167.7276
130.004893 68.015 -167.7654
130.371104 68.013 -167.7987
130.737315 68.011 -167.8294
131.103526 68.010 -167.8602
131.469737 68.009 -167.8934
131.835948 68.009 -167.9298
132.202159 68.007 -167.9693
132.568370 68.006 -168.0102
132.934581 68.004 -168.0511
133.300792 68.001 -168.0909
133.667003 67.999 -168.1296
134.033214 67.997 -168.1680
134.399425 67.995 -168.2069
134.765636 67.993 -168.2467
135.131847 67.992 -168.2870
135.498058 67.990 -168.3271
135.864269 67.989 -168.3662
136.230480 67.987 -168.4032
136.596691 67.987 -168.4374
136.962902 67.986 -168.4689
137.329113 67.987 -168.4995
137.695324 67.990 -168.5332
138.061535 67.993 -168.5748
138.427746 67.997 -168.6279
138.793957 67.999 -168.6926
139.160168 68.000 -168.7644
139.526379 67.999 -168.8359
139.892589 67.996 -168.8999
140.258800 67.992 -168.9527
140.625011 67.988 -168.9950
140.991222 67.985 -169.0310
141.357433 67.983 -169.0653
141.723644 67.981 -169.1007
142.089855 67.979 -169.1370
142.456066 67.977 -169.1731
142.822277 67.975 -169.2082
