* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 3:23:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin HiFI P1 Shallow Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.657 158.0190
0.732422 74.778 136.0394
1.098633 71.191 114.0289
1.464844 64.416 91.6943
1.831055 36.590 -27.2816
2.197266 60.626 -129.0891
2.563477 63.188 -150.8594
2.929688 61.580 -171.6251
3.295899 55.209 169.8904
3.662110 43.929 -46.5197
4.028321 56.829 -55.2494
4.394532 59.317 -71.4464
4.760743 58.348 -83.7931
5.126954 54.558 -82.1873
5.493164 52.036 -43.1716
5.859375 55.729 -21.4158
6.225586 57.836 -25.0625
6.591797 57.813 -33.2339
6.958008 56.201 -37.7999
7.324219 54.006 -32.3824
7.690430 53.304 -20.2795
8.056641 54.042 -17.6840
8.422852 54.485 -26.1934
8.789063 54.233 -39.9598
9.155274 53.602 -54.0870
9.521485 53.129 -64.6374
9.887696 53.354 -70.3029
10.253907 54.298 -73.6115
10.620118 55.519 -77.0489
10.986329 56.588 -80.4310
11.352540 57.383 -82.5803
11.718751 58.018 -83.0088
12.084962 58.623 -82.3369
12.451173 59.207 -81.5701
12.817384 59.728 -81.1203
13.183595 60.097 -80.7173
13.549806 60.342 -80.0161
13.916017 60.537 -79.0896
14.282228 60.719 -78.3700
14.648439 60.860 -78.1940
15.014650 60.926 -78.5285
15.380861 60.921 -79.1349
15.747072 60.890 -79.8920
16.113283 60.879 -80.9212
16.479493 60.903 -82.4111
16.845704 60.934 -84.3648
17.211915 60.963 -86.5503
17.578126 61.006 -88.6702
17.944337 61.094 -90.5557
18.310548 61.253 -92.2164
18.676759 61.478 -93.7370
19.042970 61.749 -95.1631
19.409181 62.044 -96.4919
19.775392 62.344 -97.7253
20.141603 62.629 -98.8792
20.507814 62.877 -99.9298
20.874025 63.073 -100.7788
21.240236 63.222 -101.3061
21.606447 63.349 -101.4856
21.972658 63.480 -101.4529
22.338869 63.619 -101.4372
22.705080 63.749 -101.6028
23.071291 63.848 -101.9498
23.437502 63.912 -102.3634
23.803713 63.958 -102.7537
24.169924 64.011 -103.1570
24.536135 64.082 -103.7128
24.902346 64.161 -104.5378
25.268557 64.228 -105.6131
25.634768 64.269 -106.7778
26.000979 64.293 -107.8240
26.367190 64.330 -108.6300
26.733401 64.412 -109.2499
27.099612 64.552 -109.8960
27.465823 64.730 -110.8012
27.832033 64.900 -112.0482
28.198244 65.012 -113.4810
28.564455 65.045 -114.7520
28.930666 65.019 -115.4821
29.296877 64.995 -115.4851
29.663088 65.042 -114.9435
30.029299 65.190 -114.3579
30.395510 65.406 -114.2291
30.761721 65.613 -114.7352
31.127932 65.752 -115.6755
31.494143 65.803 -116.6601
31.860354 65.794 -117.3631
32.226565 65.776 -117.6989
32.592776 65.788 -117.8320
32.958987 65.839 -118.0213
33.325198 65.908 -118.4266
33.691409 65.969 -119.0356
34.057620 66.013 -119.7344
34.423831 66.045 -120.4245
34.790042 66.075 -121.0825
35.156253 66.109 -121.7346
35.522464 66.140 -122.3917
35.888675 66.165 -123.0144
36.254886 66.184 -123.5366
36.621097 66.209 -123.9200
36.987308 66.249 -124.1906
37.353519 66.311 -124.4270
37.719730 66.389 -124.7138
38.085941 66.473 -125.0973
38.452152 66.551 -125.5725
38.818363 66.616 -126.1006
39.184573 66.667 -126.6360
39.550784 66.704 -127.1451
39.916995 66.732 -127.6115
40.283206 66.755 -128.0314
40.649417 66.775 -128.4071
41.015628 66.794 -128.7431
41.381839 66.816 -129.0458
41.748050 66.841 -129.3252
42.114261 66.871 -129.5959
42.480472 66.908 -129.8761
42.846683 66.950 -130.1846
43.212894 66.995 -130.5349
43.579105 67.038 -130.9299
43.945316 67.077 -131.3571
44.311527 67.108 -131.7905
44.677738 67.133 -132.1976
45.043949 67.154 -132.5536
45.410160 67.176 -132.8538
45.776371 67.204 -133.1181
46.142582 67.240 -133.3824
46.508793 67.281 -133.6794
46.875004 67.321 -134.0219
47.241215 67.356 -134.3989
47.607426 67.385 -134.7854
47.973637 67.408 -135.1578
48.339848 67.428 -135.5046
48.706059 67.447 -135.8260
49.072270 67.466 -136.1265
49.438481 67.486 -136.4105
49.804692 67.508 -136.6814
50.170902 67.533 -136.9463
50.537113 67.559 -137.2154
50.903324 67.586 -137.4965
51.269535 67.611 -137.7892
51.635746 67.633 -138.0829
52.001957 67.651 -138.3638
52.368168 67.667 -138.6226
52.734379 67.682 -138.8583
53.100590 67.699 -139.0761
53.466801 67.718 -139.2843
53.833012 67.741 -139.4953
54.199223 67.768 -139.7303
54.565434 67.797 -140.0166
54.931645 67.824 -140.3719
55.297856 67.842 -140.7836
55.664067 67.847 -141.2001
56.030278 67.841 -141.5511
56.396489 67.836 -141.7938
56.762700 67.845 -141.9546
57.128911 67.878 -142.1314
57.495122 67.928 -142.4393
57.861333 67.975 -142.9317
58.227544 67.998 -143.5523
58.593755 67.988 -144.1553
58.959966 67.952 -144.5845
59.326177 67.914 -144.7634
59.692388 67.895 -144.7391
60.058599 67.907 -144.6466
60.424810 67.943 -144.6182
60.791021 67.986 -144.7059
61.157232 68.022 -144.8713
61.523442 68.047 -145.0386
61.889653 68.068 -145.1619
62.255864 68.092 -145.2538
62.622075 68.120 -145.3624
62.988286 68.149 -145.5233
63.354497 68.169 -145.7294
63.720708 68.180 -145.9401
64.086919 68.185 -146.1170
64.453130 68.189 -146.2538
64.819341 68.199 -146.3781
65.185552 68.213 -146.5279
65.551763 68.229 -146.7242
65.917974 68.241 -146.9595
66.284185 68.248 -147.2078
66.650396 68.252 -147.4426
67.016607 68.255 -147.6524
67.382818 68.262 -147.8445
67.749029 68.273 -148.0382
68.115240 68.288 -148.2529
68.481451 68.303 -148.4964
68.847662 68.313 -148.7586
69.213873 68.319 -149.0140
69.580084 68.320 -149.2346
69.946295 68.322 -149.4072
70.312506 68.327 -149.5437
70.678717 68.340 -149.6766
71.044928 68.356 -149.8393
71.411139 68.371 -150.0441
71.777350 68.379 -150.2730
72.143561 68.378 -150.4885
72.509771 68.373 -150.6571
72.875982 68.368 -150.7702
73.242193 68.370 -150.8488
73.608404 68.379 -150.9305
73.974615 68.393 -151.0466
74.340826 68.408 -151.2068
74.707037 68.419 -151.3989
75.073248 68.426 -151.6001
75.439459 68.430 -151.7917
75.805670 68.432 -151.9674
76.171881 68.436 -152.1317
76.538092 68.440 -152.2923
76.904303 68.445 -152.4532
77.270514 68.450 -152.6130
77.636725 68.456 -152.7682
78.002936 68.462 -152.9189
78.369147 68.469 -153.0695
78.735358 68.477 -153.2268
79.101569 68.485 -153.3945
79.467780 68.490 -153.5697
79.833991 68.494 -153.7438
80.200202 68.495 -153.9078
80.566413 68.495 -154.0576
80.932624 68.496 -154.1960
81.298835 68.497 -154.3297
81.665046 68.499 -154.4639
82.031257 68.501 -154.5988
82.397468 68.502 -154.7309
82.763679 68.504 -154.8573
83.129890 68.507 -154.9807
83.496101 68.511 -155.1093
83.862311 68.517 -155.2517
84.228522 68.522 -155.4109
84.594733 68.524 -155.5801
84.960944 68.524 -155.7461
85.327155 68.521 -155.8963
85.693366 68.519 -156.0257
86.059577 68.519 -156.1395
86.425788 68.521 -156.2492
86.791999 68.526 -156.3650
87.158210 68.531 -156.4909
87.524421 68.535 -156.6234
87.890632 68.538 -156.7556
88.256843 68.541 -156.8819
88.623054 68.544 -157.0006
88.989265 68.548 -157.1145
89.355476 68.553 -157.2282
89.721687 68.558 -157.3461
90.087898 68.564 -157.4706
90.454109 68.568 -157.6010
90.820320 68.571 -157.7334
91.186531 68.572 -157.8617
91.552742 68.572 -157.9798
91.918953 68.572 -158.0847
92.285164 68.573 -158.1790
92.651375 68.576 -158.2699
93.017586 68.580 -158.3668
93.383797 68.585 -158.4758
93.750008 68.589 -158.5968
94.116219 68.591 -158.7236
94.482430 68.591 -158.8469
94.848641 68.589 -158.9590
95.214851 68.587 -159.0568
95.581062 68.587 -159.1432
95.947273 68.588 -159.2253
96.313484 68.590 -159.3113
96.679695 68.594 -159.4076
97.045906 68.598 -159.5158
97.412117 68.600 -159.6326
97.778328 68.600 -159.7510
98.144539 68.599 -159.8634
98.510750 68.596 -159.9651
98.876961 68.594 -160.0564
99.243172 68.594 -160.1420
99.609383 68.594 -160.2285
99.975594 68.596 -160.3208
100.341805 68.597 -160.4206
100.708016 68.598 -160.5259
101.074227 68.598 -160.6337
101.440438 68.598 -160.7414
101.806649 68.597 -160.8481
102.172860 68.596 -160.9543
102.539071 68.595 -161.0601
102.905282 68.593 -161.1646
103.271493 68.592 -161.2656
103.637704 68.590 -161.3609
104.003915 68.588 -161.4493
104.370126 68.588 -161.5323
104.736337 68.589 -161.6136
105.102548 68.591 -161.6982
105.468759 68.594 -161.7891
105.834970 68.596 -161.8866
106.201180 68.597 -161.9865
106.567391 68.596 -162.0827
106.933602 68.595 -162.1701
107.299813 68.594 -162.2471
107.666024 68.593 -162.3162
108.032235 68.593 -162.3824
108.398446 68.594 -162.4494
108.764657 68.595 -162.5185
109.130868 68.596 -162.5882
109.497079 68.596 -162.6570
109.863290 68.598 -162.7258
110.229501 68.599 -162.7981
110.595712 68.602 -162.8787
110.961923 68.604 -162.9700
111.328134 68.604 -163.0706
111.694345 68.603 -163.1752
112.060556 68.600 -163.2768
112.426767 68.596 -163.3697
112.792978 68.592 -163.4514
113.159189 68.588 -163.5229
113.525400 68.585 -163.5878
113.891611 68.584 -163.6510
114.257822 68.584 -163.7166
114.624033 68.585 -163.7870
114.990244 68.586 -163.8625
115.356455 68.586 -163.9411
115.722666 68.586 -164.0200
116.088877 68.584 -164.0956
116.455088 68.582 -164.1654
116.821299 68.580 -164.2285
117.187510 68.578 -164.2854
117.553720 68.577 -164.3386
117.919931 68.576 -164.3912
118.286142 68.576 -164.4460
118.652353 68.576 -164.5052
119.018564 68.576 -164.5689
119.384775 68.575 -164.6356
119.750986 68.574 -164.7035
120.117197 68.573 -164.7709
120.483408 68.571 -164.8380
120.849619 68.570 -164.9056
121.215830 68.568 -164.9747
121.582041 68.567 -165.0450
121.948252 68.565 -165.1153
122.314463 68.563 -165.1838
122.680674 68.562 -165.2501
123.046885 68.560 -165.3154
123.413096 68.560 -165.3811
123.779307 68.559 -165.4485
124.145518 68.558 -165.5166
124.511729 68.557 -165.5830
124.877940 68.556 -165.6452
125.244151 68.554 -165.7023
125.610362 68.554 -165.7554
125.976573 68.554 -165.8074
126.342784 68.555 -165.8615
126.708995 68.557 -165.9196
127.075206 68.557 -165.9817
127.441417 68.557 -166.0460
127.807628 68.556 -166.1095
128.173839 68.555 -166.1693
128.540049 68.553 -166.2237
128.906260 68.552 -166.2733
129.272471 68.551 -166.3206
129.638682 68.551 -166.3695
130.004893 68.552 -166.4236
130.371104 68.553 -166.4850
130.737315 68.554 -166.5533
131.103526 68.554 -166.6255
131.469737 68.552 -166.6974
131.835948 68.550 -166.7650
132.202159 68.547 -166.8253
132.568370 68.544 -166.8780
132.934581 68.542 -166.9252
133.300792 68.542 -166.9710
133.667003 68.541 -167.0199
134.033214 68.542 -167.0746
134.399425 68.542 -167.1353
134.765636 68.540 -167.1987
135.131847 68.538 -167.2601
135.498058 68.535 -167.3154
135.864269 68.532 -167.3634
136.230480 68.530 -167.4062
136.596691 68.528 -167.4477
136.962902 68.527 -167.4919
137.329113 68.527 -167.5411
137.695324 68.527 -167.5953
138.061535 68.527 -167.6535
138.427746 68.526 -167.7140
138.793957 68.524 -167.7752
139.160168 68.523 -167.8356
139.526379 68.521 -167.8935
139.892589 68.518 -167.9478
140.258800 68.516 -167.9980
140.625011 68.514 -168.0443
140.991222 68.513 -168.0880
141.357433 68.512 -168.1300
141.723644 68.512 -168.1709
142.089855 68.511 -168.2102
142.456066 68.511 -168.2474
142.822277 68.512 -168.2826
