* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 2:54:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin HiFi C2 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.173 162.3873
0.732422 63.693 146.1070
1.098633 61.073 133.6917
1.464844 57.312 131.9476
1.831055 54.614 152.1678
2.197266 56.372 169.7023
2.563477 58.714 166.8496
2.929688 60.113 156.1887
3.295899 60.811 144.5287
3.662110 61.194 134.9253
4.028321 61.656 128.3494
4.394532 62.461 123.7186
4.760743 63.567 119.1195
5.126954 64.725 113.7191
5.493164 65.732 107.9699
5.859375 66.532 102.7118
6.225586 67.175 98.5063
6.591797 67.752 95.3746
6.958008 68.324 92.8867
7.324219 68.889 90.5360
7.690430 69.405 88.0840
8.056641 69.840 85.5959
8.422852 70.192 83.2466
8.789063 70.489 81.1253
9.155274 70.757 79.1711
9.521485 71.009 77.2477
9.887696 71.239 75.2597
10.253907 71.368 73.2066
10.620118 71.439 71.1500
10.986329 71.492 69.1481
11.352540 71.537 67.2194
11.718751 71.584 65.3511
12.084962 71.633 63.5276
12.451173 71.686 61.7480
12.817384 71.788 60.0215
13.183595 71.899 58.3566
13.549806 72.007 56.7578
13.916017 72.111 55.2321
14.282228 72.209 53.7909
14.648439 72.301 52.4430
15.014650 72.388 51.1851
15.380861 72.470 49.9995
15.747072 72.547 48.8648
16.113283 72.620 47.7682
16.479493 72.692 46.7094
16.845704 72.754 45.6935
17.211915 72.808 44.7203
17.578126 72.855 43.7805
17.944337 72.897 42.8592
18.310548 72.936 41.9449
18.676759 72.970 41.0330
19.042970 73.001 40.1242
19.409181 73.030 39.2207
19.775392 73.058 38.3232
20.141603 73.086 37.4322
20.507814 73.117 36.5493
20.874025 73.147 35.6783
21.240236 73.178 34.8240
21.606447 73.208 33.9917
21.972658 73.239 33.1860
22.338869 73.269 32.4097
22.705080 73.300 31.6632
23.071291 73.330 30.9449
23.437502 73.358 30.2525
23.803713 73.385 29.5852
24.169924 73.409 28.9438
24.536135 73.431 28.3285
24.902346 73.450 27.7366
25.268557 73.468 27.1618
25.634768 73.483 26.5969
26.000979 73.496 26.0379
26.367190 73.506 25.4855
26.733401 73.514 24.9419
27.099612 73.520 24.4074
27.465823 73.526 23.8772
27.832033 73.532 23.3447
28.198244 73.537 22.8065
28.564455 73.540 22.2660
28.930666 73.542 21.7322
29.296877 73.543 21.2144
29.663088 73.545 20.7158
30.029299 73.549 20.2315
30.395510 73.555 19.7526
30.761721 73.562 19.2724
31.127932 73.568 18.7918
31.494143 73.573 18.3195
31.860354 73.575 17.8664
32.226565 73.577 17.4384
32.592776 73.579 17.0323
32.958987 73.582 16.6373
33.325198 73.586 16.2420
33.691409 73.589 15.8419
34.057620 73.589 15.4417
34.423831 73.586 15.0513
34.790042 73.582 14.6783
35.156253 73.577 14.3222
35.522464 73.574 13.9742
35.888675 73.571 13.6233
36.254886 73.569 13.2630
36.621097 73.566 12.8948
36.987308 73.561 12.5265
37.353519 73.554 12.1663
37.719730 73.547 11.8183
38.085941 73.540 11.4809
38.452152 73.534 11.1493
38.818363 73.529 10.8201
39.184573 73.524 10.4931
39.550784 73.518 10.1712
39.916995 73.512 9.8577
40.283206 73.507 9.5535
40.649417 73.503 9.2562
41.015628 73.500 8.9610
41.381839 73.497 8.6635
41.748050 73.494 8.3618
42.114261 73.489 8.0570
42.480472 73.483 7.7531
42.846683 73.475 7.4544
43.212894 73.466 7.1650
43.579105 73.456 6.8872
43.945316 73.447 6.6210
44.311527 73.439 6.3633
44.677738 73.432 6.1086
45.043949 73.426 5.8511
45.410160 73.421 5.5873
45.776371 73.414 5.3188
46.142582 73.407 5.0513
46.508793 73.399 4.7912
46.875004 73.391 4.5410
47.241215 73.383 4.2976
47.607426 73.377 4.0547
47.973637 73.370 3.8075
48.339848 73.362 3.5568
48.706059 73.353 3.3081
49.072270 73.342 3.0683
49.438481 73.331 2.8404
49.804692 73.319 2.6227
50.170902 73.309 2.4107
50.537113 73.299 2.2008
50.903324 73.289 1.9921
51.269535 73.279 1.7857
51.635746 73.270 1.5819
52.001957 73.261 1.3787
52.368168 73.252 1.1731
52.734379 73.244 0.9631
53.100590 73.235 0.7496
53.466801 73.225 0.5357
53.833012 73.215 0.3249
54.199223 73.205 0.1187
54.565434 73.194 -0.0837
54.931645 73.184 -0.2840
55.297856 73.174 -0.4828
55.664067 73.163 -0.6792
56.030278 73.152 -0.8709
56.396489 73.141 -1.0562
56.762700 73.130 -1.2356
57.128911 73.120 -1.4116
57.495122 73.110 -1.5876
57.861333 73.100 -1.7657
58.227544 73.090 -1.9455
58.593755 73.079 -2.1242
58.959966 73.067 -2.2983
59.326177 73.056 -2.4665
59.692388 73.044 -2.6300
60.058599 73.033 -2.7924
60.424810 73.022 -2.9567
60.791021 73.012 -3.1236
61.157232 73.000 -3.2908
61.523442 72.988 -3.4547
61.889653 72.976 -3.6130
62.255864 72.964 -3.7661
62.622075 72.952 -3.9171
62.988286 72.941 -4.0690
63.354497 72.929 -4.2231
63.720708 72.917 -4.3777
64.086919 72.904 -4.5295
64.453130 72.891 -4.6765
64.819341 72.878 -4.8195
65.185552 72.866 -4.9617
65.551763 72.854 -5.1066
65.917974 72.842 -5.2548
66.284185 72.829 -5.4034
66.650396 72.815 -5.5479
67.016607 72.801 -5.6850
67.382818 72.788 -5.8156
67.749029 72.775 -5.9438
68.115240 72.763 -6.0749
68.481451 72.752 -6.2112
68.847662 72.740 -6.3507
69.213873 72.727 -6.4890
69.580084 72.714 -6.6225
69.946295 72.701 -6.7512
70.312506 72.689 -6.8782
70.678717 72.677 -7.0070
71.044928 72.665 -7.1385
71.411139 72.652 -7.2698
71.777350 72.639 -7.3968
72.143561 72.625 -7.5173
72.509771 72.612 -7.6323
72.875982 72.599 -7.7452
73.242193 72.587 -7.8589
73.608404 72.574 -7.9737
73.974615 72.561 -8.0879
74.340826 72.548 -8.1995
74.707037 72.535 -8.3086
75.073248 72.522 -8.4169
75.439459 72.509 -8.5261
75.805670 72.496 -8.6358
76.171881 72.482 -8.7436
76.538092 72.468 -8.8471
76.904303 72.455 -8.9462
77.270514 72.443 -9.0435
77.636725 72.431 -9.1428
78.002936 72.419 -9.2463
78.369147 72.407 -9.3534
78.735358 72.395 -9.4611
79.101569 72.382 -9.5670
79.467780 72.369 -9.6701
79.833991 72.356 -9.7719
80.200202 72.344 -9.8736
80.566413 72.331 -9.9756
80.932624 72.318 -10.0766
81.298835 72.304 -10.1749
81.665046 72.290 -10.2698
82.031257 72.277 -10.3621
82.397468 72.264 -10.4535
82.763679 72.251 -10.5451
83.129890 72.238 -10.6374
83.496101 72.225 -10.7299
83.862311 72.212 -10.8222
84.228522 72.198 -10.9136
84.594733 72.185 -11.0036
84.960944 72.171 -11.0911
85.327155 72.157 -11.1750
85.693366 72.144 -11.2548
86.059577 72.131 -11.3316
86.425788 72.118 -11.4076
86.791999 72.106 -11.4850
87.158210 72.095 -11.5651
87.524421 72.083 -11.6473
87.890632 72.071 -11.7301
88.256843 72.059 -11.8119
88.623054 72.047 -11.8919
88.989265 72.034 -11.9704
89.355476 72.021 -12.0478
89.721687 72.009 -12.1241
90.087898 71.996 -12.1993
90.454109 71.983 -12.2734
90.820320 71.970 -12.3471
91.186531 71.957 -12.4212
91.552742 71.944 -12.4959
91.918953 71.931 -12.5704
92.285164 71.917 -12.6432
92.651375 71.903 -12.7137
93.017586 71.890 -12.7823
93.383797 71.877 -12.8504
93.750008 71.864 -12.9193
94.116219 71.850 -12.9891
94.482430 71.837 -13.0584
94.848641 71.824 -13.1254
95.214851 71.810 -13.1894
95.581062 71.798 -13.2513
95.947273 71.785 -13.3133
96.313484 71.773 -13.3769
96.679695 71.761 -13.4422
97.045906 71.749 -13.5074
97.412117 71.736 -13.5705
97.778328 71.723 -13.6303
98.144539 71.711 -13.6876
98.510750 71.699 -13.7441
98.876961 71.687 -13.8015
99.243172 71.675 -13.8603
99.609383 71.663 -13.9198
99.975594 71.651 -13.9786
100.341805 71.638 -14.0357
100.708016 71.626 -14.0912
101.074227 71.613 -14.1460
101.440438 71.601 -14.2011
101.806649 71.588 -14.2570
102.172860 71.576 -14.3131
102.539071 71.563 -14.3683
102.905282 71.549 -14.4216
103.271493 71.536 -14.4726
103.637704 71.524 -14.5218
104.003915 71.511 -14.5704
104.370126 71.499 -14.6195
104.736337 71.487 -14.6700
105.102548 71.475 -14.7220
105.468759 71.463 -14.7748
105.834970 71.451 -14.8276
106.201180 71.439 -14.8795
106.567391 71.427 -14.9298
106.933602 71.415 -14.9780
107.299813 71.403 -15.0242
107.666024 71.391 -15.0686
108.032235 71.380 -15.1117
108.398446 71.368 -15.1543
108.764657 71.357 -15.1972
109.130868 71.346 -15.2409
109.497079 71.334 -15.2852
109.863290 71.323 -15.3296
110.229501 71.311 -15.3730
110.595712 71.299 -15.4149
110.961923 71.287 -15.4551
111.328134 71.275 -15.4944
111.694345 71.263 -15.5336
112.060556 71.252 -15.5734
112.426767 71.240 -15.6139
112.792978 71.228 -15.6545
113.159189 71.215 -15.6948
113.525400 71.203 -15.7343
113.891611 71.191 -15.7734
114.257822 71.179 -15.8126
114.624033 71.167 -15.8519
114.990244 71.155 -15.8909
115.356455 71.143 -15.9286
115.722666 71.131 -15.9641
116.088877 71.119 -15.9973
116.455088 71.108 -16.0290
116.821299 71.097 -16.0607
117.187510 71.086 -16.0939
117.553720 71.076 -16.1287
117.919931 71.065 -16.1648
118.286142 71.054 -16.2011
118.652353 71.043 -16.2366
119.018564 71.031 -16.2710
119.384775 71.020 -16.3046
119.750986 71.008 -16.3375
120.117197 70.996 -16.3696
120.483408 70.984 -16.4002
120.849619 70.972 -16.4286
121.215830 70.959 -16.4548
121.582041 70.947 -16.4793
121.948252 70.936 -16.5031
122.314463 70.924 -16.5276
122.680674 70.913 -16.5537
123.046885 70.902 -16.5818
123.413096 70.891 -16.6117
123.779307 70.879 -16.6427
124.145518 70.868 -16.6740
124.511729 70.857 -16.7050
124.877940 70.846 -16.7351
125.244151 70.836 -16.7641
125.610362 70.825 -16.7922
125.976573 70.815 -16.8196
126.342784 70.806 -16.8470
126.708995 70.797 -16.8745
127.075206 70.787 -16.9021
127.441417 70.778 -16.9293
127.807628 70.769 -16.9554
128.173839 70.759 -16.9798
128.540049 70.749 -17.0021
128.906260 70.740 -17.0226
129.272471 70.730 -17.0417
129.638682 70.721 -17.0599
130.004893 70.712 -17.0777
130.371104 70.702 -17.0953
130.737315 70.693 -17.1125
131.103526 70.683 -17.1293
131.469737 70.674 -17.1458
131.835948 70.665 -17.1620
132.202159 70.655 -17.1782
132.568370 70.646 -17.1949
132.934581 70.637 -17.2125
133.300792 70.628 -17.2314
133.667003 70.619 -17.2516
134.033214 70.609 -17.2730
134.399425 70.600 -17.2950
134.765636 70.591 -17.3170
135.131847 70.581 -17.3386
135.498058 70.572 -17.3597
135.864269 70.562 -17.3803
136.230480 70.553 -17.4005
136.596691 70.544 -17.4203
136.962902 70.534 -17.4396
137.329113 70.525 -17.4580
137.695324 70.515 -17.4752
138.061535 70.506 -17.4911
138.427746 70.496 -17.5057
138.793957 70.487 -17.5193
139.160168 70.478 -17.5318
139.526379 70.469 -17.5434
139.892589 70.459 -17.5541
140.258800 70.450 -17.5642
140.625011 70.442 -17.5739
140.991222 70.433 -17.5835
141.357433 70.424 -17.5935
141.723644 70.415 -17.6039
142.089855 70.407 -17.6147
142.456066 70.398 -17.6260
142.822277 70.390 -17.6379
143.188488 70.381 -17.6503
143.554699 70.372 -17.6632
143.920910 70.364 -17.6763
144.287121 70.355 -17.6893
144.653332 70.346 -17.7020
145.019543 70.337 -17.7144
145.385754 70.329 -17.7264
145.751965 70.320 -17.7383
146.118176 70.311 -17.7501
