* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 2:52:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin HiFi C2 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.651 -22.5871
0.732422 67.781 -44.8627
1.098633 64.166 -66.0478
1.464844 57.112 -81.8488
1.831055 46.115 6.2858
2.197266 57.169 25.1886
2.563477 60.253 6.5730
2.929688 60.737 -14.1078
3.295899 59.737 -32.7577
3.662110 57.861 -44.6902
4.028321 56.445 -44.4779
4.394532 57.410 -39.6215
4.760743 59.706 -43.6544
5.126954 61.667 -53.9003
5.493164 62.922 -64.8393
5.859375 63.595 -73.2456
6.225586 64.012 -77.6891
6.591797 64.563 -78.8831
6.958008 65.401 -79.3635
7.324219 66.328 -81.0406
7.690430 67.092 -83.8620
8.056641 67.609 -86.8073
8.422852 67.945 -89.0430
8.789063 68.229 -90.4465
9.155274 68.541 -91.5234
9.521485 68.874 -92.8451
9.887696 69.170 -94.5742
10.253907 69.330 -96.5038
10.620118 69.410 -98.3851
10.986329 69.478 -100.1579
11.352540 69.559 -101.9306
11.718751 69.648 -103.8060
12.084962 69.734 -105.7636
12.451173 69.814 -107.7012
12.817384 69.945 -109.5466
13.183595 70.093 -111.3080
13.549806 70.248 -113.0240
13.916017 70.400 -114.6900
14.282228 70.542 -116.2495
14.648439 70.678 -117.6533
15.014650 70.814 -118.9150
15.380861 70.951 -120.1003
15.747072 71.083 -121.2639
16.113283 71.202 -122.4030
16.479493 71.312 -123.4746
16.845704 71.407 -124.4512
17.211915 71.496 -125.3570
17.578126 71.581 -126.2496
17.944337 71.658 -127.1719
18.310548 71.723 -128.1226
18.676759 71.776 -129.0719
19.042970 71.822 -129.9983
19.409181 71.866 -130.9093
19.775392 71.911 -131.8285
20.141603 71.958 -132.7699
20.507814 72.006 -133.7264
20.874025 72.053 -134.6799
21.240236 72.100 -135.6177
21.606447 72.149 -136.5368
21.972658 72.199 -137.4354
22.338869 72.248 -138.3055
22.705080 72.298 -139.1367
23.071291 72.347 -139.9250
23.437502 72.397 -140.6765
23.803713 72.446 -141.3999
24.169924 72.493 -142.0980
24.536135 72.536 -142.7679
24.902346 72.576 -143.4089
25.268557 72.613 -144.0281
25.634768 72.647 -144.6368
26.000979 72.677 -145.2408
26.367190 72.702 -145.8365
26.733401 72.722 -146.4177
27.099612 72.741 -146.9862
27.465823 72.759 -147.5536
27.832033 72.777 -148.1328
28.198244 72.792 -148.7254
28.564455 72.804 -149.3192
28.930666 72.815 -149.8979
29.296877 72.826 -150.4547
29.663088 72.840 -150.9969
30.029299 72.858 -151.5393
30.395510 72.878 -152.0916
30.761721 72.898 -152.6517
31.127932 72.916 -153.2084
31.494143 72.931 -153.7498
31.860354 72.945 -154.2688
32.226565 72.958 -154.7637
32.592776 72.970 -155.2363
32.958987 72.982 -155.6892
33.325198 72.993 -156.1252
33.691409 73.004 -156.5484
34.057620 73.014 -156.9634
34.423831 73.023 -157.3749
34.790042 73.032 -157.7865
35.156253 73.038 -158.1995
35.522464 73.042 -158.6122
35.888675 73.044 -159.0208
36.254886 73.045 -159.4212
36.621097 73.045 -159.8124
36.987308 73.046 -160.1985
37.353519 73.048 -160.5860
37.719730 73.050 -160.9794
38.085941 73.051 -161.3769
38.452152 73.051 -161.7715
38.818363 73.051 -162.1566
39.184573 73.051 -162.5310
39.550784 73.052 -162.8990
39.916995 73.054 -163.2653
40.283206 73.056 -163.6298
40.649417 73.057 -163.9870
41.015628 73.058 -164.3314
41.381839 73.059 -164.6633
41.748050 73.061 -164.9899
42.114261 73.064 -165.3194
42.480472 73.065 -165.6539
42.846683 73.064 -165.9868
43.212894 73.061 -166.3078
43.579105 73.057 -166.6108
43.945316 73.054 -166.8992
44.311527 73.052 -167.1838
44.677738 73.052 -167.4756
45.043949 73.051 -167.7780
45.410160 73.048 -168.0856
45.776371 73.043 -168.3882
46.142582 73.037 -168.6779
46.508793 73.030 -168.9539
46.875004 73.026 -169.2218
47.241215 73.022 -169.4893
47.607426 73.018 -169.7607
47.973637 73.014 -170.0348
48.339848 73.010 -170.3069
48.706059 73.004 -170.5732
49.072270 72.999 -170.8334
49.438481 72.994 -171.0902
49.804692 72.990 -171.3470
50.170902 72.985 -171.6043
50.537113 72.979 -171.8595
50.903324 72.974 -172.1096
51.269535 72.968 -172.3535
51.635746 72.962 -172.5932
52.001957 72.957 -172.8319
52.368168 72.951 -173.0705
52.734379 72.945 -173.3067
53.100590 72.939 -173.5375
53.466801 72.932 -173.7617
53.833012 72.926 -173.9823
54.199223 72.920 -174.2047
54.565434 72.914 -174.4317
54.931645 72.907 -174.6604
55.297856 72.898 -174.8835
55.664067 72.888 -175.0947
56.030278 72.878 -175.2953
56.396489 72.871 -175.4955
56.762700 72.864 -175.7076
57.128911 72.855 -175.9360
57.495122 72.843 -176.1699
57.861333 72.827 -176.3872
58.227544 72.808 -176.5679
58.593755 72.793 -176.7091
58.959966 72.784 -176.8305
59.326177 72.782 -176.9647
59.692388 72.784 -177.1383
60.058599 72.785 -177.3559
60.424810 72.782 -177.5989
60.791021 72.774 -177.8387
61.157232 72.763 -178.0551
61.523442 72.753 -178.2467
61.889653 72.745 -178.4270
62.255864 72.739 -178.6119
62.622075 72.733 -178.8069
62.988286 72.725 -179.0053
63.354497 72.714 -179.1949
63.720708 72.703 -179.3680
64.086919 72.692 -179.5262
64.453130 72.683 -179.6779
64.819341 72.674 -179.8317
65.185552 72.666 -179.9912
65.551763 72.657 179.8452
65.917974 72.647 179.6820
66.284185 72.636 179.5222
66.650396 72.624 179.3666
67.016607 72.613 179.2142
67.382818 72.601 179.0637
67.749029 72.590 178.9138
68.115240 72.578 178.7635
68.481451 72.567 178.6124
68.847662 72.555 178.4604
69.213873 72.544 178.3083
69.580084 72.532 178.1573
69.946295 72.520 178.0087
70.312506 72.509 177.8627
70.678717 72.498 177.7187
71.044928 72.487 177.5756
71.411139 72.476 177.4330
71.777350 72.465 177.2913
72.143561 72.454 177.1515
72.509771 72.443 177.0143
72.875982 72.432 176.8796
73.242193 72.421 176.7465
73.608404 72.410 176.6144
73.974615 72.398 176.4830
74.340826 72.387 176.3528
74.707037 72.375 176.2246
75.073248 72.364 176.0982
75.439459 72.352 175.9730
75.805670 72.340 175.8481
76.171881 72.329 175.7230
76.538092 72.317 175.5977
76.904303 72.305 175.4728
77.270514 72.293 175.3490
77.636725 72.282 175.2263
78.002936 72.270 175.1047
78.369147 72.258 174.9840
78.735358 72.247 174.8644
79.101569 72.235 174.7461
79.467780 72.224 174.6292
79.833991 72.213 174.5138
80.200202 72.201 174.3997
80.566413 72.190 174.2870
80.932624 72.179 174.1758
81.298835 72.168 174.0664
81.665046 72.156 173.9589
82.031257 72.145 173.8533
82.397468 72.133 173.7494
82.763679 72.122 173.6467
83.129890 72.110 173.5445
83.496101 72.099 173.4423
83.862311 72.087 173.3399
84.228522 72.075 173.2383
84.594733 72.062 173.1389
84.960944 72.050 173.0435
85.327155 72.037 172.9524
85.693366 72.025 172.8642
86.059577 72.014 172.7758
86.425788 72.003 172.6844
86.791999 71.993 172.5884
87.158210 71.982 172.4890
87.524421 71.971 172.3887
87.890632 71.959 172.2900
88.256843 71.947 172.1939
88.623054 71.935 172.0994
88.989265 71.924 172.0051
89.355476 71.912 171.9101
89.721687 71.900 171.8151
90.087898 71.887 171.7222
90.454109 71.875 171.6328
90.820320 71.863 171.5471
91.186531 71.851 171.4636
91.552742 71.839 171.3802
91.918953 71.827 171.2960
92.285164 71.816 171.2113
92.651375 71.804 171.1280
93.017586 71.792 171.0476
93.383797 71.780 170.9708
93.750008 71.768 170.8964
94.116219 71.757 170.8225
94.482430 71.746 170.7474
94.848641 71.735 170.6703
95.214851 71.724 170.5916
95.581062 71.713 170.5121
95.947273 71.702 170.4333
96.313484 71.690 170.3560
96.679695 71.678 170.2808
97.045906 71.665 170.2081
97.412117 71.653 170.1379
97.778328 71.641 170.0696
98.144539 71.630 170.0025
98.510750 71.618 169.9355
98.876961 71.607 169.8677
99.243172 71.595 169.7987
99.609383 71.584 169.7284
99.975594 71.573 169.6572
100.341805 71.561 169.5859
100.708016 71.549 169.5154
101.074227 71.537 169.4464
101.440438 71.525 169.3795
101.806649 71.513 169.3148
102.172860 71.501 169.2520
102.539071 71.489 169.1905
102.905282 71.478 169.1293
103.271493 71.466 169.0679
103.637704 71.455 169.0056
104.003915 71.444 168.9429
104.370126 71.433 168.8804
104.736337 71.422 168.8186
105.102548 71.410 168.7578
105.468759 71.399 168.6978
105.834970 71.388 168.6379
106.201180 71.377 168.5777
106.567391 71.366 168.5171
106.933602 71.354 168.4567
107.299813 71.343 168.3971
107.666024 71.331 168.3389
108.032235 71.319 168.2823
108.398446 71.308 168.2270
108.764657 71.296 168.1723
109.130868 71.285 168.1180
109.497079 71.274 168.0642
109.863290 71.262 168.0109
110.229501 71.251 167.9586
110.595712 71.239 167.9077
110.961923 71.228 167.8578
111.328134 71.217 167.8091
111.694345 71.205 167.7610
112.060556 71.194 167.7136
112.426767 71.183 167.6668
112.792978 71.171 167.6209
113.159189 71.160 167.5760
113.525400 71.149 167.5319
113.891611 71.137 167.4883
114.257822 71.126 167.4449
114.624033 71.115 167.4015
114.990244 71.104 167.3579
115.356455 71.092 167.3145
115.722666 71.081 167.2711
116.088877 71.070 167.2279
116.455088 71.058 167.1852
116.821299 71.047 167.1432
117.187510 71.036 167.1023
117.553720 71.024 167.0629
117.919931 71.013 167.0248
118.286142 71.002 166.9875
118.652353 70.992 166.9501
119.018564 70.981 166.9119
119.384775 70.971 166.8721
119.750986 70.961 166.8307
120.117197 70.951 166.7879
120.483408 70.941 166.7440
120.849619 70.931 166.6996
121.215830 70.920 166.6555
121.582041 70.909 166.6122
121.948252 70.898 166.5704
122.314463 70.887 166.5301
122.680674 70.876 166.4915
123.046885 70.865 166.4542
123.413096 70.854 166.4178
123.779307 70.844 166.3821
124.145518 70.833 166.3469
124.511729 70.823 166.3122
124.877940 70.813 166.2781
125.244151 70.803 166.2447
125.610362 70.794 166.2118
125.976573 70.784 166.1794
126.342784 70.775 166.1472
126.708995 70.766 166.1151
127.075206 70.757 166.0831
127.441417 70.748 166.0513
127.807628 70.739 166.0197
128.173839 70.730 165.9889
128.540049 70.721 165.9589
128.906260 70.712 165.9296
129.272471 70.703 165.9008
129.638682 70.694 165.8716
130.004893 70.686 165.8417
130.371104 70.677 165.8110
130.737315 70.668 165.7800
131.103526 70.659 165.7495
131.469737 70.650 165.7202
131.835948 70.641 165.6924
132.202159 70.632 165.6657
132.568370 70.623 165.6397
132.934581 70.614 165.6138
133.300792 70.606 165.5878
133.667003 70.597 165.5616
134.033214 70.588 165.5353
134.399425 70.579 165.5093
134.765636 70.570 165.4839
135.131847 70.561 165.4591
135.498058 70.552 165.4353
135.864269 70.543 165.4125
136.230480 70.534 165.3906
136.596691 70.525 165.3692
136.962902 70.516 165.3481
137.329113 70.507 165.3270
137.695324 70.498 165.3061
138.061535 70.489 165.2856
138.427746 70.480 165.2657
138.793957 70.472 165.2462
139.160168 70.463 165.2267
139.526379 70.454 165.2069
139.892589 70.446 165.1865
140.258800 70.437 165.1655
140.625011 70.429 165.1443
140.991222 70.420 165.1230
141.357433 70.412 165.1021
141.723644 70.403 165.0817
142.089855 70.394 165.0617
142.456066 70.386 165.0424
142.822277 70.377 165.0239
143.188488 70.369 165.0059
143.554699 70.360 164.9886
143.920910 70.352 164.9718
144.287121 70.343 164.9554
144.653332 70.335 164.9396
145.019543 70.327 164.9242
145.385754 70.318 164.9093
145.751965 70.310 164.8946
146.118176 70.302 164.8799
146.484387 70.294 164.8651
146.850598 70.286 164.8500
147.216809 70.277 164.8348
147.583020 70.269 164.8196
147.949231 70.261 164.8047
148.315442 70.253 164.7903
