* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 3:17:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin HiFI P1 Deep Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.601 158.6042
0.732422 74.726 137.3382
1.098633 71.143 116.4522
1.464844 64.376 97.0741
1.831055 41.386 168.0710
2.197266 60.735 -133.5001
2.563477 63.321 -152.0065
2.929688 61.830 -170.9837
3.295899 55.897 173.5141
3.662110 42.927 -75.2161
4.028321 56.353 -59.8031
4.394532 59.064 -73.9040
4.760743 58.214 -85.7501
5.126954 54.437 -84.8882
5.493164 51.411 -44.9974
5.859375 55.278 -19.6698
6.225586 57.639 -22.2035
6.591797 57.852 -29.7504
6.958008 56.532 -34.4123
7.324219 54.555 -31.0504
7.690430 53.505 -21.3657
8.056641 53.685 -17.4189
8.422852 53.800 -22.8857
8.789063 53.356 -33.6109
9.155274 52.639 -45.3739
9.521485 52.250 -55.0780
9.887696 52.680 -62.0024
10.253907 53.768 -67.7556
10.620118 55.046 -73.3261
10.986329 56.161 -78.1815
11.352540 57.020 -81.5543
11.718751 57.687 -83.2979
12.084962 58.231 -83.8731
12.451173 58.658 -83.7699
12.817384 59.006 -83.0738
13.183595 59.280 -81.6853
13.549806 59.557 -79.8634
13.916017 59.872 -78.3331
14.282228 60.164 -77.7077
14.648439 60.339 -77.9687
15.014650 60.359 -78.6021
15.380861 60.277 -79.1172
15.747072 60.184 -79.4575
16.113283 60.145 -79.9777
16.479493 60.158 -81.0108
16.845704 60.187 -82.5250
17.211915 60.234 -84.2428
17.578126 60.337 -86.0038
17.944337 60.522 -87.9255
18.310548 60.758 -90.1717
18.676759 60.983 -92.6206
19.042970 61.159 -94.8328
19.409181 61.307 -96.3612
19.775392 61.489 -97.1363
20.141603 61.745 -97.5581
20.507814 62.033 -98.1100
20.874025 62.269 -98.8623
21.240236 62.403 -99.3907
21.606447 62.472 -99.1566
21.972658 62.586 -98.0649
22.338869 62.841 -96.7540
22.705080 63.217 -96.1898
23.071291 63.594 -96.8889
23.437502 63.847 -98.6215
23.803713 63.924 -100.6982
24.169924 63.856 -102.4076
24.536135 63.737 -103.3784
24.902346 63.666 -103.7660
25.268557 63.689 -104.1013
25.634768 63.771 -104.8403
26.000979 63.845 -106.0184
26.367190 63.872 -107.2943
26.733401 63.871 -108.2615
27.099612 63.899 -108.7741
27.465823 64.007 -109.0698
27.832033 64.191 -109.5738
28.198244 64.396 -110.5410
28.564455 64.554 -111.8697
28.930666 64.634 -113.2043
29.296877 64.653 -114.1850
29.663088 64.654 -114.6613
30.029299 64.682 -114.7501
30.395510 64.750 -114.7041
30.761721 64.847 -114.7170
31.127932 64.955 -114.8478
31.494143 65.065 -115.0959
31.860354 65.174 -115.4935
32.226565 65.271 -116.0906
32.592776 65.334 -116.8503
32.958987 65.351 -117.5894
33.325198 65.336 -118.0652
33.691409 65.334 -118.1751
34.057620 65.393 -118.1049
34.423831 65.517 -118.2406
34.790042 65.660 -118.8647
35.156253 65.757 -119.9095
35.522464 65.770 -120.9849
35.888675 65.722 -121.6377
36.254886 65.680 -121.6731
36.621097 65.711 -121.3239
36.987308 65.829 -121.0900
37.353519 65.984 -121.3411
37.719730 66.105 -122.0532
38.085941 66.156 -122.8861
38.452152 66.154 -123.4692
38.818363 66.151 -123.6736
39.184573 66.191 -123.6904
39.550784 66.279 -123.8574
39.916995 66.377 -124.3800
40.283206 66.444 -125.1961
40.649417 66.463 -126.0650
41.015628 66.449 -126.7659
41.381839 66.435 -127.2475
41.748050 66.444 -127.6299
42.114261 66.473 -128.0726
42.480472 66.502 -128.6321
42.846683 66.515 -129.2267
43.212894 66.512 -129.7198
43.579105 66.511 -130.0372
43.945316 66.530 -130.2224
44.311527 66.575 -130.3940
44.677738 66.635 -130.6513
45.043949 66.694 -131.0088
45.410160 66.741 -131.4064
45.776371 66.776 -131.7692
46.142582 66.808 -132.0630
46.508793 66.842 -132.3066
46.875004 66.882 -132.5458
47.241215 66.923 -132.8159
47.607426 66.962 -133.1237
47.973637 66.995 -133.4550
48.339848 67.022 -133.7936
48.706059 67.047 -134.1342
49.072270 67.068 -134.4820
49.438481 67.087 -134.8415
49.804692 67.101 -135.2054
50.170902 67.111 -135.5538
50.537113 67.119 -135.8642
50.903324 67.130 -136.1304
51.269535 67.149 -136.3728
51.635746 67.176 -136.6302
52.001957 67.206 -136.9314
52.368168 67.231 -137.2679
52.734379 67.247 -137.5909
53.100590 67.257 -137.8430
53.466801 67.272 -138.0049
53.833012 67.300 -138.1213
54.199223 67.342 -138.2766
54.565434 67.388 -138.5343
54.931645 67.423 -138.8867
55.297856 67.439 -139.2568
55.664067 67.440 -139.5548
56.030278 67.439 -139.7458
56.396489 67.446 -139.8748
56.762700 67.464 -140.0255
57.128911 67.482 -140.2469
57.495122 67.489 -140.5076
57.861333 67.484 -140.7214
58.227544 67.478 -140.8224
58.593755 67.488 -140.8306
58.959966 67.523 -140.8519
59.326177 67.576 -141.0076
59.692388 67.629 -141.3481
60.058599 67.664 -141.8199
60.424810 67.676 -142.3057
60.791021 67.671 -142.7034
61.157232 67.666 -142.9855
61.523442 67.670 -143.1998
61.889653 67.685 -143.4182
62.255864 67.704 -143.6772
62.622075 67.718 -143.9587
62.988286 67.727 -144.2173
63.354497 67.735 -144.4258
63.720708 67.750 -144.5983
64.086919 67.771 -144.7752
64.453130 67.797 -144.9886
64.819341 67.820 -145.2383
65.185552 67.838 -145.4978
65.551763 67.852 -145.7406
65.917974 67.865 -145.9609
66.284185 67.880 -146.1727
66.650396 67.896 -146.3916
67.016607 67.909 -146.6188
67.382818 67.919 -146.8414
67.749029 67.928 -147.0474
68.115240 67.937 -147.2390
68.481451 67.948 -147.4307
68.847662 67.957 -147.6329
69.213873 67.963 -147.8381
69.580084 67.966 -148.0236
69.946295 67.968 -148.1709
70.312506 67.974 -148.2863
70.678717 67.988 -148.4039
71.044928 68.006 -148.5635
71.411139 68.021 -148.7787
71.777350 68.027 -149.0186
72.143561 68.023 -149.2213
72.509771 68.014 -149.3351
72.875982 68.014 -149.3608
73.242193 68.032 -149.3635
73.608404 68.064 -149.4370
73.974615 68.098 -149.6404
74.340826 68.119 -149.9498
74.707037 68.117 -150.2631
75.073248 68.098 -150.4606
75.439459 68.081 -150.4865
75.805670 68.086 -150.3972
76.171881 68.120 -150.3362
76.538092 68.174 -150.4459
76.904303 68.222 -150.7759
77.270514 68.244 -151.2517
77.636725 68.233 -151.7211
78.002936 68.198 -152.0458
78.369147 68.160 -152.1770
78.735358 68.138 -152.1722
79.101569 68.138 -152.1452
79.467780 68.153 -152.1901
79.833991 68.170 -152.3321
80.200202 68.179 -152.5328
80.566413 68.180 -152.7330
80.932624 68.176 -152.8955
81.298835 68.174 -153.0212
81.665046 68.176 -153.1353
82.031257 68.181 -153.2626
82.397468 68.187 -153.4122
82.763679 68.189 -153.5766
83.129890 68.188 -153.7401
83.496101 68.183 -153.8857
83.862311 68.177 -154.0009
84.228522 68.172 -154.0811
84.594733 68.172 -154.1362
84.960944 68.178 -154.1913
85.327155 68.191 -154.2790
85.693366 68.206 -154.4228
86.059577 68.217 -154.6226
86.425788 68.221 -154.8525
86.791999 68.216 -155.0757
87.158210 68.206 -155.2652
87.524421 68.196 -155.4175
87.890632 68.189 -155.5480
88.256843 68.184 -155.6754
88.623054 68.181 -155.8056
88.989265 68.177 -155.9297
89.355476 68.173 -156.0347
89.721687 68.172 -156.1181
90.087898 68.177 -156.1934
90.454109 68.187 -156.2817
90.820320 68.199 -156.3977
91.186531 68.209 -156.5389
91.552742 68.217 -156.6890
91.918953 68.221 -156.8287
92.285164 68.225 -156.9485
92.651375 68.229 -157.0529
93.017586 68.235 -157.1547
93.383797 68.243 -157.2654
93.750008 68.249 -157.3881
94.116219 68.253 -157.5176
94.482430 68.255 -157.6454
94.848641 68.254 -157.7653
95.214851 68.252 -157.8759
95.581062 68.251 -157.9796
95.947273 68.249 -158.0791
96.313484 68.247 -158.1762
96.679695 68.246 -158.2720
97.045906 68.245 -158.3683
97.412117 68.245 -158.4680
97.778328 68.246 -158.5737
98.144539 68.246 -158.6855
98.510750 68.247 -158.8008
98.876961 68.246 -158.9147
99.243172 68.246 -159.0236
99.609383 68.246 -159.1276
99.975594 68.248 -159.2298
100.341805 68.251 -159.3350
100.708016 68.254 -159.4455
101.074227 68.256 -159.5598
101.440438 68.258 -159.6735
101.806649 68.258 -159.7813
102.172860 68.258 -159.8801
102.539071 68.259 -159.9694
102.905282 68.259 -160.0509
103.271493 68.261 -160.1272
103.637704 68.264 -160.2014
104.003915 68.268 -160.2774
104.370126 68.272 -160.3593
104.736337 68.277 -160.4504
105.102548 68.281 -160.5513
105.468759 68.284 -160.6584
105.834970 68.285 -160.7652
106.201180 68.284 -160.8650
106.567391 68.283 -160.9549
106.933602 68.283 -161.0374
107.299813 68.284 -161.1191
107.666024 68.285 -161.2066
108.032235 68.286 -161.3026
108.398446 68.286 -161.4042
108.764657 68.285 -161.5039
109.130868 68.281 -161.5945
109.497079 68.278 -161.6724
109.863290 68.275 -161.7398
110.229501 68.274 -161.8033
110.595712 68.273 -161.8696
110.961923 68.273 -161.9419
111.328134 68.273 -162.0179
111.694345 68.271 -162.0921
112.060556 68.269 -162.1594
112.426767 68.267 -162.2192
112.792978 68.268 -162.2770
113.159189 68.269 -162.3414
113.525400 68.272 -162.4199
113.891611 68.274 -162.5140
114.257822 68.274 -162.6177
114.624033 68.271 -162.7205
114.990244 68.266 -162.8123
115.356455 68.261 -162.8882
115.722666 68.257 -162.9510
116.088877 68.255 -163.0086
116.455088 68.255 -163.0695
116.821299 68.255 -163.1381
117.187510 68.255 -163.2131
117.553720 68.254 -163.2891
117.919931 68.253 -163.3610
118.286142 68.252 -163.4272
118.652353 68.251 -163.4909
119.018564 68.252 -163.5576
119.384775 68.254 -163.6317
119.750986 68.254 -163.7136
120.117197 68.254 -163.7999
120.483408 68.253 -163.8854
120.849619 68.250 -163.9665
121.215830 68.248 -164.0425
121.582041 68.245 -164.1148
121.948252 68.242 -164.1848
122.314463 68.239 -164.2521
122.680674 68.236 -164.3146
123.046885 68.234 -164.3710
123.413096 68.232 -164.4232
123.779307 68.233 -164.4761
124.145518 68.234 -164.5361
124.511729 68.236 -164.6071
124.877940 68.238 -164.6876
125.244151 68.238 -164.7711
125.610362 68.237 -164.8495
125.976573 68.235 -164.9171
126.342784 68.234 -164.9741
126.708995 68.236 -165.0262
127.075206 68.238 -165.0809
127.441417 68.242 -165.1442
127.807628 68.246 -165.2168
128.173839 68.248 -165.2950
128.540049 68.249 -165.3725
128.906260 68.248 -165.4433
129.272471 68.247 -165.5043
129.638682 68.246 -165.5556
130.004893 68.246 -165.5998
130.371104 68.246 -165.6402
130.737315 68.247 -165.6799
131.103526 68.248 -165.7201
131.469737 68.249 -165.7612
131.835948 68.249 -165.8025
132.202159 68.250 -165.8435
132.568370 68.249 -165.8840
132.934581 68.249 -165.9248
133.300792 68.248 -165.9665
133.667003 68.247 -166.0093
134.033214 68.245 -166.0530
134.399425 68.243 -166.0969
134.765636 68.240 -166.1404
135.131847 68.237 -166.1838
135.498058 68.235 -166.2277
135.864269 68.232 -166.2730
136.230480 68.229 -166.3195
136.596691 68.226 -166.3664
136.962902 68.223 -166.4127
137.329113 68.221 -166.4578
137.695324 68.219 -166.5029
138.061535 68.218 -166.5499
138.427746 68.219 -166.6013
138.793957 68.219 -166.6582
139.160168 68.220 -166.7203
139.526379 68.221 -166.7854
139.892589 68.221 -166.8503
140.258800 68.221 -166.9128
140.625011 68.221 -166.9717
140.991222 68.221 -167.0278
141.357433 68.222 -167.0826
141.723644 68.223 -167.1376
142.089855 68.224 -167.1935
142.456066 68.225 -167.2491
142.822277 68.225 -167.3027
