* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 2, 2023 6:28:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T2 Plus Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.474 159.7207
0.732422 61.656 139.1395
1.098633 58.268 117.3709
1.464844 52.419 90.1969
1.831055 43.431 24.3268
2.197266 46.548 -56.9348
2.563477 48.943 -70.8087
2.929688 50.214 -59.6285
3.295899 53.347 -45.6610
3.662110 56.704 -43.6285
4.028321 59.063 -47.9832
4.394532 60.485 -53.5191
4.760743 61.298 -57.7095
5.126954 61.882 -59.8260
5.493164 62.533 -60.7750
5.859375 63.311 -62.1720
6.225586 64.084 -64.8310
6.591797 64.722 -68.4236
6.958008 65.202 -72.1710
7.324219 65.586 -75.4974
7.690430 65.960 -78.3096
8.056641 66.375 -80.8958
8.422852 66.820 -83.5697
8.789063 67.253 -86.3985
9.155274 67.647 -89.2202
9.521485 68.000 -91.8328
9.887696 68.330 -94.1477
10.253907 68.652 -96.2115
10.620118 68.968 -98.1222
10.986329 69.269 -99.9423
11.352540 69.547 -101.6785
11.718751 69.802 -103.3187
12.084962 70.033 -104.8674
12.451173 70.245 -106.3467
12.817384 70.436 -107.7751
13.183595 70.607 -109.1567
13.549806 70.763 -110.4924
13.916017 70.906 -111.7958
14.282228 71.041 -113.0924
14.648439 71.168 -114.4014
15.014650 71.284 -115.7200
15.380861 71.391 -117.0281
15.747072 71.491 -118.3062
16.113283 71.591 -119.5515
16.479493 71.690 -120.7742
16.845704 71.790 -121.9826
17.211915 71.887 -123.1712
17.578126 71.982 -124.3242
17.944337 72.074 -125.4289
18.310548 72.165 -126.4834
18.676759 72.255 -127.4946
19.042970 72.342 -128.4678
19.409181 72.424 -129.4025
19.775392 72.501 -130.2937
20.141603 72.574 -131.1410
20.507814 72.642 -131.9503
20.874025 72.706 -132.7318
21.240236 72.766 -133.4948
21.606447 72.821 -134.2446
21.972658 72.871 -134.9844
22.338869 72.917 -135.7161
22.705080 72.959 -136.4408
23.071291 72.996 -137.1574
23.437502 73.031 -137.8635
23.803713 73.065 -138.5578
24.169924 73.098 -139.2426
24.536135 73.132 -139.9223
24.902346 73.166 -140.5997
25.268557 73.199 -141.2732
25.634768 73.232 -141.9375
26.000979 73.265 -142.5875
26.367190 73.297 -143.2211
26.733401 73.330 -143.8386
27.099612 73.362 -144.4409
27.465823 73.393 -145.0267
27.832033 73.422 -145.5932
28.198244 73.449 -146.1380
28.564455 73.475 -146.6606
28.930666 73.500 -147.1631
29.296877 73.524 -147.6488
29.663088 73.546 -148.1219
30.029299 73.568 -148.5873
30.395510 73.589 -149.0498
30.761721 73.608 -149.5115
31.127932 73.625 -149.9716
31.494143 73.640 -150.4265
31.860354 73.653 -150.8737
32.226565 73.667 -151.3146
32.592776 73.680 -151.7546
32.958987 73.694 -152.1988
33.325198 73.706 -152.6476
33.691409 73.717 -153.0943
34.057620 73.725 -153.5284
34.423831 73.734 -153.9417
34.790042 73.743 -154.3342
35.156253 73.755 -154.7140
35.522464 73.768 -155.0929
35.888675 73.783 -155.4785
36.254886 73.797 -155.8703
36.621097 73.808 -156.2599
36.987308 73.817 -156.6371
37.353519 73.824 -156.9967
37.719730 73.832 -157.3409
38.085941 73.840 -157.6772
38.452152 73.848 -158.0120
38.818363 73.855 -158.3460
39.184573 73.860 -158.6753
39.550784 73.865 -158.9955
39.916995 73.870 -159.3071
40.283206 73.875 -159.6156
40.649417 73.881 -159.9278
41.015628 73.886 -160.2461
41.381839 73.890 -160.5666
41.748050 73.892 -160.8819
42.114261 73.894 -161.1865
42.480472 73.895 -161.4807
42.846683 73.897 -161.7685
43.212894 73.900 -162.0548
43.579105 73.904 -162.3409
43.945316 73.907 -162.6254
44.311527 73.909 -162.9064
44.677738 73.912 -163.1837
45.043949 73.914 -163.4589
45.410160 73.917 -163.7328
45.776371 73.918 -164.0045
46.142582 73.919 -164.2716
46.508793 73.920 -164.5326
46.875004 73.921 -164.7887
47.241215 73.922 -165.0426
47.607426 73.923 -165.2967
47.973637 73.923 -165.5511
48.339848 73.923 -165.8030
48.706059 73.922 -166.0494
49.072270 73.921 -166.2888
49.438481 73.921 -166.5224
49.804692 73.921 -166.7531
50.170902 73.921 -166.9834
50.537113 73.921 -167.2147
50.903324 73.921 -167.4459
51.269535 73.920 -167.6749
51.635746 73.919 -167.8997
52.001957 73.917 -168.1198
52.368168 73.916 -168.3363
52.734379 73.915 -168.5512
53.100590 73.914 -168.7661
53.466801 73.912 -168.9814
53.833012 73.910 -169.1956
54.199223 73.908 -169.4073
54.565434 73.905 -169.6167
54.931645 73.903 -169.8252
55.297856 73.900 -170.0347
55.664067 73.897 -170.2447
56.030278 73.894 -170.4521
56.396489 73.889 -170.6526
56.762700 73.885 -170.8445
57.128911 73.883 -171.0311
57.495122 73.881 -171.2192
57.861333 73.881 -171.4151
58.227544 73.879 -171.6187
58.593755 73.876 -171.8235
58.959966 73.870 -172.0196
59.326177 73.865 -172.2002
59.692388 73.860 -172.3666
60.058599 73.857 -172.5265
60.424810 73.855 -172.6893
60.791021 73.854 -172.8600
61.157232 73.852 -173.0367
61.523442 73.848 -173.2136
61.889653 73.844 -173.3853
62.255864 73.840 -173.5505
62.622075 73.835 -173.7117
62.988286 73.831 -173.8724
63.354497 73.828 -174.0347
63.720708 73.824 -174.1989
64.086919 73.819 -174.3638
64.453130 73.815 -174.5289
64.819341 73.810 -174.6935
65.185552 73.804 -174.8564
65.551763 73.798 -175.0159
65.917974 73.793 -175.1708
66.284185 73.787 -175.3213
66.650396 73.783 -175.4702
67.016607 73.779 -175.6210
67.382818 73.776 -175.7762
67.749029 73.771 -175.9355
68.115240 73.766 -176.0954
68.481451 73.761 -176.2516
68.847662 73.754 -176.4009
69.213873 73.748 -176.5430
69.580084 73.742 -176.6805
69.946295 73.738 -176.8174
70.312506 73.733 -176.9570
70.678717 73.729 -177.1005
71.044928 73.724 -177.2466
71.411139 73.718 -177.3929
71.777350 73.712 -177.5364
72.143561 73.705 -177.6757
72.509771 73.699 -177.8108
72.875982 73.693 -177.9429
73.242193 73.687 -178.0736
73.608404 73.681 -178.2045
73.974615 73.676 -178.3365
74.340826 73.671 -178.4702
74.707037 73.665 -178.6049
75.073248 73.659 -178.7390
75.439459 73.653 -178.8707
75.805670 73.647 -178.9986
76.171881 73.642 -179.1235
76.538092 73.636 -179.2478
76.904303 73.631 -179.3741
77.270514 73.626 -179.5029
77.636725 73.620 -179.6324
78.002936 73.614 -179.7592
78.369147 73.608 -179.8817
78.735358 73.601 179.9985
79.101569 73.596 179.8783
79.467780 73.589 179.7555
79.833991 73.582 179.6324
80.200202 73.574 179.5149
80.566413 73.566 179.4084
80.932624 73.558 179.3128
81.298835 73.553 179.2209
81.665046 73.550 179.1216
82.031257 73.548 179.0067
82.397468 73.544 178.8762
82.763679 73.538 178.7386
83.129890 73.529 178.6060
83.496101 73.520 178.4869
83.862311 73.510 178.3818
84.228522 73.502 178.2847
84.594733 73.495 178.1871
84.960944 73.488 178.0842
85.327155 73.482 177.9758
85.693366 73.475 177.8655
86.059577 73.467 177.7575
86.425788 73.460 177.6533
86.791999 73.453 177.5519
87.158210 73.446 177.4510
87.524421 73.439 177.3486
87.890632 73.433 177.2444
88.256843 73.426 177.1388
88.623054 73.420 177.0328
88.989265 73.413 176.9276
89.355476 73.406 176.8236
89.721687 73.398 176.7211
90.087898 73.391 176.6200
90.454109 73.384 176.5199
90.820320 73.377 176.4207
91.186531 73.370 176.3229
91.552742 73.362 176.2268
91.918953 73.355 176.1328
92.285164 73.347 176.0407
92.651375 73.340 175.9494
93.017586 73.333 175.8580
93.383797 73.326 175.7664
93.750008 73.318 175.6754
94.116219 73.311 175.5858
94.482430 73.303 175.4983
94.848641 73.296 175.4118
95.214851 73.289 175.3246
95.581062 73.283 175.2355
95.947273 73.276 175.1442
96.313484 73.269 175.0521
96.679695 73.261 174.9608
97.045906 73.253 174.8714
97.412117 73.246 174.7837
97.778328 73.238 174.6965
98.144539 73.231 174.6090
98.510750 73.223 174.5212
98.876961 73.215 174.4342
99.243172 73.207 174.3491
99.609383 73.199 174.2665
99.975594 73.192 174.1859
100.341805 73.184 174.1058
100.708016 73.177 174.0251
101.074227 73.170 173.9433
101.440438 73.162 173.8607
101.806649 73.155 173.7781
102.172860 73.147 173.6965
102.539071 73.139 173.6164
102.905282 73.131 173.5375
103.271493 73.123 173.4592
103.637704 73.116 173.3809
104.003915 73.108 173.3022
104.370126 73.100 173.2233
104.736337 73.093 173.1447
105.102548 73.085 173.0671
105.468759 73.076 172.9911
105.834970 73.068 172.9168
106.201180 73.061 172.8435
106.567391 73.053 172.7706
106.933602 73.045 172.6974
107.299813 73.038 172.6238
107.666024 73.030 172.5500
108.032235 73.022 172.4767
108.398446 73.014 172.4044
108.764657 73.006 172.3333
109.130868 72.998 172.2636
109.497079 72.990 172.1951
109.863290 72.983 172.1270
110.229501 72.975 172.0589
110.595712 72.967 171.9901
110.961923 72.960 171.9203
111.328134 72.952 171.8497
111.694345 72.944 171.7788
112.060556 72.937 171.7079
112.426767 72.929 171.6375
112.792978 72.920 171.5678
113.159189 72.912 171.4989
113.525400 72.904 171.4310
113.891611 72.896 171.3642
114.257822 72.888 171.2984
114.624033 72.880 171.2332
114.990244 72.873 171.1683
115.356455 72.865 171.1037
115.722666 72.857 171.0398
116.088877 72.849 170.9771
116.455088 72.842 170.9157
116.821299 72.834 170.8553
117.187510 72.827 170.7948
117.553720 72.820 170.7330
117.919931 72.813 170.6694
118.286142 72.805 170.6041
118.652353 72.798 170.5383
119.018564 72.790 170.4731
119.384775 72.781 170.4097
119.750986 72.772 170.3486
120.117197 72.764 170.2895
120.483408 72.755 170.2322
120.849619 72.746 170.1761
121.215830 72.738 170.1208
121.582041 72.730 170.0658
121.948252 72.722 170.0104
122.314463 72.714 169.9542
122.680674 72.706 169.8968
123.046885 72.699 169.8382
123.413096 72.691 169.7791
123.779307 72.683 169.7199
124.145518 72.675 169.6610
124.511729 72.667 169.6027
124.877940 72.658 169.5446
125.244151 72.650 169.4869
125.610362 72.642 169.4297
125.976573 72.634 169.3732
126.342784 72.625 169.3180
126.708995 72.617 169.2643
127.075206 72.608 169.2120
127.441417 72.600 169.1608
127.807628 72.592 169.1104
128.173839 72.584 169.0605
128.540049 72.576 169.0110
128.906260 72.568 168.9614
129.272471 72.560 168.9117
129.638682 72.552 168.8618
130.004893 72.544 168.8115
130.371104 72.536 168.7611
130.737315 72.527 168.7108
131.103526 72.519 168.6609
131.469737 72.511 168.6115
131.835948 72.503 168.5624
132.202159 72.494 168.5137
132.568370 72.486 168.4653
132.934581 72.478 168.4172
133.300792 72.470 168.3694
133.667003 72.462 168.3220
134.033214 72.454 168.2745
134.399425 72.446 168.2269
134.765636 72.438 168.1790
135.131847 72.430 168.1310
135.498058 72.422 168.0833
135.864269 72.414 168.0358
136.230480 72.407 167.9888
136.596691 72.399 167.9419
136.962902 72.391 167.8950
137.329113 72.383 167.8480
137.695324 72.375 167.8008
138.061535 72.367 167.7539
138.427746 72.359 167.7075
138.793957 72.351 167.6619
139.160168 72.342 167.6172
139.526379 72.334 167.5732
139.892589 72.326 167.5298
140.258800 72.317 167.4869
140.625011 72.309 167.4445
140.991222 72.301 167.4028
141.357433 72.292 167.3618
141.723644 72.284 167.3215
142.089855 72.276 167.2816
142.456066 72.268 167.2419
142.822277 72.260 167.2021
143.188488 72.252 167.1622
143.554699 72.245 167.1219
143.920910 72.237 167.0813
144.287121 72.229 167.0406
144.653332 72.221 167.0001
145.019543 72.213 166.9600
145.385754 72.205 166.9205
145.751965 72.197 166.8819
146.118176 72.189 166.8441
146.484387 72.181 166.8069
146.850598 72.173 166.7698
147.216809 72.165 166.7327
147.583020 72.157 166.6952
147.949231 72.149 166.6575
