* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 2, 2023 6:29:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T2 Plus Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.257 -22.6386
0.732422 66.350 -45.0013
1.098633 62.636 -66.3850
1.464844 55.201 -82.6439
1.831055 45.269 21.4726
2.197266 56.317 28.7956
2.563477 59.251 9.4852
2.929688 59.670 -10.8968
3.295899 58.651 -28.6492
3.662110 56.860 -39.0911
4.028321 55.761 -37.9712
4.394532 56.962 -34.5410
4.760743 59.205 -39.8589
5.126954 61.068 -50.4702
5.493164 62.269 -61.3283
5.859375 62.942 -69.5033
6.225586 63.412 -73.8110
6.591797 64.037 -75.1663
6.958008 64.923 -76.0211
7.324219 65.864 -78.0158
7.690430 66.634 -80.9807
8.056641 67.166 -83.9419
8.422852 67.534 -86.1621
8.789063 67.857 -87.5928
9.155274 68.208 -88.7504
9.521485 68.570 -90.1645
9.887696 68.890 -91.9595
10.253907 69.141 -93.9211
10.620118 69.338 -95.8090
10.986329 69.518 -97.5662
11.352540 69.702 -99.2954
11.718751 69.890 -101.0974
12.084962 70.071 -102.9638
12.451173 70.245 -104.8146
12.817384 70.419 -106.5975
13.183595 70.599 -108.3286
13.549806 70.782 -110.0422
13.916017 70.958 -111.7236
14.282228 71.121 -113.3058
14.648439 71.275 -114.7306
15.014650 71.430 -116.0057
15.380861 71.588 -117.1971
15.747072 71.742 -118.3677
16.113283 71.881 -119.5253
16.479493 72.001 -120.6305
16.845704 72.105 -121.6454
17.211915 72.200 -122.5748
17.578126 72.291 -123.4619
17.944337 72.378 -124.3523
18.310548 72.457 -125.2639
18.676759 72.526 -126.1884
19.042970 72.587 -127.1120
19.409181 72.643 -128.0306
19.775392 72.696 -128.9476
20.141603 72.748 -129.8628
20.507814 72.798 -130.7713
20.874025 72.850 -131.6697
21.240236 72.903 -132.5607
21.606447 72.958 -133.4481
21.972658 73.012 -134.3260
22.338869 73.065 -135.1783
22.705080 73.116 -135.9884
23.071291 73.167 -136.7526
23.437502 73.220 -137.4809
23.803713 73.273 -138.1858
24.169924 73.323 -138.8705
24.536135 73.369 -139.5278
24.902346 73.412 -140.1513
25.268557 73.452 -140.7450
25.634768 73.491 -141.3226
26.000979 73.526 -141.8969
26.367190 73.558 -142.4709
26.733401 73.584 -143.0385
27.099612 73.606 -143.5923
27.465823 73.627 -144.1318
27.832033 73.647 -144.6633
28.198244 73.667 -145.1952
28.564455 73.687 -145.7326
28.930666 73.707 -146.2766
29.296877 73.726 -146.8251
29.663088 73.744 -147.3738
30.029299 73.762 -147.9160
30.395510 73.779 -148.4440
30.761721 73.796 -148.9533
31.127932 73.815 -149.4449
31.494143 73.835 -149.9247
31.860354 73.856 -150.3986
32.226565 73.877 -150.8672
32.592776 73.896 -151.3263
32.958987 73.913 -151.7701
33.325198 73.930 -152.1966
33.691409 73.945 -152.6081
34.057620 73.960 -153.0095
34.423831 73.974 -153.4046
34.790042 73.987 -153.7955
35.156253 73.998 -154.1828
35.522464 74.007 -154.5665
35.888675 74.015 -154.9459
36.254886 74.022 -155.3195
36.621097 74.028 -155.6864
36.987308 74.034 -156.0475
37.353519 74.040 -156.4060
37.719730 74.046 -156.7649
38.085941 74.053 -157.1245
38.452152 74.059 -157.4825
38.818363 74.065 -157.8357
39.184573 74.071 -158.1830
39.550784 74.077 -158.5265
39.916995 74.084 -158.8682
40.283206 74.091 -159.2088
40.649417 74.097 -159.5461
41.015628 74.103 -159.8775
41.381839 74.107 -160.2018
41.748050 74.112 -160.5186
42.114261 74.115 -160.8273
42.480472 74.118 -161.1265
42.846683 74.121 -161.4149
43.212894 74.124 -161.6941
43.579105 74.128 -161.9687
43.945316 74.132 -162.2444
44.311527 74.136 -162.5242
44.677738 74.140 -162.8067
45.043949 74.142 -163.0879
45.410160 74.143 -163.3638
45.776371 74.144 -163.6334
46.142582 74.145 -163.8979
46.508793 74.147 -164.1594
46.875004 74.148 -164.4191
47.241215 74.149 -164.6774
47.607426 74.150 -164.9341
47.973637 74.151 -165.1894
48.339848 74.152 -165.4434
48.706059 74.152 -165.6952
49.072270 74.151 -165.9434
49.438481 74.151 -166.1867
49.804692 74.150 -166.4248
50.170902 74.149 -166.6591
50.537113 74.149 -166.8917
50.903324 74.148 -167.1246
51.269535 74.148 -167.3579
51.635746 74.147 -167.5901
52.001957 74.145 -167.8191
52.368168 74.143 -168.0430
52.734379 74.141 -168.2621
53.100590 74.140 -168.4783
53.466801 74.139 -168.6948
53.833012 74.139 -168.9131
54.199223 74.138 -169.1329
54.565434 74.136 -169.3519
54.931645 74.133 -169.5670
55.297856 74.130 -169.7762
55.664067 74.127 -169.9793
56.030278 74.125 -170.1783
56.396489 74.123 -170.3763
56.762700 74.121 -170.5764
57.128911 74.119 -170.7800
57.495122 74.115 -170.9855
57.861333 74.111 -171.1887
58.227544 74.105 -171.3840
58.593755 74.099 -171.5677
58.959966 74.094 -171.7409
59.326177 74.090 -171.9092
59.692388 74.088 -172.0800
60.058599 74.087 -172.2582
60.424810 74.085 -172.4434
60.791021 74.082 -172.6311
61.157232 74.079 -172.8161
61.523442 74.075 -172.9964
61.889653 74.072 -173.1738
62.255864 74.069 -173.3513
62.622075 74.066 -173.5305
62.988286 74.062 -173.7095
63.354497 74.058 -173.8843
63.720708 74.053 -174.0522
64.086919 74.049 -174.2136
64.453130 74.045 -174.3720
64.819341 74.041 -174.5312
65.185552 74.037 -174.6926
65.551763 74.033 -174.8549
65.917974 74.028 -175.0150
66.284185 74.023 -175.1709
66.650396 74.018 -175.3231
67.016607 74.014 -175.4742
67.382818 74.009 -175.6268
67.749029 74.004 -175.7819
68.115240 73.999 -175.9380
68.481451 73.994 -176.0926
68.847662 73.988 -176.2444
69.213873 73.983 -176.3939
69.580084 73.978 -176.5432
69.946295 73.973 -176.6936
70.312506 73.968 -176.8447
70.678717 73.962 -176.9943
71.044928 73.956 -177.1403
71.411139 73.950 -177.2822
71.777350 73.945 -177.4218
72.143561 73.940 -177.5614
72.509771 73.935 -177.7027
72.875982 73.930 -177.8446
73.242193 73.925 -177.9851
73.608404 73.919 -178.1221
73.974615 73.913 -178.2553
74.340826 73.907 -178.3861
74.707037 73.902 -178.5163
75.073248 73.896 -178.6471
75.439459 73.891 -178.7783
75.805670 73.885 -178.9089
76.171881 73.879 -179.0383
76.538092 73.873 -179.1666
76.904303 73.868 -179.2946
77.270514 73.862 -179.4230
77.636725 73.856 -179.5514
78.002936 73.849 -179.6789
78.369147 73.843 -179.8043
78.735358 73.836 -179.9272
79.101569 73.830 179.9518
79.467780 73.824 179.8316
79.833991 73.818 179.7109
80.200202 73.812 179.5894
80.566413 73.806 179.4675
80.932624 73.799 179.3463
81.298835 73.793 179.2267
81.665046 73.787 179.1087
82.031257 73.781 178.9915
82.397468 73.775 178.8738
82.763679 73.769 178.7548
83.129890 73.763 178.6349
83.496101 73.756 178.5158
83.862311 73.749 178.3994
84.228522 73.742 178.2872
84.594733 73.735 178.1784
84.960944 73.729 178.0710
85.327155 73.724 177.9626
85.693366 73.718 177.8516
86.059577 73.712 177.7382
86.425788 73.705 177.6245
86.791999 73.698 177.5129
87.158210 73.691 177.4050
87.524421 73.684 177.3006
87.890632 73.676 177.1986
88.256843 73.669 177.0978
88.623054 73.662 176.9971
88.989265 73.655 176.8964
89.355476 73.648 176.7960
89.721687 73.641 176.6962
90.087898 73.633 176.5973
90.454109 73.626 176.4991
90.820320 73.618 176.4014
91.186531 73.611 176.3041
91.552742 73.604 176.2067
91.918953 73.597 176.1091
92.285164 73.589 176.0114
92.651375 73.582 175.9134
93.017586 73.575 175.8154
93.383797 73.568 175.7173
93.750008 73.561 175.6193
94.116219 73.554 175.5217
94.482430 73.546 175.4250
94.848641 73.539 175.3299
95.214851 73.531 175.2366
95.581062 73.524 175.1449
95.947273 73.517 175.0540
96.313484 73.510 174.9630
96.679695 73.503 174.8714
97.045906 73.496 174.7796
97.412117 73.489 174.6880
97.778328 73.482 174.5972
98.144539 73.474 174.5072
98.510750 73.467 174.4177
98.876961 73.459 174.3284
99.243172 73.452 174.2394
99.609383 73.444 174.1514
99.975594 73.436 174.0647
100.341805 73.428 173.9796
100.708016 73.420 173.8954
101.074227 73.413 173.8115
101.440438 73.406 173.7272
101.806649 73.398 173.6425
102.172860 73.391 173.5577
102.539071 73.383 173.4736
102.905282 73.375 173.3911
103.271493 73.368 173.3102
103.637704 73.360 173.2309
104.003915 73.352 173.1525
104.370126 73.345 173.0744
104.736337 73.338 172.9961
105.102548 73.331 172.9176
105.468759 73.323 172.8392
105.834970 73.316 172.7612
106.201180 73.308 172.6841
106.567391 73.300 172.6077
106.933602 73.293 172.5318
107.299813 73.285 172.4561
107.666024 73.277 172.3802
108.032235 73.269 172.3042
108.398446 73.261 172.2283
108.764657 73.253 172.1527
109.130868 73.245 172.0781
109.497079 73.237 172.0046
109.863290 73.229 171.9321
110.229501 73.221 171.8598
110.595712 73.214 171.7870
110.961923 73.206 171.7135
111.328134 73.198 171.6391
111.694345 73.190 171.5647
112.060556 73.182 171.4912
112.426767 73.174 171.4193
112.792978 73.166 171.3489
113.159189 73.158 171.2794
113.525400 73.150 171.2098
113.891611 73.143 171.1400
114.257822 73.135 171.0704
114.624033 73.127 171.0018
114.990244 73.119 170.9351
115.356455 73.111 170.8698
115.722666 73.103 170.8051
116.088877 73.096 170.7396
116.455088 73.089 170.6723
116.821299 73.081 170.6034
117.187510 73.074 170.5337
117.553720 73.066 170.4645
117.919931 73.057 170.3969
118.286142 73.049 170.3313
118.652353 73.040 170.2677
119.018564 73.032 170.2059
119.384775 73.023 170.1457
119.750986 73.015 170.0870
120.117197 73.007 170.0295
120.483408 72.999 169.9724
120.849619 72.992 169.9147
121.215830 72.984 169.8555
121.582041 72.977 169.7943
121.948252 72.970 169.7314
122.314463 72.962 169.6679
122.680674 72.954 169.6046
123.046885 72.946 169.5421
123.413096 72.938 169.4807
123.779307 72.929 169.4200
124.145518 72.921 169.3600
124.511729 72.913 169.3006
124.877940 72.904 169.2420
125.244151 72.896 169.1844
125.610362 72.888 169.1277
125.976573 72.880 169.0717
126.342784 72.872 169.0157
126.708995 72.864 168.9594
127.075206 72.856 168.9028
127.441417 72.848 168.8461
127.807628 72.840 168.7897
128.173839 72.832 168.7340
128.540049 72.824 168.6792
128.906260 72.816 168.6252
129.272471 72.808 168.5719
129.638682 72.800 168.5193
130.004893 72.792 168.4669
130.371104 72.784 168.4147
130.737315 72.777 168.3621
131.103526 72.769 168.3091
131.469737 72.761 168.2558
131.835948 72.753 168.2025
132.202159 72.745 168.1497
132.568370 72.737 168.0977
132.934581 72.728 168.0464
133.300792 72.720 167.9957
133.667003 72.712 167.9450
134.033214 72.704 167.8942
134.399425 72.696 167.8432
134.765636 72.688 167.7922
135.131847 72.680 167.7413
135.498058 72.672 167.6909
135.864269 72.663 167.6409
136.230480 72.655 167.5914
136.596691 72.647 167.5422
136.962902 72.639 167.4933
137.329113 72.631 167.4443
137.695324 72.623 167.3955
138.061535 72.615 167.3468
138.427746 72.607 167.2986
138.793957 72.599 167.2510
139.160168 72.590 167.2043
139.526379 72.582 167.1588
139.892589 72.574 167.1143
140.258800 72.566 167.0705
140.625011 72.559 167.0269
140.991222 72.551 166.9830
141.357433 72.543 166.9386
141.723644 72.536 166.8938
142.089855 72.528 166.8490
142.456066 72.520 166.8046
142.822277 72.512 166.7609
143.188488 72.504 166.7180
143.554699 72.496 166.6760
143.920910 72.488 166.6346
144.287121 72.479 166.5938
144.653332 72.471 166.5532
145.019543 72.463 166.5126
145.385754 72.455 166.4720
145.751965 72.447 166.4310
146.118176 72.439 166.3898
146.484387 72.431 166.3486
146.850598 72.423 166.3078
147.216809 72.414 166.2675
147.583020 72.406 166.2278
