* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 20, 2023 6:50:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kailua Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.265 170.5117
0.732422 57.451 159.1133
1.098633 55.730 143.7718
1.464844 52.639 120.1494
1.831055 48.667 73.6712
2.197266 49.811 9.7991
2.563477 53.396 -22.7001
2.929688 55.606 -37.0612
3.295899 56.945 -41.8517
3.662110 58.250 -40.8011
4.028321 59.926 -38.8668
4.394532 61.707 -39.4944
4.760743 63.221 -42.5911
5.126954 64.348 -46.6212
5.493164 65.164 -50.2765
5.859375 65.833 -53.0243
6.225586 66.498 -55.1662
6.591797 67.202 -57.4070
6.958008 67.895 -60.1875
7.324219 68.509 -63.4157
7.690430 69.024 -66.7001
8.056641 69.469 -69.7089
8.422852 69.892 -72.3757
8.789063 70.321 -74.8653
9.155274 70.752 -77.3707
9.521485 71.159 -79.9422
9.887696 71.523 -82.4827
10.253907 71.784 -84.8646
10.620118 71.990 -87.0385
10.986329 72.182 -89.0528
11.352540 72.364 -90.9901
11.718751 72.526 -92.8950
12.084962 72.663 -94.7562
12.451173 72.777 -96.5417
12.817384 72.930 -98.2401
13.183595 73.078 -99.8701
13.549806 73.213 -101.4584
13.916017 73.333 -103.0180
14.282228 73.440 -104.5463
14.648439 73.535 -106.0398
15.014650 73.621 -107.5054
15.380861 73.700 -108.9542
15.747072 73.771 -110.3900
16.113283 73.840 -111.8042
16.479493 73.914 -113.1843
16.845704 73.985 -114.5252
17.211915 74.053 -115.8309
17.578126 74.118 -117.1067
17.944337 74.180 -118.3524
18.310548 74.239 -119.5629
18.676759 74.294 -120.7356
19.042970 74.345 -121.8746
19.409181 74.393 -122.9849
19.775392 74.436 -124.0648
20.141603 74.473 -125.1051
20.507814 74.509 -126.0977
20.874025 74.542 -127.0458
21.240236 74.574 -127.9650
21.606447 74.604 -128.8731
21.972658 74.631 -129.7780
22.338869 74.653 -130.6755
22.705080 74.671 -131.5572
23.071291 74.687 -132.4212
23.437502 74.701 -133.2743
23.803713 74.714 -134.1247
24.169924 74.724 -134.9726
24.536135 74.731 -135.8090
24.902346 74.736 -136.6232
25.268557 74.741 -137.4119
25.634768 74.748 -138.1818
26.000979 74.757 -138.9433
26.367190 74.766 -139.7020
26.733401 74.773 -140.4545
27.099612 74.779 -141.1919
27.465823 74.782 -141.9061
27.832033 74.786 -142.5952
28.198244 74.789 -143.2628
28.564455 74.793 -143.9155
28.930666 74.797 -144.5589
29.296877 74.800 -145.1953
29.663088 74.800 -145.8234
30.029299 74.799 -146.4400
30.395510 74.796 -147.0417
30.761721 74.792 -147.6277
31.127932 74.788 -148.2010
31.494143 74.785 -148.7676
31.860354 74.781 -149.3330
32.226565 74.777 -149.8995
32.592776 74.772 -150.4649
32.958987 74.765 -151.0238
33.325198 74.757 -151.5710
33.691409 74.750 -152.1043
34.057620 74.743 -152.6254
34.423831 74.738 -153.1389
34.790042 74.733 -153.6496
35.156253 74.728 -154.1592
35.522464 74.723 -154.6652
35.888675 74.717 -155.1616
36.254886 74.710 -155.6428
36.621097 74.703 -156.1076
36.987308 74.697 -156.5613
37.353519 74.693 -157.0126
37.719730 74.688 -157.4680
38.085941 74.682 -157.9270
38.452152 74.674 -158.3812
38.818363 74.662 -158.8197
39.184573 74.651 -159.2363
39.550784 74.640 -159.6337
39.916995 74.632 -160.0228
40.283206 74.626 -160.4156
40.649417 74.620 -160.8185
41.015628 74.614 -161.2293
41.381839 74.605 -161.6397
41.748050 74.595 -162.0407
42.114261 74.584 -162.4277
42.480472 74.575 -162.8028
42.846683 74.566 -163.1715
43.212894 74.558 -163.5395
43.579105 74.551 -163.9091
43.945316 74.543 -164.2789
44.311527 74.535 -164.6457
44.677738 74.527 -165.0075
45.043949 74.518 -165.3636
45.410160 74.510 -165.7148
45.776371 74.501 -166.0619
46.142582 74.492 -166.4042
46.508793 74.483 -166.7411
46.875004 74.474 -167.0724
47.241215 74.466 -167.3988
47.607426 74.457 -167.7217
47.973637 74.448 -168.0417
48.339848 74.440 -168.3587
48.706059 74.431 -168.6723
49.072270 74.422 -168.9831
49.438481 74.414 -169.2927
49.804692 74.405 -169.6019
50.170902 74.395 -169.9102
50.537113 74.385 -170.2149
50.903324 74.375 -170.5132
51.269535 74.364 -170.8038
51.635746 74.354 -171.0885
52.001957 74.344 -171.3703
52.368168 74.335 -171.6518
52.734379 74.325 -171.9332
53.100590 74.315 -172.2131
53.466801 74.305 -172.4899
53.833012 74.295 -172.7633
54.199223 74.286 -173.0346
54.565434 74.276 -173.3051
54.931645 74.266 -173.5746
55.297856 74.255 -173.8411
55.664067 74.245 -174.1025
56.030278 74.235 -174.3576
56.396489 74.225 -174.6079
56.762700 74.216 -174.8568
57.128911 74.208 -175.1078
57.495122 74.200 -175.3628
57.861333 74.192 -175.6210
58.227544 74.182 -175.8794
58.593755 74.171 -176.1336
58.959966 74.159 -176.3798
59.326177 74.147 -176.6156
59.692388 74.135 -176.8409
60.058599 74.124 -177.0579
60.424810 74.114 -177.2710
60.791021 74.105 -177.4845
61.157232 74.096 -177.7021
61.523442 74.087 -177.9250
61.889653 74.078 -178.1513
62.255864 74.067 -178.3775
62.622075 74.056 -178.6003
62.988286 74.044 -178.8180
63.354497 74.032 -179.0313
63.720708 74.020 -179.2424
64.086919 74.008 -179.4539
64.453130 73.997 -179.6665
64.819341 73.985 -179.8796
65.185552 73.973 179.9090
65.551763 73.960 179.7015
65.917974 73.947 179.4990
66.284185 73.935 179.3010
66.650396 73.924 179.1059
67.016607 73.913 178.9117
67.382818 73.902 178.7170
67.749029 73.891 178.5223
68.115240 73.880 178.3287
68.481451 73.868 178.1380
68.847662 73.857 177.9507
69.213873 73.846 177.7658
69.580084 73.835 177.5815
69.946295 73.824 177.3964
70.312506 73.813 177.2108
70.678717 73.801 177.0264
71.044928 73.788 176.8452
71.411139 73.776 176.6688
71.777350 73.763 176.4970
72.143561 73.751 176.3283
72.509771 73.739 176.1611
72.875982 73.727 175.9943
73.242193 73.715 175.8268
73.608404 73.704 175.6582
73.974615 73.693 175.4881
74.340826 73.681 175.3163
74.707037 73.669 175.1432
75.073248 73.656 174.9702
75.439459 73.643 174.7990
75.805670 73.629 174.6314
76.171881 73.615 174.4692
76.538092 73.601 174.3133
76.904303 73.587 174.1635
77.270514 73.574 174.0185
77.636725 73.562 173.8755
78.002936 73.551 173.7312
78.369147 73.541 173.5823
78.735358 73.531 173.4276
79.101569 73.520 173.2681
79.467780 73.508 173.1070
79.833991 73.495 172.9483
80.200202 73.482 172.7950
80.566413 73.469 172.6479
80.932624 73.456 172.5061
81.298835 73.444 172.3672
81.665046 73.432 172.2289
82.031257 73.421 172.0904
82.397468 73.409 171.9517
82.763679 73.397 171.8135
83.129890 73.386 171.6766
83.496101 73.374 171.5408
83.862311 73.362 171.4055
84.228522 73.351 171.2698
84.594733 73.339 171.1334
84.960944 73.327 170.9973
85.327155 73.314 170.8628
85.693366 73.301 170.7310
86.059577 73.289 170.6022
86.425788 73.276 170.4752
86.791999 73.264 170.3484
87.158210 73.251 170.2208
87.524421 73.239 170.0928
87.890632 73.226 169.9656
88.256843 73.213 169.8409
88.623054 73.200 169.7195
88.989265 73.187 169.6006
89.355476 73.174 169.4831
89.721687 73.162 169.3658
90.087898 73.150 169.2484
90.454109 73.138 169.1314
90.820320 73.126 169.0156
91.186531 73.114 168.9013
91.552742 73.102 168.7880
91.918953 73.090 168.6748
92.285164 73.079 168.5613
92.651375 73.067 168.4479
93.017586 73.055 168.3355
93.383797 73.043 168.2253
93.750008 73.030 168.1178
94.116219 73.019 168.0125
94.482430 73.007 167.9078
94.848641 72.996 167.8023
95.214851 72.984 167.6949
95.581062 72.973 167.5859
95.947273 72.961 167.4765
96.313484 72.948 167.3683
96.679695 72.936 167.2623
97.045906 72.923 167.1581
97.412117 72.911 167.0550
97.778328 72.899 166.9519
98.144539 72.886 166.8486
98.510750 72.874 166.7455
98.876961 72.861 166.6439
99.243172 72.848 166.5444
99.609383 72.835 166.4471
99.975594 72.823 166.3513
100.341805 72.811 166.2563
100.708016 72.798 166.1613
101.074227 72.786 166.0662
101.440438 72.774 165.9713
101.806649 72.762 165.8765
102.172860 72.750 165.7820
102.539071 72.739 165.6875
102.905282 72.727 165.5931
103.271493 72.714 165.4989
103.637704 72.702 165.4053
104.003915 72.690 165.3126
104.370126 72.677 165.2213
104.736337 72.665 165.1318
105.102548 72.652 165.0446
105.468759 72.640 164.9600
105.834970 72.627 164.8779
106.201180 72.615 164.7979
106.567391 72.603 164.7192
106.933602 72.591 164.6409
107.299813 72.580 164.5620
107.666024 72.568 164.4821
108.032235 72.557 164.4016
108.398446 72.545 164.3209
108.764657 72.534 164.2411
109.130868 72.522 164.1624
109.497079 72.510 164.0849
109.863290 72.499 164.0081
110.229501 72.487 163.9313
110.595712 72.475 163.8542
110.961923 72.464 163.7771
111.328134 72.452 163.7005
111.694345 72.440 163.6251
112.060556 72.428 163.5511
112.426767 72.416 163.4782
112.792978 72.404 163.4061
113.159189 72.392 163.3344
113.525400 72.380 163.2629
113.891611 72.368 163.1917
114.257822 72.356 163.1210
114.624033 72.345 163.0507
114.990244 72.333 162.9808
115.356455 72.321 162.9113
115.722666 72.309 162.8425
116.088877 72.297 162.7745
116.455088 72.285 162.7073
116.821299 72.274 162.6405
117.187510 72.262 162.5733
117.553720 72.251 162.5046
117.919931 72.240 162.4340
118.286142 72.229 162.3613
118.652353 72.217 162.2872
119.018564 72.205 162.2126
119.384775 72.193 162.1386
119.750986 72.181 162.0657
120.117197 72.168 161.9946
120.483408 72.156 161.9256
120.849619 72.143 161.8588
121.215830 72.131 161.7943
121.582041 72.119 161.7315
121.948252 72.107 161.6699
122.314463 72.096 161.6086
122.680674 72.084 161.5471
123.046885 72.073 161.4853
123.413096 72.062 161.4235
123.779307 72.051 161.3623
124.145518 72.040 161.3023
124.511729 72.029 161.2436
124.877940 72.018 161.1860
125.244151 72.008 161.1293
125.610362 71.997 161.0730
125.976573 71.987 161.0172
126.342784 71.977 160.9617
126.708995 71.967 160.9070
127.075206 71.957 160.8529
127.441417 71.946 160.7995
127.807628 71.936 160.7470
128.173839 71.926 160.6953
128.540049 71.915 160.6444
128.906260 71.905 160.5942
129.272471 71.894 160.5444
129.638682 71.884 160.4947
130.004893 71.874 160.4451
130.371104 71.863 160.3957
130.737315 71.853 160.3470
131.103526 71.842 160.2994
131.469737 71.831 160.2527
131.835948 71.821 160.2068
132.202159 71.811 160.1613
132.568370 71.800 160.1158
132.934581 71.790 160.0705
133.300792 71.780 160.0251
133.667003 71.771 159.9799
134.033214 71.761 159.9345
134.399425 71.751 159.8889
134.765636 71.741 159.8427
135.131847 71.732 159.7961
135.498058 71.722 159.7493
135.864269 71.712 159.7028
136.230480 71.702 159.6570
136.596691 71.692 159.6123
136.962902 71.683 159.5686
137.329113 71.673 159.5256
137.695324 71.663 159.4830
138.061535 71.653 159.4404
138.427746 71.643 159.3974
138.793957 71.633 159.3541
139.160168 71.624 159.3106
139.526379 71.613 159.2672
139.892589 71.603 159.2242
140.258800 71.593 159.1819
140.625011 71.582 159.1403
140.991222 71.572 159.0995
141.357433 71.562 159.0594
141.723644 71.552 159.0197
142.089855 71.541 158.9800
142.456066 71.532 158.9402
142.822277 71.522 158.9000
143.188488 71.512 158.8595
143.554699 71.503 158.8188
143.920910 71.493 158.7781
144.287121 71.484 158.7374
144.653332 71.475 158.6969
145.019543 71.466 158.6566
145.385754 71.456 158.6169
145.751965 71.448 158.5777
146.118176 71.439 158.5393
146.484387 71.430 158.5017
146.850598 71.421 158.4647
147.216809 71.413 158.4280
147.583020 71.404 158.3916
147.949231 71.396 158.3553
148.315442 71.387 158.3193
148.681653 71.378 158.2838
