* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 20, 2023 6:51:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kailua Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.705 -27.8320
0.732422 64.688 -56.2026
1.098633 60.618 -86.5437
1.464844 51.610 -129.6789
1.831055 50.999 74.6196
2.197266 58.450 32.7271
2.563477 61.028 4.5306
2.929688 61.573 -19.0458
3.295899 60.783 -36.5473
3.662110 59.293 -42.9410
4.028321 58.958 -35.6867
4.394532 60.982 -30.2503
4.760743 63.386 -35.1279
5.126954 65.078 -44.5972
5.493164 66.030 -53.8516
5.859375 66.508 -60.2879
6.225586 66.916 -63.2023
6.591797 67.587 -64.1668
6.958008 68.503 -65.6543
7.324219 69.402 -68.6158
7.690430 70.095 -72.3579
8.056641 70.566 -75.8042
8.422852 70.921 -78.3634
8.789063 71.275 -80.1994
9.155274 71.672 -81.9224
9.521485 72.070 -83.9746
9.887696 72.408 -86.3353
10.253907 72.607 -88.7188
10.620118 72.726 -90.9075
10.986329 72.830 -92.9104
11.352540 72.936 -94.8765
11.718751 73.033 -96.9067
12.084962 73.110 -98.9682
12.451173 73.168 -100.9671
12.817384 73.276 -102.8607
13.183595 73.395 -104.6894
13.549806 73.512 -106.5088
13.916017 73.615 -108.3152
14.282228 73.702 -110.0458
14.648439 73.777 -111.6462
15.014650 73.851 -113.1270
15.380861 73.927 -114.5528
15.747072 73.999 -115.9774
16.113283 74.064 -117.3978
16.479493 74.124 -118.7683
16.845704 74.172 -120.0525
17.211915 74.214 -121.2587
17.578126 74.256 -122.4278
17.944337 74.293 -123.5935
18.310548 74.323 -124.7587
18.676759 74.345 -125.9072
19.042970 74.362 -127.0292
19.409181 74.376 -128.1317
19.775392 74.388 -129.2263
20.141603 74.400 -130.3128
20.507814 74.410 -131.3800
20.874025 74.421 -132.4202
21.240236 74.432 -133.4393
21.606447 74.445 -134.4482
21.972658 74.456 -135.4473
22.338869 74.464 -136.4214
22.705080 74.471 -137.3542
23.071291 74.480 -138.2445
23.437502 74.491 -139.1096
23.803713 74.502 -139.9687
24.169924 74.511 -140.8249
24.536135 74.515 -141.6634
24.902346 74.515 -142.4667
25.268557 74.514 -143.2315
25.634768 74.513 -143.9701
26.000979 74.511 -144.6984
26.367190 74.509 -145.4223
26.733401 74.503 -146.1360
27.099612 74.496 -146.8322
27.465823 74.488 -147.5105
27.832033 74.481 -148.1791
28.198244 74.476 -148.8466
28.564455 74.470 -149.5170
28.930666 74.464 -150.1887
29.296877 74.458 -150.8588
29.663088 74.450 -151.5239
30.029299 74.442 -152.1791
30.395510 74.432 -152.8178
30.761721 74.422 -153.4344
31.127932 74.414 -154.0292
31.494143 74.407 -154.6085
31.860354 74.401 -155.1803
32.226565 74.395 -155.7482
32.592776 74.388 -156.3092
32.958987 74.380 -156.8581
33.325198 74.371 -157.3925
33.691409 74.362 -157.9140
34.057620 74.353 -158.4259
34.423831 74.343 -158.9296
34.790042 74.333 -159.4248
35.156253 74.322 -159.9125
35.522464 74.312 -160.3958
35.888675 74.301 -160.8782
36.254886 74.290 -161.3604
36.621097 74.278 -161.8390
36.987308 74.265 -162.3096
37.353519 74.252 -162.7708
37.719730 74.240 -163.2251
38.085941 74.229 -163.6771
38.452152 74.217 -164.1287
38.818363 74.205 -164.5774
39.184573 74.192 -165.0179
39.550784 74.178 -165.4451
39.916995 74.165 -165.8573
40.283206 74.154 -166.2574
40.649417 74.144 -166.6513
41.015628 74.136 -167.0457
41.381839 74.128 -167.4441
41.748050 74.118 -167.8446
42.114261 74.107 -168.2403
42.480472 74.094 -168.6237
42.846683 74.082 -168.9922
43.212894 74.070 -169.3502
43.579105 74.060 -169.7062
43.945316 74.050 -170.0666
44.311527 74.039 -170.4304
44.677738 74.027 -170.7910
45.043949 74.014 -171.1416
45.410160 74.001 -171.4811
45.776371 73.990 -171.8146
46.142582 73.979 -172.1484
46.508793 73.968 -172.4851
46.875004 73.956 -172.8215
47.241215 73.943 -173.1519
47.607426 73.930 -173.4729
47.973637 73.918 -173.7858
48.339848 73.906 -174.0945
48.706059 73.894 -174.4026
49.072270 73.882 -174.7108
49.438481 73.870 -175.0172
49.804692 73.857 -175.3193
50.170902 73.844 -175.6153
50.537113 73.831 -175.9052
50.903324 73.819 -176.1898
51.269535 73.806 -176.4707
51.635746 73.794 -176.7494
52.001957 73.783 -177.0272
52.368168 73.771 -177.3048
52.734379 73.759 -177.5819
53.100590 73.747 -177.8579
53.466801 73.735 -178.1316
53.833012 73.722 -178.4019
54.199223 73.709 -178.6676
54.565434 73.696 -178.9278
54.931645 73.683 -179.1826
55.297856 73.670 -179.4332
55.664067 73.658 -179.6823
56.030278 73.646 -179.9322
56.396489 73.633 179.8163
56.762700 73.620 179.5652
57.128911 73.606 179.3182
57.495122 73.591 179.0794
57.861333 73.576 178.8502
58.227544 73.563 178.6283
58.593755 73.550 178.4083
58.959966 73.539 178.1845
59.326177 73.527 177.9537
59.692388 73.515 177.7169
60.058599 73.502 177.4788
60.424810 73.488 177.2449
60.791021 73.474 177.0184
61.157232 73.460 176.7987
61.523442 73.446 176.5828
61.889653 73.433 176.3680
62.255864 73.419 176.1536
62.622075 73.406 175.9415
62.988286 73.392 175.7342
63.354497 73.377 175.5327
63.720708 73.363 175.3354
64.086919 73.350 175.1396
64.453130 73.336 174.9434
64.819341 73.323 174.7465
65.185552 73.309 174.5505
65.551763 73.294 174.3576
65.917974 73.280 174.1685
66.284185 73.265 173.9830
66.650396 73.250 173.7994
67.016607 73.236 173.6169
67.382818 73.221 173.4349
67.749029 73.206 173.2541
68.115240 73.191 173.0753
68.481451 73.176 172.8989
68.847662 73.161 172.7239
69.213873 73.147 172.5491
69.580084 73.132 172.3739
69.946295 73.117 172.1988
70.312506 73.102 172.0256
70.678717 73.086 171.8562
71.044928 73.071 171.6909
71.411139 73.057 171.5282
71.777350 73.042 171.3663
72.143561 73.028 171.2041
72.509771 73.014 171.0421
72.875982 73.000 170.8815
73.242193 72.986 170.7226
73.608404 72.972 170.5643
73.974615 72.959 170.4047
74.340826 72.945 170.2431
74.707037 72.930 170.0808
75.073248 72.915 169.9210
75.439459 72.899 169.7668
75.805670 72.883 169.6194
76.171881 72.867 169.4775
76.538092 72.852 169.3387
76.904303 72.838 169.2005
77.270514 72.824 169.0615
77.636725 72.810 168.9212
78.002936 72.796 168.7792
78.369147 72.781 168.6353
78.735358 72.767 168.4899
79.101569 72.751 168.3444
79.467780 72.735 168.2014
79.833991 72.718 168.0637
80.200202 72.702 167.9327
80.566413 72.686 167.8077
80.932624 72.670 167.6859
81.298835 72.656 167.5638
81.665046 72.642 167.4390
82.031257 72.627 167.3112
82.397468 72.613 167.1818
82.763679 72.599 167.0531
83.129890 72.584 166.9268
83.496101 72.569 166.8033
83.862311 72.554 166.6819
84.228522 72.540 166.5616
84.594733 72.526 166.4420
84.960944 72.512 166.3234
85.327155 72.497 166.2067
85.693366 72.483 166.0926
86.059577 72.469 165.9808
86.425788 72.456 165.8706
86.791999 72.443 165.7604
87.158210 72.430 165.6491
87.524421 72.416 165.5363
87.890632 72.403 165.4226
88.256843 72.389 165.3096
88.623054 72.374 165.1991
88.989265 72.359 165.0921
89.355476 72.344 164.9887
89.721687 72.329 164.8879
90.087898 72.315 164.7881
90.454109 72.300 164.6879
90.820320 72.286 164.5871
91.186531 72.272 164.4858
91.552742 72.257 164.3847
91.918953 72.243 164.2842
92.285164 72.228 164.1844
92.651375 72.214 164.0850
93.017586 72.199 163.9861
93.383797 72.185 163.8882
93.750008 72.171 163.7915
94.116219 72.156 163.6960
94.482430 72.142 163.6013
94.848641 72.129 163.5065
95.214851 72.115 163.4109
95.581062 72.101 163.3148
95.947273 72.087 163.2190
96.313484 72.073 163.1251
96.679695 72.059 163.0341
97.045906 72.044 162.9461
97.412117 72.030 162.8605
97.778328 72.017 162.7759
98.144539 72.003 162.6912
98.510750 71.989 162.6059
98.876961 71.976 162.5202
99.243172 71.962 162.4349
99.609383 71.948 162.3508
99.975594 71.934 162.2683
100.341805 71.920 162.1876
100.708016 71.906 162.1083
101.074227 71.892 162.0298
101.440438 71.879 161.9516
101.806649 71.865 161.8737
102.172860 71.851 161.7964
102.539071 71.837 161.7203
102.905282 71.823 161.6459
103.271493 71.809 161.5733
103.637704 71.796 161.5020
104.003915 71.782 161.4313
104.370126 71.768 161.3605
104.736337 71.755 161.2899
105.102548 71.741 161.2197
105.468759 71.727 161.1508
105.834970 71.713 161.0831
106.201180 71.699 161.0165
106.567391 71.685 160.9501
106.933602 71.672 160.8833
107.299813 71.658 160.8161
107.666024 71.644 160.7488
108.032235 71.630 160.6818
108.398446 71.617 160.6152
108.764657 71.603 160.5487
109.130868 71.589 160.4819
109.497079 71.576 160.4145
109.863290 71.562 160.3464
110.229501 71.548 160.2783
110.595712 71.534 160.2110
110.961923 71.520 160.1452
111.328134 71.506 160.0815
111.694345 71.493 160.0198
112.060556 71.479 159.9595
112.426767 71.466 159.9001
112.792978 71.453 159.8407
113.159189 71.441 159.7810
113.525400 71.428 159.7210
113.891611 71.415 159.6609
114.257822 71.403 159.6011
114.624033 71.390 159.5420
114.990244 71.377 159.4839
115.356455 71.364 159.4269
115.722666 71.352 159.3710
116.088877 71.339 159.3162
116.455088 71.326 159.2620
116.821299 71.314 159.2081
117.187510 71.301 159.1538
117.553720 71.289 159.0989
117.919931 71.276 159.0435
118.286142 71.263 158.9886
118.652353 71.250 158.9349
119.018564 71.236 158.8834
119.384775 71.223 158.8343
119.750986 71.210 158.7872
120.117197 71.197 158.7411
120.483408 71.184 158.6952
120.849619 71.172 158.6486
121.215830 71.159 158.6011
121.582041 71.147 158.5527
121.948252 71.134 158.5037
122.314463 71.122 158.4544
122.680674 71.109 158.4053
123.046885 71.097 158.3569
123.413096 71.084 158.3094
123.779307 71.071 158.2629
124.145518 71.059 158.2177
124.511729 71.046 158.1736
124.877940 71.034 158.1303
125.244151 71.022 158.0876
125.610362 71.011 158.0452
125.976573 70.999 158.0030
126.342784 70.988 157.9609
126.708995 70.977 157.9191
127.075206 70.966 157.8777
127.441417 70.955 157.8369
127.807628 70.943 157.7970
128.173839 70.932 157.7580
128.540049 70.921 157.7199
128.906260 70.909 157.6825
129.272471 70.898 157.6455
129.638682 70.886 157.6089
130.004893 70.875 157.5725
130.371104 70.864 157.5366
130.737315 70.852 157.5013
131.103526 70.841 157.4667
131.469737 70.829 157.4326
131.835948 70.818 157.3987
132.202159 70.806 157.3650
132.568370 70.795 157.3313
132.934581 70.784 157.2977
133.300792 70.773 157.2646
133.667003 70.761 157.2321
134.033214 70.750 157.2002
134.399425 70.739 157.1687
134.765636 70.728 157.1374
135.131847 70.717 157.1060
135.498058 70.706 157.0745
135.864269 70.696 157.0429
136.230480 70.685 157.0115
136.596691 70.674 156.9806
136.962902 70.663 156.9503
137.329113 70.652 156.9209
137.695324 70.641 156.8922
138.061535 70.630 156.8640
138.427746 70.620 156.8361
138.793957 70.609 156.8083
139.160168 70.599 156.7805
139.526379 70.588 156.7524
139.892589 70.578 156.7241
140.258800 70.567 156.6958
140.625011 70.556 156.6677
140.991222 70.546 156.6401
141.357433 70.535 156.6133
141.723644 70.525 156.5872
142.089855 70.514 156.5616
142.456066 70.504 156.5365
142.822277 70.494 156.5117
143.188488 70.483 156.4872
143.554699 70.473 156.4631
143.920910 70.463 156.4392
144.287121 70.453 156.4156
144.653332 70.443 156.3922
145.019543 70.433 156.3689
145.385754 70.423 156.3458
145.751965 70.414 156.3231
146.118176 70.404 156.3008
146.484387 70.394 156.2789
146.850598 70.384 156.2574
147.216809 70.374 156.2362
147.583020 70.364 156.2151
147.949231 70.354 156.1941
148.315442 70.344 156.1731
148.681653 70.334 156.1523
149.047864 70.324 156.1316
