* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 1, 2023 5:56:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Olina SE Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.177 163.6039
0.732422 59.477 146.4747
1.098633 56.282 126.5418
1.464844 50.925 94.2572
1.831055 47.714 18.9776
2.197266 52.642 -28.4167
2.563477 56.150 -44.1356
2.929688 58.481 -50.6503
3.295899 60.356 -53.8456
3.662110 62.019 -56.5062
4.028321 63.465 -59.7995
4.394532 64.649 -63.7516
4.760743 65.578 -67.9309
5.126954 66.305 -71.9374
5.493164 66.909 -75.6163
5.859375 67.451 -79.0626
6.225586 67.959 -82.4775
6.591797 68.433 -85.9923
6.958008 68.861 -89.5886
7.324219 69.240 -93.1422
7.690430 69.578 -96.5238
8.056641 69.893 -99.6728
8.422852 70.197 -102.6065
8.789063 70.493 -105.3752
9.155274 70.775 -108.0090
9.521485 71.037 -110.4986
9.887696 71.274 -112.8159
10.253907 71.420 -114.9472
10.620118 71.519 -116.9089
10.986329 71.605 -118.7383
11.352540 71.678 -120.4695
11.718751 71.735 -122.1189
12.084962 71.775 -123.6872
12.451173 71.802 -125.1744
12.817384 71.864 -126.5907
13.183595 71.925 -127.9566
13.549806 71.979 -129.2938
13.916017 72.024 -130.6157
14.282228 72.061 -131.9244
14.648439 72.093 -133.2159
15.014650 72.120 -134.4854
15.380861 72.144 -135.7306
15.747072 72.168 -136.9504
16.113283 72.197 -138.1426
16.479493 72.235 -139.3031
16.845704 72.274 -140.4265
17.211915 72.313 -141.5082
17.578126 72.353 -142.5461
17.944337 72.393 -143.5409
18.310548 72.432 -144.4949
18.676759 72.469 -145.4099
19.042970 72.503 -146.2859
19.409181 72.533 -147.1212
19.775392 72.560 -147.9145
20.141603 72.584 -148.6679
20.507814 72.607 -149.3883
20.874025 72.627 -150.0855
21.240236 72.644 -150.7684
21.606447 72.658 -151.4412
21.972658 72.667 -152.1041
22.338869 72.674 -152.7555
22.705080 72.679 -153.3961
23.071291 72.683 -154.0298
23.437502 72.686 -154.6611
23.803713 72.689 -155.2915
24.169924 72.692 -155.9184
24.536135 72.694 -156.5367
24.902346 72.697 -157.1422
25.268557 72.701 -157.7336
25.634768 72.706 -158.3120
26.000979 72.712 -158.8784
26.367190 72.719 -159.4319
26.733401 72.725 -159.9700
27.099612 72.731 -160.4892
27.465823 72.736 -160.9882
27.832033 72.741 -161.4677
28.198244 72.746 -161.9306
28.564455 72.750 -162.3805
28.930666 72.752 -162.8206
29.296877 72.754 -163.2530
29.663088 72.753 -163.6777
30.029299 72.750 -164.0936
30.395510 72.746 -164.4997
30.761721 72.741 -164.8973
31.127932 72.736 -165.2898
31.494143 72.730 -165.6820
31.860354 72.724 -166.0767
32.226565 72.717 -166.4725
32.592776 72.708 -166.8646
32.958987 72.700 -167.2480
33.325198 72.691 -167.6212
33.691409 72.684 -167.9867
34.057620 72.678 -168.3490
34.423831 72.672 -168.7101
34.790042 72.666 -169.0678
35.156253 72.660 -169.4167
35.522464 72.654 -169.7531
35.888675 72.648 -170.0778
36.254886 72.643 -170.3961
36.621097 72.639 -170.7138
36.987308 72.634 -171.0327
37.353519 72.627 -171.3496
37.719730 72.619 -171.6586
38.085941 72.610 -171.9556
38.452152 72.600 -172.2415
38.818363 72.591 -172.5210
39.184573 72.581 -172.7993
39.550784 72.572 -173.0790
39.916995 72.562 -173.3586
40.283206 72.552 -173.6356
40.649417 72.542 -173.9083
41.015628 72.532 -174.1773
41.381839 72.523 -174.4446
41.748050 72.513 -174.7111
42.114261 72.503 -174.9756
42.480472 72.493 -175.2356
42.846683 72.483 -175.4893
43.212894 72.473 -175.7368
43.579105 72.464 -175.9798
43.945316 72.455 -176.2198
44.311527 72.445 -176.4573
44.677738 72.436 -176.6911
45.043949 72.427 -176.9201
45.410160 72.418 -177.1445
45.776371 72.409 -177.3663
46.142582 72.400 -177.5883
46.508793 72.391 -177.8117
46.875004 72.381 -178.0353
47.241215 72.371 -178.2563
47.607426 72.360 -178.4722
47.973637 72.348 -178.6818
48.339848 72.337 -178.8867
48.706059 72.325 -179.0891
49.072270 72.314 -179.2908
49.438481 72.303 -179.4916
49.804692 72.292 -179.6899
50.170902 72.280 -179.8841
50.537113 72.269 179.9262
50.903324 72.258 179.7400
51.269535 72.248 179.5552
51.635746 72.238 179.3701
52.001957 72.228 179.1838
52.368168 72.217 178.9967
52.734379 72.206 178.8103
53.100590 72.195 178.6267
53.466801 72.182 178.4482
53.833012 72.170 178.2762
54.199223 72.158 178.1101
54.565434 72.146 177.9473
54.931645 72.136 177.7838
55.297856 72.125 177.6170
55.664067 72.114 177.4475
56.030278 72.103 177.2787
56.396489 72.091 177.1147
56.762700 72.079 176.9570
57.128911 72.068 176.8033
57.495122 72.058 176.6486
57.861333 72.047 176.4892
58.227544 72.037 176.3254
58.593755 72.025 176.1614
58.959966 72.012 176.0028
59.326177 71.999 175.8530
59.692388 71.985 175.7116
60.058599 71.973 175.5757
60.424810 71.960 175.4420
60.791021 71.948 175.3091
61.157232 71.936 175.1768
61.523442 71.925 175.0455
61.889653 71.913 174.9145
62.255864 71.902 174.7827
62.622075 71.890 174.6493
62.988286 71.878 174.5142
63.354497 71.865 174.3783
63.720708 71.852 174.2425
64.086919 71.839 174.1076
64.453130 71.825 173.9745
64.819341 71.811 173.8447
65.185552 71.797 173.7194
65.551763 71.783 173.5989
65.917974 71.770 173.4815
66.284185 71.757 173.3643
66.650396 71.745 173.2444
67.016607 71.733 173.1215
67.382818 71.721 172.9980
67.749029 71.707 172.8774
68.115240 71.694 172.7628
68.481451 71.680 172.6540
68.847662 71.667 172.5482
69.213873 71.655 172.4415
69.580084 71.643 172.3317
69.946295 71.630 172.2193
70.312506 71.617 172.1071
70.678717 71.603 171.9984
71.044928 71.589 171.8951
71.411139 71.575 171.7964
71.777350 71.562 171.6997
72.143561 71.549 171.6016
72.509771 71.537 171.5003
72.875982 71.524 171.3964
73.242193 71.511 171.2922
73.608404 71.497 171.1904
73.974615 71.483 171.0924
74.340826 71.470 170.9973
74.707037 71.457 170.9031
75.073248 71.444 170.8077
75.439459 71.431 170.7110
75.805670 71.418 170.6146
76.171881 71.404 170.5208
76.538092 71.390 170.4310
76.904303 71.377 170.3449
77.270514 71.363 170.2608
77.636725 71.350 170.1768
78.002936 71.337 170.0922
78.369147 71.324 170.0076
78.735358 71.311 169.9240
79.101569 71.298 169.8421
79.467780 71.285 169.7613
79.833991 71.272 169.6806
80.200202 71.260 169.5993
80.566413 71.247 169.5177
80.932624 71.234 169.4368
81.298835 71.221 169.3572
81.665046 71.209 169.2787
82.031257 71.196 169.2000
82.397468 71.184 169.1201
82.763679 71.171 169.0392
83.129890 71.158 168.9592
83.496101 71.144 168.8824
83.862311 71.130 168.8104
84.228522 71.117 168.7426
84.594733 71.104 168.6766
84.960944 71.092 168.6097
85.327155 71.080 168.5402
85.693366 71.068 168.4687
86.059577 71.056 168.3970
86.425788 71.043 168.3274
86.791999 71.030 168.2606
87.158210 71.017 168.1960
87.524421 71.004 168.1323
87.890632 70.991 168.0688
88.256843 70.979 168.0059
88.623054 70.966 167.9442
88.989265 70.954 167.8845
89.355476 70.941 167.8263
89.721687 70.929 167.7681
90.087898 70.918 167.7085
90.454109 70.906 167.6469
90.820320 70.894 167.5839
91.186531 70.882 167.5208
91.552742 70.869 167.4588
91.918953 70.857 167.3986
92.285164 70.844 167.3404
92.651375 70.831 167.2839
93.017586 70.818 167.2288
93.383797 70.806 167.1750
93.750008 70.793 167.1222
94.116219 70.781 167.0699
94.482430 70.768 167.0177
94.848641 70.756 166.9652
95.214851 70.744 166.9127
95.581062 70.732 166.8608
95.947273 70.719 166.8101
96.313484 70.707 166.7610
96.679695 70.695 166.7131
97.045906 70.683 166.6655
97.412117 70.671 166.6172
97.778328 70.660 166.5679
98.144539 70.648 166.5178
98.510750 70.636 166.4680
98.876961 70.624 166.4197
99.243172 70.612 166.3736
99.609383 70.599 166.3294
99.975594 70.587 166.2865
100.341805 70.575 166.2438
100.708016 70.564 166.2010
101.074227 70.552 166.1580
101.440438 70.540 166.1152
101.806649 70.528 166.0729
102.172860 70.516 166.0311
102.539071 70.504 165.9894
102.905282 70.492 165.9477
103.271493 70.480 165.9062
103.637704 70.468 165.8654
104.003915 70.456 165.8258
104.370126 70.444 165.7874
104.736337 70.432 165.7495
105.102548 70.421 165.7113
105.468759 70.409 165.6726
105.834970 70.398 165.6334
106.201180 70.386 165.5946
106.567391 70.375 165.5567
106.933602 70.363 165.5199
107.299813 70.352 165.4836
107.666024 70.340 165.4473
108.032235 70.329 165.4108
108.398446 70.317 165.3749
108.764657 70.305 165.3407
109.130868 70.293 165.3093
109.497079 70.282 165.2804
109.863290 70.270 165.2530
110.229501 70.259 165.2258
110.595712 70.248 165.1976
110.961923 70.237 165.1685
111.328134 70.226 165.1393
111.694345 70.214 165.1108
112.060556 70.203 165.0834
112.426767 70.192 165.0567
112.792978 70.181 165.0299
113.159189 70.170 165.0024
113.525400 70.159 164.9743
113.891611 70.148 164.9462
114.257822 70.137 164.9188
114.624033 70.126 164.8923
114.990244 70.115 164.8664
115.356455 70.104 164.8406
115.722666 70.093 164.8144
116.088877 70.082 164.7878
116.455088 70.071 164.7614
116.821299 70.060 164.7357
117.187510 70.049 164.7111
117.553720 70.038 164.6877
117.919931 70.027 164.6650
118.286142 70.016 164.6423
118.652353 70.006 164.6189
119.018564 69.995 164.5943
119.384775 69.984 164.5688
119.750986 69.973 164.5434
120.117197 69.962 164.5192
120.483408 69.950 164.4972
120.849619 69.939 164.4775
121.215830 69.928 164.4596
121.582041 69.917 164.4424
121.948252 69.906 164.4249
122.314463 69.896 164.4070
122.680674 69.886 164.3888
123.046885 69.875 164.3710
123.413096 69.865 164.3541
123.779307 69.855 164.3381
124.145518 69.845 164.3226
124.511729 69.835 164.3072
124.877940 69.825 164.2913
125.244151 69.816 164.2749
125.610362 69.807 164.2581
125.976573 69.798 164.2411
126.342784 69.789 164.2244
126.708995 69.780 164.2083
127.075206 69.771 164.1931
127.441417 69.762 164.1787
127.807628 69.753 164.1649
128.173839 69.744 164.1515
128.540049 69.735 164.1379
128.906260 69.726 164.1242
129.272471 69.717 164.1100
129.638682 69.709 164.0956
130.004893 69.700 164.0809
130.371104 69.691 164.0661
130.737315 69.682 164.0514
131.103526 69.673 164.0371
131.469737 69.664 164.0233
131.835948 69.655 164.0102
132.202159 69.646 163.9979
132.568370 69.637 163.9866
132.934581 69.629 163.9761
133.300792 69.620 163.9663
133.667003 69.611 163.9571
134.033214 69.603 163.9484
134.399425 69.594 163.9399
134.765636 69.586 163.9315
135.131847 69.578 163.9230
135.498058 69.570 163.9145
135.864269 69.562 163.9059
136.230480 69.554 163.8974
136.596691 69.545 163.8887
136.962902 69.537 163.8800
137.329113 69.529 163.8712
137.695324 69.520 163.8625
138.061535 69.512 163.8544
138.427746 69.503 163.8470
138.793957 69.495 163.8404
139.160168 69.487 163.8343
139.526379 69.478 163.8283
139.892589 69.470 163.8222
140.258800 69.462 163.8159
140.625011 69.454 163.8094
140.991222 69.446 163.8030
141.357433 69.438 163.7966
141.723644 69.430 163.7901
142.089855 69.422 163.7834
142.456066 69.414 163.7765
142.822277 69.406 163.7695
143.188488 69.398 163.7630
143.554699 69.390 163.7572
143.920910 69.382 163.7524
144.287121 69.374 163.7487
144.653332 69.366 163.7460
145.019543 69.358 163.7439
145.385754 69.350 163.7423
145.751965 69.342 163.7409
146.118176 69.334 163.7395
146.484387 69.326 163.7379
146.850598 69.319 163.7359
147.216809 69.311 163.7336
147.583020 69.303 163.7311
147.949231 69.295 163.7285
148.315442 69.288 163.7261
148.681653 69.280 163.7241
149.047864 69.271 163.7227
149.414075 69.263 163.7219
