* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 1, 2023 5:55:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Olina SE Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.294 -23.9357
0.732422 66.401 -47.4892
1.098633 62.677 -69.6288
1.464844 55.020 -83.8293
1.831055 48.955 15.3774
2.197266 58.375 17.0966
2.563477 61.571 -2.6794
2.929688 62.638 -23.1862
3.295899 62.552 -40.7166
3.662110 61.907 -51.9737
4.028321 61.596 -55.0508
4.394532 62.496 -54.6555
4.760743 64.189 -57.9356
5.126954 65.764 -65.2015
5.493164 66.859 -73.5529
5.859375 67.506 -80.6011
6.225586 67.927 -85.1501
6.591797 68.388 -87.4979
6.958008 69.015 -89.1497
7.324219 69.709 -91.4197
7.690430 70.307 -94.4629
8.056641 70.731 -97.6563
8.422852 71.014 -100.3689
8.789063 71.243 -102.4257
9.155274 71.485 -104.1296
9.521485 71.744 -105.9058
9.887696 71.980 -107.9295
10.253907 72.096 -110.0812
10.620118 72.138 -112.1608
10.986329 72.164 -114.0868
11.352540 72.196 -115.9238
11.718751 72.235 -117.7662
12.084962 72.271 -119.6291
12.451173 72.303 -121.4521
12.817384 72.379 -123.1810
13.183595 72.469 -124.8220
13.549806 72.562 -126.4161
13.916017 72.651 -127.9762
14.282228 72.728 -129.4644
14.648439 72.796 -130.8317
15.014650 72.862 -132.0710
15.380861 72.929 -133.2266
15.747072 72.994 -134.3511
16.113283 73.055 -135.4588
16.479493 73.111 -136.5233
16.845704 73.157 -137.5161
17.211915 73.198 -138.4426
17.578126 73.238 -139.3391
17.944337 73.274 -140.2396
18.310548 73.303 -141.1488
18.676759 73.326 -142.0480
19.042970 73.343 -142.9219
19.409181 73.361 -143.7757
19.775392 73.379 -144.6262
20.141603 73.399 -145.4821
20.507814 73.419 -146.3345
20.874025 73.438 -147.1671
21.240236 73.457 -147.9721
21.606447 73.479 -148.7543
21.972658 73.502 -149.5203
22.338869 73.524 -150.2678
22.705080 73.546 -150.9873
23.071291 73.567 -151.6728
23.437502 73.588 -152.3280
23.803713 73.608 -152.9622
24.169924 73.626 -153.5794
24.536135 73.641 -154.1750
24.902346 73.653 -154.7425
25.268557 73.663 -155.2829
25.634768 73.673 -155.8068
26.000979 73.682 -156.3258
26.367190 73.688 -156.8444
26.733401 73.692 -157.3590
27.099612 73.693 -157.8649
27.465823 73.694 -158.3622
27.832033 73.695 -158.8562
28.198244 73.695 -159.3516
28.564455 73.695 -159.8481
28.930666 73.694 -160.3416
29.296877 73.693 -160.8280
29.663088 73.693 -161.3061
30.029299 73.693 -161.7752
30.395510 73.693 -162.2342
30.761721 73.694 -162.6812
31.127932 73.695 -163.1159
31.494143 73.698 -163.5406
31.860354 73.700 -163.9582
32.226565 73.702 -164.3692
32.592776 73.702 -164.7713
32.958987 73.702 -165.1617
33.325198 73.701 -165.5406
33.691409 73.699 -165.9101
34.057620 73.696 -166.2727
34.423831 73.692 -166.6281
34.790042 73.687 -166.9758
35.156253 73.682 -167.3165
35.522464 73.677 -167.6534
35.888675 73.671 -167.9897
36.254886 73.665 -168.3257
36.621097 73.658 -168.6591
36.987308 73.651 -168.9878
37.353519 73.644 -169.3124
37.719730 73.638 -169.6361
38.085941 73.631 -169.9608
38.452152 73.624 -170.2843
38.818363 73.617 -170.6017
39.184573 73.610 -170.9096
39.550784 73.603 -171.2088
39.916995 73.597 -171.5034
40.283206 73.592 -171.7973
40.649417 73.587 -172.0903
41.015628 73.581 -172.3787
41.381839 73.574 -172.6588
41.748050 73.567 -172.9297
42.114261 73.561 -173.1938
42.480472 73.555 -173.4546
42.846683 73.549 -173.7145
43.212894 73.542 -173.9740
43.579105 73.535 -174.2319
43.945316 73.528 -174.4872
44.311527 73.520 -174.7390
44.677738 73.512 -174.9871
45.043949 73.504 -175.2318
45.410160 73.495 -175.4739
45.776371 73.487 -175.7139
46.142582 73.479 -175.9515
46.508793 73.470 -176.1852
46.875004 73.461 -176.4137
47.241215 73.452 -176.6374
47.607426 73.444 -176.8581
47.973637 73.436 -177.0786
48.339848 73.428 -177.3001
48.706059 73.420 -177.5216
49.072270 73.411 -177.7401
49.438481 73.401 -177.9529
49.804692 73.391 -178.1595
50.170902 73.382 -178.3621
50.537113 73.373 -178.5636
50.903324 73.364 -178.7660
51.269535 73.355 -178.9690
51.635746 73.346 -179.1710
52.001957 73.337 -179.3705
52.368168 73.327 -179.5676
52.734379 73.318 -179.7636
53.100590 73.309 -179.9593
53.466801 73.299 179.8461
53.833012 73.289 179.6548
54.199223 73.280 179.4684
54.565434 73.270 179.2859
54.931645 73.261 179.1043
55.297856 73.253 178.9207
55.664067 73.243 178.7361
56.030278 73.233 178.5552
56.396489 73.223 178.3831
56.762700 73.213 178.2202
57.128911 73.204 178.0607
57.495122 73.197 177.8952
57.861333 73.189 177.7181
58.227544 73.180 177.5323
58.593755 73.169 177.3478
58.959966 73.155 177.1752
59.326177 73.141 177.0187
59.692388 73.128 176.8744
60.058599 73.117 176.7333
60.424810 73.107 176.5885
60.791021 73.097 176.4385
61.157232 73.087 176.2856
61.523442 73.076 176.1325
61.889653 73.065 175.9793
62.255864 73.054 175.8252
62.622075 73.042 175.6708
62.988286 73.029 175.5198
63.354497 73.015 175.3762
63.720708 73.002 175.2413
64.086919 72.989 175.1115
64.453130 72.979 174.9799
64.819341 72.968 174.8415
65.185552 72.958 174.6959
65.551763 72.947 174.5482
65.917974 72.934 174.4048
66.284185 72.922 174.2689
66.650396 72.911 174.1385
67.016607 72.901 174.0082
67.382818 72.891 173.8732
67.749029 72.881 173.7332
68.115240 72.869 173.5929
68.481451 72.857 173.4581
68.847662 72.845 173.3319
69.213873 72.834 173.2122
69.580084 72.823 173.0939
69.946295 72.812 172.9732
70.312506 72.801 172.8513
70.678717 72.789 172.7331
71.044928 72.776 172.6224
71.411139 72.764 172.5174
71.777350 72.753 172.4114
72.143561 72.742 172.2979
72.509771 72.729 172.1775
72.875982 72.714 172.0591
73.242193 72.698 171.9552
73.608404 72.681 171.8715
73.974615 72.668 171.8012
74.340826 72.658 171.7277
74.707037 72.651 171.6342
75.073248 72.643 171.5144
75.439459 72.634 171.3763
75.805670 72.620 171.2357
76.171881 72.605 171.1063
76.538092 72.589 170.9925
76.904303 72.574 170.8894
77.270514 72.561 170.7892
77.636725 72.549 170.6875
78.002936 72.536 170.5853
78.369147 72.524 170.4854
78.735358 72.513 170.3882
79.101569 72.502 170.2904
79.467780 72.492 170.1880
79.833991 72.481 170.0804
80.200202 72.470 169.9720
80.566413 72.457 169.8693
80.932624 72.443 169.7765
81.298835 72.431 169.6921
81.665046 72.419 169.6107
82.031257 72.407 169.5267
82.397468 72.396 169.4391
82.763679 72.383 169.3517
83.129890 72.370 169.2700
83.496101 72.357 169.1964
83.862311 72.346 169.1275
84.228522 72.336 169.0554
84.594733 72.327 168.9723
84.960944 72.318 168.8749
85.327155 72.308 168.7667
85.693366 72.295 168.6560
86.059577 72.280 168.5516
86.425788 72.265 168.4586
86.791999 72.250 168.3764
87.158210 72.236 168.3011
87.524421 72.223 168.2280
87.890632 72.210 168.1546
88.256843 72.197 168.0812
88.623054 72.185 168.0094
88.989265 72.173 167.9400
89.355476 72.162 167.8722
89.721687 72.151 167.8034
90.087898 72.141 167.7313
90.454109 72.131 167.6552
90.820320 72.120 167.5759
91.186531 72.108 167.4957
91.552742 72.096 167.4171
91.918953 72.084 167.3412
92.285164 72.071 167.2687
92.651375 72.059 167.1986
93.017586 72.046 167.1304
93.383797 72.034 167.0634
93.750008 72.021 166.9975
94.116219 72.009 166.9327
94.482430 71.997 166.8690
94.848641 71.985 166.8058
95.214851 71.973 166.7429
95.581062 71.961 166.6801
95.947273 71.950 166.6176
96.313484 71.938 166.5556
96.679695 71.927 166.4938
97.045906 71.915 166.4313
97.412117 71.904 166.3673
97.778328 71.893 166.3020
98.144539 71.881 166.2363
98.510750 71.869 166.1717
98.876961 71.857 166.1091
99.243172 71.844 166.0481
99.609383 71.832 165.9877
99.975594 71.820 165.9273
100.341805 71.808 165.8674
100.708016 71.795 165.8097
101.074227 71.783 165.7552
101.440438 71.771 165.7037
101.806649 71.759 165.6533
102.172860 71.748 165.6014
102.539071 71.737 165.5469
102.905282 71.726 165.4902
103.271493 71.715 165.4324
103.637704 71.704 165.3748
104.003915 71.692 165.3176
104.370126 71.680 165.2608
104.736337 71.668 165.2049
105.102548 71.656 165.1516
105.468759 71.643 165.1027
105.834970 71.630 165.0591
106.201180 71.618 165.0199
106.567391 71.607 164.9820
106.933602 71.597 164.9425
107.299813 71.587 164.8992
107.666024 71.576 164.8519
108.032235 71.566 164.8018
108.398446 71.555 164.7509
108.764657 71.544 164.7005
109.130868 71.533 164.6516
109.497079 71.521 164.6041
109.863290 71.509 164.5577
110.229501 71.498 164.5121
110.595712 71.487 164.4665
110.961923 71.475 164.4209
111.328134 71.463 164.3755
111.694345 71.451 164.3312
112.060556 71.440 164.2885
112.426767 71.428 164.2478
112.792978 71.416 164.2085
113.159189 71.405 164.1694
113.525400 71.394 164.1298
113.891611 71.383 164.0894
114.257822 71.372 164.0486
114.624033 71.361 164.0084
114.990244 71.349 163.9691
115.356455 71.338 163.9308
115.722666 71.327 163.8929
116.088877 71.316 163.8551
116.455088 71.305 163.8174
116.821299 71.294 163.7802
117.187510 71.284 163.7441
117.553720 71.273 163.7090
117.919931 71.262 163.6746
118.286142 71.252 163.6395
118.652353 71.241 163.6028
119.018564 71.231 163.5644
119.384775 71.220 163.5247
119.750986 71.209 163.4852
120.117197 71.198 163.4468
120.483408 71.187 163.4104
120.849619 71.175 163.3756
121.215830 71.164 163.3419
121.582041 71.152 163.3089
121.948252 71.141 163.2765
122.314463 71.129 163.2451
122.680674 71.118 163.2153
123.046885 71.106 163.1871
123.413096 71.095 163.1603
123.779307 71.084 163.1342
124.145518 71.074 163.1084
124.511729 71.064 163.0823
124.877940 71.054 163.0556
125.244151 71.045 163.0281
125.610362 71.035 162.9996
125.976573 71.026 162.9701
126.342784 71.017 162.9400
126.708995 71.008 162.9104
127.075206 70.999 162.8822
127.441417 70.989 162.8562
127.807628 70.980 162.8323
128.173839 70.971 162.8097
128.540049 70.962 162.7873
128.906260 70.953 162.7640
129.272471 70.945 162.7395
129.638682 70.936 162.7139
130.004893 70.927 162.6878
130.371104 70.918 162.6618
130.737315 70.909 162.6364
131.103526 70.900 162.6118
131.469737 70.890 162.5881
131.835948 70.881 162.5650
132.202159 70.872 162.5424
132.568370 70.862 162.5201
132.934581 70.853 162.4978
133.300792 70.844 162.4754
133.667003 70.835 162.4529
134.033214 70.826 162.4305
134.399425 70.817 162.4086
134.765636 70.808 162.3873
135.131847 70.798 162.3669
135.498058 70.789 162.3471
135.864269 70.781 162.3278
136.230480 70.772 162.3085
136.596691 70.763 162.2891
136.962902 70.755 162.2694
137.329113 70.746 162.2498
137.695324 70.737 162.2306
138.061535 70.729 162.2121
138.427746 70.720 162.1945
138.793957 70.711 162.1775
139.160168 70.703 162.1610
139.526379 70.695 162.1445
139.892589 70.686 162.1274
140.258800 70.678 162.1098
140.625011 70.670 162.0915
140.991222 70.661 162.0729
141.357433 70.653 162.0544
141.723644 70.644 162.0363
142.089855 70.635 162.0190
142.456066 70.627 162.0026
142.822277 70.618 161.9868
143.188488 70.609 161.9716
143.554699 70.600 161.9566
143.920910 70.592 161.9418
144.287121 70.583 161.9271
144.653332 70.574 161.9125
145.019543 70.566 161.8982
145.385754 70.557 161.8843
145.751965 70.549 161.8705
146.118176 70.540 161.8569
146.484387 70.532 161.8433
146.850598 70.523 161.8300
147.216809 70.515 161.8170
147.583020 70.506 161.8044
147.949231 70.498 161.7922
148.315442 70.489 161.7803
148.681653 70.481 161.7687
149.047864 70.473 161.7576
149.414075 70.464 161.7470
