* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:17:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Piccolo Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.586 163.9208
0.732422 58.954 147.3854
1.098633 55.901 129.0665
1.464844 50.657 102.8134
1.831055 44.640 34.2734
2.197266 49.331 -29.0213
2.563477 53.227 -46.5165
2.929688 55.622 -51.9727
3.295899 57.549 -53.2353
3.662110 59.339 -54.0826
4.028321 60.938 -56.1430
4.394532 62.248 -59.3527
4.760743 63.255 -63.0182
5.126954 64.024 -66.5329
5.493164 64.653 -69.6552
5.859375 65.224 -72.5111
6.225586 65.772 -75.3930
6.591797 66.289 -78.4984
6.958008 66.755 -81.8074
7.324219 67.162 -85.1476
7.690430 67.523 -88.3402
8.056641 67.863 -91.3081
8.422852 68.198 -94.0886
8.789063 68.532 -96.7635
9.155274 68.854 -99.3760
9.521485 69.155 -101.9016
9.887696 69.426 -104.2810
10.253907 69.603 -106.4723
10.620118 69.731 -108.4792
10.986329 69.848 -110.3378
11.352540 69.952 -112.0847
11.718751 70.040 -113.7367
12.084962 70.114 -115.2970
12.451173 70.176 -116.7749
12.817384 70.276 -118.1961
13.183595 70.373 -119.5922
13.549806 70.458 -120.9802
13.916017 70.527 -122.3527
14.282228 70.584 -123.6875
14.648439 70.632 -124.9690
15.014650 70.677 -126.2039
15.380861 70.724 -127.4168
15.747072 70.772 -128.6322
16.113283 70.823 -129.8556
16.479493 70.879 -131.0701
16.845704 70.931 -132.2489
17.211915 70.981 -133.3722
17.578126 71.032 -134.4377
17.944337 71.085 -135.4576
18.310548 71.139 -136.4469
18.676759 71.191 -137.4132
19.042970 71.240 -138.3536
19.409181 71.283 -139.2581
19.775392 71.321 -140.1169
20.141603 71.356 -140.9256
20.507814 71.389 -141.6885
20.874025 71.421 -142.4178
21.240236 71.452 -143.1305
21.606447 71.481 -143.8412
21.972658 71.504 -144.5545
22.338869 71.523 -145.2617
22.705080 71.535 -145.9470
23.071291 71.546 -146.6001
23.437502 71.559 -147.2276
23.803713 71.575 -147.8522
24.169924 71.594 -148.4978
24.536135 71.611 -149.1701
24.902346 71.624 -149.8508
25.268557 71.635 -150.5123
25.634768 71.645 -151.1427
26.000979 71.658 -151.7585
26.367190 71.674 -152.3906
26.733401 71.684 -153.0513
27.099612 71.684 -153.7094
27.465823 71.670 -154.2991
27.832033 71.651 -154.7622
28.198244 71.640 -155.0946
28.564455 71.646 -155.3600
28.930666 71.670 -155.6543
29.296877 71.701 -156.0444
29.663088 71.728 -156.5299
30.029299 71.742 -157.0554
30.395510 71.744 -157.5574
30.761721 71.742 -158.0094
31.127932 71.741 -158.4301
31.494143 71.744 -158.8548
31.860354 71.744 -159.2991
32.226565 71.740 -159.7455
32.592776 71.731 -160.1632
32.958987 71.724 -160.5379
33.325198 71.722 -160.8851
33.691409 71.725 -161.2363
34.057620 71.732 -161.6122
34.423831 71.738 -162.0087
34.790042 71.741 -162.4055
35.156253 71.743 -162.7874
35.522464 71.746 -163.1574
35.888675 71.750 -163.5314
36.254886 71.752 -163.9198
36.621097 71.750 -164.3141
36.987308 71.742 -164.6893
37.353519 71.729 -165.0188
37.719730 71.716 -165.2918
38.085941 71.707 -165.5207
38.452152 71.706 -165.7364
38.818363 71.712 -165.9743
39.184573 71.720 -166.2594
39.550784 71.725 -166.5948
39.916995 71.723 -166.9603
40.283206 71.712 -167.3201
40.649417 71.696 -167.6399
41.015628 71.678 -167.9051
41.381839 71.666 -168.1293
41.748050 71.662 -168.3478
42.114261 71.663 -168.5961
42.480472 71.665 -168.8899
42.846683 71.663 -169.2173
43.212894 71.655 -169.5490
43.579105 71.643 -169.8572
43.945316 71.629 -170.1304
44.311527 71.619 -170.3764
44.677738 71.612 -170.6131
45.043949 71.609 -170.8570
45.410160 71.606 -171.1151
45.776371 71.603 -171.3846
46.142582 71.597 -171.6570
46.508793 71.590 -171.9220
46.875004 71.581 -172.1721
47.241215 71.573 -172.4056
47.607426 71.565 -172.6269
47.973637 71.559 -172.8443
48.339848 71.554 -173.0648
48.706059 71.548 -173.2889
49.072270 71.541 -173.5103
49.438481 71.533 -173.7212
49.804692 71.525 -173.9197
50.170902 71.519 -174.1131
50.537113 71.515 -174.3129
50.903324 71.510 -174.5262
51.269535 71.504 -174.7491
51.635746 71.495 -174.9690
52.001957 71.483 -175.1737
52.368168 71.473 -175.3609
52.734379 71.464 -175.5397
53.100590 71.457 -175.7238
53.466801 71.451 -175.9204
53.833012 71.443 -176.1258
54.199223 71.434 -176.3290
54.565434 71.424 -176.5214
54.931645 71.416 -176.7040
55.297856 71.409 -176.8858
55.664067 71.404 -177.0759
56.030278 71.398 -177.2751
56.396489 71.391 -177.4752
56.762700 71.383 -177.6665
57.128911 71.376 -177.8468
57.495122 71.371 -178.0241
57.861333 71.366 -178.2099
58.227544 71.361 -178.4086
58.593755 71.352 -178.6110
58.959966 71.340 -178.7985
59.326177 71.326 -178.9554
59.692388 71.313 -179.0804
60.058599 71.304 -179.1883
60.424810 71.299 -179.3009
60.791021 71.296 -179.4337
61.157232 71.292 -179.5876
61.523442 71.286 -179.7516
61.889653 71.276 -179.9124
62.255864 71.265 179.9373
62.622075 71.254 179.7957
62.988286 71.243 179.6573
63.354497 71.232 179.5181
63.720708 71.221 179.3787
64.086919 71.210 179.2411
64.453130 71.199 179.1058
64.819341 71.188 178.9694
65.185552 71.179 178.8282
65.551763 71.169 178.6807
65.917974 71.159 178.5293
66.284185 71.148 178.3784
66.650396 71.137 178.2310
67.016607 71.126 178.0871
67.382818 71.115 177.9453
67.749029 71.104 177.8049
68.115240 71.093 177.6677
68.481451 71.081 177.5370
68.847662 71.070 177.4143
69.213873 71.059 177.2974
69.580084 71.050 177.1807
69.946295 71.041 177.0590
70.312506 71.033 176.9302
70.678717 71.023 176.7979
71.044928 71.012 176.6685
71.411139 71.000 176.5477
71.777350 70.989 176.4362
72.143561 70.979 176.3288
72.509771 70.970 176.2180
72.875982 70.962 176.0989
73.242193 70.953 175.9729
73.608404 70.942 175.8466
73.974615 70.931 175.7270
74.340826 70.920 175.6166
74.707037 70.910 175.5114
75.073248 70.901 175.4047
75.439459 70.892 175.2922
75.805670 70.883 175.1752
76.171881 70.873 175.0593
76.538092 70.862 174.9494
76.904303 70.852 174.8453
77.270514 70.842 174.7422
77.636725 70.833 174.6349
78.002936 70.823 174.5219
78.369147 70.812 174.4073
78.735358 70.800 174.2969
79.101569 70.788 174.1940
79.467780 70.776 174.0969
79.833991 70.765 174.0004
80.200202 70.754 173.9005
80.566413 70.744 173.7966
80.932624 70.733 173.6913
81.298835 70.721 173.5878
81.665046 70.710 173.4867
82.031257 70.699 173.3862
82.397468 70.689 173.2849
82.763679 70.678 173.1828
83.129890 70.667 173.0824
83.496101 70.655 172.9862
83.862311 70.645 172.8946
84.228522 70.635 172.8054
84.594733 70.626 172.7153
84.960944 70.617 172.6224
85.327155 70.608 172.5268
85.693366 70.598 172.4302
86.059577 70.588 172.3346
86.425788 70.577 172.2414
86.791999 70.566 172.1516
87.158210 70.554 172.0660
87.524421 70.542 171.9856
87.890632 70.530 171.9111
88.256843 70.518 171.8421
88.623054 70.506 171.7767
88.989265 70.495 171.7130
89.355476 70.484 171.6495
89.721687 70.473 171.5857
90.087898 70.463 171.5217
90.454109 70.453 171.4569
90.820320 70.443 171.3901
91.186531 70.434 171.3192
91.552742 70.425 171.2426
91.918953 70.415 171.1606
92.285164 70.405 171.0751
92.651375 70.394 170.9891
93.017586 70.382 170.9055
93.383797 70.370 170.8263
93.750008 70.358 170.7517
94.116219 70.347 170.6810
94.482430 70.336 170.6125
94.848641 70.326 170.5447
95.214851 70.316 170.4767
95.581062 70.306 170.4078
95.947273 70.296 170.3384
96.313484 70.286 170.2691
96.679695 70.276 170.2009
97.045906 70.266 170.1344
97.412117 70.256 170.0699
97.778328 70.245 170.0071
98.144539 70.235 169.9455
98.510750 70.224 169.8846
98.876961 70.214 169.8245
99.243172 70.203 169.7655
99.609383 70.193 169.7078
99.975594 70.182 169.6511
100.341805 70.172 169.5941
100.708016 70.162 169.5355
101.074227 70.152 169.4738
101.440438 70.142 169.4088
101.806649 70.132 169.3410
102.172860 70.121 169.2716
102.539071 70.110 169.2018
102.905282 70.099 169.1330
103.271493 70.087 169.0659
103.637704 70.076 169.0015
104.003915 70.064 168.9407
104.370126 70.052 168.8844
104.736337 70.041 168.8326
105.102548 70.030 168.7844
105.468759 70.021 168.7379
105.834970 70.012 168.6904
106.201180 70.004 168.6401
106.567391 69.996 168.5861
106.933602 69.988 168.5287
107.299813 69.980 168.4691
107.666024 69.971 168.4087
108.032235 69.962 168.3484
108.398446 69.953 168.2891
108.764657 69.943 168.2314
109.130868 69.932 168.1765
109.497079 69.921 168.1252
109.863290 69.910 168.0785
110.229501 69.899 168.0359
110.595712 69.889 167.9966
110.961923 69.879 167.9585
111.328134 69.869 167.9197
111.694345 69.860 167.8787
112.060556 69.851 167.8347
112.426767 69.842 167.7878
112.792978 69.832 167.7389
113.159189 69.822 167.6892
113.525400 69.812 167.6403
113.891611 69.801 167.5930
114.257822 69.791 167.5478
114.624033 69.780 167.5047
114.990244 69.769 167.4633
115.356455 69.759 167.4235
115.722666 69.749 167.3851
116.088877 69.739 167.3477
116.455088 69.730 167.3108
116.821299 69.720 167.2729
117.187510 69.712 167.2328
117.553720 69.703 167.1896
117.919931 69.694 167.1436
118.286142 69.684 167.0964
118.652353 69.674 167.0497
119.018564 69.663 167.0049
119.384775 69.653 166.9623
119.750986 69.642 166.9214
120.117197 69.631 166.8813
120.483408 69.621 166.8414
120.849619 69.610 166.8021
121.215830 69.599 166.7644
121.582041 69.588 166.7290
121.948252 69.577 166.6960
122.314463 69.567 166.6649
122.680674 69.557 166.6342
123.046885 69.547 166.6029
123.413096 69.538 166.5703
123.779307 69.529 166.5364
124.145518 69.519 166.5018
124.511729 69.510 166.4673
124.877940 69.501 166.4330
125.244151 69.492 166.3992
125.610362 69.483 166.3655
125.976573 69.475 166.3314
126.342784 69.466 166.2969
126.708995 69.458 166.2622
127.075206 69.449 166.2280
127.441417 69.440 166.1947
127.807628 69.432 166.1628
128.173839 69.423 166.1323
128.540049 69.414 166.1030
128.906260 69.406 166.0746
129.272471 69.397 166.0467
129.638682 69.389 166.0188
130.004893 69.381 165.9907
130.371104 69.373 165.9623
130.737315 69.365 165.9337
131.103526 69.357 165.9053
131.469737 69.349 165.8774
131.835948 69.341 165.8506
132.202159 69.332 165.8253
132.568370 69.324 165.8019
132.934581 69.315 165.7805
133.300792 69.307 165.7610
133.667003 69.299 165.7426
134.033214 69.291 165.7245
134.399425 69.284 165.7056
134.765636 69.276 165.6854
135.131847 69.269 165.6635
135.498058 69.261 165.6404
135.864269 69.253 165.6165
136.230480 69.245 165.5924
136.596691 69.236 165.5683
136.962902 69.228 165.5441
137.329113 69.219 165.5195
137.695324 69.211 165.4945
138.061535 69.202 165.4693
138.427746 69.194 165.4442
138.793957 69.185 165.4196
139.160168 69.177 165.3958
139.526379 69.168 165.3724
139.892589 69.160 165.3492
140.258800 69.152 165.3259
140.625011 69.145 165.3023
140.991222 69.137 165.2786
141.357433 69.130 165.2552
141.723644 69.122 165.2325
142.089855 69.115 165.2108
142.456066 69.107 165.1904
142.822277 69.100 165.1715
143.188488 69.092 165.1542
143.554699 69.085 165.1387
143.920910 69.078 165.1247
144.287121 69.070 165.1118
144.653332 69.063 165.0997
145.019543 69.056 165.0876
145.385754 69.049 165.0754
145.751965 69.041 165.0632
146.118176 69.034 165.0513
146.484387 69.026 165.0401
146.850598 69.018 165.0296
147.216809 69.011 165.0192
147.583020 69.003 165.0078
147.949231 68.996 164.9941
148.315442 68.989 164.9774
148.681653 68.981 164.9575
