* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:18:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Piccolo Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.025 -23.9237
0.732422 65.121 -47.6072
1.098633 61.389 -70.3934
1.464844 53.732 -88.1026
1.831055 45.307 23.8482
2.197266 56.093 22.8028
2.563477 59.194 1.9274
2.929688 59.955 -19.2045
3.295899 59.407 -37.0914
3.662110 58.178 -47.5522
4.028321 57.489 -47.4168
4.394532 58.623 -44.2629
4.760743 60.672 -47.8983
5.126954 62.396 -56.5625
5.493164 63.491 -65.9507
5.859375 64.078 -73.2440
6.225586 64.464 -77.2109
6.591797 64.993 -78.5934
6.958008 65.770 -79.5935
7.324219 66.611 -81.7331
7.690430 67.301 -84.8673
8.056641 67.769 -88.0566
8.422852 68.079 -90.5482
8.789063 68.348 -92.2364
9.155274 68.649 -93.5844
9.521485 68.975 -95.1172
9.887696 69.273 -96.9951
10.253907 69.442 -99.0429
10.620118 69.535 -101.0412
10.986329 69.614 -102.9331
11.352540 69.695 -104.8065
11.718751 69.774 -106.7389
12.084962 69.841 -108.6964
12.451173 69.897 -110.5769
12.817384 69.999 -112.3183
13.183595 70.119 -113.9483
13.549806 70.248 -115.5350
13.916017 70.375 -117.1042
14.282228 70.493 -118.6178
14.648439 70.600 -120.0236
15.014650 70.704 -121.3148
15.380861 70.806 -122.5332
15.747072 70.903 -123.7217
16.113283 70.991 -124.8811
16.479493 71.073 -125.9785
16.845704 71.145 -126.9917
17.211915 71.212 -127.9403
17.578126 71.278 -128.8715
17.944337 71.338 -129.8194
18.310548 71.389 -130.7804
18.676759 71.430 -131.7295
19.042970 71.468 -132.6535
19.409181 71.505 -133.5672
19.775392 71.543 -134.4961
20.141603 71.579 -135.4463
20.507814 71.612 -136.3941
20.874025 71.641 -137.3056
21.240236 71.671 -138.1658
21.606447 71.706 -138.9893
21.972658 71.745 -139.8050
22.338869 71.786 -140.6276
22.705080 71.821 -141.4427
23.071291 71.851 -142.2164
23.437502 71.877 -142.9213
23.803713 71.906 -143.5587
24.169924 71.940 -144.1610
24.536135 71.978 -144.7707
24.902346 72.015 -145.4123
25.268557 72.044 -146.0756
25.634768 72.064 -146.7258
26.000979 72.077 -147.3329
26.367190 72.090 -147.9006
26.733401 72.107 -148.4669
27.099612 72.124 -149.0737
27.465823 72.133 -149.7256
27.832033 72.129 -150.3750
28.198244 72.115 -150.9512
28.564455 72.101 -151.4148
28.930666 72.101 -151.7952
29.296877 72.119 -152.1772
29.663088 72.149 -152.6411
30.029299 72.178 -153.2053
30.395510 72.195 -153.8178
30.761721 72.199 -154.4003
31.127932 72.199 -154.9050
31.494143 72.203 -155.3423
31.860354 72.213 -155.7598
32.226565 72.227 -156.1961
32.592776 72.238 -156.6516
32.958987 72.242 -157.0963
33.325198 72.244 -157.5031
33.691409 72.246 -157.8726
34.057620 72.252 -158.2313
34.423831 72.260 -158.6071
34.790042 72.266 -159.0083
35.156253 72.268 -159.4217
35.522464 72.266 -159.8280
35.888675 72.262 -160.2177
36.254886 72.257 -160.5953
36.621097 72.253 -160.9696
36.987308 72.248 -161.3440
37.353519 72.242 -161.7138
37.719730 72.237 -162.0718
38.085941 72.232 -162.4168
38.452152 72.230 -162.7554
38.818363 72.229 -163.0975
39.184573 72.230 -163.4489
39.550784 72.229 -163.8067
39.916995 72.227 -164.1613
40.283206 72.224 -164.5031
40.649417 72.222 -164.8290
41.015628 72.220 -165.1450
41.381839 72.220 -165.4619
41.748050 72.219 -165.7875
42.114261 72.216 -166.1199
42.480472 72.210 -166.4473
42.846683 72.200 -166.7550
43.212894 72.189 -167.0348
43.579105 72.180 -167.2902
43.945316 72.174 -167.5347
44.311527 72.171 -167.7839
44.677738 72.169 -168.0469
45.043949 72.167 -168.3237
45.410160 72.164 -168.6081
45.776371 72.159 -168.8926
46.142582 72.153 -169.1730
46.508793 72.148 -169.4486
46.875004 72.142 -169.7202
47.241215 72.135 -169.9875
47.607426 72.129 -170.2492
47.973637 72.123 -170.5040
48.339848 72.118 -170.7523
48.706059 72.113 -170.9971
49.072270 72.109 -171.2430
49.438481 72.105 -171.4932
49.804692 72.100 -171.7479
50.170902 72.094 -172.0032
50.537113 72.087 -172.2530
50.903324 72.078 -172.4919
51.269535 72.070 -172.7181
51.635746 72.061 -172.9342
52.001957 72.054 -173.1453
52.368168 72.047 -173.3559
52.734379 72.041 -173.5679
53.100590 72.034 -173.7808
53.466801 72.027 -173.9936
53.833012 72.020 -174.2060
54.199223 72.013 -174.4186
54.565434 72.005 -174.6310
54.931645 71.997 -174.8412
55.297856 71.987 -175.0459
55.664067 71.978 -175.2428
56.030278 71.969 -175.4331
56.396489 71.961 -175.6219
56.762700 71.955 -175.8157
57.128911 71.947 -176.0179
57.495122 71.939 -176.2258
57.861333 71.928 -176.4311
58.227544 71.916 -176.6244
58.593755 71.905 -176.8009
58.959966 71.894 -176.9637
59.326177 71.887 -177.1226
59.692388 71.882 -177.2885
60.058599 71.878 -177.4684
60.424810 71.873 -177.6622
60.791021 71.868 -177.8646
61.157232 71.860 -178.0679
61.523442 71.851 -178.2660
61.889653 71.841 -178.4550
62.255864 71.831 -178.6335
62.622075 71.821 -178.8023
62.988286 71.812 -178.9642
63.354497 71.804 -179.1235
63.720708 71.796 -179.2844
64.086919 71.788 -179.4488
64.453130 71.780 -179.6154
64.819341 71.770 -179.7807
65.185552 71.760 -179.9416
65.551763 71.750 179.9025
65.917974 71.740 179.7492
66.284185 71.729 179.5962
66.650396 71.718 179.4437
67.016607 71.707 179.2946
67.382818 71.695 179.1526
67.749029 71.683 179.0179
68.115240 71.673 178.8867
68.481451 71.663 178.7520
68.847662 71.655 178.6091
69.213873 71.645 178.4584
69.580084 71.635 178.3054
69.946295 71.624 178.1571
70.312506 71.612 178.0165
70.678717 71.602 177.8803
71.044928 71.592 177.7417
71.411139 71.583 177.5954
71.777350 71.573 177.4426
72.143561 71.562 177.2901
72.509771 71.550 177.1459
72.875982 71.538 177.0120
73.242193 71.527 176.8831
73.608404 71.518 176.7497
73.974615 71.508 176.6067
74.340826 71.497 176.4583
74.707037 71.483 176.3173
75.073248 71.468 176.1970
75.439459 71.454 176.1016
75.805670 71.443 176.0219
76.171881 71.437 175.9396
76.538092 71.433 175.8378
76.904303 71.430 175.7098
77.270514 71.425 175.5621
77.636725 71.416 175.4094
78.002936 71.405 175.2651
78.369147 71.393 175.1349
78.735358 71.381 175.0156
79.101569 71.370 174.8992
79.467780 71.359 174.7794
79.833991 71.348 174.6553
80.200202 71.335 174.5311
80.566413 71.321 174.4128
80.932624 71.307 174.3039
81.298835 71.294 174.2040
81.665046 71.281 174.1096
82.031257 71.270 174.0157
82.397468 71.259 173.9186
82.763679 71.249 173.8167
83.129890 71.239 173.7097
83.496101 71.229 173.5991
83.862311 71.218 173.4866
84.228522 71.206 173.3748
84.594733 71.194 173.2659
84.960944 71.182 173.1625
85.327155 71.170 173.0652
85.693366 71.158 172.9734
86.059577 71.148 172.8845
86.425788 71.138 172.7958
86.791999 71.128 172.7050
87.158210 71.119 172.6116
87.524421 71.110 172.5162
87.890632 71.100 172.4201
88.256843 71.090 172.3244
88.623054 71.079 172.2302
88.989265 71.068 172.1384
89.355476 71.057 172.0503
89.721687 71.045 171.9664
90.087898 71.034 171.8861
90.454109 71.024 171.8069
90.820320 71.014 171.7257
91.186531 71.004 171.6401
91.552742 70.994 171.5498
91.918953 70.983 171.4571
92.285164 70.972 171.3653
92.651375 70.961 171.2769
93.017586 70.949 171.1920
93.383797 70.939 171.1091
93.750008 70.928 171.0259
94.116219 70.918 170.9408
94.482430 70.908 170.8539
94.848641 70.898 170.7666
95.214851 70.887 170.6804
95.581062 70.877 170.5961
95.947273 70.866 170.5140
96.313484 70.856 170.4342
96.679695 70.845 170.3559
97.045906 70.835 170.2790
97.412117 70.824 170.2029
97.778328 70.814 170.1278
98.144539 70.803 170.0535
98.510750 70.792 169.9802
98.876961 70.781 169.9081
99.243172 70.770 169.8369
99.609383 70.759 169.7664
99.975594 70.748 169.6962
100.341805 70.737 169.6262
100.708016 70.725 169.5566
101.074227 70.714 169.4875
101.440438 70.702 169.4189
101.806649 70.691 169.3507
102.172860 70.680 169.2828
102.539071 70.669 169.2154
102.905282 70.658 169.1484
103.271493 70.648 169.0814
103.637704 70.637 169.0136
104.003915 70.627 168.9439
104.370126 70.617 168.8723
104.736337 70.607 168.7996
105.102548 70.596 168.7280
105.468759 70.585 168.6596
105.834970 70.575 168.5951
106.201180 70.564 168.5336
106.567391 70.554 168.4729
106.933602 70.545 168.4109
107.299813 70.535 168.3469
107.666024 70.525 168.2817
108.032235 70.515 168.2173
108.398446 70.504 168.1553
108.764657 70.493 168.0960
109.130868 70.482 168.0387
109.497079 70.471 167.9822
109.863290 70.460 167.9259
110.229501 70.449 167.8701
110.595712 70.438 167.8156
110.961923 70.427 167.7630
111.328134 70.417 167.7121
111.694345 70.406 167.6617
112.060556 70.396 167.6101
112.426767 70.386 167.5564
112.792978 70.376 167.5004
113.159189 70.366 167.4430
113.525400 70.356 167.3854
113.891611 70.346 167.3286
114.257822 70.335 167.2731
114.624033 70.324 167.2192
114.990244 70.314 167.1671
115.356455 70.303 167.1168
115.722666 70.293 167.0682
116.088877 70.283 167.0209
116.455088 70.273 166.9735
116.821299 70.264 166.9249
117.187510 70.254 166.8740
117.553720 70.244 166.8212
117.919931 70.234 166.7678
118.286142 70.223 166.7157
118.652353 70.211 166.6670
119.018564 70.200 166.6224
119.384775 70.188 166.5813
119.750986 70.177 166.5424
120.117197 70.166 166.5038
120.483408 70.156 166.4640
120.849619 70.146 166.4224
121.215830 70.135 166.3788
121.582041 70.125 166.3334
121.948252 70.114 166.2871
122.314463 70.104 166.2407
122.680674 70.093 166.1952
123.046885 70.082 166.1515
123.413096 70.072 166.1099
123.779307 70.061 166.0698
124.145518 70.052 166.0303
124.511729 70.043 165.9902
124.877940 70.034 165.9487
125.244151 70.025 165.9058
125.610362 70.017 165.8621
125.976573 70.009 165.8187
126.342784 70.000 165.7763
126.708995 69.992 165.7355
127.075206 69.983 165.6964
127.441417 69.975 165.6586
127.807628 69.966 165.6218
128.173839 69.957 165.5854
128.540049 69.949 165.5494
128.906260 69.940 165.5136
129.272471 69.931 165.4783
129.638682 69.922 165.4438
130.004893 69.912 165.4102
130.371104 69.903 165.3775
130.737315 69.894 165.3452
131.103526 69.885 165.3129
131.469737 69.876 165.2804
131.835948 69.866 165.2477
132.202159 69.857 165.2153
132.568370 69.848 165.1834
132.934581 69.839 165.1526
133.300792 69.830 165.1225
133.667003 69.822 165.0927
134.033214 69.814 165.0623
134.399425 69.806 165.0307
134.765636 69.798 164.9977
135.131847 69.791 164.9635
135.498058 69.783 164.9289
135.864269 69.775 164.8945
136.230480 69.767 164.8607
136.596691 69.759 164.8276
136.962902 69.750 164.7950
137.329113 69.742 164.7631
137.695324 69.734 164.7319
138.061535 69.725 164.7019
138.427746 69.716 164.6733
138.793957 69.707 164.6461
139.160168 69.699 164.6202
139.526379 69.690 164.5950
139.892589 69.681 164.5700
140.258800 69.672 164.5451
140.625011 69.664 164.5201
140.991222 69.655 164.4950
141.357433 69.646 164.4700
141.723644 69.637 164.4451
142.089855 69.629 164.4208
142.456066 69.620 164.3973
142.822277 69.611 164.3748
143.188488 69.602 164.3535
143.554699 69.593 164.3331
143.920910 69.585 164.3131
144.287121 69.577 164.2930
144.653332 69.569 164.2723
145.019543 69.562 164.2505
145.385754 69.554 164.2274
145.751965 69.546 164.2028
146.118176 69.539 164.1768
146.484387 69.531 164.1498
146.850598 69.523 164.1221
147.216809 69.515 164.0945
147.583020 69.506 164.0677
147.949231 69.498 164.0427
148.315442 69.489 164.0195
