* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2023 6:28:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZERO RED 10 Ohm Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.506 158.9994
0.732422 71.358 137.3614
1.098633 67.065 112.9277
1.464844 58.366 68.5338
1.831055 58.806 -50.4947
2.197266 64.343 -83.3218
2.563477 66.035 -96.2685
2.929688 66.245 -98.4449
3.295899 66.643 -91.9094
3.662110 68.045 -85.6190
4.028321 69.640 -85.4396
4.394532 70.715 -89.2737
4.760743 71.187 -93.7849
5.126954 71.281 -96.8146
5.493164 71.341 -97.8736
5.859375 71.618 -98.2654
6.225586 72.078 -99.7023
6.591797 72.526 -102.6123
6.958008 72.838 -106.2219
7.324219 73.030 -109.5511
7.690430 73.210 -112.1421
8.056641 73.471 -114.2538
8.422852 73.816 -116.4554
8.789063 74.174 -119.0133
9.155274 74.472 -121.7054
9.521485 74.695 -124.0967
9.887696 74.879 -125.9037
10.253907 75.004 -127.1781
10.620118 75.136 -128.2178
10.986329 75.288 -129.3073
11.352540 75.429 -130.5410
11.718751 75.535 -131.8506
12.084962 75.602 -133.1349
12.451173 75.642 -134.3483
12.817384 75.708 -135.5013
13.183595 75.766 -136.6150
13.549806 75.810 -137.6952
13.916017 75.847 -138.7456
14.282228 75.884 -139.7925
14.648439 75.925 -140.8820
15.014650 75.966 -142.0472
15.380861 76.002 -143.2768
15.747072 76.029 -144.5160
16.113283 76.056 -145.6970
16.479493 76.095 -146.7809
16.845704 76.146 -147.7799
17.211915 76.214 -148.7470
17.578126 76.292 -149.7388
17.944337 76.369 -150.7742
18.310548 76.436 -151.8178
18.676759 76.487 -152.8006
19.042970 76.528 -153.6668
19.409181 76.569 -154.4174
19.775392 76.615 -155.1131
20.141603 76.665 -155.8308
20.507814 76.709 -156.6028
20.874025 76.734 -157.3910
21.240236 76.740 -158.1193
21.606447 76.739 -158.7397
21.972658 76.745 -159.2788
22.338869 76.762 -159.8230
22.705080 76.787 -160.4525
23.071291 76.806 -161.1786
23.437502 76.812 -161.9391
23.803713 76.807 -162.6485
24.169924 76.804 -163.2631
24.536135 76.815 -163.8109
24.902346 76.844 -164.3701
25.268557 76.888 -165.0158
25.634768 76.932 -165.7772
26.000979 76.964 -166.6258
26.367190 76.977 -167.4915
26.733401 76.969 -168.2887
27.099612 76.947 -168.9449
27.465823 76.925 -169.4300
27.832033 76.914 -169.7767
28.198244 76.922 -170.0731
28.564455 76.945 -170.4207
28.930666 76.972 -170.8774
29.296877 76.986 -171.4248
29.663088 76.982 -171.9869
30.029299 76.963 -172.4855
30.395510 76.942 -172.8942
30.761721 76.930 -173.2538
31.127932 76.926 -173.6368
31.494143 76.926 -174.0916
31.860354 76.920 -174.6105
32.226565 76.903 -175.1417
32.592776 76.879 -175.6302
32.958987 76.856 -176.0550
33.325198 76.840 -176.4358
33.691409 76.834 -176.8127
34.057620 76.835 -177.2168
34.423831 76.837 -177.6546
34.790042 76.838 -178.1109
35.156253 76.836 -178.5644
35.522464 76.833 -179.0015
35.888675 76.829 -179.4214
36.254886 76.827 -179.8332
36.621097 76.823 179.7529
36.987308 76.818 179.3336
37.353519 76.808 178.9154
37.719730 76.794 178.5105
38.085941 76.778 178.1274
38.452152 76.760 177.7628
38.818363 76.743 177.4028
39.184573 76.726 177.0325
39.550784 76.705 176.6496
39.916995 76.680 176.2682
40.283206 76.651 175.9112
40.649417 76.622 175.5934
41.015628 76.596 175.3110
41.381839 76.576 175.0421
41.748050 76.563 174.7617
42.114261 76.552 174.4553
42.480472 76.542 174.1254
42.846683 76.529 173.7857
43.212894 76.516 173.4507
43.579105 76.501 173.1287
43.945316 76.487 172.8209
44.311527 76.475 172.5243
44.677738 76.465 172.2329
45.043949 76.456 171.9382
45.410160 76.448 171.6318
45.776371 76.438 171.3101
46.142582 76.424 170.9797
46.508793 76.405 170.6580
46.875004 76.383 170.3641
47.241215 76.360 170.1071
47.607426 76.339 169.8785
47.973637 76.323 169.6562
48.339848 76.311 169.4174
48.706059 76.298 169.1517
49.072270 76.284 168.8649
49.438481 76.265 168.5730
49.804692 76.244 168.2901
50.170902 76.222 168.0217
50.537113 76.201 167.7653
50.903324 76.181 167.5159
51.269535 76.161 167.2698
51.635746 76.144 167.0244
52.001957 76.127 166.7750
52.368168 76.112 166.5147
52.734379 76.096 166.2391
53.100590 76.078 165.9519
53.466801 76.056 165.6672
53.833012 76.031 165.4032
54.199223 76.005 165.1718
54.565434 75.982 164.9708
54.931645 75.963 164.7839
55.297856 75.948 164.5901
55.664067 75.936 164.3760
56.030278 75.923 164.1421
56.396489 75.907 163.9012
56.762700 75.889 163.6677
57.128911 75.870 163.4478
57.495122 75.853 163.2347
57.861333 75.838 163.0146
58.227544 75.822 162.7768
58.593755 75.803 162.5226
58.959966 75.780 162.2667
59.326177 75.751 162.0289
59.692388 75.721 161.8236
60.058599 75.691 161.6519
60.424810 75.664 161.5022
60.791021 75.641 161.3572
61.157232 75.621 161.2034
61.523442 75.602 161.0354
61.889653 75.583 160.8551
62.255864 75.563 160.6673
62.622075 75.543 160.4756
62.988286 75.522 160.2818
63.354497 75.500 160.0873
63.720708 75.477 159.8942
64.086919 75.454 159.7046
64.453130 75.431 159.5189
64.819341 75.409 159.3356
65.185552 75.387 159.1518
65.551763 75.364 158.9656
65.917974 75.342 158.7780
66.284185 75.318 158.5930
66.650396 75.293 158.4154
67.016607 75.268 158.2480
67.382818 75.243 158.0901
67.749029 75.219 157.9373
68.115240 75.197 157.7831
68.481451 75.174 157.6230
68.847662 75.152 157.4561
69.213873 75.128 157.2863
69.580084 75.103 157.1198
69.946295 75.078 156.9614
70.312506 75.053 156.8104
70.678717 75.029 156.6612
71.044928 75.006 156.5062
71.411139 74.984 156.3423
71.777350 74.959 156.1741
72.143561 74.933 156.0124
72.509771 74.906 155.8679
72.875982 74.881 155.7435
73.242193 74.858 155.6315
73.608404 74.838 155.5182
73.974615 74.820 155.3933
74.340826 74.801 155.2586
74.707037 74.780 155.1274
75.073248 74.758 155.0149
75.439459 74.738 154.9238
75.805670 74.723 154.8382
76.171881 74.713 154.7301
76.538092 74.704 154.5771
76.904303 74.690 154.3794
77.270514 74.669 154.1631
77.636725 74.639 153.9658
78.002936 74.606 153.8123
78.369147 74.573 153.6993
78.735358 74.546 153.5970
79.101569 74.523 153.4714
79.467780 74.498 153.3076
79.833991 74.467 153.1216
80.200202 74.430 152.9488
80.566413 74.388 152.8203
80.932624 74.347 152.7427
81.298835 74.312 152.6963
81.665046 74.284 152.6495
82.031257 74.260 152.5800
82.397468 74.237 152.4862
82.763679 74.214 152.3810
83.129890 74.190 152.2775
83.496101 74.169 152.1760
83.862311 74.149 152.0646
84.228522 74.131 151.9297
84.594733 74.110 151.7696
84.960944 74.086 151.5988
85.327155 74.056 151.4409
85.693366 74.024 151.3149
86.059577 73.993 151.2245
86.425788 73.965 151.1563
86.791999 73.941 151.0897
87.158210 73.920 151.0090
87.524421 73.899 150.9119
87.890632 73.876 150.8082
88.256843 73.851 150.7112
88.623054 73.826 150.6279
88.989265 73.802 150.5544
89.355476 73.780 150.4798
89.721687 73.759 150.3948
90.087898 73.736 150.2987
90.454109 73.711 150.1998
90.820320 73.684 150.1099
91.186531 73.656 150.0356
91.552742 73.629 149.9750
91.918953 73.603 149.9191
92.285164 73.579 149.8590
92.651375 73.554 149.7912
93.017586 73.529 149.7189
93.383797 73.504 149.6478
93.750008 73.477 149.5807
94.116219 73.452 149.5159
94.482430 73.427 149.4491
94.848641 73.402 149.3772
95.214851 73.376 149.3010
95.581062 73.350 149.2238
95.947273 73.324 149.1488
96.313484 73.298 149.0759
96.679695 73.273 149.0027
97.045906 73.247 148.9268
97.412117 73.222 148.8485
97.778328 73.196 148.7702
98.144539 73.170 148.6952
98.510750 73.144 148.6250
98.876961 73.118 148.5594
99.243172 73.092 148.4971
99.609383 73.067 148.4376
99.975594 73.042 148.3813
100.341805 73.018 148.3281
100.708016 72.994 148.2768
101.074227 72.970 148.2248
101.440438 72.947 148.1702
101.806649 72.923 148.1138
102.172860 72.897 148.0598
102.539071 72.871 148.0133
102.905282 72.845 147.9770
103.271493 72.820 147.9488
103.637704 72.797 147.9221
104.003915 72.774 147.8889
104.370126 72.753 147.8443
104.736337 72.730 147.7894
105.102548 72.706 147.7305
105.468759 72.680 147.6761
105.834970 72.653 147.6320
106.201180 72.626 147.5982
106.567391 72.601 147.5697
106.933602 72.578 147.5392
107.299813 72.556 147.5017
107.666024 72.533 147.4565
108.032235 72.510 147.4071
108.398446 72.486 147.3577
108.764657 72.463 147.3104
109.130868 72.439 147.2643
109.497079 72.415 147.2171
109.863290 72.391 147.1682
110.229501 72.365 147.1198
110.595712 72.339 147.0764
110.961923 72.313 147.0420
111.328134 72.286 147.0170
111.694345 72.260 146.9984
112.060556 72.235 146.9814
112.426767 72.210 146.9630
112.792978 72.185 146.9435
113.159189 72.159 146.9262
113.525400 72.133 146.9150
113.891611 72.107 146.9114
114.257822 72.082 146.9136
114.624033 72.057 146.9178
114.990244 72.033 146.9204
115.356455 72.010 146.9200
115.722666 71.986 146.9175
116.088877 71.962 146.9155
116.455088 71.938 146.9153
116.821299 71.915 146.9161
117.187510 71.893 146.9153
117.553720 71.870 146.9096
117.919931 71.848 146.8971
118.286142 71.826 146.8790
118.652353 71.802 146.8587
119.018564 71.778 146.8407
119.384775 71.753 146.8279
119.750986 71.728 146.8209
120.117197 71.704 146.8175
120.483408 71.681 146.8143
120.849619 71.658 146.8083
121.215830 71.636 146.7983
121.582041 71.614 146.7847
121.948252 71.591 146.7701
122.314463 71.567 146.7571
122.680674 71.544 146.7481
123.046885 71.520 146.7438
123.413096 71.497 146.7431
123.779307 71.475 146.7438
124.145518 71.453 146.7434
124.511729 71.431 146.7409
124.877940 71.409 146.7376
125.244151 71.387 146.7366
125.610362 71.364 146.7414
125.976573 71.342 146.7537
126.342784 71.320 146.7723
126.708995 71.299 146.7935
127.075206 71.279 146.8130
127.441417 71.260 146.8280
127.807628 71.240 146.8387
128.173839 71.218 146.8480
128.540049 71.196 146.8596
128.906260 71.174 146.8765
129.272471 71.151 146.8993
129.638682 71.129 146.9265
130.004893 71.107 146.9552
130.371104 71.086 146.9827
130.737315 71.066 147.0071
131.103526 71.045 147.0277
131.469737 71.024 147.0449
131.835948 71.004 147.0597
132.202159 70.982 147.0732
132.568370 70.961 147.0869
132.934581 70.939 147.1017
133.300792 70.918 147.1187
133.667003 70.896 147.1382
134.033214 70.875 147.1603
134.399425 70.855 147.1843
134.765636 70.834 147.2097
135.131847 70.815 147.2361
135.498058 70.795 147.2629
135.864269 70.776 147.2900
136.230480 70.757 147.3170
136.596691 70.739 147.3438
136.962902 70.720 147.3709
137.329113 70.700 147.3997
137.695324 70.680 147.4322
138.061535 70.660 147.4701
138.427746 70.640 147.5141
138.793957 70.620 147.5637
139.160168 70.600 147.6171
139.526379 70.582 147.6721
139.892589 70.564 147.7266
140.258800 70.546 147.7791
140.625011 70.529 147.8282
140.991222 70.512 147.8730
141.357433 70.494 147.9129
141.723644 70.477 147.9486
142.089855 70.459 147.9819
142.456066 70.440 148.0156
142.822277 70.421 148.0518
143.188488 70.402 148.0917
143.554699 70.383 148.1342
143.920910 70.366 148.1771
144.287121 70.349 148.2181
144.653332 70.332 148.2564
145.019543 70.315 148.2925
145.385754 70.298 148.3281
145.751965 70.281 148.3651
146.118176 70.264 148.4043
146.484387 70.248 148.4453
146.850598 70.232 148.4870
147.216809 70.216 148.5284
147.583020 70.200 148.5692
147.949231 70.183 148.6096
148.315442 70.167 148.6505
148.681653 70.150 148.6932
149.047864 70.133 148.7386
149.414075 70.115 148.7877
149.780286 70.098 148.8408
150.146497 70.080 148.8978
