* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2023 6:27:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZERO RED 10 Ohm Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.960 -22.3975
0.732422 77.295 -44.2456
1.098633 74.216 -64.2818
1.464844 68.997 -77.5162
1.831055 61.658 -53.6241
2.197266 65.000 -13.0164
2.563477 68.576 -23.8368
2.929688 69.950 -45.3449
3.295899 70.133 -68.0914
3.662110 69.592 -87.4433
4.028321 68.728 -98.9310
4.394532 68.427 -100.3215
4.760743 69.535 -98.1145
5.126954 71.326 -100.3793
5.493164 72.785 -106.5353
5.859375 73.618 -113.2097
6.225586 73.949 -117.8824
6.591797 74.103 -119.5053
6.958008 74.416 -119.0543
7.324219 74.958 -118.7704
7.690430 75.521 -119.9150
8.056641 75.910 -122.0903
8.422852 76.086 -124.2790
8.789063 76.141 -125.8111
9.155274 76.196 -126.7464
9.521485 76.307 -127.6388
9.887696 76.444 -128.9289
10.253907 76.486 -130.6150
10.620118 76.463 -132.4385
10.986329 76.433 -134.2198
11.352540 76.423 -135.9872
11.718751 76.433 -137.8418
12.084962 76.445 -139.7694
12.451173 76.448 -141.6197
12.817384 76.501 -143.2490
13.183595 76.582 -144.6549
13.549806 76.687 -145.9600
13.916017 76.800 -147.2693
14.282228 76.897 -148.5638
14.648439 76.969 -149.7345
15.014650 77.026 -150.7048
15.380861 77.083 -151.5131
15.747072 77.142 -152.2787
16.113283 77.198 -153.0938
16.479493 77.241 -153.9536
16.845704 77.257 -154.7843
17.211915 77.256 -155.5244
17.578126 77.252 -156.1834
17.944337 77.254 -156.8300
18.310548 77.264 -157.5368
18.676759 77.276 -158.3358
19.042970 77.285 -159.2138
19.409181 77.290 -160.1370
19.775392 77.293 -161.0716
20.141603 77.299 -161.9947
20.507814 77.312 -162.8981
20.874025 77.333 -163.7898
21.240236 77.358 -164.6869
21.606447 77.384 -165.5937
21.972658 77.401 -166.4824
22.338869 77.409 -167.2965
22.705080 77.410 -167.9852
23.071291 77.414 -168.5433
23.437502 77.427 -169.0229
23.803713 77.449 -169.5005
24.169924 77.471 -170.0248
24.536135 77.482 -170.5896
24.902346 77.479 -171.1510
25.268557 77.466 -171.6711
25.634768 77.450 -172.1479
26.000979 77.434 -172.6117
26.367190 77.420 -173.0971
26.733401 77.406 -173.6181
27.099612 77.390 -174.1677
27.465823 77.373 -174.7359
27.832033 77.358 -175.3237
28.198244 77.345 -175.9401
28.564455 77.331 -176.5849
28.930666 77.312 -177.2354
29.296877 77.290 -177.8500
29.663088 77.266 -178.3890
30.029299 77.249 -178.8384
30.395510 77.245 -179.2226
30.761721 77.256 -179.5939
31.127932 77.277 179.9957
31.494143 77.299 179.5249
31.860354 77.313 179.0147
32.226565 77.315 178.5141
32.592776 77.308 178.0687
32.958987 77.297 177.6917
33.325198 77.289 177.3581
33.691409 77.285 177.0244
34.057620 77.280 176.6588
34.423831 77.269 176.2602
34.790042 77.250 175.8527
35.156253 77.224 175.4649
35.522464 77.195 175.1118
35.888675 77.166 174.7883
36.254886 77.141 174.4771
36.621097 77.120 174.1590
36.987308 77.102 173.8203
37.353519 77.085 173.4563
37.719730 77.067 173.0747
38.085941 77.046 172.6943
38.452152 77.023 172.3374
38.818363 77.002 172.0144
39.184573 76.988 171.7113
39.550784 76.981 171.3929
39.916995 76.977 171.0240
40.283206 76.969 170.5963
40.649417 76.951 170.1401
41.015628 76.921 169.7107
41.381839 76.882 169.3561
41.748050 76.844 169.0892
42.114261 76.813 168.8815
42.480472 76.792 168.6824
42.846683 76.778 168.4497
43.212894 76.766 168.1705
43.579105 76.750 167.8593
43.945316 76.730 167.5418
44.311527 76.709 167.2349
44.677738 76.688 166.9383
45.043949 76.668 166.6395
45.410160 76.650 166.3267
45.776371 76.631 165.9993
46.142582 76.608 165.6693
46.508793 76.583 165.3530
46.875004 76.557 165.0616
47.241215 76.531 164.7951
47.607426 76.508 164.5462
47.973637 76.486 164.3063
48.339848 76.467 164.0713
48.706059 76.449 163.8395
49.072270 76.433 163.6068
49.438481 76.418 163.3652
49.804692 76.402 163.1078
50.170902 76.385 162.8370
50.537113 76.364 162.5670
50.903324 76.339 162.3163
51.269535 76.314 162.0945
51.635746 76.292 161.8938
52.001957 76.273 161.6942
52.368168 76.257 161.4775
52.734379 76.239 161.2404
53.100590 76.218 160.9949
53.466801 76.195 160.7567
53.833012 76.171 160.5322
54.199223 76.147 160.3152
54.565434 76.122 160.0967
54.931645 76.097 159.8763
55.297856 76.068 159.6641
55.664067 76.040 159.4701
56.030278 76.012 159.2910
56.396489 75.988 159.1082
56.762700 75.964 158.9019
57.128911 75.937 158.6713
57.495122 75.904 158.4411
57.861333 75.867 158.2480
58.227544 75.831 158.1116
58.593755 75.804 158.0146
58.959966 75.788 157.9076
59.326177 75.781 157.7381
59.692388 75.775 157.4850
60.058599 75.762 157.1712
60.424810 75.738 156.8475
60.791021 75.706 156.5607
61.157232 75.673 156.3282
61.523442 75.644 156.1357
61.889653 75.619 155.9556
62.255864 75.596 155.7704
62.622075 75.574 155.5818
62.988286 75.550 155.4023
63.354497 75.526 155.2404
63.720708 75.504 155.0913
64.086919 75.484 154.9413
64.453130 75.465 154.7802
64.819341 75.444 154.6086
65.185552 75.420 154.4363
65.551763 75.395 154.2726
65.917974 75.368 154.1188
66.284185 75.342 153.9685
66.650396 75.317 153.8138
67.016607 75.290 153.6525
67.382818 75.263 153.4890
67.749029 75.234 153.3290
68.115240 75.206 153.1738
68.481451 75.179 153.0188
68.847662 75.153 152.8577
69.213873 75.127 152.6893
69.580084 75.099 152.5192
69.946295 75.072 152.3555
70.312506 75.044 152.2019
70.678717 75.019 152.0541
71.044928 74.994 151.9033
71.411139 74.970 151.7452
71.777350 74.944 151.5857
72.143561 74.915 151.4385
72.509771 74.886 151.3151
72.875982 74.858 151.2146
73.242193 74.833 151.1238
73.608404 74.810 151.0264
73.974615 74.788 150.9148
74.340826 74.764 150.7946
74.707037 74.739 150.6762
75.073248 74.713 150.5617
75.439459 74.688 150.4405
75.805670 74.663 150.2974
76.171881 74.634 150.1296
76.538092 74.599 149.9564
76.904303 74.558 149.8109
77.270514 74.514 149.7185
77.636725 74.474 149.6763
78.002936 74.444 149.6510
78.369147 74.422 149.5979
78.735358 74.403 149.4890
79.101569 74.382 149.3298
79.467780 74.353 149.1536
79.833991 74.320 148.9991
80.200202 74.285 148.8865
80.566413 74.254 148.8067
80.932624 74.230 148.7308
81.298835 74.212 148.6289
81.665046 74.194 148.4874
82.031257 74.173 148.3149
82.397468 74.147 148.1354
82.763679 74.116 147.9751
83.129890 74.082 147.8506
83.496101 74.050 147.7626
83.862311 74.022 147.6979
84.228522 73.999 147.6370
84.594733 73.978 147.5634
84.960944 73.959 147.4706
85.327155 73.938 147.3636
85.693366 73.915 147.2547
86.059577 73.890 147.1559
86.425788 73.864 147.0727
86.791999 73.840 147.0016
87.158210 73.817 146.9333
87.524421 73.796 146.8573
87.890632 73.775 146.7682
88.256843 73.752 146.6672
88.623054 73.727 146.5613
88.989265 73.699 146.4597
89.355476 73.669 146.3693
89.721687 73.639 146.2917
90.087898 73.610 146.2234
90.454109 73.582 146.1573
90.820320 73.555 146.0868
91.186531 73.528 146.0082
91.552742 73.500 145.9224
91.918953 73.471 145.8334
92.285164 73.441 145.7465
92.651375 73.410 145.6653
93.017586 73.379 145.5910
93.383797 73.349 145.5219
93.750008 73.320 145.4550
94.116219 73.292 145.3864
94.482430 73.265 145.3137
94.848641 73.238 145.2365
95.214851 73.211 145.1574
95.581062 73.182 145.0811
95.947273 73.154 145.0119
96.313484 73.126 144.9512
96.679695 73.099 144.8963
97.045906 73.073 144.8421
97.412117 73.048 144.7839
97.778328 73.023 144.7209
98.144539 72.998 144.6565
98.510750 72.971 144.5958
98.876961 72.944 144.5423
99.243172 72.917 144.4962
99.609383 72.890 144.4543
99.975594 72.865 144.4126
100.341805 72.839 144.3685
100.708016 72.813 144.3215
101.074227 72.787 144.2722
101.440438 72.760 144.2216
101.806649 72.732 144.1713
102.172860 72.703 144.1232
102.539071 72.674 144.0801
102.905282 72.643 144.0446
103.271493 72.613 144.0168
103.637704 72.585 143.9942
104.003915 72.557 143.9719
104.370126 72.530 143.9452
104.736337 72.504 143.9117
105.102548 72.478 143.8713
105.468759 72.451 143.8262
105.834970 72.424 143.7793
106.201180 72.396 143.7329
106.567391 72.368 143.6891
106.933602 72.340 143.6492
107.299813 72.312 143.6136
107.666024 72.285 143.5821
108.032235 72.258 143.5529
108.398446 72.232 143.5242
108.764657 72.206 143.4948
109.130868 72.180 143.4648
109.497079 72.155 143.4356
109.863290 72.129 143.4089
110.229501 72.102 143.3860
110.595712 72.076 143.3668
110.961923 72.050 143.3506
111.328134 72.025 143.3368
111.694345 71.999 143.3243
112.060556 71.973 143.3126
112.426767 71.948 143.3013
112.792978 71.922 143.2900
113.159189 71.896 143.2785
113.525400 71.869 143.2672
113.891611 71.842 143.2567
114.257822 71.814 143.2484
114.624033 71.786 143.2435
114.990244 71.758 143.2427
115.356455 71.730 143.2461
115.722666 71.703 143.2523
116.088877 71.677 143.2589
116.455088 71.651 143.2629
116.821299 71.626 143.2618
117.187510 71.602 143.2542
117.553720 71.577 143.2410
117.919931 71.551 143.2247
118.286142 71.525 143.2087
118.652353 71.498 143.1960
119.018564 71.471 143.1885
119.384775 71.444 143.1866
119.750986 71.418 143.1898
120.117197 71.392 143.1968
120.483408 71.367 143.2062
120.849619 71.343 143.2166
121.215830 71.319 143.2267
121.582041 71.296 143.2350
121.948252 71.274 143.2401
122.314463 71.252 143.2415
122.680674 71.229 143.2397
123.046885 71.206 143.2365
123.413096 71.182 143.2339
123.779307 71.157 143.2342
124.145518 71.132 143.2380
124.511729 71.108 143.2454
124.877940 71.083 143.2554
125.244151 71.058 143.2676
125.610362 71.033 143.2822
125.976573 71.009 143.2997
126.342784 70.984 143.3206
126.708995 70.960 143.3447
127.075206 70.936 143.3704
127.441417 70.913 143.3960
127.807628 70.891 143.4195
128.173839 70.868 143.4399
128.540049 70.846 143.4575
128.906260 70.823 143.4738
129.272471 70.800 143.4913
129.638682 70.776 143.5125
130.004893 70.752 143.5397
130.371104 70.728 143.5736
130.737315 70.706 143.6134
131.103526 70.684 143.6566
131.469737 70.663 143.7003
131.835948 70.644 143.7420
132.202159 70.624 143.7806
132.568370 70.605 143.8161
132.934581 70.586 143.8492
133.300792 70.566 143.8810
133.667003 70.546 143.9127
134.033214 70.525 143.9454
134.399425 70.503 143.9805
134.765636 70.481 144.0196
135.131847 70.458 144.0635
135.498058 70.434 144.1126
135.864269 70.411 144.1666
136.230480 70.387 144.2250
136.596691 70.363 144.2873
136.962902 70.340 144.3528
137.329113 70.317 144.4197
137.695324 70.296 144.4855
138.061535 70.274 144.5471
138.427746 70.253 144.6024
138.793957 70.232 144.6514
139.160168 70.211 144.6966
139.526379 70.189 144.7419
139.892589 70.167 144.7906
140.258800 70.145 144.8438
140.625011 70.124 144.8998
140.991222 70.105 144.9551
141.357433 70.087 145.0059
141.723644 70.070 145.0494
142.089855 70.053 145.0857
142.456066 70.035 145.1166
142.822277 70.017 145.1460
143.188488 69.998 145.1778
143.554699 69.979 145.2149
143.920910 69.959 145.2585
144.287121 69.940 145.3077
144.653332 69.922 145.3602
145.019543 69.904 145.4136
145.385754 69.887 145.4662
145.751965 69.869 145.5176
146.118176 69.851 145.5686
146.484387 69.832 145.6205
146.850598 69.814 145.6744
147.216809 69.794 145.7307
147.583020 69.775 145.7891
147.949231 69.756 145.8491
148.315442 69.736 145.9101
148.681653 69.717 145.9720
149.047864 69.697 146.0350
149.414075 69.677 146.0994
149.780286 69.657 146.1664
150.146497 69.636 146.2366
150.512708 69.617 146.3107
