* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2023 6:29:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZERO RED Stock Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.979 -22.5480
0.732422 73.290 -44.5099
1.098633 70.152 -64.5137
1.464844 64.779 -76.9391
1.831055 57.685 -47.5390
2.197266 61.843 -11.2630
2.563477 65.333 -23.5683
2.929688 66.693 -45.0488
3.295899 66.886 -67.2189
3.662110 66.352 -85.7029
4.028321 65.513 -96.2872
4.394532 65.276 -97.2433
4.760743 66.403 -95.2938
5.126954 68.141 -97.8254
5.493164 69.540 -104.0019
5.859375 70.339 -110.5575
6.225586 70.670 -115.1043
6.591797 70.850 -116.7438
6.958008 71.187 -116.5257
7.324219 71.725 -116.5518
7.690430 72.262 -117.8890
8.056641 72.621 -120.0760
8.422852 72.782 -122.1340
8.789063 72.845 -123.4813
9.155274 72.929 -124.2870
9.521485 73.077 -125.1781
9.887696 73.243 -126.5907
10.253907 73.296 -128.4622
10.620118 73.265 -130.4554
10.986329 73.209 -132.3142
11.352540 73.169 -134.0210
11.718751 73.159 -135.6958
12.084962 73.169 -137.4066
12.451173 73.190 -139.1032
12.817384 73.265 -140.7022
13.183595 73.360 -142.1839
13.549806 73.463 -143.5881
13.916017 73.564 -144.9341
14.282228 73.652 -146.1777
14.648439 73.726 -147.2573
15.014650 73.797 -148.1740
15.380861 73.870 -149.0088
15.747072 73.936 -149.8522
16.113283 73.987 -150.7199
16.479493 74.019 -151.5455
16.845704 74.032 -152.2553
17.211915 74.042 -152.8511
17.578126 74.061 -153.4225
17.944337 74.089 -154.0809
18.310548 74.115 -154.8793
18.676759 74.129 -155.7911
19.042970 74.128 -156.7498
19.409181 74.119 -157.7001
19.775392 74.107 -158.6172
20.141603 74.101 -159.4959
20.507814 74.102 -160.3353
20.874025 74.114 -161.1393
21.240236 74.135 -161.9231
21.606447 74.165 -162.7051
21.972658 74.196 -163.4867
22.338869 74.224 -164.2423
22.705080 74.249 -164.9355
23.071291 74.272 -165.5502
23.437502 74.298 -166.1062
23.803713 74.325 -166.6421
24.169924 74.348 -167.1814
24.536135 74.362 -167.7151
24.902346 74.364 -168.2153
25.268557 74.360 -168.6658
25.634768 74.354 -169.0782
26.000979 74.347 -169.4823
26.367190 74.339 -169.9021
26.733401 74.330 -170.3447
27.099612 74.318 -170.8085
27.465823 74.305 -171.2973
27.832033 74.291 -171.8199
28.198244 74.273 -172.3751
28.564455 74.250 -172.9389
28.930666 74.223 -173.4716
29.296877 74.197 -173.9446
29.663088 74.179 -174.3642
30.029299 74.175 -174.7711
30.395510 74.180 -175.2125
30.761721 74.189 -175.7078
31.127932 74.193 -176.2362
31.494143 74.190 -176.7531
31.860354 74.182 -177.2225
32.226565 74.175 -177.6413
32.592776 74.172 -178.0370
32.958987 74.170 -178.4433
33.325198 74.166 -178.8718
33.691409 74.153 -179.3023
34.057620 74.132 -179.6984
34.423831 74.107 179.9624
34.790042 74.086 179.6700
35.156253 74.070 179.3866
35.522464 74.058 179.0762
35.888675 74.044 178.7321
36.254886 74.024 178.3812
36.621097 74.001 178.0596
36.987308 73.981 177.7807
37.353519 73.968 177.5206
37.719730 73.964 177.2347
38.085941 73.964 176.8920
38.452152 73.960 176.4979
38.818363 73.950 176.0877
39.184573 73.934 175.6981
39.550784 73.917 175.3404
39.916995 73.902 174.9971
40.283206 73.889 174.6422
40.649417 73.874 174.2677
41.015628 73.851 173.8938
41.381839 73.822 173.5562
41.748050 73.789 173.2808
42.114261 73.760 173.0667
42.480472 73.738 172.8851
42.846683 73.724 172.6962
43.212894 73.716 172.4703
43.579105 73.707 172.1997
43.945316 73.694 171.8983
44.311527 73.676 171.5903
44.677738 73.653 171.2979
45.043949 73.629 171.0327
45.410160 73.605 170.7935
45.776371 73.584 170.5706
46.142582 73.566 170.3525
46.508793 73.550 170.1310
46.875004 73.534 169.9029
47.241215 73.519 169.6691
47.607426 73.503 169.4321
47.973637 73.487 169.1947
48.339848 73.469 168.9583
48.706059 73.451 168.7231
49.072270 73.432 168.4888
49.438481 73.412 168.2558
49.804692 73.391 168.0264
50.170902 73.369 167.8042
50.537113 73.348 167.5917
50.903324 73.327 167.3868
51.269535 73.307 167.1816
51.635746 73.290 166.9662
52.001957 73.272 166.7349
52.368168 73.252 166.4914
52.734379 73.230 166.2480
53.100590 73.205 166.0188
53.466801 73.180 165.8120
53.833012 73.156 165.6255
54.199223 73.136 165.4488
54.565434 73.118 165.2707
54.931645 73.101 165.0845
55.297856 73.085 164.8909
55.664067 73.068 164.6952
56.030278 73.050 164.5027
56.396489 73.032 164.3156
56.762700 73.015 164.1317
57.128911 72.998 163.9470
57.495122 72.980 163.7580
57.861333 72.962 163.5647
58.227544 72.941 163.3708
58.593755 72.919 163.1822
58.959966 72.896 163.0037
59.326177 72.872 162.8361
59.692388 72.850 162.6754
60.058599 72.827 162.5159
60.424810 72.806 162.3531
60.791021 72.783 162.1874
61.157232 72.760 162.0230
61.523442 72.735 161.8655
61.889653 72.711 161.7178
62.255864 72.688 161.5783
62.622075 72.665 161.4413
62.988286 72.644 161.3010
63.354497 72.622 161.1547
63.720708 72.600 161.0047
64.086919 72.576 160.8563
64.453130 72.552 160.7140
64.819341 72.529 160.5773
65.185552 72.507 160.4405
65.551763 72.485 160.2963
65.917974 72.463 160.1418
66.284185 72.439 159.9826
66.650396 72.412 159.8298
67.016607 72.385 159.6931
67.382818 72.359 159.5726
67.749029 72.336 159.4578
68.115240 72.316 159.3331
68.481451 72.297 159.1883
68.847662 72.276 159.0262
69.213873 72.251 158.8610
69.580084 72.224 158.7094
69.946295 72.196 158.5812
70.312506 72.169 158.4742
70.678717 72.146 158.3770
71.044928 72.124 158.2776
71.411139 72.104 158.1688
71.777350 72.085 158.0504
72.143561 72.064 157.9262
72.509771 72.043 157.8005
72.875982 72.021 157.6755
73.242193 71.998 157.5517
73.608404 71.976 157.4275
73.974615 71.953 157.2999
74.340826 71.929 157.1655
74.707037 71.904 157.0236
75.073248 71.876 156.8796
75.439459 71.844 156.7461
75.805670 71.810 156.6385
76.171881 71.776 156.5658
76.538092 71.745 156.5240
76.904303 71.719 156.4956
77.270514 71.699 156.4582
77.636725 71.682 156.3955
78.002936 71.666 156.3044
78.369147 71.648 156.1926
78.735358 71.628 156.0703
79.101569 71.606 155.9439
79.467780 71.582 155.8163
79.833991 71.555 155.6920
80.200202 71.525 155.5819
80.566413 71.493 155.5002
80.932624 71.463 155.4541
81.298835 71.437 155.4348
81.665046 71.417 155.4176
82.031257 71.404 155.3727
82.397468 71.392 155.2821
82.763679 71.377 155.1498
83.129890 71.355 154.9992
83.496101 71.328 154.8598
83.862311 71.298 154.7509
84.228522 71.268 154.6736
84.594733 71.240 154.6130
84.960944 71.216 154.5507
85.327155 71.194 154.4755
85.693366 71.171 154.3883
86.059577 71.146 154.2988
86.425788 71.119 154.2164
86.791999 71.093 154.1443
87.158210 71.068 154.0779
87.524421 71.044 154.0098
87.890632 71.019 153.9360
88.256843 70.994 153.8591
88.623054 70.968 153.7862
88.989265 70.942 153.7233
89.355476 70.916 153.6704
89.721687 70.892 153.6214
90.087898 70.869 153.5677
90.454109 70.847 153.5042
90.820320 70.824 153.4321
91.186531 70.800 153.3581
91.552742 70.775 153.2901
91.918953 70.749 153.2326
92.285164 70.724 153.1848
92.651375 70.700 153.1422
93.017586 70.678 153.0987
93.383797 70.656 153.0503
93.750008 70.635 152.9955
94.116219 70.613 152.9356
94.482430 70.591 152.8739
94.848641 70.567 152.8143
95.214851 70.543 152.7604
95.581062 70.518 152.7139
95.947273 70.494 152.6739
96.313484 70.471 152.6373
96.679695 70.448 152.6001
97.045906 70.426 152.5595
97.412117 70.403 152.5151
97.778328 70.381 152.4682
98.144539 70.357 152.4212
98.510750 70.334 152.3756
98.876961 70.310 152.3314
99.243172 70.286 152.2877
99.609383 70.261 152.2438
99.975594 70.237 152.2008
100.341805 70.211 152.1611
100.708016 70.185 152.1278
101.074227 70.159 152.1025
101.440438 70.133 152.0844
101.806649 70.109 152.0705
102.172860 70.085 152.0569
102.539071 70.061 152.0413
102.905282 70.038 152.0235
103.271493 70.014 152.0055
103.637704 69.989 151.9893
104.003915 69.965 151.9762
104.370126 69.940 151.9659
104.736337 69.916 151.9576
105.102548 69.892 151.9509
105.468759 69.868 151.9458
105.834970 69.844 151.9415
106.201180 69.822 151.9355
106.567391 69.801 151.9241
106.933602 69.780 151.9038
107.299813 69.759 151.8739
107.666024 69.737 151.8369
108.032235 69.714 151.7974
108.398446 69.690 151.7595
108.764657 69.665 151.7253
109.130868 69.641 151.6943
109.497079 69.616 151.6662
109.863290 69.591 151.6421
110.229501 69.566 151.6248
110.595712 69.540 151.6166
110.961923 69.516 151.6175
111.328134 69.493 151.6238
111.694345 69.471 151.6307
112.060556 69.449 151.6344
112.426767 69.428 151.6342
112.792978 69.407 151.6320
113.159189 69.385 151.6304
113.525400 69.362 151.6307
113.891611 69.340 151.6323
114.257822 69.317 151.6339
114.624033 69.294 151.6354
114.990244 69.270 151.6379
115.356455 69.246 151.6432
115.722666 69.222 151.6523
116.088877 69.197 151.6645
116.455088 69.173 151.6781
116.821299 69.150 151.6913
117.187510 69.126 151.7038
117.553720 69.102 151.7160
117.919931 69.079 151.7288
118.286142 69.056 151.7425
118.652353 69.032 151.7565
119.018564 69.010 151.7705
119.384775 68.987 151.7842
119.750986 68.964 151.7984
120.117197 68.942 151.8136
120.483408 68.919 151.8300
120.849619 68.897 151.8474
121.215830 68.875 151.8649
121.582041 68.853 151.8824
121.948252 68.831 151.9005
122.314463 68.809 151.9200
122.680674 68.787 151.9413
123.046885 68.765 151.9643
123.413096 68.743 151.9877
123.779307 68.722 152.0101
124.145518 68.701 152.0311
124.511729 68.679 152.0513
124.877940 68.657 152.0723
125.244151 68.635 152.0961
125.610362 68.613 152.1241
125.976573 68.591 152.1567
126.342784 68.570 152.1932
126.708995 68.549 152.2321
127.075206 68.529 152.2716
127.441417 68.509 152.3104
127.807628 68.490 152.3481
128.173839 68.470 152.3845
128.540049 68.451 152.4205
128.906260 68.432 152.4568
129.272471 68.413 152.4936
129.638682 68.394 152.5307
130.004893 68.375 152.5672
130.371104 68.357 152.6019
130.737315 68.338 152.6343
131.103526 68.319 152.6646
131.469737 68.300 152.6946
131.835948 68.280 152.7268
132.202159 68.259 152.7639
132.568370 68.238 152.8078
132.934581 68.218 152.8581
133.300792 68.198 152.9127
133.667003 68.180 152.9680
134.033214 68.162 153.0204
134.399425 68.145 153.0681
134.765636 68.127 153.1116
135.131847 68.109 153.1542
135.498058 68.089 153.2002
135.864269 68.069 153.2538
136.230480 68.050 153.3168
136.596691 68.031 153.3884
136.962902 68.014 153.4642
137.329113 67.998 153.5384
137.695324 67.984 153.6050
138.061535 67.971 153.6605
138.427746 67.957 153.7049
138.793957 67.942 153.7414
139.160168 67.926 153.7753
139.526379 67.908 153.8119
139.892589 67.889 153.8545
140.258800 67.870 153.9041
140.625011 67.851 153.9597
140.991222 67.832 154.0195
141.357433 67.813 154.0820
141.723644 67.795 154.1462
142.089855 67.777 154.2119
142.456066 67.759 154.2784
142.822277 67.742 154.3452
143.188488 67.724 154.4115
143.554699 67.707 154.4767
143.920910 67.691 154.5410
144.287121 67.674 154.6047
144.653332 67.657 154.6693
145.019543 67.640 154.7352
145.385754 67.623 154.8024
145.751965 67.607 154.8698
146.118176 67.592 154.9356
146.484387 67.577 154.9984
146.850598 67.562 155.0576
147.216809 67.547 155.1142
147.583020 67.532 155.1701
147.949231 67.516 155.2274
148.315442 67.500 155.2871
148.681653 67.484 155.3495
149.047864 67.469 155.4136
149.414075 67.453 155.4792
149.780286 67.437 155.5466
150.146497 67.421 155.6173
150.512708 67.406 155.6931
