* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2023 5:57:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Unique Melody Mest MKII L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 81.925 163.2151
0.732422 79.613 145.3906
1.098633 74.614 122.1289
1.464844 65.422 41.2496
1.831055 74.292 -41.2841
2.197266 79.370 -60.6285
2.563477 82.065 -71.4093
2.929688 83.735 -78.4172
3.295899 84.942 -83.1748
3.662110 85.948 -86.9154
4.028321 86.827 -90.5852
4.394532 87.563 -94.5702
4.760743 88.136 -98.7671
5.126954 88.563 -102.8826
5.493164 88.891 -106.7001
5.859375 89.173 -110.2017
6.225586 89.445 -113.5277
6.591797 89.713 -116.8345
6.958008 89.967 -120.1721
7.324219 90.195 -123.4711
7.690430 90.398 -126.6163
8.056641 90.586 -129.5313
8.422852 90.770 -132.2145
8.789063 90.954 -134.7149
9.155274 91.132 -137.0810
9.521485 91.298 -139.3270
9.887696 91.442 -141.4361
10.253907 91.495 -143.3861
10.620118 91.500 -145.1732
10.986329 91.496 -146.8190
11.352540 91.484 -148.3608
11.718751 91.465 -149.8385
12.084962 91.437 -151.2826
12.451173 91.400 -152.7085
12.817384 91.398 -154.1152
13.183595 91.392 -155.4897
13.549806 91.377 -156.8181
13.916017 91.358 -158.0976
14.282228 91.340 -159.3432
14.648439 91.325 -160.5813
15.014650 91.313 -161.8327
15.380861 91.300 -163.0981
15.747072 91.285 -164.3552
16.113283 91.272 -165.5718
16.479493 91.269 -166.7247
16.845704 91.270 -167.8124
17.211915 91.276 -168.8528
17.578126 91.287 -169.8688
17.944337 91.297 -170.8728
18.310548 91.304 -171.8596
18.676759 91.302 -172.8099
19.042970 91.294 -173.7029
19.409181 91.282 -174.5287
19.775392 91.268 -175.2959
20.141603 91.256 -176.0304
20.507814 91.247 -176.7627
20.874025 91.234 -177.5115
21.240236 91.214 -178.2705
21.606447 91.185 -179.0117
21.972658 91.153 -179.7061
22.338869 91.123 179.6487
22.705080 91.103 179.0134
23.071291 91.092 178.3235
23.437502 91.083 177.5337
23.803713 91.062 176.6594
24.169924 91.022 175.7825
24.536135 90.966 175.0104
24.902346 90.909 174.4086
25.268557 90.870 173.9488
25.634768 90.857 173.5187
26.000979 90.862 172.9956
26.367190 90.868 172.3342
26.733401 90.855 171.6003
27.099612 90.819 170.9257
27.465823 90.774 170.4152
27.832033 90.739 170.0688
28.198244 90.730 169.7725
28.564455 90.743 169.3735
28.930666 90.758 168.7845
29.296877 90.753 168.0377
29.663088 90.716 167.2582
30.029299 90.652 166.5835
30.395510 90.577 166.0852
30.761721 90.511 165.7382
31.127932 90.464 165.4514
31.494143 90.433 165.1324
31.860354 90.408 164.7385
32.226565 90.382 164.2830
32.592776 90.351 163.8056
32.958987 90.318 163.3370
33.325198 90.285 162.8835
33.691409 90.255 162.4332
34.057620 90.226 161.9727
34.423831 90.198 161.4987
34.790042 90.167 161.0193
35.156253 90.132 160.5497
35.522464 90.094 160.1069
35.888675 90.054 159.7049
36.254886 90.015 159.3497
36.621097 89.980 159.0335
36.987308 89.952 158.7326
37.353519 89.930 158.4155
37.719730 89.910 158.0582
38.085941 89.887 157.6592
38.452152 89.855 157.2427
38.818363 89.815 156.8481
39.184573 89.770 156.5081
39.550784 89.727 156.2303
39.916995 89.690 155.9922
40.283206 89.663 155.7529
40.649417 89.642 155.4753
41.015628 89.621 155.1453
41.381839 89.596 154.7778
41.748050 89.563 154.4059
42.114261 89.524 154.0615
42.480472 89.485 153.7581
42.846683 89.448 153.4856
43.212894 89.416 153.2202
43.579105 89.387 152.9402
43.945316 89.357 152.6402
44.311527 89.324 152.3318
44.677738 89.288 152.0344
45.043949 89.251 151.7612
45.410160 89.215 151.5115
45.776371 89.182 151.2724
46.142582 89.152 151.0281
46.508793 89.123 150.7694
46.875004 89.093 150.4974
47.241215 89.061 150.2208
47.607426 89.028 149.9499
47.973637 88.993 149.6917
48.339848 88.958 149.4477
48.706059 88.925 149.2143
49.072270 88.893 148.9849
49.438481 88.862 148.7530
49.804692 88.833 148.5156
50.170902 88.803 148.2747
50.537113 88.773 148.0352
50.903324 88.742 147.8013
51.269535 88.712 147.5726
51.635746 88.683 147.3446
52.001957 88.654 147.1140
52.368168 88.623 146.8824
52.734379 88.592 146.6575
53.100590 88.560 146.4463
53.466801 88.529 146.2491
53.833012 88.499 146.0590
54.199223 88.471 145.8678
54.565434 88.442 145.6740
54.931645 88.413 145.4827
55.297856 88.384 145.2988
55.664067 88.357 145.1177
56.030278 88.329 144.9277
56.396489 88.300 144.7230
56.762700 88.265 144.5186
57.128911 88.224 144.3496
57.495122 88.182 144.2493
57.861333 88.147 144.2184
58.227544 88.126 144.2100
58.593755 88.120 144.1490
58.959966 88.120 143.9766
59.326177 88.114 143.6891
59.692388 88.091 143.3431
60.058599 88.051 143.0208
60.424810 88.002 142.7809
60.791021 87.955 142.6270
61.157232 87.917 142.5134
61.523442 87.888 142.3835
61.889653 87.862 142.2081
62.255864 87.833 141.9990
62.622075 87.799 141.7911
62.988286 87.762 141.6127
63.354497 87.726 141.4663
63.720708 87.696 141.3332
64.086919 87.669 141.1912
64.453130 87.644 141.0313
64.819341 87.618 140.8599
65.185552 87.591 140.6901
65.551763 87.563 140.5311
65.917974 87.536 140.3839
66.284185 87.510 140.2443
66.650396 87.485 140.1071
67.016607 87.460 139.9678
67.382818 87.436 139.8237
67.749029 87.410 139.6742
68.115240 87.383 139.5229
68.481451 87.353 139.3781
68.847662 87.321 139.2485
69.213873 87.289 139.1374
69.580084 87.259 139.0386
69.946295 87.232 138.9390
70.312506 87.205 138.8268
70.678717 87.179 138.6995
71.044928 87.150 138.5646
71.411139 87.120 138.4330
71.777350 87.090 138.3110
72.143561 87.061 138.1958
72.509771 87.033 138.0793
72.875982 87.007 137.9553
73.242193 86.980 137.8241
73.608404 86.953 137.6917
73.974615 86.926 137.5643
74.340826 86.899 137.4437
74.707037 86.873 137.3274
75.073248 86.847 137.2123
75.439459 86.823 137.0984
75.805670 86.798 136.9887
76.171881 86.774 136.8846
76.538092 86.752 136.7825
76.904303 86.731 136.6743
77.270514 86.710 136.5527
77.636725 86.688 136.4181
78.002936 86.662 136.2806
78.369147 86.633 136.1562
78.735358 86.602 136.0579
79.101569 86.571 135.9879
79.467780 86.544 135.9363
79.833991 86.521 135.8866
80.200202 86.500 135.8240
80.566413 86.480 135.7428
80.932624 86.459 135.6469
81.298835 86.437 135.5454
81.665046 86.413 135.4466
82.031257 86.389 135.3538
82.397468 86.364 135.2647
82.763679 86.340 135.1756
83.129890 86.316 135.0841
83.496101 86.292 134.9913
83.862311 86.267 134.9002
84.228522 86.242 134.8135
84.594733 86.217 134.7314
84.960944 86.193 134.6515
85.327155 86.169 134.5709
85.693366 86.146 134.4877
86.059577 86.123 134.4025
86.425788 86.099 134.3171
86.791999 86.076 134.2327
87.158210 86.053 134.1485
87.524421 86.031 134.0627
87.890632 86.009 133.9738
88.256843 85.986 133.8824
88.623054 85.964 133.7911
88.989265 85.941 133.7032
89.355476 85.917 133.6202
89.721687 85.895 133.5410
90.087898 85.873 133.4632
90.454109 85.852 133.3848
90.820320 85.830 133.3059
91.186531 85.808 133.2286
91.552742 85.786 133.1552
91.918953 85.765 133.0861
92.285164 85.744 133.0198
92.651375 85.723 132.9541
93.017586 85.702 132.8876
93.383797 85.682 132.8207
93.750008 85.661 132.7550
94.116219 85.640 132.6915
94.482430 85.619 132.6304
94.848641 85.599 132.5705
95.214851 85.578 132.5102
95.581062 85.558 132.4485
95.947273 85.538 132.3853
96.313484 85.518 132.3212
96.679695 85.497 132.2567
97.045906 85.477 132.1927
97.412117 85.456 132.1294
97.778328 85.436 132.0668
98.144539 85.416 132.0047
98.510750 85.396 131.9428
98.876961 85.376 131.8805
99.243172 85.356 131.8177
99.609383 85.336 131.7544
99.975594 85.316 131.6913
100.341805 85.297 131.6289
100.708016 85.277 131.5678
101.074227 85.257 131.5084
101.440438 85.238 131.4510
101.806649 85.218 131.3954
102.172860 85.199 131.3412
102.539071 85.181 131.2875
102.905282 85.162 131.2332
103.271493 85.144 131.1776
103.637704 85.126 131.1208
104.003915 85.108 131.0638
104.370126 85.089 131.0077
104.736337 85.071 130.9533
105.102548 85.052 130.9006
105.468759 85.034 130.8488
105.834970 85.016 130.7970
106.201180 84.997 130.7451
106.567391 84.979 130.6933
106.933602 84.961 130.6422
107.299813 84.942 130.5925
107.666024 84.924 130.5442
108.032235 84.906 130.4970
108.398446 84.887 130.4503
108.764657 84.870 130.4034
109.130868 84.852 130.3559
109.497079 84.834 130.3074
109.863290 84.816 130.2585
110.229501 84.797 130.2104
110.595712 84.779 130.1646
110.961923 84.760 130.1221
111.328134 84.742 130.0829
111.694345 84.725 130.0450
112.060556 84.708 130.0056
112.426767 84.692 129.9623
112.792978 84.676 129.9145
113.159189 84.660 129.8636
113.525400 84.642 129.8123
113.891611 84.625 129.7629
114.257822 84.607 129.7169
114.624033 84.590 129.6737
114.990244 84.573 129.6321
115.356455 84.556 129.5911
115.722666 84.539 129.5502
116.088877 84.523 129.5095
116.455088 84.507 129.4688
116.821299 84.491 129.4272
117.187510 84.476 129.3834
117.553720 84.460 129.3366
117.919931 84.445 129.2870
118.286142 84.429 129.2361
118.652353 84.412 129.1865
119.018564 84.395 129.1401
119.384775 84.379 129.0976
119.750986 84.362 129.0583
120.117197 84.346 129.0206
120.483408 84.330 128.9831
120.849619 84.315 128.9453
121.215830 84.299 128.9075
121.582041 84.284 128.8705
121.948252 84.269 128.8348
122.314463 84.254 128.8002
122.680674 84.239 128.7658
123.046885 84.224 128.7305
123.413096 84.210 128.6937
123.779307 84.196 128.6557
124.145518 84.181 128.6176
124.511729 84.167 128.5804
124.877940 84.152 128.5451
125.244151 84.138 128.5117
125.610362 84.124 128.4793
125.976573 84.111 128.4465
126.342784 84.098 128.4122
126.708995 84.085 128.3760
127.075206 84.072 128.3388
127.441417 84.059 128.3022
127.807628 84.046 128.2677
128.173839 84.032 128.2358
128.540049 84.019 128.2061
128.906260 84.006 128.1770
129.272471 83.994 128.1472
129.638682 83.982 128.1155
130.004893 83.970 128.0820
130.371104 83.958 128.0477
130.737315 83.945 128.0138
131.103526 83.933 127.9811
131.469737 83.920 127.9500
131.835948 83.908 127.9203
132.202159 83.895 127.8919
132.568370 83.883 127.8646
132.934581 83.870 127.8383
133.300792 83.858 127.8130
133.667003 83.846 127.7883
134.033214 83.835 127.7635
134.399425 83.823 127.7380
134.765636 83.812 127.7111
135.131847 83.801 127.6828
135.498058 83.789 127.6536
135.864269 83.777 127.6243
136.230480 83.765 127.5958
136.596691 83.753 127.5687
136.962902 83.742 127.5432
137.329113 83.730 127.5186
137.695324 83.718 127.4941
138.061535 83.707 127.4684
138.427746 83.696 127.4405
138.793957 83.685 127.4102
139.160168 83.674 127.3779
139.526379 83.663 127.3450
139.892589 83.651 127.3126
140.258800 83.639 127.2816
140.625011 83.627 127.2519
140.991222 83.616 127.2228
141.357433 83.604 127.1938
141.723644 83.593 127.1646
142.089855 83.582 127.1352
142.456066 83.571 127.1061
142.822277 83.561 127.0775
143.188488 83.550 127.0494
143.554699 83.540 127.0215
143.920910 83.530 126.9935
144.287121 83.520 126.9651
144.653332 83.510 126.9363
145.019543 83.500 126.9073
145.385754 83.491 126.8782
145.751965 83.481 126.8496
146.118176 83.471 126.8222
146.484387 83.460 126.7967
146.850598 83.450 126.7738
147.216809 83.440 126.7534
147.583020 83.430 126.7348
147.949231 83.420 126.7169
148.315442 83.410 126.6987
148.681653 83.401 126.6794
149.047864 83.391 126.6591
149.414075 83.381 126.6380
149.780286 83.371 126.6164
150.146497 83.361 126.5944
150.512708 83.351 126.5719
150.878918 83.341 126.5490
151.245129 83.330 126.5263
