* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 15, 2023 6:42:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bonus IE Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.306 -49.6090
0.732422 74.946 -91.7237
1.098633 74.558 -127.5337
1.464844 72.252 -161.3027
1.831055 66.085 155.2856
2.197266 63.473 25.5435
2.563477 72.015 -26.0995
2.929688 75.777 -51.7272
3.295899 77.411 -70.6048
3.662110 77.817 -83.7888
4.028321 77.638 -90.3215
4.394532 77.668 -90.8625
4.760743 78.390 -90.2458
5.126954 79.422 -92.8355
5.493164 80.214 -98.4078
5.859375 80.566 -104.7610
6.225586 80.561 -109.9427
6.591797 80.442 -113.0433
6.958008 80.460 -114.6481
7.324219 80.678 -116.2986
7.690430 80.953 -118.9611
8.056641 81.127 -122.3865
8.422852 81.151 -125.7371
8.789063 81.090 -128.3700
9.155274 81.045 -130.2490
9.521485 81.071 -131.8387
9.887696 81.141 -133.5931
10.253907 81.198 -135.5803
10.620118 81.212 -137.5682
10.986329 81.197 -139.3369
11.352540 81.183 -140.8694
11.718751 81.182 -142.2993
12.084962 81.184 -143.7291
12.451173 81.176 -145.1390
12.817384 81.160 -146.4576
13.183595 81.147 -147.6762
13.549806 81.144 -148.8675
13.916017 81.142 -150.0999
14.282228 81.131 -151.3557
14.648439 81.107 -152.5522
15.014650 81.082 -153.6331
15.380861 81.067 -154.6294
15.747072 81.067 -155.6279
16.113283 81.070 -156.6804
16.479493 81.065 -157.7594
16.845704 81.052 -158.7930
17.211915 81.038 -159.7385
17.578126 81.029 -160.6160
17.944337 81.029 -161.4778
18.310548 81.030 -162.3513
18.676759 81.027 -163.2194
19.042970 81.020 -164.0503
19.409181 81.012 -164.8318
19.775392 81.005 -165.5776
20.141603 81.000 -166.3071
20.507814 80.993 -167.0235
20.874025 80.985 -167.7195
21.240236 80.977 -168.3967
21.606447 80.971 -169.0693
21.972658 80.963 -169.7497
22.338869 80.951 -170.4299
22.705080 80.936 -171.0890
23.071291 80.920 -171.7140
23.437502 80.907 -172.3173
23.803713 80.898 -172.9249
24.169924 80.888 -173.5508
24.536135 80.876 -174.1821
24.902346 80.859 -174.7920
25.268557 80.842 -175.3655
25.634768 80.829 -175.9127
26.000979 80.818 -176.4545
26.367190 80.808 -177.0013
26.733401 80.797 -177.5441
27.099612 80.784 -178.0668
27.465823 80.772 -178.5653
27.832033 80.762 -179.0523
28.198244 80.754 -179.5433
28.564455 80.744 179.9579
28.930666 80.731 179.4623
29.296877 80.716 178.9829
29.663088 80.701 178.5227
30.029299 80.686 178.0743
30.395510 80.671 177.6287
30.761721 80.656 177.1840
31.127932 80.639 176.7452
31.494143 80.623 176.3160
31.860354 80.606 175.8953
32.226565 80.590 175.4783
32.592776 80.574 175.0621
32.958987 80.558 174.6482
33.325198 80.541 174.2394
33.691409 80.525 173.8382
34.057620 80.508 173.4428
34.423831 80.492 173.0532
34.790042 80.476 172.6688
35.156253 80.460 172.2910
35.522464 80.444 171.9189
35.888675 80.428 171.5513
36.254886 80.412 171.1882
36.621097 80.395 170.8304
36.987308 80.379 170.4786
37.353519 80.363 170.1304
37.719730 80.346 169.7823
38.085941 80.329 169.4330
38.452152 80.311 169.0848
38.818363 80.291 168.7440
39.184573 80.270 168.4150
39.550784 80.250 168.0980
39.916995 80.230 167.7884
40.283206 80.211 167.4813
40.649417 80.193 167.1742
41.015628 80.175 166.8668
41.381839 80.156 166.5590
41.748050 80.138 166.2499
42.114261 80.119 165.9417
42.480472 80.099 165.6373
42.846683 80.079 165.3409
43.212894 80.059 165.0538
43.579105 80.039 164.7729
43.945316 80.020 164.4930
44.311527 80.001 164.2117
44.677738 79.982 163.9314
45.043949 79.962 163.6568
45.410160 79.941 163.3904
45.776371 79.922 163.1302
46.142582 79.902 162.8715
46.508793 79.883 162.6119
46.875004 79.863 162.3530
47.241215 79.843 162.0981
47.607426 79.823 161.8490
47.973637 79.803 161.6045
48.339848 79.783 161.3615
48.706059 79.764 161.1180
49.072270 79.745 160.8741
49.438481 79.725 160.6312
49.804692 79.705 160.3909
50.170902 79.684 160.1533
50.537113 79.664 159.9194
50.903324 79.643 159.6886
51.269535 79.623 159.4616
51.635746 79.602 159.2379
52.001957 79.582 159.0162
52.368168 79.562 158.7964
52.734379 79.541 158.5781
53.100590 79.521 158.3613
53.466801 79.500 158.1453
53.833012 79.480 157.9296
54.199223 79.459 157.7146
54.565434 79.437 157.5021
54.931645 79.415 157.2946
55.297856 79.394 157.0927
55.664067 79.372 156.8940
56.030278 79.352 156.6949
56.396489 79.331 156.4927
56.762700 79.311 156.2885
57.128911 79.289 156.0861
57.495122 79.267 155.8892
57.861333 79.245 155.6986
58.227544 79.224 155.5119
58.593755 79.203 155.3258
58.959966 79.182 155.1386
59.326177 79.162 154.9515
59.692388 79.140 154.7669
60.058599 79.119 154.5866
60.424810 79.098 154.4113
60.791021 79.077 154.2394
61.157232 79.056 154.0695
61.523442 79.036 153.9006
61.889653 79.016 153.7319
62.255864 78.996 153.5640
62.622075 78.976 153.3967
62.988286 78.956 153.2296
63.354497 78.935 153.0621
63.720708 78.915 152.8947
64.086919 78.894 152.7278
64.453130 78.873 152.5630
64.819341 78.851 152.4018
65.185552 78.829 152.2444
65.551763 78.808 152.0899
65.917974 78.787 151.9365
66.284185 78.766 151.7822
66.650396 78.745 151.6268
67.016607 78.724 151.4711
67.382818 78.702 151.3171
67.749029 78.680 151.1667
68.115240 78.658 151.0201
68.481451 78.637 150.8766
68.847662 78.616 150.7348
69.213873 78.595 150.5938
69.580084 78.574 150.4534
69.946295 78.553 150.3144
70.312506 78.532 150.1772
70.678717 78.512 150.0421
71.044928 78.491 149.9080
71.411139 78.471 149.7741
71.777350 78.451 149.6404
72.143561 78.431 149.5074
72.509771 78.411 149.3760
72.875982 78.391 149.2461
73.242193 78.371 149.1163
73.608404 78.351 148.9849
73.974615 78.331 148.8517
74.340826 78.310 148.7189
74.707037 78.288 148.5898
75.073248 78.266 148.4671
75.439459 78.244 148.3506
75.805670 78.223 148.2371
76.171881 78.203 148.1223
76.538092 78.183 148.0035
76.904303 78.163 147.8809
77.270514 78.143 147.7568
77.636725 78.122 147.6340
78.002936 78.100 147.5142
78.369147 78.079 147.3972
78.735358 78.058 147.2821
79.101569 78.036 147.1682
79.467780 78.015 147.0552
79.833991 77.994 146.9436
80.200202 77.973 146.8339
80.566413 77.953 146.7264
80.932624 77.932 146.6205
81.298835 77.912 146.5156
81.665046 77.892 146.4111
82.031257 77.872 146.3066
82.397468 77.853 146.2023
82.763679 77.833 146.0985
83.129890 77.814 145.9948
83.496101 77.794 145.8904
83.862311 77.775 145.7851
84.228522 77.755 145.6794
84.594733 77.735 145.5753
84.960944 77.714 145.4755
85.327155 77.693 145.3817
85.693366 77.673 145.2932
86.059577 77.654 145.2064
86.425788 77.635 145.1176
86.791999 77.617 145.0242
87.158210 77.598 144.9269
87.524421 77.579 144.8284
87.890632 77.558 144.7324
88.256843 77.538 144.6407
88.623054 77.517 144.5534
88.989265 77.497 144.4689
89.355476 77.477 144.3859
89.721687 77.457 144.3039
90.087898 77.436 144.2234
90.454109 77.416 144.1451
90.820320 77.396 144.0685
91.186531 77.377 143.9923
91.552742 77.357 143.9152
91.918953 77.338 143.8367
92.285164 77.318 143.7573
92.651375 77.299 143.6778
93.017586 77.279 143.5989
93.383797 77.260 143.5206
93.750008 77.241 143.4419
94.116219 77.222 143.3616
94.482430 77.203 143.2795
94.848641 77.183 143.1958
95.214851 77.164 143.1116
95.581062 77.145 143.0276
95.947273 77.125 142.9443
96.313484 77.106 142.8615
96.679695 77.087 142.7791
97.045906 77.067 142.6976
97.412117 77.047 142.6180
97.778328 77.028 142.5410
98.144539 77.008 142.4672
98.510750 76.988 142.3965
98.876961 76.969 142.3284
99.243172 76.950 142.2617
99.609383 76.931 142.1957
99.975594 76.913 142.1303
100.341805 76.894 142.0655
100.708016 76.876 142.0013
101.074227 76.857 141.9377
101.440438 76.839 141.8747
101.806649 76.820 141.8121
102.172860 76.801 141.7505
102.539071 76.783 141.6901
102.905282 76.764 141.6310
103.271493 76.745 141.5729
103.637704 76.727 141.5148
104.003915 76.709 141.4555
104.370126 76.691 141.3945
104.736337 76.673 141.3317
105.102548 76.655 141.2683
105.468759 76.636 141.2051
105.834970 76.618 141.1431
106.201180 76.599 141.0827
106.567391 76.580 141.0242
106.933602 76.561 140.9672
107.299813 76.543 140.9119
107.666024 76.525 140.8577
108.032235 76.506 140.8045
108.398446 76.489 140.7515
108.764657 76.471 140.6980
109.130868 76.453 140.6439
109.497079 76.435 140.5893
109.863290 76.417 140.5346
110.229501 76.400 140.4801
110.595712 76.381 140.4260
110.961923 76.363 140.3724
111.328134 76.345 140.3193
111.694345 76.327 140.2670
112.060556 76.309 140.2156
112.426767 76.290 140.1656
112.792978 76.272 140.1168
113.159189 76.254 140.0685
113.525400 76.237 140.0201
113.891611 76.219 139.9713
114.257822 76.202 139.9218
114.624033 76.184 139.8719
114.990244 76.167 139.8218
115.356455 76.149 139.7713
115.722666 76.132 139.7205
116.088877 76.114 139.6697
116.455088 76.096 139.6196
116.821299 76.078 139.5714
117.187510 76.060 139.5258
117.553720 76.042 139.4830
117.919931 76.024 139.4426
118.286142 76.006 139.4031
118.652353 75.989 139.3635
119.018564 75.972 139.3232
119.384775 75.955 139.2823
119.750986 75.938 139.2415
120.117197 75.921 139.2014
120.483408 75.904 139.1623
120.849619 75.887 139.1240
121.215830 75.870 139.0859
121.582041 75.853 139.0474
121.948252 75.837 139.0083
122.314463 75.820 138.9688
122.680674 75.804 138.9291
123.046885 75.787 138.8897
123.413096 75.771 138.8507
123.779307 75.755 138.8118
124.145518 75.739 138.7729
124.511729 75.722 138.7341
124.877940 75.706 138.6956
125.244151 75.689 138.6581
125.610362 75.672 138.6221
125.976573 75.655 138.5879
126.342784 75.639 138.5558
126.708995 75.622 138.5257
127.075206 75.605 138.4972
127.441417 75.588 138.4698
127.807628 75.571 138.4431
128.173839 75.555 138.4165
128.540049 75.538 138.3900
128.906260 75.522 138.3631
129.272471 75.505 138.3358
129.638682 75.489 138.3079
130.004893 75.473 138.2791
130.371104 75.456 138.2493
130.737315 75.440 138.2181
131.103526 75.424 138.1859
131.469737 75.407 138.1530
131.835948 75.391 138.1197
132.202159 75.374 138.0865
132.568370 75.358 138.0537
132.934581 75.341 138.0212
133.300792 75.325 137.9888
133.667003 75.309 137.9564
134.033214 75.293 137.9240
134.399425 75.277 137.8919
134.765636 75.261 137.8604
135.131847 75.245 137.8297
135.498058 75.230 137.8000
135.864269 75.214 137.7715
136.230480 75.199 137.7443
136.596691 75.183 137.7180
136.962902 75.168 137.6925
137.329113 75.152 137.6678
137.695324 75.137 137.6440
138.061535 75.122 137.6208
138.427746 75.106 137.5981
138.793957 75.091 137.5757
139.160168 75.076 137.5533
139.526379 75.060 137.5308
139.892589 75.045 137.5080
140.258800 75.029 137.4851
140.625011 75.014 137.4623
140.991222 74.998 137.4399
141.357433 74.982 137.4183
141.723644 74.966 137.3975
142.089855 74.950 137.3777
142.456066 74.934 137.3586
142.822277 74.918 137.3398
143.188488 74.903 137.3208
143.554699 74.888 137.3014
143.920910 74.872 137.2815
144.287121 74.857 137.2611
144.653332 74.842 137.2407
145.019543 74.827 137.2205
145.385754 74.812 137.2002
145.751965 74.797 137.1799
146.118176 74.782 137.1595
146.484387 74.768 137.1390
146.850598 74.753 137.1186
147.216809 74.738 137.0988
147.583020 74.723 137.0799
147.949231 74.708 137.0623
148.315442 74.692 137.0460
148.681653 74.677 137.0308
149.047864 74.662 137.0167
149.414075 74.647 137.0035
149.780286 74.632 136.9914
150.146497 74.617 136.9802
150.512708 74.603 136.9697
150.878918 74.588 136.9595
