* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 15, 2023 6:42:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bonus IE Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.319 -35.8730
0.732422 78.271 -71.6912
1.098633 76.222 -107.9234
1.464844 72.478 -147.2275
1.831055 65.467 151.6834
2.197266 66.872 34.9951
2.563477 72.926 -13.8939
2.929688 75.832 -43.8489
3.295899 76.985 -66.7277
3.662110 76.982 -83.0973
4.028321 76.379 -91.1628
4.394532 76.160 -90.7670
4.760743 77.055 -88.6820
5.126954 78.423 -91.3912
5.493164 79.451 -98.0235
5.859375 79.904 -105.4467
6.225586 79.899 -111.1984
6.591797 79.745 -114.1182
6.958008 79.775 -114.9833
7.324219 80.074 -115.9419
7.690430 80.438 -118.3159
8.056641 80.653 -121.7366
8.422852 80.663 -125.1006
8.789063 80.554 -127.5890
9.155274 80.463 -129.1735
9.521485 80.464 -130.4844
9.887696 80.521 -132.1245
10.253907 80.561 -134.1655
10.620118 80.547 -136.2849
10.986329 80.502 -138.1853
11.352540 80.465 -139.8387
11.718751 80.452 -141.4072
12.084962 80.451 -143.0035
12.451173 80.444 -144.5794
12.817384 80.435 -146.0294
13.183595 80.437 -147.3416
13.549806 80.457 -148.6144
13.916017 80.480 -149.9313
14.282228 80.489 -151.2557
14.648439 80.479 -152.4677
15.014650 80.466 -153.4937
15.380861 80.465 -154.3879
15.747072 80.478 -155.2808
16.113283 80.492 -156.2519
16.479493 80.491 -157.2649
16.845704 80.473 -158.2250
17.211915 80.449 -159.0795
17.578126 80.431 -159.8660
17.944337 80.423 -160.6639
18.310548 80.417 -161.5159
18.676759 80.404 -162.3990
19.042970 80.386 -163.2656
19.409181 80.368 -164.0944
19.775392 80.354 -164.9000
20.141603 80.344 -165.7018
20.507814 80.335 -166.4948
20.874025 80.327 -167.2625
21.240236 80.323 -168.0024
21.606447 80.324 -168.7348
21.972658 80.326 -169.4774
22.338869 80.323 -170.2177
22.705080 80.314 -170.9182
23.071291 80.302 -171.5497
23.437502 80.293 -172.1215
23.803713 80.290 -172.6738
24.169924 80.289 -173.2400
24.536135 80.283 -173.8202
24.902346 80.271 -174.3867
25.268557 80.256 -174.9163
25.634768 80.241 -175.4141
26.000979 80.230 -175.9067
26.367190 80.220 -176.4185
26.733401 80.208 -176.9525
27.099612 80.194 -177.4960
27.465823 80.176 -178.0349
27.832033 80.158 -178.5633
28.198244 80.140 -179.0809
28.564455 80.123 -179.5872
28.930666 80.107 179.9174
29.296877 80.093 179.4274
29.663088 80.081 178.9349
30.029299 80.070 178.4376
30.395510 80.056 177.9453
30.761721 80.040 177.4748
31.127932 80.025 177.0353
31.494143 80.011 176.6191
31.860354 80.001 176.2083
32.226565 79.991 175.7903
32.592776 79.979 175.3682
32.958987 79.964 174.9559
33.325198 79.947 174.5626
33.691409 79.931 174.1843
34.057620 79.916 173.8091
34.423831 79.900 173.4290
34.790042 79.883 173.0464
35.156253 79.864 172.6691
35.522464 79.844 172.3008
35.888675 79.825 171.9380
36.254886 79.806 171.5756
36.621097 79.787 171.2140
36.987308 79.767 170.8588
37.353519 79.748 170.5135
37.719730 79.731 170.1736
38.085941 79.716 169.8290
38.452152 79.701 169.4735
38.818363 79.684 169.1110
39.184573 79.665 168.7546
39.550784 79.644 168.4177
39.916995 79.623 168.1046
40.283206 79.604 167.8088
40.649417 79.588 167.5173
41.015628 79.573 167.2183
41.381839 79.559 166.9073
41.748050 79.542 166.5890
42.114261 79.523 166.2736
42.480472 79.503 165.9709
42.846683 79.482 165.6843
43.212894 79.462 165.4083
43.579105 79.444 165.1326
43.945316 79.427 164.8492
44.311527 79.409 164.5588
44.677738 79.389 164.2695
45.043949 79.368 163.9896
45.410160 79.347 163.7216
45.776371 79.327 163.4606
46.142582 79.308 163.1995
46.508793 79.289 162.9354
46.875004 79.270 162.6715
47.241215 79.249 162.4128
47.607426 79.229 162.1615
47.973637 79.209 161.9159
48.339848 79.189 161.6722
48.706059 79.169 161.4290
49.072270 79.149 161.1871
49.438481 79.128 160.9476
49.804692 79.108 160.7105
50.170902 79.088 160.4741
50.537113 79.068 160.2371
50.903324 79.047 160.0001
51.269535 79.026 159.7653
51.635746 79.005 159.5345
52.001957 78.983 159.3087
52.368168 78.962 159.0870
52.734379 78.942 158.8678
53.100590 78.922 158.6491
53.466801 78.903 158.4297
53.833012 78.883 158.2103
54.199223 78.862 157.9935
54.565434 78.842 157.7828
54.931645 78.821 157.5801
55.297856 78.801 157.3826
55.664067 78.783 157.1843
56.030278 78.764 156.9792
56.396489 78.745 156.7676
56.762700 78.723 156.5562
57.128911 78.700 156.3548
57.495122 78.676 156.1696
57.861333 78.653 155.9984
58.227544 78.633 155.8322
58.593755 78.614 155.6601
58.959966 78.596 155.4755
59.326177 78.577 155.2789
59.692388 78.556 155.0772
60.058599 78.533 154.8787
60.424810 78.509 154.6898
60.791021 78.485 154.5120
61.157232 78.462 154.3434
61.523442 78.440 154.1790
61.889653 78.419 154.0150
62.255864 78.398 153.8497
62.622075 78.378 153.6837
62.988286 78.357 153.5186
63.354497 78.337 153.3552
63.720708 78.317 153.1923
64.086919 78.297 153.0286
64.453130 78.277 152.8635
64.819341 78.256 152.6983
65.185552 78.235 152.5352
65.551763 78.213 152.3761
65.917974 78.192 152.2209
66.284185 78.171 152.0687
66.650396 78.150 151.9180
67.016607 78.129 151.7682
67.382818 78.108 151.6186
67.749029 78.087 151.4695
68.115240 78.066 151.3213
68.481451 78.045 151.1740
68.847662 78.024 151.0283
69.213873 78.003 150.8846
69.580084 77.982 150.7424
69.946295 77.961 150.6016
70.312506 77.940 150.4625
70.678717 77.919 150.3254
71.044928 77.898 150.1910
71.411139 77.877 150.0589
71.777350 77.856 149.9282
72.143561 77.836 149.7980
72.509771 77.815 149.6680
72.875982 77.795 149.5389
73.242193 77.774 149.4112
73.608404 77.754 149.2839
73.974615 77.734 149.1552
74.340826 77.714 149.0231
74.707037 77.693 148.8880
75.073248 77.672 148.7529
75.439459 77.649 148.6225
75.805670 77.626 148.5001
76.171881 77.604 148.3857
76.538092 77.583 148.2760
76.904303 77.562 148.1655
77.270514 77.543 148.0506
77.636725 77.523 147.9308
78.002936 77.503 147.8091
78.369147 77.482 147.6901
78.735358 77.460 147.5771
79.101569 77.439 147.4705
79.467780 77.419 147.3677
79.833991 77.399 147.2652
80.200202 77.379 147.1605
80.566413 77.360 147.0532
80.932624 77.340 146.9448
81.298835 77.320 146.8376
81.665046 77.299 146.7327
82.031257 77.279 146.6295
82.397468 77.259 146.5266
82.763679 77.239 146.4222
83.129890 77.219 146.3159
83.496101 77.199 146.2081
83.862311 77.177 146.1013
84.228522 77.156 145.9976
84.594733 77.134 145.8989
84.960944 77.113 145.8047
85.327155 77.093 145.7131
85.693366 77.073 145.6207
86.059577 77.053 145.5253
86.425788 77.034 145.4267
86.791999 77.014 145.3274
87.158210 76.994 145.2306
87.524421 76.973 145.1385
87.890632 76.953 145.0505
88.256843 76.933 144.9644
88.623054 76.914 144.8775
88.989265 76.895 144.7888
89.355476 76.875 144.6992
89.721687 76.856 144.6111
90.087898 76.835 144.5267
90.454109 76.815 144.4463
90.820320 76.795 144.3691
91.186531 76.776 144.2935
91.552742 76.756 144.2177
91.918953 76.738 144.1411
92.285164 76.719 144.0634
92.651375 76.700 143.9846
93.017586 76.681 143.9044
93.383797 76.662 143.8228
93.750008 76.643 143.7400
94.116219 76.624 143.6570
94.482430 76.604 143.5752
94.848641 76.584 143.4956
95.214851 76.564 143.4187
95.581062 76.544 143.3441
95.947273 76.524 143.2710
96.313484 76.504 143.1986
96.679695 76.485 143.1266
97.045906 76.465 143.0550
97.412117 76.446 142.9837
97.778328 76.427 142.9124
98.144539 76.408 142.8407
98.510750 76.389 142.7684
98.876961 76.369 142.6963
99.243172 76.350 142.6253
99.609383 76.330 142.5563
99.975594 76.311 142.4896
100.341805 76.291 142.4247
100.708016 76.272 142.3607
101.074227 76.254 142.2968
101.440438 76.235 142.2329
101.806649 76.216 142.1695
102.172860 76.198 142.1070
102.539071 76.179 142.0456
102.905282 76.161 141.9850
103.271493 76.143 141.9241
103.637704 76.125 141.8622
104.003915 76.107 141.7991
104.370126 76.089 141.7352
104.736337 76.071 141.6714
105.102548 76.052 141.6089
105.468759 76.034 141.5484
105.834970 76.015 141.4897
106.201180 75.996 141.4327
106.567391 75.978 141.3765
106.933602 75.959 141.3209
107.299813 75.940 141.2661
107.666024 75.922 141.2123
108.032235 75.903 141.1596
108.398446 75.885 141.1081
108.764657 75.867 141.0574
109.130868 75.848 141.0074
109.497079 75.831 140.9573
109.863290 75.813 140.9069
110.229501 75.795 140.8561
110.595712 75.777 140.8054
110.961923 75.759 140.7550
111.328134 75.742 140.7053
111.694345 75.724 140.6561
112.060556 75.707 140.6066
112.426767 75.689 140.5565
112.792978 75.672 140.5052
113.159189 75.655 140.4531
113.525400 75.637 140.4003
113.891611 75.619 140.3481
114.257822 75.601 140.2972
114.624033 75.583 140.2480
114.990244 75.565 140.2005
115.356455 75.547 140.1544
115.722666 75.529 140.1093
116.088877 75.511 140.0645
116.455088 75.494 140.0201
116.821299 75.476 139.9763
117.187510 75.458 139.9333
117.553720 75.441 139.8910
117.919931 75.423 139.8494
118.286142 75.406 139.8082
118.652353 75.388 139.7672
119.018564 75.371 139.7261
119.384775 75.354 139.6851
119.750986 75.337 139.6441
120.117197 75.320 139.6031
120.483408 75.303 139.5622
120.849619 75.286 139.5212
121.215830 75.269 139.4805
121.582041 75.252 139.4402
121.948252 75.235 139.4008
122.314463 75.218 139.3627
122.680674 75.201 139.3257
123.046885 75.185 139.2896
123.413096 75.168 139.2538
123.779307 75.152 139.2180
124.145518 75.135 139.1823
124.511729 75.119 139.1469
124.877940 75.102 139.1121
125.244151 75.085 139.0784
125.610362 75.069 139.0458
125.976573 75.052 139.0145
126.342784 75.035 138.9840
126.708995 75.019 138.9538
127.075206 75.002 138.9236
127.441417 74.986 138.8929
127.807628 74.969 138.8621
128.173839 74.952 138.8311
128.540049 74.935 138.8004
128.906260 74.918 138.7700
129.272471 74.901 138.7401
129.638682 74.885 138.7106
130.004893 74.868 138.6813
130.371104 74.851 138.6521
130.737315 74.834 138.6234
131.103526 74.818 138.5949
131.469737 74.801 138.5666
131.835948 74.785 138.5383
132.202159 74.769 138.5096
132.568370 74.753 138.4806
132.934581 74.737 138.4515
133.300792 74.721 138.4227
133.667003 74.705 138.3946
134.033214 74.690 138.3671
134.399425 74.674 138.3403
134.765636 74.658 138.3135
135.131847 74.643 138.2867
135.498058 74.627 138.2601
135.864269 74.612 138.2338
136.230480 74.596 138.2086
136.596691 74.580 138.1847
136.962902 74.565 138.1621
137.329113 74.549 138.1407
137.695324 74.533 138.1198
138.061535 74.518 138.0985
138.427746 74.503 138.0764
138.793957 74.487 138.0528
139.160168 74.472 138.0279
139.526379 74.456 138.0023
139.892589 74.440 137.9767
140.258800 74.424 137.9519
140.625011 74.408 137.9285
140.991222 74.391 137.9064
141.357433 74.375 137.8854
141.723644 74.360 137.8648
142.089855 74.344 137.8442
142.456066 74.328 137.8233
142.822277 74.313 137.8022
143.188488 74.298 137.7812
143.554699 74.282 137.7606
143.920910 74.267 137.7404
144.287121 74.252 137.7205
144.653332 74.237 137.7009
145.019543 74.222 137.6816
145.385754 74.207 137.6628
145.751965 74.192 137.6445
146.118176 74.177 137.6270
146.484387 74.163 137.6105
146.850598 74.148 137.5952
147.216809 74.133 137.5811
147.583020 74.119 137.5680
147.949231 74.104 137.5555
148.315442 74.090 137.5433
148.681653 74.076 137.5308
149.047864 74.062 137.5179
149.414075 74.047 137.5045
149.780286 74.033 137.4908
150.146497 74.019 137.4770
150.512708 74.005 137.4630
150.878918 73.990 137.4490
