* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 3:09:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BS1 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.870 161.3060
0.732422 59.041 142.1613
1.098633 55.594 121.1599
1.464844 49.565 91.0227
1.831055 43.583 9.9988
2.197266 48.701 -46.7378
2.563477 51.772 -59.8470
2.929688 53.697 -60.2571
3.295899 55.725 -57.2942
3.662110 57.830 -56.8557
4.028321 59.589 -59.5915
4.394532 60.848 -63.7840
4.760743 61.686 -67.8558
5.126954 62.282 -71.0259
5.493164 62.817 -73.3985
5.859375 63.379 -75.6554
6.225586 63.949 -78.3991
6.591797 64.464 -81.7215
6.958008 64.885 -85.3038
7.324219 65.226 -88.7570
7.690430 65.531 -91.8781
8.056641 65.839 -94.7078
8.422852 66.163 -97.4070
8.789063 66.489 -100.0828
9.155274 66.799 -102.7156
9.521485 67.082 -105.2120
9.887696 67.340 -107.4996
10.253907 67.512 -109.5761
10.620118 67.643 -111.4895
10.986329 67.761 -113.2872
11.352540 67.861 -114.9845
11.718751 67.942 -116.5735
12.084962 68.006 -118.0496
12.451173 68.059 -119.4281
12.817384 68.148 -120.7386
13.183595 68.236 -122.0097
13.549806 68.312 -123.2590
13.916017 68.379 -124.4943
14.282228 68.435 -125.7181
14.648439 68.484 -126.9300
15.014650 68.526 -128.1263
15.380861 68.564 -129.3015
15.747072 68.601 -130.4522
16.113283 68.643 -131.5799
16.479493 68.696 -132.6874
16.845704 68.749 -133.7734
17.211915 68.801 -134.8295
17.578126 68.852 -135.8445
17.944337 68.903 -136.8112
18.310548 68.953 -137.7303
18.676759 69.004 -138.6073
19.042970 69.052 -139.4454
19.409181 69.098 -140.2441
19.775392 69.140 -141.0021
20.141603 69.180 -141.7216
20.507814 69.219 -142.4107
20.874025 69.254 -143.0777
21.240236 69.285 -143.7269
21.606447 69.311 -144.3571
21.972658 69.333 -144.9662
22.338869 69.353 -145.5571
22.705080 69.372 -146.1386
23.071291 69.390 -146.7215
23.437502 69.407 -147.3122
23.803713 69.422 -147.9091
24.169924 69.435 -148.5045
24.536135 69.447 -149.0899
24.902346 69.458 -149.6603
25.268557 69.471 -150.2152
25.634768 69.485 -150.7579
26.000979 69.500 -151.2914
26.367190 69.516 -151.8154
26.733401 69.532 -152.3264
27.099612 69.547 -152.8190
27.465823 69.562 -153.2899
27.832033 69.577 -153.7406
28.198244 69.592 -154.1762
28.564455 69.607 -154.6031
28.930666 69.620 -155.0234
29.296877 69.631 -155.4346
29.663088 69.640 -155.8316
30.029299 69.647 -156.2120
30.395510 69.654 -156.5794
30.761721 69.660 -156.9413
31.127932 69.666 -157.3039
31.494143 69.670 -157.6683
31.860354 69.673 -158.0308
32.226565 69.675 -158.3873
32.592776 69.678 -158.7381
32.958987 69.681 -159.0882
33.325198 69.684 -159.4438
33.691409 69.687 -159.8056
34.057620 69.689 -160.1677
34.423831 69.688 -160.5201
34.790042 69.687 -160.8551
35.156253 69.687 -161.1721
35.522464 69.688 -161.4769
35.888675 69.691 -161.7775
36.254886 69.694 -162.0779
36.621097 69.697 -162.3766
36.987308 69.699 -162.6691
37.353519 69.701 -162.9526
37.719730 69.702 -163.2284
38.085941 69.704 -163.5013
38.452152 69.706 -163.7751
38.818363 69.706 -164.0506
39.184573 69.705 -164.3238
39.550784 69.703 -164.5897
39.916995 69.700 -164.8448
40.283206 69.698 -165.0898
40.649417 69.696 -165.3284
41.015628 69.696 -165.5649
41.381839 69.696 -165.8026
41.748050 69.696 -166.0419
42.114261 69.696 -166.2812
42.480472 69.695 -166.5184
42.846683 69.693 -166.7512
43.212894 69.692 -166.9788
43.579105 69.691 -167.2021
43.945316 69.690 -167.4227
44.311527 69.689 -167.6423
44.677738 69.687 -167.8612
45.043949 69.685 -168.0780
45.410160 69.683 -168.2901
45.776371 69.680 -168.4958
46.142582 69.677 -168.6957
46.508793 69.674 -168.8921
46.875004 69.672 -169.0880
47.241215 69.670 -169.2852
47.607426 69.668 -169.4834
47.973637 69.665 -169.6805
48.339848 69.662 -169.8748
48.706059 69.660 -170.0662
49.072270 69.657 -170.2557
49.438481 69.654 -170.4451
49.804692 69.651 -170.6348
50.170902 69.649 -170.8238
50.537113 69.645 -171.0098
50.903324 69.641 -171.1905
51.269535 69.637 -171.3650
51.635746 69.634 -171.5341
52.001957 69.630 -171.6994
52.368168 69.627 -171.8623
52.734379 69.624 -172.0240
53.100590 69.621 -172.1849
53.466801 69.618 -172.3456
53.833012 69.615 -172.5070
54.199223 69.612 -172.6694
54.565434 69.608 -172.8321
54.931645 69.604 -172.9931
55.297856 69.600 -173.1511
55.664067 69.595 -173.3063
56.030278 69.591 -173.4610
56.396489 69.587 -173.6178
56.762700 69.583 -173.7772
57.128911 69.578 -173.9361
57.495122 69.572 -174.0891
57.861333 69.566 -174.2322
58.227544 69.561 -174.3655
58.593755 69.557 -174.4941
58.959966 69.555 -174.6248
59.326177 69.553 -174.7620
59.692388 69.551 -174.9057
60.058599 69.548 -175.0520
60.424810 69.544 -175.1964
60.791021 69.540 -175.3367
61.157232 69.535 -175.4738
61.523442 69.531 -175.6096
61.889653 69.526 -175.7451
62.255864 69.520 -175.8794
62.622075 69.514 -176.0103
62.988286 69.507 -176.1364
63.354497 69.500 -176.2580
63.720708 69.493 -176.3773
64.086919 69.487 -176.4971
64.453130 69.481 -176.6186
64.819341 69.475 -176.7417
65.185552 69.468 -176.8646
65.551763 69.461 -176.9856
65.917974 69.455 -177.1042
66.284185 69.449 -177.2220
66.650396 69.443 -177.3411
67.016607 69.437 -177.4633
67.382818 69.431 -177.5878
67.749029 69.425 -177.7116
68.115240 69.417 -177.8310
68.481451 69.410 -177.9437
68.847662 69.402 -178.0503
69.213873 69.396 -178.1537
69.580084 69.390 -178.2575
69.946295 69.384 -178.3632
70.312506 69.378 -178.4704
70.678717 69.372 -178.5771
71.044928 69.365 -178.6816
71.411139 69.358 -178.7843
71.777350 69.352 -178.8865
72.143561 69.346 -178.9897
72.509771 69.339 -179.0944
72.875982 69.332 -179.1994
73.242193 69.325 -179.3030
73.608404 69.317 -179.4040
73.974615 69.310 -179.5018
74.340826 69.302 -179.5970
74.707037 69.295 -179.6901
75.073248 69.288 -179.7821
75.439459 69.281 -179.8734
75.805670 69.274 -179.9648
76.171881 69.267 179.9435
76.538092 69.261 179.8513
76.904303 69.254 179.7591
77.270514 69.247 179.6675
77.636725 69.240 179.5771
78.002936 69.233 179.4880
78.369147 69.226 179.3996
78.735358 69.219 179.3113
79.101569 69.213 179.2228
79.467780 69.206 179.1343
79.833991 69.198 179.0464
80.200202 69.191 178.9598
80.566413 69.184 178.8745
80.932624 69.177 178.7898
81.298835 69.170 178.7048
81.665046 69.163 178.6189
82.031257 69.156 178.5325
82.397468 69.149 178.4471
82.763679 69.141 178.3642
83.129890 69.133 178.2846
83.496101 69.125 178.2074
83.862311 69.118 178.1305
84.228522 69.111 178.0519
84.594733 69.104 177.9716
84.960944 69.097 177.8910
85.327155 69.089 177.8123
85.693366 69.082 177.7367
86.059577 69.075 177.6631
86.425788 69.068 177.5889
86.791999 69.061 177.5119
87.158210 69.054 177.4320
87.524421 69.047 177.3516
87.890632 69.039 177.2739
88.256843 69.031 177.2011
88.623054 69.023 177.1329
88.989265 69.016 177.0667
89.355476 69.009 176.9998
89.721687 69.002 176.9308
90.087898 68.996 176.8603
90.454109 68.989 176.7902
90.820320 68.982 176.7217
91.186531 68.975 176.6550
91.552742 68.968 176.5889
91.918953 68.961 176.5222
92.285164 68.953 176.4549
92.651375 68.946 176.3879
93.017586 68.938 176.3225
93.383797 68.930 176.2598
93.750008 68.922 176.1993
94.116219 68.914 176.1400
94.482430 68.907 176.0806
94.848641 68.899 176.0201
95.214851 68.892 175.9587
95.581062 68.884 175.8975
95.947273 68.876 175.8373
96.313484 68.868 175.7789
96.679695 68.860 175.7220
97.045906 68.853 175.6657
97.412117 68.846 175.6087
97.778328 68.839 175.5502
98.144539 68.832 175.4901
98.510750 68.825 175.4295
98.876961 68.817 175.3694
99.243172 68.810 175.3109
99.609383 68.802 175.2543
99.975594 68.795 175.1990
100.341805 68.787 175.1446
100.708016 68.780 175.0905
101.074227 68.773 175.0367
101.440438 68.766 174.9834
101.806649 68.758 174.9307
102.172860 68.751 174.8783
102.539071 68.744 174.8259
102.905282 68.737 174.7730
103.271493 68.730 174.7197
103.637704 68.722 174.6663
104.003915 68.715 174.6138
104.370126 68.707 174.5627
104.736337 68.699 174.5133
105.102548 68.692 174.4655
105.468759 68.684 174.4184
105.834970 68.677 174.3712
106.201180 68.670 174.3233
106.567391 68.663 174.2743
106.933602 68.656 174.2244
107.299813 68.649 174.1740
107.666024 68.641 174.1238
108.032235 68.634 174.0744
108.398446 68.626 174.0260
108.764657 68.618 173.9788
109.130868 68.611 173.9328
109.497079 68.603 173.8881
109.863290 68.595 173.8445
110.229501 68.588 173.8015
110.595712 68.581 173.7585
110.961923 68.573 173.7151
111.328134 68.566 173.6711
111.694345 68.558 173.6268
112.060556 68.551 173.5831
112.426767 68.543 173.5408
112.792978 68.535 173.5006
113.159189 68.527 173.4626
113.525400 68.519 173.4261
113.891611 68.512 173.3902
114.257822 68.505 173.3536
114.624033 68.498 173.3153
114.990244 68.491 173.2753
115.356455 68.484 173.2341
115.722666 68.476 173.1927
116.088877 68.469 173.1520
116.455088 68.461 173.1126
116.821299 68.453 173.0744
117.187510 68.446 173.0371
117.553720 68.438 173.0004
117.919931 68.430 172.9644
118.286142 68.423 172.9293
118.652353 68.415 172.8949
119.018564 68.408 172.8610
119.384775 68.401 172.8267
119.750986 68.395 172.7913
120.117197 68.388 172.7540
120.483408 68.381 172.7148
120.849619 68.374 172.6743
121.215830 68.367 172.6332
121.582041 68.360 172.5925
121.948252 68.352 172.5532
122.314463 68.344 172.5160
122.680674 68.336 172.4811
123.046885 68.328 172.4483
123.413096 68.320 172.4171
123.779307 68.313 172.3870
124.145518 68.305 172.3576
124.511729 68.298 172.3287
124.877940 68.291 172.3003
125.244151 68.285 172.2722
125.610362 68.278 172.2440
125.976573 68.272 172.2151
126.342784 68.266 172.1855
126.708995 68.260 172.1550
127.075206 68.254 172.1244
127.441417 68.248 172.0942
127.807628 68.241 172.0650
128.173839 68.235 172.0367
128.540049 68.229 172.0091
128.906260 68.223 171.9817
129.272471 68.217 171.9543
129.638682 68.211 171.9269
130.004893 68.205 171.8997
130.371104 68.199 171.8723
130.737315 68.194 171.8446
131.103526 68.188 171.8161
131.469737 68.183 171.7868
131.835948 68.177 171.7569
132.202159 68.171 171.7271
132.568370 68.165 171.6982
132.934581 68.159 171.6709
133.300792 68.153 171.6453
133.667003 68.146 171.6213
134.033214 68.140 171.5988
134.399425 68.134 171.5773
134.765636 68.128 171.5564
135.131847 68.122 171.5358
135.498058 68.116 171.5151
135.864269 68.111 171.4940
136.230480 68.105 171.4724
136.596691 68.099 171.4501
136.962902 68.093 171.4277
137.329113 68.087 171.4056
137.695324 68.081 171.3846
138.061535 68.074 171.3651
138.427746 68.068 171.3468
138.793957 68.063 171.3290
139.160168 68.057 171.3105
139.526379 68.052 171.2902
139.892589 68.047 171.2677
140.258800 68.041 171.2435
140.625011 68.035 171.2188
140.991222 68.029 171.1949
141.357433 68.023 171.1727
141.723644 68.017 171.1528
142.089855 68.011 171.1346
142.456066 68.005 171.1176
142.822277 67.999 171.1007
143.188488 67.994 171.0834
143.554699 67.988 171.0652
143.920910 67.983 171.0464
144.287121 67.977 171.0272
144.653332 67.971 171.0085
145.019543 67.965 170.9906
145.385754 67.959 170.9741
145.751965 67.953 170.9586
146.118176 67.947 170.9439
146.484387 67.941 170.9293
146.850598 67.936 170.9142
147.216809 67.930 170.8984
147.583020 67.925 170.8820
