* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 3:09:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BS1 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.857 -23.3203
0.732422 62.980 -46.3262
1.098633 59.330 -68.1942
1.464844 52.067 -84.1087
1.831055 42.737 10.9472
2.197266 53.358 21.2812
2.563477 56.531 1.8265
2.929688 57.310 -18.9603
3.295899 56.776 -37.0536
3.662110 55.559 -48.2747
4.028321 54.811 -49.2229
4.394532 55.833 -46.4216
4.760743 57.863 -49.7934
5.126954 59.646 -58.2352
5.493164 60.826 -67.5810
5.859375 61.499 -75.0587
6.225586 61.944 -79.4557
6.591797 62.473 -81.3595
6.958008 63.200 -82.6941
7.324219 63.979 -84.8934
7.690430 64.620 -87.9317
8.056641 65.055 -91.0025
8.422852 65.342 -93.4315
8.789063 65.588 -95.1424
9.155274 65.862 -96.5862
9.521485 66.149 -98.2503
9.887696 66.400 -100.2541
10.253907 66.517 -102.3906
10.620118 66.559 -104.4234
10.986329 66.592 -106.3016
11.352540 66.639 -108.1413
11.718751 66.695 -110.0516
12.084962 66.746 -112.0141
12.451173 66.789 -113.9205
12.817384 66.880 -115.6945
13.183595 66.991 -117.3545
13.549806 67.112 -118.9661
13.916017 67.231 -120.5518
14.282228 67.337 -122.0626
14.648439 67.432 -123.4326
15.014650 67.523 -124.6497
15.380861 67.615 -125.7665
15.747072 67.704 -126.8471
16.113283 67.786 -127.9093
16.479493 67.860 -128.9215
16.845704 67.920 -129.8495
17.211915 67.973 -130.6999
17.578126 68.025 -131.5187
17.944337 68.074 -132.3520
18.310548 68.115 -133.2130
18.676759 68.147 -134.0838
19.042970 68.173 -134.9438
19.409181 68.196 -135.7889
19.775392 68.220 -136.6291
20.141603 68.245 -137.4706
20.507814 68.273 -138.3077
20.874025 68.302 -139.1305
21.240236 68.334 -139.9354
21.606447 68.367 -140.7251
21.972658 68.402 -141.4989
22.338869 68.436 -142.2466
22.705080 68.469 -142.9537
23.071291 68.502 -143.6136
23.437502 68.536 -144.2322
23.803713 68.569 -144.8214
24.169924 68.602 -145.3893
24.536135 68.631 -145.9371
24.902346 68.657 -146.4636
25.268557 68.679 -146.9707
25.634768 68.699 -147.4628
26.000979 68.714 -147.9423
26.367190 68.727 -148.4095
26.733401 68.738 -148.8672
27.099612 68.748 -149.3242
27.465823 68.757 -149.7905
27.832033 68.764 -150.2678
28.198244 68.768 -150.7446
28.564455 68.771 -151.2051
28.930666 68.776 -151.6443
29.296877 68.785 -152.0756
29.663088 68.799 -152.5213
30.029299 68.813 -152.9931
30.395510 68.825 -153.4801
30.761721 68.833 -153.9549
31.127932 68.838 -154.3934
31.494143 68.843 -154.7908
31.860354 68.852 -155.1618
32.226565 68.863 -155.5251
32.592776 68.874 -155.8888
32.958987 68.883 -156.2465
33.325198 68.890 -156.5867
33.691409 68.895 -156.9052
34.057620 68.902 -157.2094
34.423831 68.909 -157.5134
34.790042 68.916 -157.8275
35.156253 68.921 -158.1520
35.522464 68.922 -158.4780
35.888675 68.920 -158.7937
36.254886 68.917 -159.0922
36.621097 68.916 -159.3752
36.987308 68.916 -159.6520
37.353519 68.919 -159.9344
37.719730 68.923 -160.2296
38.085941 68.926 -160.5370
38.452152 68.928 -160.8488
38.818363 68.929 -161.1549
39.184573 68.929 -161.4491
39.550784 68.930 -161.7306
39.916995 68.931 -162.0027
40.283206 68.934 -162.2689
40.649417 68.937 -162.5304
41.015628 68.940 -162.7866
41.381839 68.943 -163.0367
41.748050 68.946 -163.2818
42.114261 68.948 -163.5239
42.480472 68.950 -163.7649
42.846683 68.951 -164.0049
43.212894 68.951 -164.2417
43.579105 68.949 -164.4718
43.945316 68.947 -164.6926
44.311527 68.945 -164.9043
44.677738 68.944 -165.1110
45.043949 68.944 -165.3186
45.410160 68.944 -165.5322
45.776371 68.943 -165.7516
46.142582 68.942 -165.9721
46.508793 68.939 -166.1870
46.875004 68.937 -166.3929
47.241215 68.935 -166.5920
47.607426 68.933 -166.7897
47.973637 68.933 -166.9899
48.339848 68.931 -167.1912
48.706059 68.929 -167.3883
49.072270 68.926 -167.5767
49.438481 68.924 -167.7569
49.804692 68.924 -167.9346
50.170902 68.924 -168.1164
50.537113 68.923 -168.3043
50.903324 68.922 -168.4945
51.269535 68.919 -168.6803
51.635746 68.916 -168.8570
52.001957 68.913 -169.0250
52.368168 68.911 -169.1898
52.734379 68.909 -169.3573
53.100590 68.908 -169.5300
53.466801 68.906 -169.7057
53.833012 68.903 -169.8793
54.199223 68.900 -170.0465
54.565434 68.896 -170.2066
54.931645 68.893 -170.3624
55.297856 68.891 -170.5177
55.664067 68.889 -170.6743
56.030278 68.886 -170.8316
56.396489 68.883 -170.9872
56.762700 68.880 -171.1404
57.128911 68.878 -171.2926
57.495122 68.875 -171.4463
57.861333 68.872 -171.6020
58.227544 68.867 -171.7564
58.593755 68.862 -171.9041
58.959966 68.857 -172.0417
59.326177 68.852 -172.1704
59.692388 68.850 -172.2967
60.058599 68.848 -172.4281
60.424810 68.847 -172.5691
60.791021 68.846 -172.7186
61.157232 68.843 -172.8711
61.523442 68.839 -173.0203
61.889653 68.835 -173.1620
62.255864 68.830 -173.2952
62.622075 68.826 -173.4219
62.988286 68.822 -173.5452
63.354497 68.819 -173.6683
63.720708 68.816 -173.7935
64.086919 68.812 -173.9212
64.453130 68.808 -174.0498
64.819341 68.803 -174.1762
65.185552 68.798 -174.2976
65.551763 68.792 -174.4134
65.917974 68.787 -174.5253
66.284185 68.782 -174.6367
66.650396 68.778 -174.7503
67.016607 68.774 -174.8671
67.382818 68.769 -174.9856
67.749029 68.763 -175.1033
68.115240 68.758 -175.2187
68.481451 68.752 -175.3316
68.847662 68.747 -175.4435
69.213873 68.741 -175.5556
69.580084 68.736 -175.6686
69.946295 68.731 -175.7816
70.312506 68.725 -175.8933
70.678717 68.720 -176.0029
71.044928 68.715 -176.1106
71.411139 68.710 -176.2174
71.777350 68.705 -176.3242
72.143561 68.700 -176.4308
72.509771 68.694 -176.5363
72.875982 68.689 -176.6397
73.242193 68.684 -176.7412
73.608404 68.679 -176.8418
73.974615 68.674 -176.9428
74.340826 68.669 -177.0446
74.707037 68.663 -177.1463
75.073248 68.657 -177.2463
75.439459 68.651 -177.3438
75.805670 68.645 -177.4395
76.171881 68.639 -177.5353
76.538092 68.634 -177.6325
76.904303 68.628 -177.7312
77.270514 68.622 -177.8296
77.636725 68.615 -177.9252
78.002936 68.608 -178.0171
78.369147 68.601 -178.1055
78.735358 68.595 -178.1921
79.101569 68.589 -178.2785
79.467780 68.584 -178.3652
79.833991 68.578 -178.4518
80.200202 68.572 -178.5376
80.566413 68.567 -178.6225
80.932624 68.562 -178.7074
81.298835 68.556 -178.7928
81.665046 68.551 -178.8791
82.031257 68.546 -178.9658
82.397468 68.540 -179.0525
82.763679 68.535 -179.1390
83.129890 68.529 -179.2252
83.496101 68.522 -179.3106
83.862311 68.516 -179.3939
84.228522 68.509 -179.4739
84.594733 68.502 -179.5500
84.960944 68.496 -179.6236
85.327155 68.490 -179.6974
85.693366 68.485 -179.7734
86.059577 68.480 -179.8517
86.425788 68.474 -179.9302
86.791999 68.468 179.9938
87.158210 68.462 179.9213
87.524421 68.456 179.8502
87.890632 68.451 179.7770
88.256843 68.446 179.6993
88.623054 68.441 179.6178
88.989265 68.434 179.5367
89.355476 68.427 179.4607
89.721687 68.420 179.3917
90.087898 68.413 179.3274
90.454109 68.408 179.2628
90.820320 68.403 179.1936
91.186531 68.397 179.1186
91.552742 68.391 179.0407
91.918953 68.385 178.9646
92.285164 68.377 178.8936
92.651375 68.370 178.8279
93.017586 68.364 178.7650
93.383797 68.358 178.7018
93.750008 68.352 178.6365
94.116219 68.347 178.5693
94.482430 68.341 178.5016
94.848641 68.335 178.4348
95.214851 68.330 178.3688
95.581062 68.324 178.3031
95.947273 68.318 178.2370
96.313484 68.312 178.1707
96.679695 68.306 178.1051
97.045906 68.300 178.0413
97.412117 68.293 177.9797
97.778328 68.286 177.9200
98.144539 68.280 177.8615
98.510750 68.274 177.8032
98.876961 68.268 177.7445
99.243172 68.261 177.6852
99.609383 68.255 177.6256
99.975594 68.248 177.5661
100.341805 68.242 177.5074
100.708016 68.235 177.4498
101.074227 68.228 177.3937
101.440438 68.221 177.3386
101.806649 68.215 177.2839
102.172860 68.209 177.2289
102.539071 68.202 177.1733
102.905282 68.196 177.1172
103.271493 68.190 177.0610
103.637704 68.184 177.0050
104.003915 68.178 176.9491
104.370126 68.171 176.8933
104.736337 68.165 176.8376
105.102548 68.159 176.7826
105.468759 68.152 176.7289
105.834970 68.146 176.6768
106.201180 68.140 176.6260
106.567391 68.134 176.5754
106.933602 68.128 176.5235
107.299813 68.123 176.4697
107.666024 68.117 176.4142
108.032235 68.111 176.3582
108.398446 68.104 176.3033
108.764657 68.097 176.2507
109.130868 68.090 176.2007
109.497079 68.083 176.1530
109.863290 68.077 176.1068
110.229501 68.070 176.0613
110.595712 68.064 176.0159
110.961923 68.057 175.9704
111.328134 68.051 175.9247
111.694345 68.044 175.8790
112.060556 68.038 175.8340
112.426767 68.031 175.7900
112.792978 68.025 175.7473
113.159189 68.018 175.7053
113.525400 68.012 175.6629
113.891611 68.007 175.6187
114.257822 68.001 175.5719
114.624033 67.995 175.5228
114.990244 67.988 175.4732
115.356455 67.981 175.4252
115.722666 67.974 175.3807
116.088877 67.967 175.3402
116.455088 67.960 175.3027
116.821299 67.954 175.2661
117.187510 67.948 175.2281
117.553720 67.942 175.1872
117.919931 67.937 175.1432
118.286142 67.931 175.0970
118.652353 67.925 175.0502
119.018564 67.918 175.0044
119.384775 67.911 174.9611
119.750986 67.904 174.9206
120.117197 67.896 174.8828
120.483408 67.889 174.8468
120.849619 67.883 174.8116
121.215830 67.876 174.7762
121.582041 67.870 174.7403
121.948252 67.863 174.7039
122.314463 67.857 174.6672
122.680674 67.850 174.6308
123.046885 67.844 174.5947
123.413096 67.837 174.5588
123.779307 67.831 174.5228
124.145518 67.825 174.4865
124.511729 67.819 174.4500
124.877940 67.814 174.4132
125.244151 67.808 174.3763
125.610362 67.803 174.3393
125.976573 67.798 174.3019
126.342784 67.793 174.2641
126.708995 67.788 174.2260
127.075206 67.783 174.1882
127.441417 67.778 174.1512
127.807628 67.772 174.1155
128.173839 67.767 174.0815
128.540049 67.762 174.0490
128.906260 67.756 174.0177
129.272471 67.751 173.9870
129.638682 67.746 173.9564
130.004893 67.741 173.9255
130.371104 67.736 173.8943
130.737315 67.731 173.8631
131.103526 67.726 173.8321
131.469737 67.721 173.8016
131.835948 67.716 173.7717
132.202159 67.710 173.7424
132.568370 67.705 173.7133
132.934581 67.700 173.6845
133.300792 67.695 173.6556
133.667003 67.690 173.6268
134.033214 67.685 173.5980
134.399425 67.680 173.5690
134.765636 67.675 173.5399
135.131847 67.670 173.5105
135.498058 67.665 173.4811
135.864269 67.660 173.4521
136.230480 67.655 173.4236
136.596691 67.649 173.3959
136.962902 67.644 173.3691
137.329113 67.639 173.3429
137.695324 67.633 173.3174
138.061535 67.628 173.2924
138.427746 67.623 173.2680
138.793957 67.618 173.2439
139.160168 67.613 173.2198
139.526379 67.608 173.1954
139.892589 67.604 173.1703
140.258800 67.599 173.1443
140.625011 67.594 173.1175
140.991222 67.590 173.0900
141.357433 67.585 173.0623
141.723644 67.580 173.0344
142.089855 67.574 173.0067
142.456066 67.569 172.9795
142.822277 67.564 172.9533
143.188488 67.558 172.9283
143.554699 67.553 172.9047
143.920910 67.548 172.8823
144.287121 67.542 172.8607
144.653332 67.537 172.8394
145.019543 67.532 172.8181
145.385754 67.527 172.7967
145.751965 67.522 172.7751
146.118176 67.517 172.7535
146.484387 67.513 172.7317
146.850598 67.508 172.7098
