* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 25, 2023 1:55:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HE10 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.824 162.5449
0.732422 66.046 144.4663
1.098633 62.675 123.8991
1.464844 56.808 91.3745
1.831055 52.946 8.3685
2.197266 58.357 -40.3198
2.563477 61.699 -55.2200
2.929688 63.774 -60.6350
3.295899 65.474 -62.4856
3.662110 67.058 -64.0827
4.028321 68.456 -66.8194
4.394532 69.573 -70.5399
4.760743 70.408 -74.5546
5.126954 71.035 -78.3204
5.493164 71.551 -81.6905
5.859375 72.027 -84.8651
6.225586 72.484 -88.1372
6.591797 72.908 -91.6382
6.958008 73.278 -95.2744
7.324219 73.595 -98.8414
7.690430 73.879 -102.1779
8.056641 74.155 -105.2492
8.422852 74.437 -108.1245
8.789063 74.721 -110.8894
9.155274 74.995 -113.5720
9.521485 75.249 -116.1361
9.887696 75.476 -118.5255
10.253907 75.611 -120.7124
10.620118 75.700 -122.7147
10.986329 75.778 -124.5772
11.352540 75.843 -126.3405
11.718751 75.891 -128.0220
12.084962 75.921 -129.6196
12.451173 75.936 -131.1275
12.817384 75.987 -132.5529
13.183595 76.038 -133.9189
13.549806 76.082 -135.2567
13.916017 76.121 -136.5917
14.282228 76.153 -137.9333
14.648439 76.178 -139.2752
15.014650 76.197 -140.6054
15.380861 76.213 -141.9164
15.747072 76.229 -143.2095
16.113283 76.250 -144.4876
16.479493 76.278 -145.7442
16.845704 76.305 -146.9602
17.211915 76.330 -148.1128
17.578126 76.358 -149.1927
17.944337 76.391 -150.2142
18.310548 76.429 -151.2077
18.676759 76.469 -152.1983
19.042970 76.503 -153.1875
19.409181 76.529 -154.1528
19.775392 76.547 -155.0658
20.141603 76.560 -155.9136
20.507814 76.573 -156.7072
20.874025 76.586 -157.4712
21.240236 76.597 -158.2251
21.606447 76.604 -158.9727
21.972658 76.607 -159.7077
22.338869 76.606 -160.4262
22.705080 76.605 -161.1342
23.071291 76.603 -161.8425
23.437502 76.598 -162.5544
23.803713 76.590 -163.2591
24.169924 76.579 -163.9382
24.536135 76.568 -164.5791
24.902346 76.560 -165.1850
25.268557 76.558 -165.7720
25.634768 76.560 -166.3577
26.000979 76.564 -166.9506
26.367190 76.569 -167.5494
26.733401 76.573 -168.1493
27.099612 76.575 -168.7486
27.465823 76.575 -169.3484
27.832033 76.571 -169.9461
28.198244 76.560 -170.5302
28.564455 76.544 -171.0827
28.930666 76.525 -171.5899
29.296877 76.505 -172.0521
29.663088 76.489 -172.4863
30.029299 76.477 -172.9181
30.395510 76.466 -173.3674
30.761721 76.454 -173.8378
31.127932 76.439 -174.3172
31.494143 76.422 -174.7877
31.860354 76.403 -175.2387
32.226565 76.386 -175.6744
32.592776 76.372 -176.1093
32.958987 76.360 -176.5567
33.325198 76.347 -177.0175
33.691409 76.331 -177.4775
34.057620 76.312 -177.9167
34.423831 76.294 -178.3236
34.790042 76.279 -178.7042
35.156253 76.268 -179.0790
35.522464 76.260 -179.4693
35.888675 76.250 -179.8818
36.254886 76.235 179.6967
36.621097 76.214 179.2916
36.987308 76.190 178.9245
37.353519 76.165 178.6011
37.719730 76.144 178.3083
38.085941 76.128 178.0225
38.452152 76.115 177.7215
38.818363 76.104 177.3932
39.184573 76.090 177.0377
39.550784 76.073 176.6645
39.916995 76.051 176.2891
40.283206 76.025 175.9294
40.649417 75.997 175.6003
41.015628 75.970 175.3076
41.381839 75.946 175.0430
41.748050 75.928 174.7854
42.114261 75.915 174.5107
42.480472 75.903 174.2054
42.846683 75.888 173.8745
43.212894 75.869 173.5396
43.579105 75.845 173.2256
43.945316 75.819 172.9474
44.311527 75.796 172.7023
44.677738 75.777 172.4737
45.043949 75.761 172.2415
45.410160 75.748 171.9930
45.776371 75.734 171.7268
46.142582 75.719 171.4496
46.508793 75.702 171.1701
46.875004 75.683 170.8947
47.241215 75.663 170.6259
47.607426 75.642 170.3640
47.973637 75.621 170.1085
48.339848 75.599 169.8588
48.706059 75.578 169.6147
49.072270 75.557 169.3753
49.438481 75.535 169.1404
49.804692 75.514 168.9098
50.170902 75.493 168.6839
50.537113 75.472 168.4637
50.903324 75.450 168.2504
51.269535 75.430 168.0436
51.635746 75.410 167.8409
52.001957 75.392 167.6374
52.368168 75.373 167.4278
52.734379 75.355 167.2102
53.100590 75.334 166.9883
53.466801 75.312 166.7700
53.833012 75.289 166.5626
54.199223 75.266 166.3668
54.565434 75.245 166.1753
54.931645 75.225 165.9784
55.297856 75.205 165.7723
55.664067 75.183 165.5643
56.030278 75.160 165.3686
56.396489 75.137 165.1949
56.762700 75.118 165.0377
57.128911 75.103 164.8759
57.495122 75.092 164.6860
57.861333 75.079 164.4593
58.227544 75.061 164.2114
58.593755 75.036 163.9758
58.959966 75.006 163.7833
59.326177 74.977 163.6435
59.692388 74.953 163.5386
60.058599 74.936 163.4355
60.424810 74.923 163.3074
60.791021 74.909 163.1488
61.157232 74.891 162.9753
61.523442 74.869 162.8094
61.889653 74.846 162.6647
62.255864 74.823 162.5384
62.622075 74.803 162.4164
62.988286 74.784 162.2855
63.354497 74.764 162.1413
63.720708 74.743 161.9890
64.086919 74.720 161.8367
64.453130 74.696 161.6891
64.819341 74.673 161.5455
65.185552 74.649 161.4030
65.551763 74.626 161.2601
65.917974 74.602 161.1184
66.284185 74.579 160.9800
66.650396 74.556 160.8452
67.016607 74.533 160.7119
67.382818 74.512 160.5778
67.749029 74.490 160.4430
68.115240 74.468 160.3106
68.481451 74.446 160.1841
68.847662 74.424 160.0641
69.213873 74.404 159.9473
69.580084 74.384 159.8286
69.946295 74.365 159.7051
70.312506 74.346 159.5780
70.678717 74.326 159.4520
71.044928 74.305 159.3320
71.411139 74.284 159.2198
71.777350 74.264 159.1134
72.143561 74.245 159.0084
72.509771 74.227 158.9006
72.875982 74.209 158.7877
73.242193 74.191 158.6689
73.608404 74.172 158.5453
73.974615 74.152 158.4199
74.340826 74.130 158.2987
74.707037 74.107 158.1891
75.073248 74.084 158.0957
75.439459 74.062 158.0156
75.805670 74.043 157.9382
76.171881 74.026 157.8504
76.538092 74.010 157.7446
76.904303 73.991 157.6252
77.270514 73.969 157.5057
77.636725 73.945 157.3995
78.002936 73.921 157.3099
78.369147 73.899 157.2285
78.735358 73.878 157.1424
79.101569 73.857 157.0465
79.467780 73.833 156.9492
79.833991 73.807 156.8662
80.200202 73.782 156.8080
80.566413 73.760 156.7689
80.932624 73.743 156.7286
81.298835 73.730 156.6642
81.665046 73.717 156.5652
82.031257 73.701 156.4396
82.397468 73.681 156.3079
82.763679 73.656 156.1905
83.129890 73.631 156.0971
83.496101 73.606 156.0250
83.862311 73.584 155.9640
84.228522 73.563 155.9044
84.594733 73.545 155.8401
84.960944 73.527 155.7689
85.327155 73.509 155.6904
85.693366 73.490 155.6066
86.059577 73.470 155.5223
86.425788 73.448 155.4445
86.791999 73.427 155.3788
87.158210 73.406 155.3259
87.524421 73.387 155.2791
87.890632 73.370 155.2282
88.256843 73.355 155.1652
88.623054 73.339 155.0888
88.989265 73.322 155.0044
89.355476 73.303 154.9203
89.721687 73.282 154.8430
90.087898 73.262 154.7740
90.454109 73.242 154.7117
90.820320 73.223 154.6523
91.186531 73.204 154.5929
91.552742 73.186 154.5315
91.918953 73.168 154.4675
92.285164 73.150 154.4011
92.651375 73.132 154.3341
93.017586 73.112 154.2695
93.383797 73.093 154.2100
93.750008 73.073 154.1563
94.116219 73.054 154.1068
94.482430 73.036 154.0577
94.848641 73.019 154.0056
95.214851 73.002 153.9489
95.581062 72.984 153.8890
95.947273 72.966 153.8289
96.313484 72.947 153.7716
96.679695 72.927 153.7190
97.045906 72.908 153.6713
97.412117 72.889 153.6273
97.778328 72.871 153.5847
98.144539 72.853 153.5414
98.510750 72.835 153.4957
98.876961 72.818 153.4472
99.243172 72.800 153.3974
99.609383 72.781 153.3486
99.975594 72.762 153.3033
100.341805 72.743 153.2623
100.708016 72.725 153.2247
101.074227 72.707 153.1879
101.440438 72.690 153.1490
101.806649 72.673 153.1068
102.172860 72.656 153.0620
102.539071 72.638 153.0173
102.905282 72.620 152.9751
103.271493 72.602 152.9363
103.637704 72.585 152.8997
104.003915 72.568 152.8630
104.370126 72.551 152.8240
104.736337 72.534 152.7819
105.102548 72.517 152.7383
105.468759 72.500 152.6956
105.834970 72.482 152.6560
106.201180 72.464 152.6203
106.567391 72.446 152.5878
106.933602 72.429 152.5569
107.299813 72.412 152.5260
107.666024 72.396 152.4940
108.032235 72.380 152.4605
108.398446 72.363 152.4256
108.764657 72.347 152.3896
109.130868 72.330 152.3538
109.497079 72.313 152.3195
109.863290 72.296 152.2878
110.229501 72.279 152.2592
110.595712 72.262 152.2330
110.961923 72.245 152.2079
111.328134 72.229 152.1821
111.694345 72.214 152.1547
112.060556 72.198 152.1255
112.426767 72.183 152.0945
112.792978 72.167 152.0620
113.159189 72.151 152.0282
113.525400 72.135 151.9936
113.891611 72.118 151.9590
114.257822 72.101 151.9261
114.624033 72.083 151.8963
114.990244 72.065 151.8706
115.356455 72.047 151.8491
115.722666 72.030 151.8308
116.088877 72.013 151.8147
116.455088 71.996 151.7996
116.821299 71.980 151.7847
117.187510 71.964 151.7694
117.553720 71.949 151.7529
117.919931 71.934 151.7346
118.286142 71.919 151.7139
118.652353 71.904 151.6912
119.018564 71.888 151.6674
119.384775 71.872 151.6440
119.750986 71.856 151.6222
120.117197 71.841 151.6026
120.483408 71.825 151.5848
120.849619 71.809 151.5677
121.215830 71.794 151.5503
121.582041 71.778 151.5322
121.948252 71.763 151.5141
122.314463 71.747 151.4976
122.680674 71.730 151.4843
123.046885 71.714 151.4748
123.413096 71.699 151.4685
123.779307 71.683 151.4638
124.145518 71.669 151.4587
124.511729 71.655 151.4517
124.877940 71.641 151.4419
125.244151 71.628 151.4294
125.610362 71.614 151.4147
125.976573 71.601 151.3985
126.342784 71.587 151.3815
126.708995 71.574 151.3643
127.075206 71.560 151.3475
127.441417 71.546 151.3314
127.807628 71.532 151.3160
128.173839 71.518 151.3015
128.540049 71.504 151.2878
128.906260 71.490 151.2755
129.272471 71.476 151.2651
129.638682 71.463 151.2565
130.004893 71.450 151.2491
130.371104 71.437 151.2418
130.737315 71.425 151.2332
131.103526 71.413 151.2221
131.469737 71.401 151.2087
131.835948 71.389 151.1936
132.202159 71.377 151.1780
132.568370 71.364 151.1630
132.934581 71.351 151.1495
133.300792 71.337 151.1384
133.667003 71.323 151.1303
134.033214 71.310 151.1258
134.399425 71.296 151.1248
134.765636 71.283 151.1271
135.131847 71.270 151.1313
135.498058 71.258 151.1360
135.864269 71.246 151.1398
136.230480 71.234 151.1414
136.596691 71.222 151.1401
136.962902 71.211 151.1360
137.329113 71.199 151.1295
137.695324 71.187 151.1213
138.061535 71.174 151.1124
138.427746 71.161 151.1039
138.793957 71.147 151.0967
139.160168 71.134 151.0917
139.526379 71.120 151.0892
139.892589 71.106 151.0891
140.258800 71.093 151.0905
140.625011 71.080 151.0923
140.991222 71.067 151.0934
141.357433 71.055 151.0928
141.723644 71.042 151.0908
142.089855 71.030 151.0878
142.456066 71.017 151.0848
142.822277 71.005 151.0827
143.188488 70.992 151.0817
143.554699 70.980 151.0817
143.920910 70.968 151.0822
144.287121 70.956 151.0828
144.653332 70.944 151.0834
145.019543 70.932 151.0840
145.385754 70.921 151.0847
145.751965 70.909 151.0858
146.118176 70.897 151.0880
146.484387 70.885 151.0918
146.850598 70.873 151.0976
147.216809 70.862 151.1055
147.583020 70.850 151.1149
147.949231 70.839 151.1246
148.315442 70.828 151.1335
148.681653 70.817 151.1411
149.047864 70.806 151.1470
149.414075 70.795 151.1520
149.780286 70.784 151.1567
150.146497 70.773 151.1615
150.512708 70.762 151.1663
