* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 25, 2023 1:55:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HE10 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.597 -23.4708
0.732422 72.726 -46.6010
1.098633 69.089 -68.4717
1.464844 61.896 -83.6641
1.831055 53.234 5.2622
2.197266 63.295 16.7334
2.563477 66.528 -3.1983
2.929688 67.458 -25.2092
3.295899 67.150 -45.2866
3.662110 66.149 -59.7129
4.028321 65.294 -64.7577
4.394532 65.828 -63.3366
4.760743 67.606 -65.2477
5.126954 69.399 -72.4450
5.493164 70.644 -81.4573
5.859375 71.326 -89.2895
6.225586 71.674 -94.2627
6.591797 72.019 -96.3398
6.958008 72.577 -97.2096
7.324219 73.270 -98.7582
7.690430 73.885 -101.4505
8.056641 74.298 -104.5847
8.422852 74.529 -107.3059
8.789063 74.683 -109.2661
9.155274 74.857 -110.7607
9.521485 75.069 -112.3463
9.887696 75.273 -114.3141
10.253907 75.355 -116.5466
10.620118 75.357 -118.7648
10.986329 75.344 -120.8134
11.352540 75.346 -122.7448
11.718751 75.370 -124.6926
12.084962 75.402 -126.7074
12.451173 75.433 -128.7225
12.817384 75.507 -130.6433
13.183595 75.591 -132.4334
13.549806 75.679 -134.1150
13.916017 75.765 -135.7075
14.282228 75.842 -137.1895
14.648439 75.911 -138.5264
15.014650 75.976 -139.7205
15.380861 76.041 -140.8239
15.747072 76.102 -141.8958
16.113283 76.155 -142.9558
16.479493 76.202 -143.9831
16.845704 76.236 -144.9558
17.211915 76.262 -145.8852
17.578126 76.283 -146.8081
17.944337 76.298 -147.7509
18.310548 76.307 -148.7106
18.676759 76.310 -149.6715
19.042970 76.314 -150.6353
19.409181 76.321 -151.6262
19.775392 76.327 -152.6618
20.141603 76.330 -153.7220
20.507814 76.328 -154.7526
20.874025 76.326 -155.7039
21.240236 76.331 -156.5682
21.606447 76.347 -157.3808
21.972658 76.374 -158.1842
22.338869 76.403 -158.9904
22.705080 76.430 -159.7778
23.071291 76.454 -160.5197
23.437502 76.477 -161.2124
23.803713 76.500 -161.8773
24.169924 76.520 -162.5368
24.536135 76.531 -163.1910
24.902346 76.532 -163.8176
25.268557 76.524 -164.3913
25.634768 76.512 -164.9060
26.000979 76.501 -165.3799
26.367190 76.494 -165.8459
26.733401 76.489 -166.3361
27.099612 76.484 -166.8708
27.465823 76.476 -167.4536
27.832033 76.462 -168.0701
28.198244 76.441 -168.6927
28.564455 76.415 -169.2909
28.930666 76.389 -169.8465
29.296877 76.368 -170.3637
29.663088 76.354 -170.8654
30.029299 76.348 -171.3765
30.395510 76.344 -171.9077
30.761721 76.341 -172.4508
31.127932 76.336 -172.9878
31.494143 76.329 -173.5036
31.860354 76.321 -173.9918
32.226565 76.313 -174.4528
32.592776 76.304 -174.8879
32.958987 76.296 -175.2985
33.325198 76.287 -175.6884
33.691409 76.279 -176.0652
34.057620 76.271 -176.4373
34.423831 76.262 -176.8094
34.790042 76.252 -177.1817
35.156253 76.240 -177.5537
35.522464 76.227 -177.9294
35.888675 76.214 -178.3164
36.254886 76.198 -178.7199
36.621097 76.179 -179.1362
36.987308 76.155 -179.5516
37.353519 76.127 -179.9478
37.719730 76.097 179.6878
38.085941 76.070 179.3557
38.452152 76.046 179.0440
38.818363 76.028 178.7345
39.184573 76.014 178.4109
39.550784 76.001 178.0659
39.916995 75.987 177.7038
40.283206 75.972 177.3372
40.649417 75.954 176.9806
41.015628 75.935 176.6434
41.381839 75.916 176.3266
41.748050 75.898 176.0240
42.114261 75.882 175.7277
42.480472 75.866 175.4326
42.846683 75.850 175.1387
43.212894 75.833 174.8487
43.579105 75.816 174.5658
43.945316 75.798 174.2912
44.311527 75.781 174.0233
44.677738 75.765 173.7579
45.043949 75.749 173.4900
45.410160 75.733 173.2164
45.776371 75.715 172.9380
46.142582 75.696 172.6612
46.508793 75.675 172.3942
46.875004 75.653 172.1428
47.241215 75.632 171.9053
47.607426 75.613 171.6733
47.973637 75.595 171.4370
48.339848 75.577 171.1915
48.706059 75.559 170.9397
49.072270 75.539 170.6891
49.438481 75.518 170.4460
49.804692 75.497 170.2116
50.170902 75.477 169.9825
50.537113 75.458 169.7543
50.903324 75.440 169.5246
51.269535 75.422 169.2935
51.635746 75.403 169.0618
52.001957 75.384 168.8298
52.368168 75.365 168.5986
52.734379 75.345 168.3718
53.100590 75.323 168.1552
53.466801 75.302 167.9530
53.833012 75.282 167.7632
54.199223 75.263 167.5766
54.565434 75.246 167.3824
54.931645 75.228 167.1765
55.297856 75.207 166.9664
55.664067 75.183 166.7686
56.030278 75.157 166.5962
56.396489 75.134 166.4472
56.762700 75.114 166.3028
57.128911 75.098 166.1384
57.495122 75.081 165.9424
57.861333 75.059 165.7275
58.227544 75.032 165.5245
58.593755 75.001 165.3618
58.959966 74.974 165.2441
59.326177 74.954 165.1462
59.692388 74.942 165.0284
60.058599 74.933 164.8629
60.424810 74.923 164.6514
60.791021 74.906 164.4214
61.157232 74.884 164.2059
61.523442 74.860 164.0222
61.889653 74.838 163.8638
62.255864 74.820 163.7117
62.622075 74.802 163.5511
62.988286 74.784 163.3815
63.354497 74.764 163.2144
63.720708 74.742 163.0605
64.086919 74.720 162.9217
64.453130 74.699 162.7906
64.819341 74.679 162.6579
65.185552 74.660 162.5194
65.551763 74.640 162.3766
65.917974 74.618 162.2335
66.284185 74.596 162.0925
66.650396 74.573 161.9545
67.016607 74.549 161.8207
67.382818 74.526 161.6926
67.749029 74.503 161.5710
68.115240 74.481 161.4524
68.481451 74.461 161.3305
68.847662 74.442 161.2000
69.213873 74.422 161.0609
69.580084 74.402 160.9191
69.946295 74.381 160.7818
70.312506 74.361 160.6517
70.678717 74.342 160.5254
71.044928 74.323 160.3975
71.411139 74.304 160.2664
71.777350 74.285 160.1372
72.143561 74.264 160.0179
72.509771 74.244 159.9130
72.875982 74.225 159.8190
73.242193 74.208 159.7267
73.608404 74.192 159.6274
73.974615 74.177 159.5186
74.340826 74.160 159.4034
74.707037 74.142 159.2862
75.073248 74.123 159.1685
75.439459 74.103 159.0489
75.805670 74.082 158.9272
76.171881 74.058 158.8083
76.538092 74.032 158.7011
76.904303 74.005 158.6121
77.270514 73.979 158.5407
77.636725 73.955 158.4782
78.002936 73.934 158.4137
78.369147 73.913 158.3411
78.735358 73.892 158.2620
79.101569 73.871 158.1822
79.467780 73.851 158.1055
79.833991 73.832 158.0293
80.200202 73.814 157.9462
80.566413 73.797 157.8501
80.932624 73.780 157.7407
81.298835 73.761 157.6241
81.665046 73.740 157.5085
82.031257 73.718 157.3989
82.397468 73.696 157.2959
82.763679 73.674 157.1975
83.129890 73.652 157.1027
83.496101 73.630 157.0132
83.862311 73.608 156.9318
84.228522 73.586 156.8590
84.594733 73.567 156.7919
84.960944 73.548 156.7253
85.327155 73.531 156.6552
85.693366 73.514 156.5814
86.059577 73.496 156.5068
86.425788 73.479 156.4339
86.791999 73.462 156.3624
87.158210 73.446 156.2892
87.524421 73.429 156.2115
87.890632 73.412 156.1303
88.256843 73.392 156.0515
88.623054 73.372 155.9825
88.989265 73.352 155.9269
89.355476 73.333 155.8812
89.721687 73.316 155.8362
90.087898 73.300 155.7817
90.454109 73.285 155.7131
90.820320 73.268 155.6332
91.186531 73.248 155.5508
91.552742 73.227 155.4754
91.918953 73.206 155.4120
92.285164 73.184 155.3598
92.651375 73.164 155.3131
93.017586 73.146 155.2652
93.383797 73.129 155.2112
93.750008 73.111 155.1498
94.116219 73.094 155.0826
94.482430 73.075 155.0133
94.848641 73.056 154.9463
95.214851 73.036 154.8846
95.581062 73.017 154.8293
95.947273 72.997 154.7791
96.313484 72.979 154.7311
96.679695 72.961 154.6831
97.045906 72.944 154.6335
97.412117 72.927 154.5829
97.778328 72.909 154.5328
98.144539 72.892 154.4845
98.510750 72.874 154.4382
98.876961 72.857 154.3933
99.243172 72.840 154.3488
99.609383 72.823 154.3036
99.975594 72.806 154.2579
100.341805 72.789 154.2117
100.708016 72.772 154.1656
101.074227 72.755 154.1200
101.440438 72.738 154.0750
101.806649 72.721 154.0300
102.172860 72.703 153.9844
102.539071 72.686 153.9371
102.905282 72.669 153.8875
103.271493 72.651 153.8363
103.637704 72.632 153.7861
104.003915 72.612 153.7403
104.370126 72.592 153.7017
104.736337 72.573 153.6709
105.102548 72.554 153.6457
105.468759 72.536 153.6216
105.834970 72.520 153.5948
106.201180 72.504 153.5632
106.567391 72.488 153.5275
106.933602 72.472 153.4901
107.299813 72.455 153.4537
107.666024 72.439 153.4194
108.032235 72.423 153.3873
108.398446 72.407 153.3565
108.764657 72.391 153.3267
109.130868 72.376 153.2976
109.497079 72.361 153.2687
109.863290 72.346 153.2387
110.229501 72.332 153.2061
110.595712 72.317 153.1696
110.961923 72.302 153.1293
111.328134 72.287 153.0872
111.694345 72.270 153.0456
112.060556 72.253 153.0073
112.426767 72.235 152.9740
112.792978 72.217 152.9458
113.159189 72.200 152.9219
113.525400 72.183 152.9005
113.891611 72.166 152.8794
114.257822 72.149 152.8569
114.624033 72.133 152.8324
114.990244 72.117 152.8065
115.356455 72.100 152.7809
115.722666 72.083 152.7575
116.088877 72.066 152.7370
116.455088 72.050 152.7188
116.821299 72.034 152.7011
117.187510 72.019 152.6819
117.553720 72.004 152.6606
117.919931 71.989 152.6373
118.286142 71.974 152.6136
118.652353 71.958 152.5908
119.018564 71.943 152.5695
119.384775 71.928 152.5497
119.750986 71.913 152.5309
120.117197 71.898 152.5124
120.483408 71.883 152.4937
120.849619 71.868 152.4747
121.215830 71.854 152.4553
121.582041 71.839 152.4355
121.948252 71.824 152.4152
122.314463 71.808 152.3948
122.680674 71.793 152.3745
123.046885 71.777 152.3546
123.413096 71.762 152.3356
123.779307 71.746 152.3179
124.145518 71.730 152.3019
124.511729 71.714 152.2882
124.877940 71.699 152.2770
125.244151 71.684 152.2682
125.610362 71.670 152.2607
125.976573 71.656 152.2528
126.342784 71.643 152.2429
126.708995 71.630 152.2300
127.075206 71.618 152.2146
127.441417 71.605 152.1982
127.807628 71.592 152.1828
128.173839 71.578 152.1693
128.540049 71.566 152.1571
128.906260 71.553 152.1440
129.272471 71.541 152.1277
129.638682 71.529 152.1069
130.004893 71.515 152.0830
130.371104 71.501 152.0592
130.737315 71.487 152.0394
131.103526 71.471 152.0262
131.469737 71.456 152.0196
131.835948 71.442 152.0175
132.202159 71.429 152.0168
132.568370 71.416 152.0153
132.934581 71.403 152.0121
133.300792 71.391 152.0077
133.667003 71.378 152.0034
134.033214 71.366 151.9998
134.399425 71.354 151.9967
134.765636 71.342 151.9935
135.131847 71.330 151.9897
135.498058 71.319 151.9855
135.864269 71.307 151.9813
136.230480 71.296 151.9777
136.596691 71.284 151.9741
136.962902 71.273 151.9695
137.329113 71.262 151.9623
137.695324 71.251 151.9515
138.061535 71.240 151.9372
138.427746 71.228 151.9209
138.793957 71.215 151.9054
139.160168 71.200 151.8934
139.526379 71.186 151.8871
139.892589 71.171 151.8873
140.258800 71.157 151.8936
140.625011 71.143 151.9044
140.991222 71.130 151.9172
141.357433 71.118 151.9298
141.723644 71.106 151.9399
142.089855 71.096 151.9460
142.456066 71.085 151.9471
142.822277 71.074 151.9435
143.188488 71.063 151.9360
143.554699 71.052 151.9263
143.920910 71.040 151.9165
144.287121 71.027 151.9083
144.653332 71.014 151.9029
145.019543 71.001 151.9007
145.385754 70.989 151.9012
145.751965 70.977 151.9037
146.118176 70.965 151.9072
146.484387 70.953 151.9109
146.850598 70.942 151.9142
147.216809 70.931 151.9165
147.583020 70.920 151.9176
147.949231 70.909 151.9176
148.315442 70.898 151.9170
148.681653 70.887 151.9163
149.047864 70.875 151.9165
149.414075 70.864 151.9180
149.780286 70.852 151.9211
150.146497 70.841 151.9255
150.512708 70.830 151.9311
