* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2023 5:45:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XENNS Tea CP155 Tip L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.784 179.3312
0.732422 76.612 -173.6195
1.098633 74.646 -145.5368
1.464844 77.158 -113.0576
1.831055 80.879 -102.7631
2.197266 83.567 -102.8333
2.563477 85.349 -106.0331
2.929688 86.517 -109.7773
3.295899 87.305 -113.1053
3.662110 87.888 -115.8220
4.028321 88.383 -118.1620
4.394532 88.837 -120.4919
4.760743 89.250 -123.0555
5.126954 89.608 -125.8854
5.493164 89.904 -128.8713
5.859375 90.147 -131.8745
6.225586 90.350 -134.7957
6.591797 90.528 -137.5822
6.958008 90.690 -140.2029
7.324219 90.846 -142.6335
7.690430 91.003 -144.8680
8.056641 91.168 -146.9399
8.422852 91.340 -148.9174
8.789063 91.511 -150.8630
9.155274 91.665 -152.7878
9.521485 91.790 -154.6372
9.887696 91.883 -156.3272
10.253907 91.884 -157.8042
10.620118 91.848 -159.0894
10.986329 91.817 -160.2739
11.352540 91.789 -161.4637
11.718751 91.752 -162.7169
12.084962 91.696 -164.0183
12.451173 91.619 -165.3036
12.817384 91.571 -166.5107
13.183595 91.525 -167.6205
13.549806 91.482 -168.6642
13.916017 91.447 -169.6977
14.282228 91.418 -170.7637
14.648439 91.389 -171.8707
15.014650 91.358 -172.9967
15.380861 91.324 -174.1104
15.747072 91.290 -175.1905
16.113283 91.263 -176.2320
16.479493 91.247 -177.2380
16.845704 91.231 -178.2054
17.211915 91.212 -179.1180
17.578126 91.190 -179.9517
17.944337 91.169 179.3088
18.310548 91.153 178.6532
18.676759 91.145 178.0429
19.042970 91.143 177.4277
19.409181 91.140 176.7736
19.775392 91.129 176.0835
20.141603 91.105 175.3949
20.507814 91.071 174.7560
20.874025 91.031 174.1947
21.240236 90.993 173.7007
21.606447 90.963 173.2333
21.972658 90.940 172.7475
22.338869 90.922 172.2188
22.705080 90.904 171.6493
23.071291 90.886 171.0547
23.437502 90.869 170.4451
23.803713 90.854 169.8185
24.169924 90.841 169.1667
24.536135 90.827 168.4881
24.902346 90.810 167.7936
25.268557 90.788 167.1020
25.634768 90.762 166.4320
26.000979 90.732 165.7973
26.367190 90.698 165.2091
26.733401 90.662 164.6763
27.099612 90.626 164.2022
27.465823 90.594 163.7756
27.832033 90.567 163.3684
28.198244 90.544 162.9465
28.564455 90.520 162.4891
28.930666 90.489 162.0044
29.296877 90.449 161.5248
29.663088 90.401 161.0854
30.029299 90.353 160.6986
30.395510 90.309 160.3449
30.761721 90.270 159.9871
31.127932 90.235 159.5977
31.494143 90.197 159.1777
31.860354 90.156 158.7522
32.226565 90.112 158.3489
32.592776 90.070 157.9752
32.958987 90.034 157.6142
33.325198 90.002 157.2403
33.691409 89.972 156.8410
34.057620 89.940 156.4274
34.423831 89.904 156.0253
34.790042 89.866 155.6549
35.156253 89.831 155.3167
35.522464 89.798 154.9929
35.888675 89.769 154.6632
36.254886 89.738 154.3218
36.621097 89.704 153.9809
36.987308 89.667 153.6594
37.353519 89.630 153.3662
37.719730 89.594 153.0915
38.085941 89.562 152.8131
38.452152 89.531 152.5132
38.818363 89.496 152.1924
39.184573 89.457 151.8701
39.550784 89.414 151.5719
39.916995 89.370 151.3113
40.283206 89.331 151.0808
40.649417 89.298 150.8567
41.015628 89.269 150.6145
41.381839 89.242 150.3438
41.748050 89.213 150.0517
42.114261 89.181 149.7560
42.480472 89.147 149.4729
42.846683 89.112 149.2089
43.212894 89.078 148.9614
43.579105 89.046 148.7230
43.945316 89.015 148.4868
44.311527 88.985 148.2484
44.677738 88.955 148.0059
45.043949 88.923 147.7608
45.410160 88.891 147.5190
45.776371 88.856 147.2899
46.142582 88.821 147.0806
46.508793 88.788 146.8897
46.875004 88.759 146.7046
47.241215 88.732 146.5076
47.607426 88.706 146.2871
47.973637 88.678 146.0468
48.339848 88.646 145.8041
48.706059 88.611 145.5789
49.072270 88.575 145.3804
49.438481 88.541 145.2025
49.804692 88.510 145.0288
50.170902 88.482 144.8456
50.537113 88.453 144.6498
50.903324 88.423 144.4494
51.269535 88.391 144.2552
51.635746 88.358 144.0733
52.001957 88.327 143.9009
52.368168 88.298 143.7298
52.734379 88.269 143.5513
53.100590 88.241 143.3612
53.466801 88.212 143.1616
53.833012 88.182 142.9596
54.199223 88.151 142.7634
54.565434 88.120 142.5761
54.931645 88.091 142.3933
55.297856 88.063 142.2049
55.664067 88.037 142.0035
56.030278 88.009 141.7934
56.396489 87.978 141.5913
56.762700 87.947 141.4157
57.128911 87.918 141.2699
57.495122 87.896 141.1327
57.861333 87.880 140.9686
58.227544 87.864 140.7528
58.593755 87.841 140.4958
58.959966 87.807 140.2452
59.326177 87.764 140.0600
59.692388 87.719 139.9725
60.058599 87.684 139.9633
60.424810 87.663 139.9697
60.791021 87.653 139.9239
61.157232 87.645 139.7937
61.523442 87.630 139.5985
61.889653 87.603 139.3901
62.255864 87.568 139.2162
62.622075 87.531 139.0928
62.988286 87.498 139.0016
63.354497 87.468 138.9108
63.720708 87.441 138.7999
64.086919 87.412 138.6701
64.453130 87.382 138.5360
64.819341 87.351 138.4089
65.185552 87.321 138.2876
65.551763 87.294 138.1612
65.917974 87.269 138.0192
66.284185 87.243 137.8601
66.650396 87.216 137.6901
67.016607 87.187 137.5182
67.382818 87.156 137.3517
67.749029 87.124 137.1958
68.115240 87.092 137.0562
68.481451 87.060 136.9377
68.847662 87.031 136.8401
69.213873 87.005 136.7554
69.580084 86.982 136.6691
69.946295 86.963 136.5685
70.312506 86.943 136.4508
70.678717 86.922 136.3240
71.044928 86.898 136.2005
71.411139 86.874 136.0879
71.777350 86.850 135.9853
72.143561 86.826 135.8870
72.509771 86.803 135.7901
72.875982 86.779 135.6974
73.242193 86.755 135.6147
73.608404 86.732 135.5426
73.974615 86.712 135.4730
74.340826 86.695 135.3921
74.707037 86.680 135.2884
75.073248 86.664 135.1587
75.439459 86.646 135.0072
75.805670 86.624 134.8418
76.171881 86.599 134.6703
76.538092 86.569 134.5023
76.904303 86.534 134.3514
77.270514 86.497 134.2344
77.636725 86.459 134.1631
78.002936 86.424 134.1356
78.369147 86.397 134.1320
78.735358 86.377 134.1228
79.101569 86.362 134.0835
79.467780 86.348 134.0076
79.833991 86.332 133.9071
80.200202 86.314 133.8028
80.566413 86.294 133.7095
80.932624 86.274 133.6276
81.298835 86.257 133.5452
81.665046 86.242 133.4480
82.031257 86.227 133.3285
82.397468 86.209 133.1905
82.763679 86.187 133.0462
83.129890 86.160 132.9103
83.496101 86.131 132.7941
83.862311 86.101 132.7025
84.228522 86.071 132.6344
84.594733 86.042 132.5845
84.960944 86.017 132.5459
85.327155 85.993 132.5127
85.693366 85.972 132.4798
86.059577 85.954 132.4429
86.425788 85.938 132.3968
86.791999 85.924 132.3361
87.158210 85.910 132.2568
87.524421 85.896 132.1601
87.890632 85.879 132.0536
88.256843 85.860 131.9491
88.623054 85.840 131.8571
88.989265 85.819 131.7812
89.355476 85.800 131.7159
89.721687 85.783 131.6504
90.087898 85.768 131.5745
90.454109 85.752 131.4842
90.820320 85.734 131.3834
91.186531 85.713 131.2816
91.552742 85.689 131.1888
91.918953 85.664 131.1115
92.285164 85.638 131.0506
92.651375 85.612 131.0027
93.017586 85.588 130.9614
93.383797 85.565 130.9201
93.750008 85.544 130.8727
94.116219 85.523 130.8156
94.482430 85.502 130.7477
94.848641 85.481 130.6710
95.214851 85.458 130.5901
95.581062 85.435 130.5101
95.947273 85.411 130.4344
96.313484 85.388 130.3625
96.679695 85.367 130.2907
97.045906 85.347 130.2153
97.412117 85.326 130.1362
97.778328 85.305 130.0591
98.144539 85.284 129.9929
98.510750 85.263 129.9448
98.876961 85.244 129.9146
99.243172 85.228 129.8944
99.609383 85.216 129.8726
99.975594 85.205 129.8411
100.341805 85.195 129.7994
100.708016 85.184 129.7530
101.074227 85.172 129.7075
101.440438 85.160 129.6636
101.806649 85.148 129.6167
102.172860 85.136 129.5614
102.539071 85.121 129.4961
102.905282 85.105 129.4248
103.271493 85.086 129.3535
103.637704 85.065 129.2856
104.003915 85.043 129.2203
104.370126 85.020 129.1551
104.736337 84.995 129.0909
105.102548 84.969 129.0333
105.468759 84.943 128.9889
105.834970 84.919 128.9586
106.201180 84.899 128.9325
106.567391 84.883 128.8927
106.933602 84.869 128.8235
107.299813 84.854 128.7229
107.666024 84.836 128.6073
108.032235 84.812 128.5065
108.398446 84.787 128.4476
108.764657 84.766 128.4380
109.130868 84.753 128.4571
109.497079 84.751 128.4622
109.863290 84.758 128.4082
110.229501 84.765 128.2704
110.595712 84.766 128.0581
110.961923 84.753 127.8113
111.328134 84.727 127.5826
111.694345 84.692 127.4134
112.060556 84.653 127.3191
112.426767 84.616 127.2880
112.792978 84.583 127.2934
113.159189 84.556 127.3108
113.525400 84.532 127.3285
113.891611 84.508 127.3488
114.257822 84.485 127.3813
114.624033 84.465 127.4336
114.990244 84.448 127.5047
115.356455 84.437 127.5836
115.722666 84.433 127.6525
116.088877 84.435 127.6931
116.455088 84.439 127.6949
116.821299 84.443 127.6612
117.187510 84.444 127.6092
117.553720 84.442 127.5614
117.919931 84.440 127.5317
118.286142 84.441 127.5140
118.652353 84.448 127.4826
119.018564 84.458 127.4058
119.384775 84.465 127.2669
119.750986 84.463 127.0785
120.117197 84.447 126.8807
120.483408 84.419 126.7231
120.849619 84.383 126.6412
121.215830 84.347 126.6407
121.582041 84.315 126.6985
121.948252 84.291 126.7778
122.314463 84.273 126.8470
122.680674 84.258 126.8913
123.046885 84.242 126.9132
123.413096 84.226 126.9239
123.779307 84.208 126.9335
124.145518 84.190 126.9455
124.511729 84.174 126.9572
124.877940 84.160 126.9626
125.244151 84.146 126.9572
125.610362 84.133 126.9412
125.976573 84.120 126.9201
126.342784 84.106 126.9033
126.708995 84.092 126.8999
127.075206 84.079 126.9141
127.441417 84.069 126.9422
127.807628 84.064 126.9740
128.173839 84.063 126.9974
128.540049 84.063 127.0046
128.906260 84.064 126.9953
129.272471 84.064 126.9753
129.638682 84.064 126.9513
130.004893 84.062 126.9260
130.371104 84.060 126.8972
130.737315 84.058 126.8603
131.103526 84.055 126.8137
131.469737 84.049 126.7604
131.835948 84.040 126.7076
132.202159 84.030 126.6619
132.568370 84.019 126.6251
132.934581 84.009 126.5929
133.300792 84.000 126.5582
133.667003 83.992 126.5147
134.033214 83.983 126.4604
134.399425 83.975 126.3977
134.765636 83.966 126.3302
135.131847 83.957 126.2603
135.498058 83.949 126.1871
135.864269 83.941 126.1081
136.230480 83.933 126.0216
136.596691 83.925 125.9288
136.962902 83.916 125.8342
137.329113 83.905 125.7438
137.695324 83.893 125.6626
138.061535 83.882 125.5930
138.427746 83.870 125.5347
138.793957 83.859 125.4858
139.160168 83.848 125.4442
139.526379 83.838 125.4084
139.892589 83.829 125.3774
140.258800 83.820 125.3501
140.625011 83.811 125.3246
140.991222 83.804 125.2987
141.357433 83.796 125.2700
141.723644 83.789 125.2367
142.089855 83.782 125.1979
142.456066 83.774 125.1537
142.822277 83.766 125.1049
143.188488 83.756 125.0532
143.554699 83.746 125.0006
143.920910 83.735 124.9495
144.287121 83.724 124.9014
144.653332 83.713 124.8572
145.019543 83.702 124.8163
145.385754 83.692 124.7768
145.751965 83.682 124.7368
146.118176 83.673 124.6948
146.484387 83.663 124.6511
146.850598 83.654 124.6071
147.216809 83.643 124.5652
147.583020 83.633 124.5273
147.949231 83.622 124.4942
148.315442 83.612 124.4658
148.681653 83.601 124.4411
149.047864 83.592 124.4191
149.414075 83.582 124.3986
149.780286 83.574 124.3782
150.146497 83.565 124.3561
150.512708 83.557 124.3306
150.878918 83.550 124.3001
151.245129 83.541 124.2646
151.611340 83.533 124.2253
