* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2023 5:58:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XENNS Tea CP155 R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 90.012 -25.0779
0.732422 88.736 -49.3204
1.098633 86.485 -71.0710
1.464844 83.107 -85.7327
1.831055 79.451 -80.9601
2.197266 80.094 -61.9456
2.563477 83.246 -64.1349
2.929688 85.510 -78.1178
3.295899 86.739 -94.0103
3.662110 87.169 -107.5865
4.028321 87.116 -116.3592
4.394532 87.094 -119.4933
4.760743 87.602 -119.5264
5.126954 88.566 -120.6740
5.493164 89.504 -124.2784
5.859375 90.115 -129.0003
6.225586 90.384 -133.0830
6.591797 90.477 -135.5038
6.958008 90.610 -136.4731
7.324219 90.878 -137.1655
7.690430 91.198 -138.5640
8.056641 91.440 -140.7071
8.422852 91.549 -143.0123
8.789063 91.565 -144.9398
9.155274 91.569 -146.3964
9.521485 91.613 -147.7004
9.887696 91.687 -149.2042
10.253907 91.682 -150.9800
10.620118 91.618 -152.8519
10.986329 91.538 -154.6301
11.352540 91.468 -156.2750
11.718751 91.416 -157.8647
12.084962 91.375 -159.4550
12.451173 91.333 -161.0015
12.817384 91.336 -162.4171
13.183595 91.354 -163.6730
13.549806 91.384 -164.8278
13.916017 91.418 -165.9571
14.282228 91.443 -167.0720
14.648439 91.452 -168.1165
15.014650 91.448 -169.0365
15.380861 91.441 -169.8444
15.747072 91.436 -170.6102
16.113283 91.433 -171.3979
16.479493 91.427 -172.2153
16.845704 91.408 -173.0264
17.211915 91.378 -173.8019
17.578126 91.346 -174.5514
17.944337 91.315 -175.3085
18.310548 91.282 -176.0938
18.676759 91.248 -176.8991
19.042970 91.213 -177.7054
19.409181 91.181 -178.5077
19.775392 91.153 -179.3161
20.141603 91.128 179.8671
20.507814 91.105 179.0630
20.874025 91.083 178.3034
21.240236 91.066 177.6003
21.606447 91.058 176.9319
21.972658 91.055 176.2624
22.338869 91.052 175.5763
22.705080 91.042 174.8972
23.071291 91.021 174.2700
23.437502 90.995 173.7278
23.803713 90.969 173.2691
24.169924 90.946 172.8632
24.536135 90.927 172.4745
24.902346 90.909 172.0822
25.268557 90.889 171.6836
25.634768 90.868 171.2841
26.000979 90.845 170.8865
26.367190 90.824 170.4875
26.733401 90.804 170.0773
27.099612 90.787 169.6421
27.465823 90.772 169.1690
27.832033 90.756 168.6525
28.198244 90.738 168.0993
28.564455 90.716 167.5279
28.930666 90.689 166.9592
29.296877 90.660 166.4071
29.663088 90.630 165.8761
30.029299 90.598 165.3672
30.395510 90.566 164.8851
30.761721 90.534 164.4374
31.127932 90.503 164.0272
31.494143 90.475 163.6459
31.860354 90.451 163.2755
32.226565 90.428 162.8996
32.592776 90.404 162.5135
32.958987 90.378 162.1246
33.325198 90.348 161.7443
33.691409 90.317 161.3793
34.057620 90.284 161.0277
34.423831 90.252 160.6835
34.790042 90.220 160.3411
35.156253 90.188 159.9977
35.522464 90.156 159.6533
35.888675 90.124 159.3090
36.254886 90.092 158.9669
36.621097 90.060 158.6293
36.987308 90.029 158.2968
37.353519 89.999 157.9666
37.719730 89.971 157.6355
38.085941 89.942 157.3035
38.452152 89.913 156.9758
38.818363 89.883 156.6605
39.184573 89.853 156.3614
39.550784 89.825 156.0741
39.916995 89.799 155.7888
40.283206 89.774 155.4977
40.649417 89.748 155.2009
41.015628 89.720 154.9052
41.381839 89.691 154.6179
41.748050 89.661 154.3406
42.114261 89.632 154.0695
42.480472 89.602 153.8001
42.846683 89.572 153.5314
43.212894 89.541 153.2661
43.579105 89.511 153.0074
43.945316 89.481 152.7549
44.311527 89.451 152.5057
44.677738 89.423 152.2556
45.043949 89.395 152.0034
45.410160 89.367 151.7507
45.776371 89.339 151.5008
46.142582 89.310 151.2564
46.508793 89.282 151.0193
46.875004 89.254 150.7890
47.241215 89.226 150.5637
47.607426 89.199 150.3412
47.973637 89.172 150.1199
48.339848 89.145 149.9000
48.706059 89.118 149.6824
49.072270 89.090 149.4678
49.438481 89.063 149.2556
49.804692 89.035 149.0439
50.170902 89.008 148.8318
50.537113 88.980 148.6203
50.903324 88.952 148.4117
51.269535 88.924 148.2068
51.635746 88.897 148.0041
52.001957 88.870 147.8003
52.368168 88.843 147.5944
52.734379 88.815 147.3890
53.100590 88.786 147.1896
53.466801 88.758 147.0007
53.833012 88.730 146.8226
54.199223 88.703 146.6505
54.565434 88.678 146.4781
54.931645 88.654 146.3009
55.297856 88.629 146.1191
55.664067 88.603 145.9361
56.030278 88.576 145.7568
56.396489 88.549 145.5848
56.762700 88.521 145.4209
57.128911 88.494 145.2632
57.495122 88.468 145.1083
57.861333 88.442 144.9527
58.227544 88.418 144.7944
58.593755 88.393 144.6328
58.959966 88.369 144.4687
59.326177 88.344 144.3027
59.692388 88.320 144.1355
60.058599 88.296 143.9676
60.424810 88.272 143.7999
60.791021 88.247 143.6345
61.157232 88.223 143.4727
61.523442 88.200 143.3150
61.889653 88.177 143.1600
62.255864 88.154 143.0051
62.622075 88.132 142.8486
62.988286 88.109 142.6909
63.354497 88.086 142.5345
63.720708 88.061 142.3828
64.086919 88.036 142.2376
64.453130 88.011 142.0988
64.819341 87.987 141.9637
65.185552 87.962 141.8284
65.551763 87.938 141.6904
65.917974 87.914 141.5496
66.284185 87.889 141.4082
66.650396 87.863 141.2690
67.016607 87.837 141.1335
67.382818 87.811 141.0010
67.749029 87.786 140.8697
68.115240 87.761 140.7379
68.481451 87.736 140.6057
68.847662 87.712 140.4740
69.213873 87.688 140.3433
69.580084 87.664 140.2124
69.946295 87.641 140.0795
70.312506 87.618 139.9434
70.678717 87.595 139.8058
71.044928 87.571 139.6699
71.411139 87.547 139.5391
71.777350 87.523 139.4147
72.143561 87.499 139.2955
72.509771 87.475 139.1789
72.875982 87.452 139.0626
73.242193 87.429 138.9462
73.608404 87.406 138.8304
73.974615 87.382 138.7164
74.340826 87.359 138.6049
74.707037 87.336 138.4961
75.073248 87.313 138.3892
75.439459 87.290 138.2830
75.805670 87.267 138.1765
76.171881 87.245 138.0691
76.538092 87.222 137.9608
76.904303 87.200 137.8525
77.270514 87.177 137.7455
77.636725 87.154 137.6407
78.002936 87.132 137.5388
78.369147 87.110 137.4393
78.735358 87.088 137.3413
79.101569 87.066 137.2439
79.467780 87.045 137.1464
79.833991 87.024 137.0486
80.200202 87.003 136.9506
80.566413 86.982 136.8531
80.932624 86.961 136.7567
81.298835 86.940 136.6613
81.665046 86.919 136.5663
82.031257 86.899 136.4703
82.397468 86.879 136.3726
82.763679 86.858 136.2729
83.129890 86.838 136.1724
83.496101 86.817 136.0729
83.862311 86.795 135.9767
84.228522 86.773 135.8855
84.594733 86.752 135.7995
84.960944 86.732 135.7174
85.327155 86.712 135.6366
85.693366 86.693 135.5540
86.059577 86.675 135.4678
86.425788 86.656 135.3781
86.791999 86.638 135.2869
87.158210 86.619 135.1962
87.524421 86.599 135.1075
87.890632 86.580 135.0209
88.256843 86.560 134.9359
88.623054 86.541 134.8527
88.989265 86.521 134.7718
89.355476 86.502 134.6933
89.721687 86.483 134.6159
90.087898 86.465 134.5365
90.454109 86.447 134.4521
90.820320 86.429 134.3618
91.186531 86.409 134.2684
91.552742 86.389 134.1765
91.918953 86.368 134.0904
92.285164 86.347 134.0111
92.651375 86.327 133.9363
93.017586 86.307 133.8622
93.383797 86.288 133.7865
93.750008 86.268 133.7096
94.116219 86.249 133.6341
94.482430 86.229 133.5625
94.848641 86.210 133.4951
95.214851 86.192 133.4297
95.581062 86.174 133.3633
95.947273 86.157 133.2938
96.313484 86.140 133.2212
96.679695 86.123 133.1469
97.045906 86.105 133.0724
97.412117 86.088 132.9988
97.778328 86.070 132.9261
98.144539 86.052 132.8545
98.510750 86.034 132.7844
98.876961 86.016 132.7168
99.243172 85.998 132.6526
99.609383 85.980 132.5918
99.975594 85.963 132.5336
100.341805 85.946 132.4767
100.708016 85.929 132.4201
101.074227 85.913 132.3633
101.440438 85.897 132.3061
101.806649 85.880 132.2484
102.172860 85.864 132.1901
102.539071 85.848 132.1312
102.905282 85.832 132.0717
103.271493 85.817 132.0117
103.637704 85.801 131.9513
104.003915 85.785 131.8902
104.370126 85.769 131.8286
104.736337 85.753 131.7667
105.102548 85.737 131.7048
105.468759 85.721 131.6428
105.834970 85.706 131.5798
106.201180 85.691 131.5146
106.567391 85.676 131.4469
106.933602 85.661 131.3773
107.299813 85.645 131.3080
107.666024 85.629 131.2416
108.032235 85.612 131.1801
108.398446 85.596 131.1237
108.764657 85.581 131.0717
109.130868 85.565 131.0226
109.497079 85.551 130.9755
109.863290 85.537 130.9299
110.229501 85.523 130.8853
110.595712 85.510 130.8401
110.961923 85.497 130.7929
111.328134 85.485 130.7421
111.694345 85.472 130.6871
112.060556 85.460 130.6286
112.426767 85.447 130.5677
112.792978 85.433 130.5053
113.159189 85.419 130.4420
113.525400 85.405 130.3776
113.891611 85.391 130.3126
114.257822 85.376 130.2482
114.624033 85.361 130.1862
114.990244 85.346 130.1278
115.356455 85.331 130.0726
115.722666 85.318 130.0188
116.088877 85.305 129.9645
116.455088 85.292 129.9088
116.821299 85.280 129.8534
117.187510 85.268 129.8013
117.553720 85.256 129.7545
117.919931 85.246 129.7112
118.286142 85.237 129.6651
118.652353 85.230 129.6078
119.018564 85.224 129.5330
119.384775 85.215 129.4413
119.750986 85.203 129.3412
120.117197 85.187 129.2465
120.483408 85.168 129.1699
120.849619 85.147 129.1177
121.215830 85.128 129.0874
121.582041 85.110 129.0702
121.948252 85.095 129.0556
122.314463 85.081 129.0359
122.680674 85.069 129.0081
123.046885 85.056 128.9729
123.413096 85.043 128.9326
123.779307 85.030 128.8888
124.145518 85.017 128.8423
124.511729 85.004 128.7936
124.877940 84.991 128.7433
125.244151 84.978 128.6921
125.610362 84.966 128.6407
125.976573 84.954 128.5893
126.342784 84.942 128.5378
126.708995 84.931 128.4861
127.075206 84.920 128.4349
127.441417 84.909 128.3846
127.807628 84.899 128.3357
128.173839 84.889 128.2884
128.540049 84.879 128.2422
128.906260 84.869 128.1965
129.272471 84.860 128.1509
129.638682 84.850 128.1052
130.004893 84.841 128.0591
130.371104 84.831 128.0127
130.737315 84.821 127.9663
131.103526 84.811 127.9203
131.469737 84.800 127.8752
131.835948 84.789 127.8313
132.202159 84.778 127.7888
132.568370 84.767 127.7472
132.934581 84.757 127.7060
133.300792 84.746 127.6646
133.667003 84.735 127.6224
134.033214 84.725 127.5793
134.399425 84.715 127.5349
134.765636 84.705 127.4891
135.131847 84.695 127.4422
135.498058 84.685 127.3944
135.864269 84.675 127.3465
136.230480 84.665 127.2990
136.596691 84.656 127.2523
136.962902 84.647 127.2060
137.329113 84.638 127.1597
137.695324 84.629 127.1128
138.061535 84.620 127.0652
138.427746 84.611 127.0175
138.793957 84.603 126.9702
139.160168 84.594 126.9238
139.526379 84.585 126.8785
139.892589 84.576 126.8337
140.258800 84.568 126.7886
140.625011 84.559 126.7425
140.991222 84.550 126.6952
141.357433 84.541 126.6472
141.723644 84.531 126.5995
142.089855 84.521 126.5531
142.456066 84.511 126.5086
142.822277 84.501 126.4660
143.188488 84.491 126.4251
143.554699 84.481 126.3852
143.920910 84.472 126.3458
144.287121 84.462 126.3062
144.653332 84.453 126.2664
145.019543 84.444 126.2263
145.385754 84.435 126.1857
145.751965 84.427 126.1449
146.118176 84.418 126.1038
146.484387 84.410 126.0624
146.850598 84.401 126.0210
147.216809 84.393 125.9797
147.583020 84.384 125.9386
147.949231 84.376 125.8978
148.315442 84.368 125.8572
148.681653 84.359 125.8165
149.047864 84.351 125.7754
149.414075 84.342 125.7340
149.780286 84.334 125.6924
150.146497 84.325 125.6509
150.512708 84.315 125.6100
150.878918 84.306 125.5699
151.245129 84.297 125.5308
151.611340 84.288 125.4923
