* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2023 8:14:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XENNS Tea L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 82.337 161.3409
0.732422 79.441 142.2024
1.098633 72.315 118.9628
1.464844 65.582 -41.6261
1.831055 76.836 -74.0779
2.197266 80.636 -88.5834
2.563477 82.302 -98.3152
2.929688 83.041 -103.6060
3.295899 83.558 -105.1649
3.662110 84.250 -105.4172
4.028321 85.075 -106.8940
4.394532 85.788 -110.1909
4.760743 86.244 -114.4079
5.126954 86.463 -118.4091
5.493164 86.575 -121.5632
5.859375 86.717 -124.0088
6.225586 86.949 -126.3932
6.591797 87.226 -129.2241
6.958008 87.475 -132.4825
7.324219 87.659 -135.7807
7.690430 87.795 -138.7357
8.056641 87.930 -141.2254
8.422852 88.093 -143.3973
8.789063 88.281 -145.4710
9.155274 88.464 -147.5395
9.521485 88.622 -149.5382
9.887696 88.746 -151.3546
10.253907 88.779 -152.9418
10.620118 88.771 -154.3450
10.986329 88.759 -155.6461
11.352540 88.738 -156.9004
11.718751 88.702 -158.1218
12.084962 88.653 -159.3095
12.451173 88.595 -160.4716
12.817384 88.573 -161.6223
13.183595 88.550 -162.7646
13.549806 88.520 -163.8896
13.916017 88.488 -164.9945
14.282228 88.458 -166.0974
14.648439 88.432 -167.2272
15.014650 88.408 -168.3950
15.380861 88.381 -169.5779
15.747072 88.351 -170.7309
16.113283 88.327 -171.8196
16.479493 88.320 -172.8419
16.845704 88.321 -173.8215
17.211915 88.327 -174.7805
17.578126 88.333 -175.7195
17.944337 88.336 -176.6188
18.310548 88.335 -177.4591
18.676759 88.331 -178.2368
19.042970 88.326 -178.9643
19.409181 88.318 -179.6581
19.775392 88.306 179.6726
20.141603 88.291 179.0248
20.507814 88.272 178.3973
20.874025 88.250 177.7847
21.240236 88.225 177.1779
21.606447 88.197 176.5688
21.972658 88.167 175.9517
22.338869 88.135 175.3240
22.705080 88.101 174.6866
23.071291 88.066 174.0443
23.437502 88.031 173.4048
23.803713 87.996 172.7757
24.169924 87.964 172.1594
24.536135 87.936 171.5532
24.902346 87.911 170.9528
25.268557 87.888 170.3579
25.634768 87.867 169.7736
26.000979 87.846 169.2069
26.367190 87.826 168.6616
26.733401 87.806 168.1381
27.099612 87.785 167.6353
27.465823 87.763 167.1544
27.832033 87.740 166.6975
28.198244 87.715 166.2624
28.564455 87.691 165.8407
28.930666 87.665 165.4215
29.296877 87.638 164.9988
29.663088 87.607 164.5754
30.029299 87.573 164.1589
30.395510 87.537 163.7539
30.761721 87.502 163.3568
31.127932 87.467 162.9581
31.494143 87.432 162.5502
31.860354 87.397 162.1340
32.226565 87.361 161.7178
32.592776 87.325 161.3101
32.958987 87.290 160.9134
33.325198 87.258 160.5232
33.691409 87.227 160.1334
34.057620 87.198 159.7421
34.423831 87.168 159.3542
34.790042 87.138 158.9776
35.156253 87.108 158.6183
35.522464 87.078 158.2760
35.888675 87.050 157.9451
36.254886 87.023 157.6176
36.621097 86.996 157.2886
36.987308 86.967 156.9590
37.353519 86.936 156.6345
37.719730 86.903 156.3221
38.085941 86.870 156.0245
38.452152 86.837 155.7378
38.818363 86.806 155.4530
39.184573 86.775 155.1615
39.550784 86.743 154.8607
39.916995 86.711 154.5557
40.283206 86.677 154.2564
40.649417 86.644 153.9698
41.015628 86.612 153.6949
41.381839 86.582 153.4232
41.748050 86.554 153.1445
42.114261 86.526 152.8548
42.480472 86.497 152.5591
42.846683 86.465 152.2693
43.212894 86.432 151.9962
43.579105 86.400 151.7429
43.945316 86.369 151.5037
44.311527 86.340 151.2681
44.677738 86.312 151.0275
45.043949 86.285 150.7797
45.410160 86.255 150.5286
45.776371 86.225 150.2801
46.142582 86.193 150.0387
46.508793 86.161 149.8057
46.875004 86.129 149.5805
47.241215 86.098 149.3619
47.607426 86.067 149.1479
47.973637 86.038 148.9355
48.339848 86.010 148.7210
48.706059 85.982 148.5021
49.072270 85.954 148.2796
49.438481 85.926 148.0572
49.804692 85.898 147.8389
50.170902 85.870 147.6262
50.537113 85.842 147.4173
50.903324 85.815 147.2097
51.269535 85.787 147.0031
51.635746 85.759 146.8006
52.001957 85.730 146.6066
52.368168 85.701 146.4233
52.734379 85.673 146.2485
53.100590 85.646 146.0762
53.466801 85.620 145.9002
53.833012 85.594 145.7166
54.199223 85.567 145.5261
54.565434 85.539 145.3340
54.931645 85.509 145.1475
55.297856 85.478 144.9726
55.664067 85.448 144.8096
56.030278 85.420 144.6514
56.396489 85.394 144.4868
56.762700 85.368 144.3069
57.128911 85.340 144.1140
57.495122 85.309 143.9219
57.861333 85.276 143.7503
58.227544 85.242 143.6114
58.593755 85.213 143.5003
58.959966 85.189 143.3961
59.326177 85.170 143.2730
59.692388 85.152 143.1162
60.058599 85.133 142.9291
60.424810 85.110 142.7295
60.791021 85.084 142.5372
61.157232 85.055 142.3627
61.523442 85.027 142.2045
61.889653 85.000 142.0543
62.255864 84.973 141.9051
62.622075 84.947 141.7558
62.988286 84.920 141.6094
63.354497 84.894 141.4682
63.720708 84.868 141.3310
64.086919 84.843 141.1938
64.453130 84.818 141.0531
64.819341 84.793 140.9084
65.185552 84.768 140.7624
65.551763 84.742 140.6185
65.917974 84.716 140.4797
66.284185 84.690 140.3470
66.650396 84.664 140.2193
67.016607 84.639 140.0945
67.382818 84.615 139.9694
67.749029 84.591 139.8416
68.115240 84.567 139.7102
68.481451 84.542 139.5775
68.847662 84.517 139.4480
69.213873 84.491 139.3256
69.580084 84.465 139.2110
69.946295 84.440 139.1008
70.312506 84.417 138.9893
70.678717 84.394 138.8727
71.044928 84.370 138.7510
71.411139 84.347 138.6277
71.777350 84.322 138.5072
72.143561 84.298 138.3908
72.509771 84.275 138.2766
72.875982 84.251 138.1610
73.242193 84.228 138.0425
73.608404 84.204 137.9233
73.974615 84.179 137.8080
74.340826 84.154 137.7013
74.707037 84.129 137.6039
75.073248 84.106 137.5124
75.439459 84.084 137.4210
75.805670 84.063 137.3247
76.171881 84.042 137.2213
76.538092 84.021 137.1125
76.904303 83.999 137.0025
77.270514 83.977 136.8951
77.636725 83.954 136.7924
78.002936 83.932 136.6935
78.369147 83.910 136.5954
78.735358 83.889 136.4952
79.101569 83.867 136.3916
79.467780 83.846 136.2864
79.833991 83.823 136.1829
80.200202 83.801 136.0847
80.566413 83.778 135.9932
80.932624 83.756 135.9067
81.298835 83.735 135.8217
81.665046 83.715 135.7352
82.031257 83.694 135.6462
82.397468 83.674 135.5561
82.763679 83.652 135.4677
83.129890 83.631 135.3831
83.496101 83.610 135.3024
83.862311 83.589 135.2236
84.228522 83.569 135.1437
84.594733 83.549 135.0605
84.960944 83.529 134.9730
85.327155 83.509 134.8818
85.693366 83.488 134.7889
86.059577 83.467 134.6963
86.425788 83.445 134.6059
86.791999 83.424 134.5187
87.158210 83.403 134.4348
87.524421 83.382 134.3529
87.890632 83.363 134.2713
88.256843 83.344 134.1882
88.623054 83.325 134.1027
88.989265 83.307 134.0148
89.355476 83.289 133.9254
89.721687 83.270 133.8359
90.087898 83.251 133.7475
90.454109 83.232 133.6614
90.820320 83.213 133.5789
91.186531 83.193 133.5013
91.552742 83.174 133.4290
91.918953 83.154 133.3617
92.285164 83.135 133.2975
92.651375 83.117 133.2337
93.017586 83.099 133.1684
93.383797 83.081 133.1012
93.750008 83.062 133.0337
94.116219 83.043 132.9679
94.482430 83.025 132.9050
94.848641 83.006 132.8443
95.214851 82.989 132.7832
95.581062 82.972 132.7188
95.947273 82.955 132.6497
96.313484 82.938 132.5763
96.679695 82.921 132.5004
97.045906 82.904 132.4239
97.412117 82.887 132.3477
97.778328 82.870 132.2719
98.144539 82.852 132.1966
98.510750 82.835 132.1226
98.876961 82.817 132.0514
99.243172 82.800 131.9843
99.609383 82.782 131.9211
99.975594 82.765 131.8603
100.341805 82.749 131.7995
100.708016 82.733 131.7373
101.074227 82.716 131.6739
101.440438 82.699 131.6107
101.806649 82.682 131.5494
102.172860 82.665 131.4907
102.539071 82.647 131.4338
102.905282 82.630 131.3773
103.271493 82.614 131.3201
103.637704 82.597 131.2618
104.003915 82.580 131.2026
104.370126 82.563 131.1425
104.736337 82.546 131.0814
105.102548 82.530 131.0187
105.468759 82.514 130.9548
105.834970 82.497 130.8906
106.201180 82.480 130.8273
106.567391 82.464 130.7662
106.933602 82.448 130.7072
107.299813 82.433 130.6491
107.666024 82.419 130.5906
108.032235 82.405 130.5303
108.398446 82.391 130.4680
108.764657 82.377 130.4042
109.130868 82.362 130.3405
109.497079 82.348 130.2785
109.863290 82.333 130.2199
110.229501 82.318 130.1659
110.595712 82.303 130.1165
110.961923 82.288 130.0704
111.328134 82.274 130.0253
111.694345 82.260 129.9791
112.060556 82.245 129.9310
112.426767 82.231 129.8818
112.792978 82.216 129.8339
113.159189 82.200 129.7892
113.525400 82.185 129.7482
113.891611 82.170 129.7094
114.257822 82.155 129.6702
114.624033 82.141 129.6279
114.990244 82.128 129.5807
115.356455 82.114 129.5278
115.722666 82.100 129.4691
116.088877 82.086 129.4055
116.455088 82.070 129.3392
116.821299 82.054 129.2739
117.187510 82.037 129.2146
117.553720 82.019 129.1652
117.919931 82.002 129.1271
118.286142 81.986 129.0973
118.652353 81.973 129.0695
119.018564 81.961 129.0370
119.384775 81.951 128.9951
119.750986 81.941 128.9437
120.117197 81.930 128.8860
120.483408 81.918 128.8271
120.849619 81.906 128.7708
121.215830 81.894 128.7183
121.582041 81.882 128.6680
121.948252 81.871 128.6171
122.314463 81.860 128.5630
122.680674 81.849 128.5049
123.046885 81.837 128.4442
123.413096 81.824 128.3836
123.779307 81.810 128.3265
124.145518 81.796 128.2752
124.511729 81.782 128.2302
124.877940 81.769 128.1898
125.244151 81.757 128.1510
125.610362 81.745 128.1107
125.976573 81.734 128.0669
126.342784 81.723 128.0202
126.708995 81.711 127.9728
127.075206 81.699 127.9275
127.441417 81.687 127.8861
127.807628 81.676 127.8488
128.173839 81.665 127.8135
128.540049 81.654 127.7776
128.906260 81.645 127.7386
129.272471 81.635 127.6956
129.638682 81.626 127.6492
130.004893 81.616 127.6014
130.371104 81.606 127.5537
130.737315 81.595 127.5071
131.103526 81.585 127.4615
131.469737 81.575 127.4163
131.835948 81.564 127.3713
132.202159 81.554 127.3267
132.568370 81.543 127.2832
132.934581 81.533 127.2413
133.300792 81.522 127.2011
133.667003 81.512 127.1620
134.033214 81.502 127.1231
134.399425 81.492 127.0836
134.765636 81.483 127.0433
135.131847 81.473 127.0023
135.498058 81.464 126.9607
135.864269 81.454 126.9187
136.230480 81.445 126.8762
136.596691 81.435 126.8333
136.962902 81.426 126.7903
137.329113 81.416 126.7479
137.695324 81.405 126.7071
138.061535 81.395 126.6686
138.427746 81.385 126.6329
138.793957 81.375 126.5998
139.160168 81.365 126.5686
139.526379 81.356 126.5381
139.892589 81.347 126.5073
140.258800 81.339 126.4752
140.625011 81.331 126.4417
140.991222 81.323 126.4068
141.357433 81.314 126.3710
141.723644 81.306 126.3343
142.089855 81.299 126.2967
142.456066 81.291 126.2578
142.822277 81.283 126.2173
143.188488 81.275 126.1752
143.554699 81.268 126.1315
143.920910 81.260 126.0864
144.287121 81.252 126.0401
144.653332 81.243 125.9932
145.019543 81.234 125.9465
145.385754 81.225 125.9015
145.751965 81.215 125.8595
146.118176 81.205 125.8214
146.484387 81.195 125.7872
146.850598 81.185 125.7560
147.216809 81.176 125.7263
147.583020 81.168 125.6969
147.949231 81.159 125.6671
148.315442 81.151 125.6365
148.681653 81.142 125.6055
149.047864 81.134 125.5739
149.414075 81.126 125.5418
149.780286 81.118 125.5089
150.146497 81.110 125.4752
150.512708 81.102 125.4408
150.878918 81.095 125.4059
151.245129 81.087 125.3707
151.611340 81.079 125.3351
