* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2023 8:15:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XENNS Tea R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.896 -22.9188
0.732422 87.412 -45.0566
1.098633 84.749 -64.7609
1.464844 80.614 -76.7666
1.831055 76.089 -64.0597
2.197266 77.485 -40.2556
2.563477 80.670 -46.3425
2.929688 82.583 -63.7724
3.295899 83.486 -82.6314
3.662110 83.673 -98.6821
4.028321 83.450 -109.1532
4.394532 83.358 -113.0099
4.760743 83.944 -113.2471
5.126954 85.066 -114.8096
5.493164 86.147 -119.0561
5.859375 86.858 -124.3935
6.225586 87.192 -128.9475
6.591797 87.330 -131.6852
6.958008 87.494 -132.8571
7.324219 87.783 -133.6888
7.690430 88.114 -135.1894
8.056641 88.358 -137.3999
8.422852 88.463 -139.7421
8.789063 88.473 -141.6973
9.155274 88.472 -143.2053
9.521485 88.511 -144.6068
9.887696 88.576 -146.2495
10.253907 88.559 -148.1844
10.620118 88.483 -150.2190
10.986329 88.396 -152.1598
11.352540 88.321 -153.9687
11.718751 88.270 -155.7203
12.084962 88.233 -157.4585
12.451173 88.200 -159.1281
12.817384 88.217 -160.6399
13.183595 88.252 -161.9713
13.549806 88.303 -163.1856
13.916017 88.359 -164.3574
14.282228 88.406 -165.4969
14.648439 88.437 -166.5539
15.014650 88.454 -167.4874
15.380861 88.463 -168.3148
15.747072 88.468 -169.0951
16.113283 88.467 -169.8698
16.479493 88.461 -170.6347
16.845704 88.444 -171.3677
17.211915 88.421 -172.0772
17.578126 88.398 -172.8108
17.944337 88.373 -173.6176
18.310548 88.339 -174.5033
18.676759 88.293 -175.4265
19.042970 88.238 -176.3333
19.409181 88.182 -177.1911
19.775392 88.132 -177.9955
20.141603 88.095 -178.7568
20.507814 88.075 -179.4946
20.874025 88.073 179.7531
21.240236 88.084 178.9319
21.606447 88.096 178.0082
21.972658 88.093 177.0172
22.338869 88.063 176.0746
22.705080 88.013 175.3216
23.071291 87.963 174.8305
23.437502 87.935 174.5416
23.803713 87.939 174.2928
24.169924 87.962 173.9319
24.536135 87.983 173.4149
24.902346 87.985 172.8116
25.268557 87.967 172.2271
25.634768 87.939 171.7142
26.000979 87.911 171.2468
26.367190 87.886 170.7637
26.733401 87.858 170.2360
27.099612 87.820 169.6917
27.465823 87.775 169.1818
27.832033 87.732 168.7265
28.198244 87.697 168.2925
28.564455 87.671 167.8231
28.930666 87.647 167.2910
29.296877 87.615 166.7243
29.663088 87.576 166.1854
30.029299 87.534 165.7220
30.395510 87.498 165.3316
30.761721 87.474 164.9671
31.127932 87.459 164.5765
31.494143 87.445 164.1413
31.860354 87.425 163.6841
32.226565 87.400 163.2427
32.592776 87.371 162.8376
32.958987 87.343 162.4616
33.325198 87.315 162.0954
33.691409 87.287 161.7327
34.057620 87.255 161.3873
34.423831 87.225 161.0728
34.790042 87.199 160.7770
35.156253 87.179 160.4585
35.522464 87.162 160.0765
35.888675 87.136 159.6322
36.254886 87.096 159.1828
36.621097 87.043 158.8103
36.987308 86.990 158.5629
37.353519 86.950 158.4135
37.719730 86.931 158.2695
38.085941 86.927 158.0339
38.452152 86.922 157.6696
38.818363 86.904 157.2195
39.184573 86.868 156.7738
39.550784 86.819 156.4104
39.916995 86.769 156.1537
40.283206 86.728 155.9703
40.649417 86.701 155.7993
41.015628 86.682 155.5892
41.381839 86.666 155.3181
41.748050 86.647 154.9928
42.114261 86.622 154.6360
42.480472 86.590 154.2757
42.846683 86.552 153.9368
43.212894 86.511 153.6347
43.579105 86.471 153.3709
43.945316 86.436 153.1324
44.311527 86.406 152.8984
44.677738 86.379 152.6515
45.043949 86.353 152.3864
45.410160 86.327 152.1101
45.776371 86.298 151.8353
46.142582 86.268 151.5733
46.508793 86.238 151.3288
46.875004 86.208 151.1002
47.241215 86.180 150.8814
47.607426 86.154 150.6649
47.973637 86.128 150.4445
48.339848 86.102 150.2191
48.706059 86.075 149.9932
49.072270 86.047 149.7733
49.438481 86.020 149.5620
49.804692 85.994 149.3535
50.170902 85.969 149.1353
50.537113 85.945 148.8981
50.903324 85.919 148.6443
51.269535 85.888 148.3914
51.635746 85.855 148.1622
52.001957 85.820 147.9709
52.368168 85.790 147.8129
52.734379 85.766 147.6652
53.100590 85.748 147.5002
53.466801 85.731 147.3011
53.833012 85.712 147.0714
54.199223 85.688 146.8317
54.565434 85.659 146.6073
54.931645 85.628 146.4141
55.297856 85.596 146.2513
55.664067 85.567 146.1049
56.030278 85.540 145.9579
56.396489 85.512 145.8017
56.762700 85.483 145.6407
57.128911 85.451 145.4875
57.495122 85.419 145.3519
57.861333 85.388 145.2321
58.227544 85.361 145.1135
58.593755 85.337 144.9776
58.959966 85.313 144.8143
59.326177 85.287 144.6292
59.692388 85.259 144.4399
60.058599 85.229 144.2641
60.424810 85.200 144.1066
60.791021 85.175 143.9569
61.157232 85.153 143.7971
61.523442 85.133 143.6159
61.889653 85.113 143.4172
62.255864 85.090 143.2165
62.622075 85.065 143.0294
62.988286 85.041 142.8603
63.354497 85.018 142.7012
63.720708 84.997 142.5405
64.086919 84.976 142.3736
64.453130 84.953 142.2065
64.819341 84.928 142.0502
65.185552 84.904 141.9096
65.551763 84.880 141.7791
65.917974 84.859 141.6452
66.284185 84.837 141.4975
66.650396 84.814 141.3361
67.016607 84.787 141.1716
67.382818 84.757 141.0186
67.749029 84.725 140.8865
68.115240 84.693 140.7762
68.481451 84.663 140.6817
68.847662 84.636 140.5941
69.213873 84.611 140.5056
69.580084 84.588 140.4105
69.946295 84.567 140.3052
70.312506 84.546 140.1889
70.678717 84.524 140.0641
71.044928 84.502 139.9358
71.411139 84.479 139.8093
71.777350 84.456 139.6865
72.143561 84.434 139.5658
72.509771 84.412 139.4434
72.875982 84.391 139.3165
73.242193 84.368 139.1857
73.608404 84.346 139.0530
73.974615 84.322 138.9204
74.340826 84.298 138.7876
74.707037 84.274 138.6538
75.073248 84.248 138.5209
75.439459 84.220 138.3942
75.805670 84.192 138.2808
76.171881 84.165 138.1845
76.538092 84.140 138.1012
76.904303 84.118 138.0194
77.270514 84.098 137.9250
77.636725 84.080 137.8096
78.002936 84.061 137.6751
78.369147 84.039 137.5331
78.735358 84.013 137.3990
79.101569 83.986 137.2843
79.467780 83.960 137.1917
79.833991 83.935 137.1158
80.200202 83.913 137.0465
80.566413 83.894 136.9749
80.932624 83.876 136.8961
81.298835 83.858 136.8101
81.665046 83.840 136.7198
82.031257 83.821 136.6290
82.397468 83.802 136.5404
82.763679 83.782 136.4554
83.129890 83.763 136.3740
83.496101 83.744 136.2958
83.862311 83.725 136.2205
84.228522 83.708 136.1471
84.594733 83.691 136.0730
84.960944 83.676 135.9931
85.327155 83.662 135.9001
85.693366 83.649 135.7878
86.059577 83.634 135.6546
86.425788 83.615 135.5061
86.791999 83.593 135.3549
87.158210 83.566 135.2166
87.524421 83.536 135.1033
87.890632 83.506 135.0198
88.256843 83.478 134.9619
88.623054 83.453 134.9191
88.989265 83.432 134.8793
89.355476 83.413 134.8328
89.721687 83.397 134.7747
90.087898 83.380 134.7045
90.454109 83.364 134.6250
90.820320 83.346 134.5406
91.186531 83.328 134.4553
91.552742 83.309 134.3723
91.918953 83.290 134.2933
92.285164 83.271 134.2183
92.651375 83.253 134.1461
93.017586 83.235 134.0753
93.383797 83.217 134.0044
93.750008 83.200 133.9329
94.116219 83.182 133.8605
94.482430 83.165 133.7868
94.848641 83.148 133.7113
95.214851 83.131 133.6332
95.581062 83.114 133.5521
95.947273 83.097 133.4678
96.313484 83.080 133.3810
96.679695 83.062 133.2924
97.045906 83.044 133.2032
97.412117 83.025 133.1149
97.778328 83.006 133.0294
98.144539 82.986 132.9486
98.510750 82.967 132.8734
98.876961 82.949 132.8030
99.243172 82.931 132.7354
99.609383 82.915 132.6678
99.975594 82.899 132.5982
100.341805 82.884 132.5266
100.708016 82.868 132.4539
101.074227 82.853 132.3812
101.440438 82.838 132.3090
101.806649 82.823 132.2367
102.172860 82.808 132.1635
102.539071 82.792 132.0897
102.905282 82.776 132.0165
103.271493 82.759 131.9464
103.637704 82.741 131.8817
104.003915 82.723 131.8243
104.370126 82.705 131.7743
104.736337 82.687 131.7300
105.102548 82.671 131.6874
105.468759 82.656 131.6411
105.834970 82.641 131.5865
106.201180 82.626 131.5220
106.567391 82.609 131.4501
106.933602 82.592 131.3768
107.299813 82.573 131.3084
107.666024 82.553 131.2488
108.032235 82.534 131.1974
108.398446 82.515 131.1511
108.764657 82.498 131.1063
109.130868 82.481 131.0618
109.497079 82.465 131.0179
109.863290 82.450 130.9749
110.229501 82.437 130.9310
110.595712 82.424 130.8821
110.961923 82.412 130.8240
111.328134 82.399 130.7559
111.694345 82.385 130.6815
112.060556 82.370 130.6076
112.426767 82.353 130.5411
112.792978 82.336 130.4852
113.159189 82.319 130.4377
113.525400 82.304 130.3936
113.891611 82.289 130.3468
114.257822 82.275 130.2942
114.624033 82.260 130.2361
114.990244 82.245 130.1752
115.356455 82.228 130.1149
115.722666 82.211 130.0575
116.088877 82.194 130.0045
116.455088 82.176 129.9567
116.821299 82.158 129.9150
117.187510 82.141 129.8804
117.553720 82.124 129.8532
117.919931 82.108 129.8318
118.286142 82.095 129.8124
118.652353 82.084 129.7891
119.018564 82.074 129.7559
119.384775 82.065 129.7084
119.750986 82.056 129.6454
120.117197 82.046 129.5694
120.483408 82.034 129.4862
120.849619 82.019 129.4034
121.215830 82.003 129.3285
121.582041 81.986 129.2659
121.948252 81.969 129.2163
122.314463 81.953 129.1761
122.680674 81.939 129.1393
123.046885 81.926 129.0993
123.413096 81.915 129.0523
123.779307 81.903 128.9984
124.145518 81.891 128.9410
124.511729 81.878 128.8852
124.877940 81.866 128.8345
125.244151 81.854 128.7897
125.610362 81.843 128.7480
125.976573 81.833 128.7051
126.342784 81.824 128.6575
126.708995 81.815 128.6042
127.075206 81.806 128.5475
127.441417 81.796 128.4914
127.807628 81.785 128.4398
128.173839 81.774 128.3947
128.540049 81.763 128.3553
128.906260 81.754 128.3187
129.272471 81.744 128.2812
129.638682 81.736 128.2404
130.004893 81.727 128.1952
130.371104 81.717 128.1467
130.737315 81.707 128.0966
131.103526 81.697 128.0465
131.469737 81.686 127.9971
131.835948 81.675 127.9486
132.202159 81.663 127.9005
132.568370 81.652 127.8524
132.934581 81.641 127.8037
133.300792 81.629 127.7543
133.667003 81.618 127.7042
134.033214 81.606 127.6537
134.399425 81.594 127.6037
134.765636 81.583 127.5551
135.131847 81.571 127.5086
135.498058 81.560 127.4641
135.864269 81.549 127.4203
136.230480 81.540 127.3754
136.596691 81.531 127.3278
136.962902 81.521 127.2770
137.329113 81.512 127.2238
137.695324 81.503 127.1703
138.061535 81.492 127.1185
138.427746 81.482 127.0697
138.793957 81.472 127.0245
139.160168 81.461 126.9825
139.526379 81.451 126.9433
139.892589 81.441 126.9068
140.258800 81.430 126.8728
140.625011 81.420 126.8411
140.991222 81.410 126.8113
141.357433 81.399 126.7827
141.723644 81.389 126.7548
142.089855 81.379 126.7274
142.456066 81.369 126.7006
142.822277 81.359 126.6747
143.188488 81.349 126.6492
143.554699 81.340 126.6234
143.920910 81.331 126.5959
144.287121 81.322 126.5658
144.653332 81.313 126.5322
145.019543 81.305 126.4955
145.385754 81.297 126.4561
145.751965 81.288 126.4146
146.118176 81.280 126.3716
146.484387 81.271 126.3277
146.850598 81.263 126.2827
147.216809 81.255 126.2366
147.583020 81.247 126.1890
147.949231 81.240 126.1396
148.315442 81.232 126.0883
148.681653 81.224 126.0353
149.047864 81.216 125.9820
149.414075 81.207 125.9296
149.780286 81.198 125.8800
150.146497 81.189 125.8343
150.512708 81.179 125.7929
150.878918 81.170 125.7555
151.245129 81.160 125.7213
151.611340 81.151 125.6892
