* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 9, 2023 6:52:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Top Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 57.032 -177.4465
0.732422 56.586 179.5854
1.098633 54.060 170.5327
1.464844 43.950 150.8604
1.831055 50.975 -24.7242
2.197266 59.411 -41.4515
2.563477 63.483 -54.9230
2.929688 65.780 -66.4748
3.295899 67.061 -75.5437
3.662110 67.784 -81.6039
4.028321 68.338 -84.8994
4.394532 68.986 -86.8428
4.760743 69.741 -89.1652
5.126954 70.453 -92.5824
5.493164 70.995 -96.6824
5.859375 71.352 -100.6615
6.225586 71.603 -103.9681
6.591797 71.848 -106.5992
6.958008 72.141 -108.9865
7.324219 72.462 -111.5517
7.690430 72.756 -114.3609
8.056641 72.991 -117.1673
8.422852 73.177 -119.6869
8.789063 73.351 -121.8282
9.155274 73.539 -123.7236
9.521485 73.740 -125.5701
9.887696 73.928 -127.4536
10.253907 74.015 -129.3125
10.620118 74.039 -131.0324
10.986329 74.046 -132.5597
11.352540 74.050 -133.9310
11.718751 74.054 -135.2222
12.084962 74.053 -136.4812
12.451173 74.044 -137.7115
12.817384 74.075 -138.9033
13.183595 74.108 -140.0653
13.549806 74.136 -141.2197
13.916017 74.155 -142.3743
14.282228 74.165 -143.5109
14.648439 74.169 -144.6014
15.014650 74.173 -145.6398
15.380861 74.180 -146.6490
15.747072 74.192 -147.6598
16.113283 74.208 -148.6812
16.479493 74.231 -149.6937
16.845704 74.251 -150.6702
17.211915 74.270 -151.5995
17.578126 74.291 -152.4908
17.944337 74.311 -153.3578
18.310548 74.329 -154.1980
18.676759 74.342 -154.9948
19.042970 74.353 -155.7358
19.409181 74.364 -156.4261
19.775392 74.376 -157.0872
20.141603 74.389 -157.7380
20.507814 74.401 -158.3831
20.874025 74.408 -159.0125
21.240236 74.412 -159.6178
21.606447 74.416 -160.2055
21.972658 74.420 -160.7944
22.338869 74.422 -161.4000
22.705080 74.420 -162.0199
23.071291 74.412 -162.6342
23.437502 74.400 -163.2198
23.803713 74.389 -163.7687
24.169924 74.382 -164.2957
24.536135 74.379 -164.8264
24.902346 74.377 -165.3773
25.268557 74.374 -165.9412
25.634768 74.367 -166.4911
26.000979 74.358 -166.9998
26.367190 74.351 -167.4622
26.733401 74.351 -167.9021
27.099612 74.357 -168.3558
27.465823 74.364 -168.8452
27.832033 74.365 -169.3600
28.198244 74.359 -169.8654
28.564455 74.347 -170.3280
28.930666 74.335 -170.7401
29.296877 74.328 -171.1242
29.663088 74.324 -171.5141
30.029299 74.320 -171.9290
30.395510 74.312 -172.3613
30.761721 74.300 -172.7869
31.127932 74.284 -173.1856
31.494143 74.269 -173.5565
31.860354 74.257 -173.9140
32.226565 74.247 -174.2744
32.592776 74.237 -174.6443
32.958987 74.227 -175.0187
33.325198 74.215 -175.3889
33.691409 74.204 -175.7504
34.057620 74.193 -176.1042
34.423831 74.183 -176.4540
34.790042 74.173 -176.8018
35.156253 74.163 -177.1474
35.522464 74.152 -177.4899
35.888675 74.141 -177.8279
36.254886 74.128 -178.1587
36.621097 74.115 -178.4789
36.987308 74.101 -178.7866
37.353519 74.088 -179.0842
37.719730 74.076 -179.3789
38.085941 74.064 -179.6771
38.452152 74.051 -179.9808
38.818363 74.037 179.7155
39.184573 74.021 179.4189
39.550784 74.006 179.1331
39.916995 73.991 178.8538
40.283206 73.979 178.5723
40.649417 73.966 178.2819
41.015628 73.953 177.9835
41.381839 73.938 177.6857
41.748050 73.921 177.4000
42.114261 73.904 177.1326
42.480472 73.888 176.8825
42.846683 73.875 176.6406
43.212894 73.864 176.3962
43.579105 73.855 176.1407
43.945316 73.845 175.8718
44.311527 73.834 175.5926
44.677738 73.821 175.3102
45.043949 73.806 175.0329
45.410160 73.789 174.7674
45.776371 73.772 174.5162
46.142582 73.755 174.2768
46.508793 73.739 174.0423
46.875004 73.724 173.8051
47.241215 73.710 173.5615
47.607426 73.693 173.3156
47.973637 73.675 173.0774
48.339848 73.656 172.8568
48.706059 73.637 172.6564
49.072270 73.622 172.4678
49.438481 73.610 172.2765
49.804692 73.600 172.0703
50.170902 73.589 171.8470
50.537113 73.577 171.6146
50.903324 73.562 171.3852
51.269535 73.547 171.1660
51.635746 73.530 170.9573
52.001957 73.514 170.7552
52.368168 73.498 170.5573
52.734379 73.482 170.3647
53.100590 73.466 170.1793
53.466801 73.450 169.9987
53.833012 73.436 169.8162
54.199223 73.422 169.6256
54.565434 73.407 169.4263
54.931645 73.391 169.2260
55.297856 73.372 169.0343
55.664067 73.354 168.8555
56.030278 73.337 168.6851
56.396489 73.321 168.5131
56.762700 73.306 168.3334
57.128911 73.289 168.1484
57.495122 73.271 167.9678
57.861333 73.252 167.8004
58.227544 73.235 167.6465
58.593755 73.219 167.4981
58.959966 73.205 167.3439
59.326177 73.192 167.1776
59.692388 73.178 167.0005
60.058599 73.163 166.8200
60.424810 73.146 166.6429
60.791021 73.128 166.4716
61.157232 73.109 166.3046
61.523442 73.091 166.1401
61.889653 73.072 165.9783
62.255864 73.052 165.8221
62.622075 73.032 165.6738
62.988286 73.013 165.5328
63.354497 72.994 165.3950
63.720708 72.977 165.2550
64.086919 72.961 165.1086
64.453130 72.944 164.9550
64.819341 72.927 164.7964
65.185552 72.909 164.6376
65.551763 72.890 164.4836
65.917974 72.871 164.3377
66.284185 72.852 164.2000
66.650396 72.834 164.0670
67.016607 72.817 163.9336
67.382818 72.801 163.7951
67.749029 72.784 163.6515
68.115240 72.766 163.5078
68.481451 72.746 163.3716
68.847662 72.725 163.2488
69.213873 72.705 163.1385
69.580084 72.687 163.0336
69.946295 72.670 162.9241
70.312506 72.654 162.8040
70.678717 72.636 162.6747
71.044928 72.616 162.5444
71.411139 72.594 162.4234
71.777350 72.572 162.3175
72.143561 72.550 162.2251
72.509771 72.531 162.1381
72.875982 72.515 162.0467
73.242193 72.499 161.9443
73.608404 72.483 161.8299
73.974615 72.467 161.7072
74.340826 72.449 161.5814
74.707037 72.431 161.4559
75.073248 72.413 161.3319
75.439459 72.393 161.2091
75.805670 72.374 161.0876
76.171881 72.354 160.9689
76.538092 72.332 160.8555
76.904303 72.311 160.7499
77.270514 72.290 160.6528
77.636725 72.269 160.5632
78.002936 72.249 160.4783
78.369147 72.230 160.3948
78.735358 72.212 160.3093
79.101569 72.194 160.2198
79.467780 72.177 160.1255
79.833991 72.159 160.0276
80.200202 72.141 159.9277
80.566413 72.122 159.8278
80.932624 72.103 159.7285
81.298835 72.084 159.6296
81.665046 72.064 159.5306
82.031257 72.044 159.4323
82.397468 72.024 159.3373
82.763679 72.003 159.2491
83.129890 71.982 159.1701
83.496101 71.962 159.0999
83.862311 71.944 159.0347
84.228522 71.927 158.9694
84.594733 71.912 158.8998
84.960944 71.896 158.8249
85.327155 71.881 158.7463
85.693366 71.865 158.6669
86.059577 71.849 158.5886
86.425788 71.833 158.5114
86.791999 71.816 158.4343
87.158210 71.800 158.3569
87.524421 71.782 158.2802
87.890632 71.764 158.2064
88.256843 71.745 158.1382
88.623054 71.726 158.0766
88.989265 71.707 158.0203
89.355476 71.688 157.9666
89.721687 71.670 157.9117
90.087898 71.652 157.8536
90.454109 71.633 157.7924
90.820320 71.614 157.7307
91.186531 71.594 157.6718
91.552742 71.574 157.6181
91.918953 71.554 157.5695
92.285164 71.534 157.5231
92.651375 71.516 157.4752
93.017586 71.498 157.4228
93.383797 71.480 157.3657
93.750008 71.461 157.3063
94.116219 71.442 157.2480
94.482430 71.423 157.1935
94.848641 71.404 157.1433
95.214851 71.385 157.0956
95.581062 71.368 157.0479
95.947273 71.350 156.9988
96.313484 71.333 156.9481
96.679695 71.316 156.8969
97.045906 71.298 156.8463
97.412117 71.281 156.7965
97.778328 71.264 156.7468
98.144539 71.247 156.6964
98.510750 71.230 156.6456
98.876961 71.212 156.5953
99.243172 71.194 156.5472
99.609383 71.176 156.5028
99.975594 71.158 156.4623
100.341805 71.140 156.4256
100.708016 71.122 156.3920
101.074227 71.104 156.3610
101.440438 71.086 156.3324
101.806649 71.069 156.3054
102.172860 71.052 156.2784
102.539071 71.036 156.2495
102.905282 71.020 156.2164
103.271493 71.004 156.1788
103.637704 70.987 156.1379
104.003915 70.970 156.0965
104.370126 70.951 156.0576
104.736337 70.932 156.0230
105.102548 70.913 155.9932
105.468759 70.894 155.9673
105.834970 70.875 155.9449
106.201180 70.857 155.9256
106.567391 70.838 155.9097
106.933602 70.821 155.8966
107.299813 70.804 155.8846
107.666024 70.789 155.8708
108.032235 70.774 155.8521
108.398446 70.760 155.8267
108.764657 70.745 155.7952
109.130868 70.730 155.7599
109.497079 70.714 155.7244
109.863290 70.697 155.6909
110.229501 70.680 155.6609
110.595712 70.663 155.6353
110.961923 70.645 155.6140
111.328134 70.627 155.5972
111.694345 70.610 155.5850
112.060556 70.592 155.5768
112.426767 70.576 155.5712
112.792978 70.559 155.5665
113.159189 70.543 155.5608
113.525400 70.527 155.5536
113.891611 70.511 155.5453
114.257822 70.495 155.5369
114.624033 70.479 155.5291
114.990244 70.462 155.5219
115.356455 70.446 155.5146
115.722666 70.430 155.5067
116.088877 70.413 155.4974
116.455088 70.397 155.4873
116.821299 70.381 155.4766
117.187510 70.364 155.4653
117.553720 70.348 155.4534
117.919931 70.331 155.4407
118.286142 70.315 155.4280
118.652353 70.298 155.4172
119.018564 70.281 155.4105
119.384775 70.264 155.4091
119.750986 70.248 155.4129
120.117197 70.233 155.4196
120.483408 70.219 155.4254
120.849619 70.207 155.4274
121.215830 70.194 155.4239
121.582041 70.181 155.4157
121.948252 70.168 155.4053
122.314463 70.153 155.3958
122.680674 70.138 155.3896
123.046885 70.123 155.3886
123.413096 70.108 155.3926
123.779307 70.093 155.4009
124.145518 70.078 155.4119
124.511729 70.064 155.4240
124.877940 70.051 155.4357
125.244151 70.037 155.4462
125.610362 70.024 155.4553
125.976573 70.011 155.4634
126.342784 69.998 155.4711
126.708995 69.985 155.4788
127.075206 69.972 155.4865
127.441417 69.959 155.4942
127.807628 69.945 155.5021
128.173839 69.932 155.5104
128.540049 69.919 155.5198
128.906260 69.905 155.5302
129.272471 69.893 155.5416
129.638682 69.880 155.5533
130.004893 69.867 155.5651
130.371104 69.855 155.5767
130.737315 69.842 155.5884
131.103526 69.830 155.6010
131.469737 69.818 155.6143
131.835948 69.806 155.6279
132.202159 69.794 155.6411
132.568370 69.783 155.6531
132.934581 69.771 155.6642
133.300792 69.759 155.6752
133.667003 69.746 155.6871
134.033214 69.734 155.7006
134.399425 69.721 155.7158
134.765636 69.708 155.7325
135.131847 69.696 155.7502
135.498058 69.683 155.7689
135.864269 69.670 155.7889
136.230480 69.657 155.8112
136.596691 69.644 155.8357
136.962902 69.632 155.8622
137.329113 69.620 155.8893
137.695324 69.609 155.9156
138.061535 69.598 155.9396
138.427746 69.587 155.9610
138.793957 69.577 155.9805
139.160168 69.566 155.9995
139.526379 69.555 156.0189
139.892589 69.544 156.0396
140.258800 69.533 156.0611
140.625011 69.523 156.0825
140.991222 69.512 156.1031
141.357433 69.502 156.1225
141.723644 69.492 156.1412
142.089855 69.481 156.1602
142.456066 69.471 156.1801
142.822277 69.460 156.2014
143.188488 69.449 156.2236
143.554699 69.439 156.2461
143.920910 69.429 156.2682
144.287121 69.419 156.2898
144.653332 69.408 156.3108
145.019543 69.398 156.3314
145.385754 69.388 156.3519
145.751965 69.377 156.3724
146.118176 69.367 156.3929
146.484387 69.357 156.4140
146.850598 69.346 156.4362
147.216809 69.336 156.4599
147.583020 69.326 156.4855
147.949231 69.316 156.5128
148.315442 69.306 156.5411
148.681653 69.297 156.5698
149.047864 69.288 156.5986
149.414075 69.279 156.6279
149.780286 69.270 156.6587
150.146497 69.262 156.6920
150.512708 69.253 156.7281
