* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 9, 2023 6:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Top Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.971 -28.5645
0.732422 69.426 -56.6063
1.098633 66.418 -82.9309
1.464844 60.569 -102.0186
1.831055 51.717 -43.2806
2.197266 61.751 -15.5069
2.563477 66.346 -33.9594
2.929688 68.562 -54.8598
3.295899 69.468 -73.5664
3.662110 69.514 -87.6858
4.028321 69.181 -95.1719
4.394532 69.209 -96.2971
4.760743 70.047 -96.0408
5.126954 71.244 -98.8987
5.493164 72.204 -104.5183
5.859375 72.721 -110.6049
6.225586 72.887 -115.2266
6.591797 72.951 -117.6053
6.958008 73.152 -118.5086
7.324219 73.528 -119.5371
7.690430 73.926 -121.5640
8.056641 74.197 -124.2663
8.422852 74.312 -126.8395
8.789063 74.346 -128.7563
9.155274 74.396 -130.0963
9.521485 74.499 -131.3432
9.887696 74.623 -132.8681
10.253907 74.647 -134.6511
10.620118 74.598 -136.4381
10.986329 74.530 -138.0419
11.352540 74.473 -139.4812
11.718751 74.434 -140.8842
12.084962 74.401 -142.3113
12.451173 74.364 -143.7025
12.817384 74.373 -144.9738
13.183595 74.400 -146.1267
13.549806 74.439 -147.2426
13.916017 74.479 -148.3829
14.282228 74.504 -149.5147
14.648439 74.511 -150.5466
15.014650 74.513 -151.4267
15.380861 74.520 -152.1981
15.747072 74.534 -152.9569
16.113283 74.549 -153.7593
16.479493 74.559 -154.5786
16.845704 74.554 -155.3460
17.211915 74.542 -156.0266
17.578126 74.534 -156.6515
17.944337 74.532 -157.2838
18.310548 74.531 -157.9597
18.676759 74.526 -158.6669
19.042970 74.516 -159.3726
19.409181 74.507 -160.0626
19.775392 74.501 -160.7509
20.141603 74.498 -161.4559
20.507814 74.496 -162.1737
20.874025 74.490 -162.8766
21.240236 74.482 -163.5343
21.606447 74.475 -164.1344
21.972658 74.474 -164.6852
22.338869 74.477 -165.2047
22.705080 74.486 -165.7114
23.071291 74.497 -166.2200
23.437502 74.508 -166.7391
23.803713 74.514 -167.2661
24.169924 74.513 -167.7833
24.536135 74.505 -168.2651
24.902346 74.492 -168.6946
25.268557 74.481 -169.0770
25.634768 74.474 -169.4382
26.000979 74.469 -169.8078
26.367190 74.466 -170.2025
26.733401 74.460 -170.6221
27.099612 74.452 -171.0574
27.465823 74.440 -171.4994
27.832033 74.427 -171.9411
28.198244 74.411 -172.3750
28.564455 74.396 -172.7943
28.930666 74.382 -173.1979
29.296877 74.371 -173.5941
29.663088 74.362 -173.9952
30.029299 74.355 -174.4056
30.395510 74.346 -174.8161
30.761721 74.335 -175.2105
31.127932 74.324 -175.5780
31.494143 74.315 -175.9223
31.860354 74.308 -176.2564
32.226565 74.303 -176.5912
32.592776 74.296 -176.9272
32.958987 74.288 -177.2586
33.325198 74.279 -177.5809
33.691409 74.269 -177.8961
34.057620 74.259 -178.2091
34.423831 74.247 -178.5212
34.790042 74.233 -178.8290
35.156253 74.218 -179.1295
35.522464 74.203 -179.4250
35.888675 74.189 -179.7217
36.254886 74.173 179.9767
36.621097 74.157 179.6753
36.987308 74.138 179.3848
37.353519 74.120 179.1135
37.719730 74.104 178.8595
38.085941 74.093 178.6099
38.452152 74.085 178.3484
38.818363 74.078 178.0642
39.184573 74.071 177.7576
39.550784 74.061 177.4395
39.916995 74.047 177.1255
40.283206 74.032 176.8290
40.649417 74.016 176.5553
41.015628 74.001 176.3015
41.381839 73.987 176.0588
41.748050 73.975 175.8188
42.114261 73.963 175.5782
42.480472 73.951 175.3387
42.846683 73.939 175.1030
43.212894 73.927 174.8710
43.579105 73.916 174.6386
43.945316 73.905 174.4020
44.311527 73.893 174.1613
44.677738 73.879 173.9219
45.043949 73.865 173.6909
45.410160 73.850 173.4710
45.776371 73.837 173.2591
46.142582 73.825 173.0475
46.508793 73.814 172.8295
46.875004 73.802 172.6033
47.241215 73.790 172.3727
47.607426 73.776 172.1450
47.973637 73.761 171.9265
48.339848 73.746 171.7184
48.706059 73.733 171.5151
49.072270 73.721 171.3074
49.438481 73.709 171.0883
49.804692 73.695 170.8587
50.170902 73.679 170.6292
50.537113 73.660 170.4137
50.903324 73.641 170.2207
51.269535 73.624 170.0469
51.635746 73.609 169.8795
52.001957 73.597 169.7049
52.368168 73.585 169.5175
52.734379 73.573 169.3211
53.100590 73.559 169.1243
53.466801 73.544 168.9330
53.833012 73.529 168.7481
54.199223 73.515 168.5674
54.565434 73.500 168.3904
54.931645 73.485 168.2181
55.297856 73.471 168.0505
55.664067 73.457 167.8837
56.030278 73.445 167.7112
56.396489 73.431 167.5298
56.762700 73.416 167.3439
57.128911 73.398 167.1639
57.495122 73.379 167.0001
57.861333 73.361 166.8552
58.227544 73.345 166.7217
58.593755 73.332 166.5868
58.959966 73.320 166.4401
59.326177 73.308 166.2792
59.692388 73.296 166.1094
60.058599 73.281 165.9392
60.424810 73.267 165.7742
60.791021 73.252 165.6141
61.157232 73.238 165.4547
61.523442 73.224 165.2919
61.889653 73.209 165.1248
62.255864 73.194 164.9574
62.622075 73.177 164.7955
62.988286 73.159 164.6433
63.354497 73.142 164.5005
63.720708 73.125 164.3629
64.086919 73.109 164.2249
64.453130 73.094 164.0826
64.819341 73.078 163.9361
65.185552 73.061 163.7885
65.551763 73.043 163.6437
65.917974 73.025 163.5045
66.284185 73.007 163.3716
66.650396 72.990 163.2430
67.016607 72.973 163.1154
67.382818 72.957 162.9855
67.749029 72.941 162.8516
68.115240 72.924 162.7147
68.481451 72.907 162.5782
68.847662 72.890 162.4460
69.213873 72.872 162.3203
69.580084 72.855 162.1996
69.946295 72.838 162.0802
70.312506 72.823 161.9587
70.678717 72.806 161.8344
71.044928 72.790 161.7101
71.411139 72.773 161.5896
71.777350 72.755 161.4741
72.143561 72.739 161.3614
72.509771 72.723 161.2471
72.875982 72.707 161.1281
73.242193 72.690 161.0048
73.608404 72.672 160.8815
73.974615 72.653 160.7630
74.340826 72.634 160.6519
74.707037 72.616 160.5471
75.073248 72.598 160.4447
75.439459 72.582 160.3408
75.805670 72.566 160.2331
76.171881 72.550 160.1216
76.538092 72.534 160.0070
76.904303 72.518 159.8897
77.270514 72.501 159.7702
77.636725 72.483 159.6499
78.002936 72.465 159.5326
78.369147 72.445 159.4233
78.735358 72.424 159.3267
79.101569 72.405 159.2430
79.467780 72.386 159.1681
79.833991 72.370 159.0944
80.200202 72.354 159.0154
80.566413 72.339 158.9293
80.932624 72.322 158.8392
81.298835 72.306 158.7496
81.665046 72.288 158.6625
82.031257 72.272 158.5754
82.397468 72.255 158.4840
82.763679 72.238 158.3867
83.129890 72.220 158.2866
83.496101 72.201 158.1900
83.862311 72.182 158.1003
84.228522 72.165 158.0146
84.594733 72.148 157.9250
84.960944 72.133 157.8248
85.327155 72.116 157.7148
85.693366 72.097 157.6044
86.059577 72.077 157.5060
86.425788 72.056 157.4271
86.791999 72.037 157.3656
87.158210 72.020 157.3123
87.524421 72.006 157.2571
87.890632 71.993 157.1942
88.256843 71.980 157.1239
88.623054 71.967 157.0491
88.989265 71.952 156.9733
89.355476 71.936 156.9000
89.721687 71.918 156.8326
90.087898 71.899 156.7741
90.454109 71.881 156.7237
90.820320 71.863 156.6759
91.186531 71.845 156.6234
91.552742 71.825 156.5646
91.918953 71.802 156.5090
92.285164 71.777 156.4736
92.651375 71.753 156.4709
93.017586 71.733 156.4951
93.383797 71.722 156.5188
93.750008 71.717 156.5053
94.116219 71.716 156.4291
94.482430 71.711 156.2914
94.848641 71.698 156.1202
95.214851 71.677 155.9538
95.581062 71.651 155.8202
95.947273 71.625 155.7256
96.313484 71.601 155.6573
96.679695 71.581 155.5967
97.045906 71.564 155.5319
97.412117 71.547 155.4614
97.778328 71.530 155.3906
98.144539 71.513 155.3245
98.510750 71.496 155.2650
98.876961 71.479 155.2122
99.243172 71.463 155.1654
99.609383 71.448 155.1240
99.975594 71.434 155.0851
100.341805 71.421 155.0429
100.708016 71.408 154.9915
101.074227 71.394 154.9289
101.440438 71.379 154.8598
101.806649 71.360 154.7934
102.172860 71.340 154.7386
102.539071 71.319 154.6983
102.905282 71.299 154.6688
103.271493 71.280 154.6421
103.637704 71.262 154.6115
104.003915 71.244 154.5742
104.370126 71.227 154.5317
104.736337 71.209 154.4869
105.102548 71.190 154.4421
105.468759 71.172 154.3978
105.834970 71.153 154.3539
106.201180 71.135 154.3106
106.567391 71.117 154.2685
106.933602 71.099 154.2280
107.299813 71.082 154.1890
107.666024 71.065 154.1506
108.032235 71.048 154.1122
108.398446 71.032 154.0737
108.764657 71.015 154.0359
109.130868 70.999 153.9999
109.497079 70.982 153.9663
109.863290 70.965 153.9350
110.229501 70.949 153.9053
110.595712 70.933 153.8763
110.961923 70.917 153.8477
111.328134 70.900 153.8199
111.694345 70.884 153.7932
112.060556 70.868 153.7678
112.426767 70.852 153.7433
112.792978 70.836 153.7189
113.159189 70.820 153.6934
113.525400 70.805 153.6663
113.891611 70.789 153.6377
114.257822 70.773 153.6087
114.624033 70.757 153.5806
114.990244 70.741 153.5543
115.356455 70.725 153.5298
115.722666 70.710 153.5062
116.088877 70.694 153.4822
116.455088 70.679 153.4570
116.821299 70.663 153.4314
117.187510 70.647 153.4069
117.553720 70.630 153.3855
117.919931 70.613 153.3683
118.286142 70.597 153.3548
118.652353 70.581 153.3431
119.018564 70.565 153.3311
119.384775 70.549 153.3173
119.750986 70.534 153.3020
120.117197 70.517 153.2864
120.483408 70.501 153.2717
120.849619 70.485 153.2582
121.215830 70.469 153.2454
121.582041 70.453 153.2321
121.948252 70.437 153.2178
122.314463 70.421 153.2029
122.680674 70.404 153.1884
123.046885 70.388 153.1751
123.413096 70.372 153.1631
123.779307 70.357 153.1519
124.145518 70.341 153.1407
124.511729 70.326 153.1297
124.877940 70.311 153.1194
125.244151 70.296 153.1111
125.610362 70.281 153.1054
125.976573 70.267 153.1021
126.342784 70.253 153.0999
126.708995 70.240 153.0977
127.075206 70.226 153.0947
127.441417 70.213 153.0915
127.807628 70.199 153.0887
128.173839 70.185 153.0871
128.540049 70.171 153.0869
128.906260 70.157 153.0873
129.272471 70.143 153.0878
129.638682 70.130 153.0876
130.004893 70.116 153.0867
130.371104 70.102 153.0857
130.737315 70.088 153.0849
131.103526 70.074 153.0844
131.469737 70.061 153.0842
131.835948 70.047 153.0839
132.202159 70.034 153.0834
132.568370 70.020 153.0831
132.934581 70.007 153.0833
133.300792 69.993 153.0844
133.667003 69.980 153.0865
134.033214 69.967 153.0895
134.399425 69.954 153.0934
134.765636 69.940 153.0986
135.131847 69.927 153.1055
135.498058 69.914 153.1146
135.864269 69.901 153.1261
136.230480 69.889 153.1396
136.596691 69.876 153.1538
136.962902 69.864 153.1675
137.329113 69.853 153.1793
137.695324 69.841 153.1884
138.061535 69.829 153.1950
138.427746 69.817 153.1999
138.793957 69.804 153.2043
139.160168 69.791 153.2098
139.526379 69.777 153.2173
139.892589 69.764 153.2274
140.258800 69.750 153.2401
140.625011 69.737 153.2545
140.991222 69.724 153.2696
141.357433 69.711 153.2847
141.723644 69.699 153.2990
142.089855 69.687 153.3123
142.456066 69.675 153.3245
142.822277 69.663 153.3362
143.188488 69.651 153.3477
143.554699 69.639 153.3594
143.920910 69.626 153.3718
144.287121 69.614 153.3851
144.653332 69.602 153.3993
145.019543 69.591 153.4142
145.385754 69.579 153.4294
145.751965 69.567 153.4448
146.118176 69.555 153.4601
146.484387 69.544 153.4755
146.850598 69.532 153.4918
147.216809 69.520 153.5095
147.583020 69.508 153.5288
147.949231 69.496 153.5498
148.315442 69.485 153.5720
148.681653 69.473 153.5950
149.047864 69.462 153.6184
149.414075 69.450 153.6422
149.780286 69.439 153.6664
150.146497 69.428 153.6908
150.512708 69.417 153.7153
