* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 4, 2023 2:45:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UP L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.529 167.7513
0.732422 61.756 156.7293
1.098633 60.562 148.5313
1.464844 59.240 145.1591
1.831055 58.459 147.2638
2.197266 58.858 150.6986
2.563477 60.150 149.9535
2.929688 61.647 144.4813
3.295899 62.998 136.4644
3.662110 64.135 127.8961
4.028321 65.097 119.9971
4.394532 65.961 113.2856
4.760743 66.791 107.7226
5.126954 67.616 102.9490
5.493164 68.418 98.5921
5.859375 69.160 94.4725
6.225586 69.813 90.6079
6.591797 70.376 87.0883
6.958008 70.862 83.9522
7.324219 71.292 81.1426
7.690430 71.676 78.5511
8.056641 72.012 76.0951
8.422852 72.301 73.7581
8.789063 72.547 71.5641
9.155274 72.763 69.5193
9.521485 72.964 67.5773
9.887696 73.153 65.6572
10.253907 73.258 63.6955
10.620118 73.316 61.6856
10.986329 73.355 59.6710
11.352540 73.379 57.7065
11.718751 73.396 55.8223
12.084962 73.411 54.0166
12.451173 73.429 52.2761
12.817384 73.492 50.5991
13.183595 73.561 48.9996
13.549806 73.628 47.4921
13.916017 73.693 46.0762
14.282228 73.759 44.7355
14.648439 73.822 43.4530
15.014650 73.880 42.2237
15.380861 73.931 41.0538
15.747072 73.976 39.9480
16.113283 74.022 38.8979
16.479493 74.072 37.8846
16.845704 74.117 36.8922
17.211915 74.154 35.9183
17.578126 74.183 34.9717
17.944337 74.206 34.0590
18.310548 74.226 33.1742
18.676759 74.245 32.3002
19.042970 74.261 31.4237
19.409181 74.272 30.5477
19.775392 74.279 29.6906
20.141603 74.284 28.8723
20.507814 74.292 28.0976
20.874025 74.304 27.3525
21.240236 74.321 26.6157
21.606447 74.341 25.8748
21.972658 74.360 25.1339
22.338869 74.378 24.4039
22.705080 74.395 23.6876
23.071291 74.413 22.9740
23.437502 74.429 22.2491
23.803713 74.437 21.5159
24.169924 74.434 20.8044
24.536135 74.421 20.1590
24.902346 74.404 19.6111
25.268557 74.391 19.1539
25.634768 74.390 18.7425
26.000979 74.398 18.3205
26.367190 74.411 17.8535
26.733401 74.422 17.3438
27.099612 74.428 16.8175
27.465823 74.432 16.2967
27.832033 74.436 15.7827
28.198244 74.440 15.2611
28.564455 74.442 14.7225
28.930666 74.441 14.1773
29.296877 74.434 13.6505
29.663088 74.426 13.1619
30.029299 74.420 12.7094
30.395510 74.418 12.2699
30.761721 74.419 11.8184
31.127932 74.419 11.3476
31.494143 74.414 10.8721
31.860354 74.404 10.4155
32.226565 74.392 9.9932
32.592776 74.380 9.6031
32.958987 74.370 9.2311
33.325198 74.362 8.8624
33.691409 74.354 8.4904
34.057620 74.346 8.1163
34.423831 74.336 7.7439
34.790042 74.326 7.3761
35.156253 74.316 7.0130
35.522464 74.305 6.6526
35.888675 74.295 6.2913
36.254886 74.285 5.9256
36.621097 74.273 5.5550
36.987308 74.260 5.1866
37.353519 74.243 4.8343
37.719730 74.226 4.5114
38.085941 74.212 4.2191
38.452152 74.202 3.9408
38.818363 74.198 3.6499
39.184573 74.194 3.3272
39.550784 74.188 2.9759
39.916995 74.176 2.6203
40.283206 74.159 2.2905
40.649417 74.141 2.0016
41.015628 74.125 1.7446
41.381839 74.112 1.4966
41.748050 74.101 1.2391
42.114261 74.089 0.9725
42.480472 74.075 0.7119
42.846683 74.059 0.4718
43.212894 74.046 0.2505
43.579105 74.036 0.0303
43.945316 74.029 -0.2101
44.311527 74.021 -0.4781
44.677738 74.010 -0.7617
45.043949 73.994 -1.0382
45.410160 73.976 -1.2899
45.776371 73.958 -1.5154
46.142582 73.944 -1.7278
46.508793 73.932 -1.9433
46.875004 73.921 -2.1704
47.241215 73.910 -2.4063
47.607426 73.897 -2.6427
47.973637 73.883 -2.8735
48.339848 73.869 -3.0982
48.706059 73.855 -3.3200
49.072270 73.841 -3.5406
49.438481 73.827 -3.7585
49.804692 73.812 -3.9705
50.170902 73.797 -4.1758
50.537113 73.783 -4.3774
50.903324 73.770 -4.5797
51.269535 73.758 -4.7857
51.635746 73.744 -4.9942
52.001957 73.730 -5.2011
52.368168 73.714 -5.4021
52.734379 73.699 -5.5945
53.100590 73.683 -5.7782
53.466801 73.669 -5.9556
53.833012 73.656 -6.1309
54.199223 73.643 -6.3093
54.565434 73.631 -6.4942
54.931645 73.618 -6.6852
55.297856 73.603 -6.8769
55.664067 73.586 -7.0616
56.030278 73.569 -7.2346
56.396489 73.552 -7.3978
56.762700 73.536 -7.5584
57.128911 73.520 -7.7226
57.495122 73.504 -7.8898
57.861333 73.486 -8.0518
58.227544 73.468 -8.2003
58.593755 73.451 -8.3354
58.959966 73.438 -8.4688
59.326177 73.427 -8.6177
59.692388 73.417 -8.7923
60.058599 73.404 -8.9874
60.424810 73.387 -9.1845
60.791021 73.367 -9.3631
61.157232 73.347 -9.5142
61.523442 73.329 -9.6446
61.889653 73.314 -9.7710
62.255864 73.301 -9.9073
62.622075 73.289 -10.0560
62.988286 73.274 -10.2086
63.354497 73.258 -10.3532
63.720708 73.240 -10.4838
64.086919 73.224 -10.6030
64.453130 73.209 -10.7181
64.819341 73.194 -10.8347
65.185552 73.179 -10.9535
65.551763 73.164 -11.0713
65.917974 73.149 -11.1862
66.284185 73.134 -11.3007
66.650396 73.120 -11.4199
67.016607 73.105 -11.5478
67.382818 73.089 -11.6821
67.749029 73.070 -11.8146
68.115240 73.050 -11.9362
68.481451 73.030 -12.0424
68.847662 73.012 -12.1373
69.213873 72.996 -12.2306
69.580084 72.982 -12.3317
69.946295 72.968 -12.4439
70.312506 72.953 -12.5637
70.678717 72.938 -12.6846
71.044928 72.922 -12.8019
71.411139 72.907 -12.9154
71.777350 72.891 -13.0263
72.143561 72.875 -13.1344
72.509771 72.859 -13.2368
72.875982 72.843 -13.3314
73.242193 72.828 -13.4216
73.608404 72.815 -13.5153
73.974615 72.802 -13.6199
74.340826 72.788 -13.7341
74.707037 72.770 -13.8466
75.073248 72.752 -13.9435
75.439459 72.734 -14.0208
75.805670 72.719 -14.0922
76.171881 72.708 -14.1822
76.538092 72.696 -14.3095
76.904303 72.680 -14.4685
77.270514 72.656 -14.6272
77.636725 72.624 -14.7430
78.002936 72.592 -14.7891
78.369147 72.567 -14.7753
78.735358 72.554 -14.7458
79.101569 72.552 -14.7562
79.467780 72.555 -14.8417
79.833991 72.553 -14.9985
80.200202 72.543 -15.1886
80.566413 72.523 -15.3643
80.932624 72.498 -15.4946
81.298835 72.474 -15.5775
81.665046 72.453 -15.6326
82.031257 72.435 -15.6811
82.397468 72.419 -15.7304
82.763679 72.402 -15.7722
83.129890 72.387 -15.7963
83.496101 72.375 -15.8049
83.862311 72.367 -15.8168
84.228522 72.364 -15.8569
84.594733 72.360 -15.9385
84.960944 72.352 -16.0517
85.327155 72.336 -16.1689
85.693366 72.316 -16.2610
86.059577 72.294 -16.3155
86.425788 72.275 -16.3433
86.791999 72.261 -16.3697
87.158210 72.249 -16.4172
87.524421 72.238 -16.4923
87.890632 72.223 -16.5840
88.256843 72.205 -16.6739
88.623054 72.185 -16.7490
88.989265 72.166 -16.8091
89.355476 72.150 -16.8638
89.721687 72.135 -16.9247
90.087898 72.122 -16.9977
90.454109 72.108 -17.0805
90.820320 72.093 -17.1662
91.186531 72.077 -17.2483
91.552742 72.062 -17.3239
91.918953 72.046 -17.3933
92.285164 72.032 -17.4588
92.651375 72.018 -17.5222
93.017586 72.005 -17.5844
93.383797 71.992 -17.6448
93.750008 71.978 -17.7024
94.116219 71.964 -17.7554
94.482430 71.950 -17.8021
94.848641 71.937 -17.8422
95.214851 71.924 -17.8774
95.581062 71.912 -17.9117
95.947273 71.901 -17.9501
96.313484 71.889 -17.9965
96.679695 71.878 -18.0519
97.045906 71.865 -18.1144
97.412117 71.850 -18.1796
97.778328 71.833 -18.2425
98.144539 71.816 -18.2995
98.510750 71.797 -18.3490
98.876961 71.779 -18.3913
99.243172 71.762 -18.4284
99.609383 71.745 -18.4624
99.975594 71.729 -18.4956
100.341805 71.715 -18.5296
100.708016 71.701 -18.5661
101.074227 71.688 -18.6065
101.440438 71.675 -18.6522
101.806649 71.663 -18.7032
102.172860 71.650 -18.7577
102.539071 71.635 -18.8114
102.905282 71.620 -18.8588
103.271493 71.605 -18.8955
103.637704 71.589 -18.9203
104.003915 71.575 -18.9363
104.370126 71.563 -18.9495
104.736337 71.552 -18.9666
105.102548 71.542 -18.9922
105.468759 71.531 -19.0265
105.834970 71.519 -19.0659
106.201180 71.505 -19.1045
106.567391 71.490 -19.1365
106.933602 71.475 -19.1588
107.299813 71.461 -19.1729
107.666024 71.448 -19.1849
108.032235 71.437 -19.2032
108.398446 71.427 -19.2349
108.764657 71.417 -19.2820
109.130868 71.405 -19.3398
109.497079 71.391 -19.3992
109.863290 71.375 -19.4504
110.229501 71.359 -19.4886
110.595712 71.344 -19.5160
110.961923 71.331 -19.5400
111.328134 71.319 -19.5695
111.694345 71.308 -19.6094
112.060556 71.297 -19.6588
112.426767 71.283 -19.7110
112.792978 71.268 -19.7575
113.159189 71.251 -19.7909
113.525400 71.233 -19.8074
113.891611 71.217 -19.8080
114.257822 71.202 -19.7974
114.624033 71.189 -19.7829
114.990244 71.178 -19.7718
115.356455 71.168 -19.7693
115.722666 71.158 -19.7762
116.088877 71.147 -19.7895
116.455088 71.135 -19.8037
116.821299 71.121 -19.8134
117.187510 71.107 -19.8160
117.553720 71.094 -19.8128
117.919931 71.082 -19.8077
118.286142 71.070 -19.8060
118.652353 71.060 -19.8120
119.018564 71.050 -19.8277
119.384775 71.039 -19.8521
119.750986 71.027 -19.8821
120.117197 71.014 -19.9129
120.483408 71.000 -19.9397
120.849619 70.985 -19.9593
121.215830 70.971 -19.9715
121.582041 70.958 -19.9786
121.948252 70.947 -19.9847
122.314463 70.936 -19.9940
122.680674 70.927 -20.0085
123.046885 70.917 -20.0284
123.413096 70.908 -20.0526
123.779307 70.898 -20.0791
124.145518 70.888 -20.1063
124.511729 70.878 -20.1328
124.877940 70.867 -20.1568
125.244151 70.857 -20.1768
125.610362 70.846 -20.1916
125.976573 70.836 -20.2013
126.342784 70.826 -20.2069
126.708995 70.817 -20.2103
127.075206 70.809 -20.2133
127.441417 70.800 -20.2169
127.807628 70.792 -20.2214
128.173839 70.784 -20.2273
128.540049 70.776 -20.2350
128.906260 70.768 -20.2457
129.272471 70.760 -20.2600
129.638682 70.751 -20.2779
130.004893 70.742 -20.2982
130.371104 70.731 -20.3186
130.737315 70.720 -20.3368
131.103526 70.709 -20.3514
131.469737 70.698 -20.3632
131.835948 70.686 -20.3741
132.202159 70.676 -20.3866
132.568370 70.665 -20.4020
132.934581 70.653 -20.4193
133.300792 70.641 -20.4352
133.667003 70.629 -20.4462
134.033214 70.616 -20.4507
134.399425 70.605 -20.4498
134.765636 70.595 -20.4478
135.131847 70.585 -20.4493
135.498058 70.577 -20.4571
135.864269 70.568 -20.4707
136.230480 70.558 -20.4864
136.596691 70.547 -20.4995
136.962902 70.536 -20.5066
137.329113 70.525 -20.5069
137.695324 70.514 -20.5023
138.061535 70.504 -20.4953
138.427746 70.494 -20.4878
138.793957 70.485 -20.4801
139.160168 70.475 -20.4709
139.526379 70.465 -20.4586
139.892589 70.455 -20.4424
140.258800 70.446 -20.4225
140.625011 70.437 -20.4004
140.991222 70.429 -20.3775
141.357433 70.421 -20.3552
141.723644 70.413 -20.3341
142.089855 70.406 -20.3146
142.456066 70.399 -20.2969
142.822277 70.393 -20.2815
143.188488 70.387 -20.2693
143.554699 70.381 -20.2613
143.920910 70.375 -20.2582
144.287121 70.369 -20.2600
144.653332 70.362 -20.2661
145.019543 70.355 -20.2751
145.385754 70.347 -20.2849
145.751965 70.339 -20.2937
