* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 20, 2023 4:57:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cannon Foam R 000
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.200 -30.7110
0.732422 66.902 -60.6434
1.098633 64.364 -88.4690
1.464844 59.544 -109.6838
1.831055 50.476 -81.2530
2.197266 58.127 -29.1689
2.563477 63.360 -42.9416
2.929688 65.804 -61.7190
3.295899 66.717 -78.5614
3.662110 66.617 -90.3607
4.028321 66.109 -94.3164
4.394532 66.212 -91.0815
4.760743 67.379 -88.0521
5.126954 68.818 -89.9197
5.493164 69.861 -94.8419
5.859375 70.395 -99.7838
6.225586 70.614 -102.7436
6.591797 70.841 -103.3970
6.958008 71.287 -103.1863
7.324219 71.885 -103.8151
7.690430 72.430 -105.6478
8.056641 72.804 -107.9388
8.422852 73.033 -109.8365
8.789063 73.219 -111.0395
9.155274 73.446 -111.8825
9.521485 73.715 -112.8900
9.887696 73.970 -114.2670
10.253907 74.101 -115.8359
10.620118 74.154 -117.3249
10.986329 74.194 -118.6332
11.352540 74.245 -119.8593
11.718751 74.303 -121.1356
12.084962 74.353 -122.4788
12.451173 74.391 -123.8036
12.817384 74.469 -125.0394
13.183595 74.559 -126.2048
13.549806 74.653 -127.3691
13.916017 74.740 -128.5607
14.282228 74.811 -129.7330
14.648439 74.870 -130.8178
15.014650 74.925 -131.7996
15.380861 74.983 -132.7305
15.747072 75.043 -133.6751
16.113283 75.098 -134.6483
16.479493 75.147 -135.6097
16.845704 75.186 -136.5135
17.211915 75.221 -137.3556
17.578126 75.256 -138.1732
17.944337 75.290 -139.0056
18.310548 75.319 -139.8598
18.676759 75.341 -140.7151
19.042970 75.358 -141.5520
19.409181 75.373 -142.3717
19.775392 75.388 -143.1879
20.141603 75.403 -144.0058
20.507814 75.417 -144.8152
20.874025 75.430 -145.6034
21.240236 75.444 -146.3707
21.606447 75.460 -147.1287
21.972658 75.475 -147.8848
22.338869 75.488 -148.6315
22.705080 75.498 -149.3529
23.071291 75.508 -150.0409
23.437502 75.518 -150.7039
23.803713 75.529 -151.3571
24.169924 75.538 -152.0071
24.536135 75.544 -152.6469
24.902346 75.547 -153.2655
25.268557 75.548 -153.8607
25.634768 75.550 -154.4421
26.000979 75.551 -155.0212
26.367190 75.551 -155.6011
26.733401 75.548 -156.1762
27.099612 75.543 -156.7406
27.465823 75.537 -157.2954
27.832033 75.532 -157.8469
28.198244 75.527 -158.3991
28.564455 75.521 -158.9492
28.930666 75.513 -159.4908
29.296877 75.506 -160.0210
29.663088 75.500 -160.5424
30.029299 75.495 -161.0598
30.395510 75.490 -161.5743
30.761721 75.485 -162.0835
31.127932 75.480 -162.5841
31.494143 75.474 -163.0748
31.860354 75.467 -163.5558
32.226565 75.460 -164.0262
32.592776 75.452 -164.4839
32.958987 75.445 -164.9283
33.325198 75.437 -165.3631
33.691409 75.430 -165.7944
34.057620 75.423 -166.2260
34.423831 75.414 -166.6559
34.790042 75.404 -167.0794
35.156253 75.393 -167.4931
35.522464 75.382 -167.8992
35.888675 75.371 -168.3022
36.254886 75.361 -168.7051
36.621097 75.349 -169.1066
36.987308 75.337 -169.5031
37.353519 75.325 -169.8925
37.719730 75.313 -170.2760
38.085941 75.301 -170.6559
38.452152 75.290 -171.0327
38.818363 75.279 -171.4052
39.184573 75.267 -171.7722
39.550784 75.257 -172.1349
39.916995 75.246 -172.4954
40.283206 75.236 -172.8543
40.649417 75.225 -173.2092
41.015628 75.214 -173.5565
41.381839 75.203 -173.8941
41.748050 75.192 -174.2239
42.114261 75.181 -174.5494
42.480472 75.171 -174.8736
42.846683 75.160 -175.1971
43.212894 75.149 -175.5187
43.579105 75.137 -175.8367
43.945316 75.125 -176.1501
44.311527 75.113 -176.4583
44.677738 75.101 -176.7614
45.043949 75.088 -177.0597
45.410160 75.077 -177.3547
45.776371 75.065 -177.6484
46.142582 75.054 -177.9419
46.508793 75.042 -178.2348
46.875004 75.030 -178.5253
47.241215 75.018 -178.8117
47.607426 75.005 -179.0934
47.973637 74.993 -179.3712
48.339848 74.981 -179.6458
48.706059 74.968 -179.9178
49.072270 74.956 179.8125
49.438481 74.943 179.5450
49.804692 74.931 179.2800
50.170902 74.918 179.0176
50.537113 74.906 178.7590
50.903324 74.893 178.5046
51.269535 74.880 178.2538
51.635746 74.868 178.0052
52.001957 74.856 177.7574
52.368168 74.844 177.5104
52.734379 74.831 177.2657
53.100590 74.818 177.0245
53.466801 74.806 176.7873
53.833012 74.793 176.5529
54.199223 74.781 176.3201
54.565434 74.769 176.0886
54.931645 74.756 175.8590
55.297856 74.743 175.6323
55.664067 74.730 175.4090
56.030278 74.717 175.1888
56.396489 74.704 174.9716
56.762700 74.691 174.7573
57.128911 74.678 174.5460
57.495122 74.665 174.3371
57.861333 74.652 174.1293
58.227544 74.640 173.9209
58.593755 74.627 173.7112
58.959966 74.614 173.5008
59.326177 74.601 173.2911
59.692388 74.587 173.0839
60.058599 74.573 172.8802
60.424810 74.559 172.6807
60.791021 74.545 172.4849
61.157232 74.531 172.2917
61.523442 74.518 172.0999
61.889653 74.504 171.9086
62.255864 74.491 171.7178
62.622075 74.478 171.5281
62.988286 74.464 171.3409
63.354497 74.450 171.1573
63.720708 74.435 170.9769
64.086919 74.421 170.7991
64.453130 74.407 170.6224
64.819341 74.393 170.4461
65.185552 74.379 170.2704
65.551763 74.365 170.0959
65.917974 74.350 169.9235
66.284185 74.335 169.7538
66.650396 74.320 169.5868
67.016607 74.306 169.4216
67.382818 74.291 169.2574
67.749029 74.277 169.0934
68.115240 74.262 168.9298
68.481451 74.247 168.7672
68.847662 74.233 168.6061
69.213873 74.218 168.4471
69.580084 74.203 168.2899
69.946295 74.188 168.1341
70.312506 74.173 167.9795
70.678717 74.159 167.8263
71.044928 74.144 167.6745
71.411139 74.130 167.5239
71.777350 74.115 167.3744
72.143561 74.101 167.2256
72.509771 74.086 167.0779
72.875982 74.071 166.9318
73.242193 74.057 166.7876
73.608404 74.042 166.6453
73.974615 74.027 166.5042
74.340826 74.013 166.3637
74.707037 73.998 166.2239
75.073248 73.984 166.0851
75.439459 73.969 165.9480
75.805670 73.954 165.8129
76.171881 73.939 165.6799
76.538092 73.924 165.5485
76.904303 73.910 165.4181
77.270514 73.895 165.2882
77.636725 73.881 165.1584
78.002936 73.866 165.0285
78.369147 73.852 164.8989
78.735358 73.837 164.7703
79.101569 73.822 164.6434
79.467780 73.808 164.5187
79.833991 73.793 164.3960
80.200202 73.778 164.2748
80.566413 73.764 164.1545
80.932624 73.749 164.0345
81.298835 73.735 163.9152
81.665046 73.721 163.7967
82.031257 73.706 163.6796
82.397468 73.691 163.5641
82.763679 73.677 163.4505
83.129890 73.663 163.3382
83.496101 73.648 163.2269
83.862311 73.634 163.1162
84.228522 73.620 163.0058
84.594733 73.606 162.8956
84.960944 73.592 162.7858
85.327155 73.578 162.6767
85.693366 73.563 162.5687
86.059577 73.549 162.4622
86.425788 73.534 162.3573
86.791999 73.520 162.2537
87.158210 73.506 162.1511
87.524421 73.492 162.0489
87.890632 73.478 161.9468
88.256843 73.463 161.8449
88.623054 73.449 161.7438
88.989265 73.435 161.6440
89.355476 73.420 161.5460
89.721687 73.406 161.4494
90.087898 73.391 161.3539
90.454109 73.377 161.2585
90.820320 73.363 161.1631
91.186531 73.349 161.0675
91.552742 73.335 160.9722
91.918953 73.321 160.8777
92.285164 73.306 160.7845
92.651375 73.292 160.6930
93.017586 73.278 160.6029
93.383797 73.264 160.5139
93.750008 73.250 160.4256
94.116219 73.236 160.3374
94.482430 73.223 160.2491
94.848641 73.209 160.1607
95.214851 73.195 160.0725
95.581062 73.181 159.9850
95.947273 73.167 159.8984
96.313484 73.153 159.8132
96.679695 73.139 159.7294
97.045906 73.125 159.6472
97.412117 73.111 159.5663
97.778328 73.097 159.4868
98.144539 73.083 159.4080
98.510750 73.069 159.3297
98.876961 73.055 159.2515
99.243172 73.041 159.1732
99.609383 73.027 159.0951
99.975594 73.013 159.0173
100.341805 73.000 158.9401
100.708016 72.986 158.8637
101.074227 72.972 158.7881
101.440438 72.958 158.7129
101.806649 72.944 158.6381
102.172860 72.931 158.5637
102.539071 72.917 158.4897
102.905282 72.903 158.4164
103.271493 72.890 158.3442
103.637704 72.876 158.2732
104.003915 72.862 158.2036
104.370126 72.849 158.1353
104.736337 72.835 158.0682
105.102548 72.822 158.0018
105.468759 72.809 157.9360
105.834970 72.795 157.8704
106.201180 72.782 157.8049
106.567391 72.769 157.7395
106.933602 72.756 157.6744
107.299813 72.743 157.6095
107.666024 72.729 157.5452
108.032235 72.716 157.4815
108.398446 72.702 157.4189
108.764657 72.689 157.3577
109.130868 72.675 157.2978
109.497079 72.662 157.2388
109.863290 72.648 157.1805
110.229501 72.635 157.1220
110.595712 72.622 157.0632
110.961923 72.609 157.0040
111.328134 72.596 156.9446
111.694345 72.583 156.8853
112.060556 72.570 156.8262
112.426767 72.557 156.7678
112.792978 72.543 156.7100
113.159189 72.530 156.6530
113.525400 72.517 156.5966
113.891611 72.504 156.5407
114.257822 72.490 156.4853
114.624033 72.477 156.4302
114.990244 72.464 156.3757
115.356455 72.451 156.3219
115.722666 72.437 156.2691
116.088877 72.424 156.2174
116.455088 72.411 156.1668
116.821299 72.398 156.1173
117.187510 72.384 156.0690
117.553720 72.371 156.0221
117.919931 72.358 155.9763
118.286142 72.346 155.9315
118.652353 72.333 155.8867
119.018564 72.321 155.8412
119.384775 72.309 155.7943
119.750986 72.297 155.7458
120.117197 72.285 155.6963
120.483408 72.272 155.6467
120.849619 72.259 155.5980
121.215830 72.247 155.5505
121.582041 72.234 155.5045
121.948252 72.221 155.4592
122.314463 72.208 155.4143
122.680674 72.196 155.3693
123.046885 72.183 155.3241
123.413096 72.171 155.2790
123.779307 72.158 155.2343
124.145518 72.145 155.1903
124.511729 72.133 155.1471
124.877940 72.121 155.1047
125.244151 72.109 155.0630
125.610362 72.097 155.0219
125.976573 72.086 154.9813
126.342784 72.074 154.9413
126.708995 72.063 154.9019
127.075206 72.052 154.8631
127.441417 72.041 154.8249
127.807628 72.030 154.7873
128.173839 72.019 154.7504
128.540049 72.008 154.7141
128.906260 71.997 154.6784
129.272471 71.987 154.6429
129.638682 71.976 154.6075
130.004893 71.966 154.5718
130.371104 71.955 154.5356
130.737315 71.945 154.4990
131.103526 71.934 154.4622
131.469737 71.923 154.4254
131.835948 71.913 154.3889
132.202159 71.902 154.3526
132.568370 71.891 154.3169
132.934581 71.880 154.2818
133.300792 71.869 154.2475
133.667003 71.858 154.2141
134.033214 71.847 154.1813
134.399425 71.837 154.1492
134.765636 71.826 154.1175
135.131847 71.815 154.0862
135.498058 71.805 154.0551
135.864269 71.794 154.0243
136.230480 71.784 153.9936
136.596691 71.774 153.9630
136.962902 71.763 153.9324
137.329113 71.753 153.9019
137.695324 71.743 153.8716
138.061535 71.732 153.8419
138.427746 71.722 153.8128
138.793957 71.711 153.7845
139.160168 71.701 153.7568
139.526379 71.691 153.7294
139.892589 71.681 153.7021
140.258800 71.671 153.6750
140.625011 71.660 153.6480
140.991222 71.650 153.6213
141.357433 71.640 153.5948
141.723644 71.630 153.5687
142.089855 71.619 153.5430
142.456066 71.609 153.5176
142.822277 71.599 153.4927
143.188488 71.588 153.4684
143.554699 71.578 153.4448
143.920910 71.568 153.4215
144.287121 71.558 153.3987
144.653332 71.547 153.3759
145.019543 71.537 153.3532
145.385754 71.527 153.3305
145.751965 71.518 153.3076
146.118176 71.508 153.2846
146.484387 71.498 153.2615
146.850598 71.488 153.2384
147.216809 71.478 153.2154
147.583020 71.468 153.1926
147.949231 71.458 153.1703
148.315442 71.448 153.1485
148.681653 71.438 153.1274
149.047864 71.428 153.1069
149.414075 71.418 153.0869
