* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 20, 2023 5:08:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cannon Foam L 100
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.583 -54.5906
0.732422 59.358 -98.3681
1.098633 58.409 -135.4643
1.464844 54.000 -176.4495
1.831055 48.320 65.1921
2.197266 58.421 -3.8323
2.563477 63.215 -32.1387
2.929688 65.522 -52.9289
3.295899 66.367 -68.2617
3.662110 66.321 -76.9387
4.028321 66.160 -77.7911
4.394532 66.777 -74.2987
4.760743 68.110 -73.3558
5.126954 69.394 -76.6694
5.493164 70.232 -81.8638
5.859375 70.642 -86.4564
6.225586 70.853 -89.0853
6.591797 71.145 -89.9879
6.958008 71.637 -90.6573
7.324219 72.213 -92.2887
7.690430 72.703 -94.8359
8.056641 73.039 -97.5240
8.422852 73.270 -99.6810
8.789063 73.489 -101.1940
9.155274 73.754 -102.4528
9.521485 74.047 -103.8871
9.887696 74.316 -105.5863
10.253907 74.457 -107.3415
10.620118 74.525 -108.9286
10.986329 74.585 -110.3107
11.352540 74.652 -111.6143
11.718751 74.717 -112.9594
12.084962 74.766 -114.3428
12.451173 74.794 -115.6784
12.817384 74.863 -116.9131
13.183595 74.939 -118.0836
13.549806 75.015 -119.2657
13.916017 75.081 -120.4861
14.282228 75.130 -121.6975
14.648439 75.167 -122.8355
15.014650 75.203 -123.8889
15.380861 75.244 -124.9102
15.747072 75.288 -125.9608
16.113283 75.330 -127.0530
16.479493 75.372 -128.1465
16.845704 75.405 -129.1936
17.211915 75.434 -130.1813
17.578126 75.465 -131.1327
17.944337 75.495 -132.0739
18.310548 75.523 -133.0088
18.676759 75.548 -133.9237
19.042970 75.570 -134.8104
19.409181 75.592 -135.6774
19.775392 75.613 -136.5383
20.141603 75.632 -137.3945
20.507814 75.649 -138.2335
20.874025 75.663 -139.0435
21.240236 75.677 -139.8269
21.606447 75.690 -140.5969
21.972658 75.703 -141.3613
22.338869 75.715 -142.1153
22.705080 75.724 -142.8491
23.071291 75.735 -143.5629
23.437502 75.747 -144.2709
23.803713 75.761 -144.9882
24.169924 75.772 -145.7158
24.536135 75.780 -146.4389
24.902346 75.786 -147.1401
25.268557 75.791 -147.8137
25.634768 75.799 -148.4691
26.000979 75.808 -149.1199
26.367190 75.817 -149.7732
26.733401 75.825 -150.4272
27.099612 75.832 -151.0757
27.465823 75.836 -151.7128
27.832033 75.838 -152.3323
28.198244 75.839 -152.9274
28.564455 75.841 -153.4949
28.930666 75.845 -154.0414
29.296877 75.852 -154.5838
29.663088 75.861 -155.1396
30.029299 75.869 -155.7131
30.395510 75.873 -156.2916
30.761721 75.873 -156.8548
31.127932 75.873 -157.3912
31.494143 75.874 -157.9065
31.860354 75.877 -158.4171
32.226565 75.881 -158.9359
32.592776 75.884 -159.4634
32.958987 75.885 -159.9896
33.325198 75.883 -160.5038
33.691409 75.882 -161.0018
34.057620 75.881 -161.4866
34.423831 75.880 -161.9636
34.790042 75.881 -162.4375
35.156253 75.881 -162.9109
35.522464 75.881 -163.3845
35.888675 75.879 -163.8549
36.254886 75.877 -164.3158
36.621097 75.873 -164.7616
36.987308 75.870 -165.1927
37.353519 75.869 -165.6182
37.719730 75.869 -166.0500
38.085941 75.868 -166.4934
38.452152 75.865 -166.9413
38.818363 75.858 -167.3784
39.184573 75.850 -167.7924
39.550784 75.843 -168.1831
39.916995 75.839 -168.5631
40.283206 75.838 -168.9477
40.649417 75.839 -169.3452
41.015628 75.837 -169.7534
41.381839 75.834 -170.1630
41.748050 75.829 -170.5649
42.114261 75.823 -170.9546
42.480472 75.817 -171.3318
42.846683 75.811 -171.6996
43.212894 75.805 -172.0612
43.579105 75.800 -172.4192
43.945316 75.795 -172.7745
44.311527 75.790 -173.1265
44.677738 75.785 -173.4737
45.043949 75.779 -173.8162
45.410160 75.775 -174.1566
45.776371 75.770 -174.4985
46.142582 75.765 -174.8438
46.508793 75.759 -175.1902
46.875004 75.751 -175.5332
47.241215 75.743 -175.8683
47.607426 75.734 -176.1951
47.973637 75.725 -176.5159
48.339848 75.717 -176.8335
48.706059 75.708 -177.1484
49.072270 75.699 -177.4592
49.438481 75.689 -177.7642
49.804692 75.680 -178.0641
50.170902 75.672 -178.3615
50.537113 75.664 -178.6583
50.903324 75.657 -178.9550
51.269535 75.648 -179.2502
51.635746 75.640 -179.5424
52.001957 75.631 -179.8311
52.368168 75.623 179.8831
52.734379 75.614 179.5992
53.100590 75.605 179.3174
53.466801 75.596 179.0388
53.833012 75.586 178.7645
54.199223 75.576 178.4950
54.565434 75.567 178.2294
54.931645 75.557 177.9661
55.297856 75.547 177.7037
55.664067 75.538 177.4421
56.030278 75.527 177.1823
56.396489 75.516 176.9263
56.762700 75.505 176.6757
57.128911 75.494 176.4309
57.495122 75.483 176.1907
57.861333 75.472 175.9533
58.227544 75.462 175.7173
58.593755 75.452 175.4813
58.959966 75.442 175.2440
59.326177 75.432 175.0044
59.692388 75.422 174.7629
60.058599 75.410 174.5216
60.424810 75.398 174.2844
60.791021 75.385 174.0536
61.157232 75.373 173.8293
61.523442 75.361 173.6081
61.889653 75.350 173.3865
62.255864 75.339 173.1631
62.622075 75.327 172.9398
62.988286 75.314 172.7202
63.354497 75.301 172.5063
63.720708 75.288 172.2979
64.086919 75.275 172.0928
64.453130 75.263 171.8887
64.819341 75.250 171.6848
65.185552 75.238 171.4813
65.551763 75.226 171.2794
65.917974 75.213 171.0803
66.284185 75.199 170.8855
66.650396 75.186 170.6958
67.016607 75.174 170.5100
67.382818 75.161 170.3250
67.749029 75.149 170.1372
68.115240 75.137 169.9453
68.481451 75.124 169.7513
68.847662 75.110 169.5597
69.213873 75.095 169.3731
69.580084 75.080 169.1910
69.946295 75.066 169.0103
70.312506 75.051 168.8288
70.678717 75.036 168.6473
71.044928 75.021 168.4692
71.411139 75.006 168.2957
71.777350 74.991 168.1243
72.143561 74.977 167.9503
72.509771 74.963 167.7715
72.875982 74.948 167.5922
73.242193 74.932 167.4207
73.608404 74.917 167.2626
73.974615 74.903 167.1143
74.340826 74.892 166.9634
74.707037 74.882 166.7968
75.073248 74.872 166.6110
75.439459 74.858 166.4169
75.805670 74.841 166.2342
76.171881 74.822 166.0778
76.538092 74.804 165.9476
76.904303 74.791 165.8284
77.270514 74.780 165.6995
77.636725 74.770 165.5494
78.002936 74.759 165.3824
78.369147 74.743 165.2141
78.735358 74.726 165.0602
79.101569 74.708 164.9264
79.467780 74.691 164.8076
79.833991 74.677 164.6943
80.200202 74.664 164.5792
80.566413 74.653 164.4587
80.932624 74.644 164.3299
81.298835 74.635 164.1874
81.665046 74.625 164.0267
82.031257 74.614 163.8503
82.397468 74.598 163.6711
82.763679 74.580 163.5062
83.129890 74.560 163.3665
83.496101 74.542 163.2479
83.862311 74.527 163.1347
84.228522 74.514 163.0113
84.594733 74.500 162.8754
84.960944 74.484 162.7398
85.327155 74.466 162.6213
85.693366 74.450 162.5263
86.059577 74.437 162.4429
86.425788 74.429 162.3483
86.791999 74.422 162.2235
87.158210 74.414 162.0669
87.524421 74.401 161.8945
87.890632 74.383 161.7300
88.256843 74.363 161.5908
88.623054 74.342 161.4795
88.989265 74.324 161.3858
89.355476 74.309 161.2940
89.721687 74.297 161.1920
90.087898 74.284 161.0760
90.454109 74.271 160.9503
90.820320 74.256 160.8228
91.186531 74.240 160.7007
91.552742 74.224 160.5873
91.918953 74.208 160.4811
92.285164 74.194 160.3776
92.651375 74.180 160.2724
93.017586 74.167 160.1638
93.383797 74.153 160.0541
93.750008 74.138 159.9471
94.116219 74.123 159.8463
94.482430 74.109 159.7515
94.848641 74.096 159.6592
95.214851 74.084 159.5648
95.581062 74.072 159.4651
95.947273 74.059 159.3612
96.313484 74.045 159.2569
96.679695 74.030 159.1566
97.045906 74.015 159.0628
97.412117 74.000 158.9746
97.778328 73.986 158.8887
98.144539 73.972 158.8017
98.510750 73.959 158.7117
98.876961 73.945 158.6192
99.243172 73.930 158.5259
99.609383 73.916 158.4334
99.975594 73.901 158.3422
100.341805 73.886 158.2515
100.708016 73.871 158.1606
101.074227 73.857 158.0692
101.440438 73.841 157.9783
101.806649 73.826 157.8896
102.172860 73.811 157.8044
102.539071 73.796 157.7225
102.905282 73.782 157.6420
103.271493 73.768 157.5605
103.637704 73.754 157.4766
104.003915 73.741 157.3909
104.370126 73.727 157.3054
104.736337 73.713 157.2221
105.102548 73.699 157.1409
105.468759 73.686 157.0596
105.834970 73.673 156.9758
106.201180 73.660 156.8894
106.567391 73.645 156.8031
106.933602 73.630 156.7212
107.299813 73.615 156.6464
107.666024 73.601 156.5778
108.032235 73.587 156.5109
108.398446 73.574 156.4413
108.764657 73.561 156.3669
109.130868 73.548 156.2891
109.497079 73.534 156.2111
109.863290 73.520 156.1357
110.229501 73.506 156.0637
110.595712 73.492 155.9944
110.961923 73.478 155.9267
111.328134 73.464 155.8597
111.694345 73.451 155.7930
112.060556 73.437 155.7264
112.426767 73.424 155.6595
112.792978 73.411 155.5920
113.159189 73.398 155.5242
113.525400 73.385 155.4565
113.891611 73.372 155.3892
114.257822 73.359 155.3222
114.624033 73.346 155.2559
114.990244 73.333 155.1910
115.356455 73.319 155.1285
115.722666 73.306 155.0682
116.088877 73.294 155.0090
116.455088 73.281 154.9482
116.821299 73.269 154.8840
117.187510 73.257 154.8164
117.553720 73.243 154.7479
117.919931 73.230 154.6812
118.286142 73.215 154.6178
118.652353 73.201 154.5569
119.018564 73.187 154.4970
119.384775 73.173 154.4371
119.750986 73.158 154.3785
120.117197 73.143 154.3236
120.483408 73.128 154.2731
120.849619 73.114 154.2253
121.215830 73.100 154.1770
121.582041 73.087 154.1251
121.948252 73.074 154.0696
122.314463 73.060 154.0128
122.680674 73.046 153.9576
123.046885 73.032 153.9053
123.413096 73.019 153.8546
123.779307 73.006 153.8033
124.145518 72.993 153.7499
124.511729 72.980 153.6949
124.877940 72.967 153.6400
125.244151 72.955 153.5858
125.610362 72.944 153.5323
125.976573 72.933 153.4786
126.342784 72.922 153.4242
126.708995 72.910 153.3701
127.075206 72.898 153.3179
127.441417 72.887 153.2684
127.807628 72.875 153.2213
128.173839 72.864 153.1752
128.540049 72.853 153.1294
128.906260 72.842 153.0841
129.272471 72.831 153.0403
129.638682 72.819 152.9989
130.004893 72.808 152.9594
130.371104 72.798 152.9204
130.737315 72.787 152.8800
131.103526 72.777 152.8369
131.469737 72.766 152.7914
131.835948 72.755 152.7451
132.202159 72.743 152.7000
132.568370 72.731 152.6577
132.934581 72.719 152.6179
133.300792 72.707 152.5789
133.667003 72.696 152.5391
134.033214 72.684 152.4979
134.399425 72.672 152.4568
134.765636 72.660 152.4180
135.131847 72.648 152.3831
135.498058 72.637 152.3511
135.864269 72.626 152.3188
136.230480 72.617 152.2825
136.596691 72.607 152.2402
136.962902 72.597 152.1934
137.329113 72.586 152.1458
137.695324 72.575 152.1017
138.061535 72.563 152.0635
138.427746 72.552 152.0306
138.793957 72.541 152.0002
139.160168 72.531 151.9683
139.526379 72.522 151.9316
139.892589 72.513 151.8895
140.258800 72.503 151.8441
140.625011 72.492 151.7988
140.991222 72.480 151.7574
141.357433 72.468 151.7209
141.723644 72.456 151.6879
142.089855 72.444 151.6553
142.456066 72.433 151.6212
142.822277 72.421 151.5862
143.188488 72.409 151.5535
143.554699 72.396 151.5257
143.920910 72.384 151.5026
144.287121 72.373 151.4802
144.653332 72.363 151.4536
145.019543 72.353 151.4199
145.385754 72.342 151.3804
145.751965 72.331 151.3396
146.118176 72.319 151.3025
146.484387 72.307 151.2709
146.850598 72.296 151.2432
147.216809 72.285 151.2160
147.583020 72.275 151.1866
147.949231 72.265 151.1549
148.315442 72.254 151.1225
148.681653 72.244 151.0909
149.047864 72.233 151.0608
149.414075 72.223 151.0316
