* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 3, 2023 6:45:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mahina FE Type E R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.970 -26.9137
0.732422 60.051 -57.5578
1.098633 54.385 -107.1240
1.464844 53.832 158.4211
1.831055 58.639 110.9125
2.197266 60.676 86.6748
2.563477 60.715 72.6182
2.929688 59.619 70.5400
3.295899 59.271 82.0427
3.662110 60.992 92.2270
4.028321 62.998 92.0029
4.394532 64.211 86.7254
4.760743 64.631 81.4265
5.126954 64.612 78.9817
5.493164 64.673 79.8481
5.859375 65.159 81.5368
6.225586 65.908 81.2903
6.591797 66.570 78.9017
6.958008 66.980 75.8010
7.324219 67.198 73.3719
7.690430 67.389 72.0998
8.056641 67.689 71.4409
8.422852 68.094 70.5184
8.789063 68.504 68.9922
9.155274 68.843 67.1670
9.521485 69.106 65.5187
9.887696 69.338 64.2665
10.253907 69.511 63.2815
10.620118 69.671 62.3085
10.986329 69.824 61.2285
11.352540 69.950 60.1087
11.718751 70.049 59.0639
12.084962 70.135 58.1247
12.451173 70.219 57.2312
12.817384 70.343 56.3219
13.183595 70.461 55.3960
13.549806 70.565 54.4912
13.916017 70.661 53.6205
14.282228 70.756 52.7471
14.648439 70.848 51.8266
15.014650 70.930 50.8560
15.380861 71.000 49.8805
15.747072 71.062 48.9452
16.113283 71.129 48.0548
16.479493 71.210 47.1734
16.845704 71.292 46.2686
17.211915 71.369 45.3440
17.578126 71.438 44.4342
17.944337 71.503 43.5696
18.310548 71.566 42.7507
18.676759 71.630 41.9556
19.042970 71.692 41.1666
19.409181 71.748 40.3870
19.775392 71.798 39.6336
20.141603 71.844 38.9166
20.507814 71.889 38.2301
20.874025 71.932 37.5586
21.240236 71.972 36.8900
21.606447 72.007 36.2212
21.972658 72.038 35.5567
22.338869 72.063 34.9025
22.705080 72.085 34.2651
23.071291 72.104 33.6505
23.437502 72.123 33.0576
23.803713 72.146 32.4722
24.169924 72.172 31.8690
24.536135 72.200 31.2264
24.902346 72.224 30.5444
25.268557 72.241 29.8487
25.634768 72.251 29.1750
26.000979 72.258 28.5457
26.367190 72.267 27.9568
26.733401 72.279 27.3851
27.099612 72.293 26.8082
27.465823 72.307 26.2201
27.832033 72.316 25.6312
28.198244 72.322 25.0565
28.564455 72.326 24.5046
28.930666 72.328 23.9751
29.296877 72.329 23.4625
29.663088 72.331 22.9612
30.029299 72.332 22.4658
30.395510 72.333 21.9708
30.761721 72.333 21.4728
31.127932 72.331 20.9729
31.494143 72.327 20.4772
31.860354 72.320 19.9930
32.226565 72.313 19.5229
32.592776 72.307 19.0623
32.958987 72.302 18.6035
33.325198 72.296 18.1414
33.691409 72.290 17.6779
34.057620 72.282 17.2197
34.423831 72.273 16.7744
34.790042 72.263 16.3452
35.156253 72.254 15.9293
35.522464 72.246 15.5204
35.888675 72.238 15.1117
36.254886 72.230 14.7007
36.621097 72.219 14.2920
36.987308 72.205 13.8953
37.353519 72.190 13.5188
37.719730 72.175 13.1625
38.085941 72.162 12.8164
38.452152 72.150 12.4659
38.818363 72.138 12.1038
39.184573 72.122 11.7367
39.550784 72.102 11.3823
39.916995 72.081 11.0575
40.283206 72.061 10.7673
40.649417 72.044 10.5025
41.015628 72.033 10.2464
41.381839 72.025 9.9857
41.748050 72.019 9.7152
42.114261 72.015 9.4355
42.480472 72.012 9.1481
42.846683 72.009 8.8536
43.212894 72.007 8.5531
43.579105 72.004 8.2491
43.945316 72.001 7.9437
44.311527 71.998 7.6354
44.677738 71.995 7.3193
45.043949 71.990 6.9921
45.410160 71.983 6.6581
45.776371 71.972 6.3287
46.142582 71.958 6.0164
46.508793 71.944 5.7243
46.875004 71.930 5.4446
47.241215 71.918 5.1641
47.607426 71.905 4.8749
47.973637 71.891 4.5819
48.339848 71.873 4.2975
48.706059 71.855 4.0316
49.072270 71.837 3.7824
49.438481 71.822 3.5383
49.804692 71.808 3.2871
50.170902 71.793 3.0255
50.537113 71.777 2.7615
50.903324 71.759 2.5075
51.269535 71.741 2.2702
51.635746 71.724 2.0460
52.001957 71.709 1.8246
52.368168 71.695 1.5972
52.734379 71.680 1.3628
53.100590 71.664 1.1276
53.466801 71.647 0.8992
53.833012 71.630 0.6808
54.199223 71.613 0.4703
54.565434 71.597 0.2638
54.931645 71.580 0.0590
55.297856 71.564 -0.1434
55.664067 71.549 -0.3431
56.030278 71.534 -0.5423
56.396489 71.519 -0.7450
56.762700 71.503 -0.9526
57.128911 71.486 -1.1600
57.495122 71.467 -1.3568
57.861333 71.448 -1.5344
58.227544 71.430 -1.6924
58.593755 71.416 -1.8417
58.959966 71.405 -1.9980
59.326177 71.395 -2.1729
59.692388 71.383 -2.3658
60.058599 71.369 -2.5651
60.424810 71.352 -2.7554
60.791021 71.334 -2.9271
61.157232 71.316 -3.0808
61.523442 71.301 -3.2256
61.889653 71.286 -3.3718
62.255864 71.273 -3.5250
62.622075 71.258 -3.6842
62.988286 71.242 -3.8445
63.354497 71.225 -4.0011
63.720708 71.207 -4.1521
64.086919 71.189 -4.2977
64.453130 71.171 -4.4386
64.819341 71.153 -4.5741
65.185552 71.135 -4.7034
65.551763 71.118 -4.8273
65.917974 71.102 -4.9497
66.284185 71.089 -5.0778
66.650396 71.075 -5.2181
67.016607 71.062 -5.3730
67.382818 71.046 -5.5375
67.749029 71.026 -5.6993
68.115240 71.005 -5.8442
68.481451 70.982 -5.9617
68.847662 70.961 -6.0511
69.213873 70.945 -6.1237
69.580084 70.933 -6.1982
69.946295 70.926 -6.2944
70.312506 70.919 -6.4235
70.678717 70.911 -6.5845
71.044928 70.897 -6.7631
71.411139 70.878 -6.9371
71.777350 70.854 -7.0848
72.143561 70.829 -7.1931
72.509771 70.805 -7.2625
72.875982 70.786 -7.3071
73.242193 70.772 -7.3494
73.608404 70.762 -7.4095
73.974615 70.755 -7.4980
74.340826 70.745 -7.6118
74.707037 70.734 -7.7383
75.073248 70.719 -7.8645
75.439459 70.704 -7.9847
75.805670 70.687 -8.1019
76.171881 70.670 -8.2214
76.538092 70.652 -8.3427
76.904303 70.630 -8.4558
77.270514 70.607 -8.5463
77.636725 70.584 -8.6055
78.002936 70.564 -8.6393
78.369147 70.550 -8.6670
78.735358 70.541 -8.7104
79.101569 70.533 -8.7825
79.467780 70.525 -8.8802
79.833991 70.514 -8.9901
80.200202 70.501 -9.0988
80.566413 70.487 -9.2010
80.932624 70.473 -9.3007
81.298835 70.458 -9.4031
81.665046 70.442 -9.5078
82.031257 70.423 -9.6068
82.397468 70.403 -9.6886
82.763679 70.382 -9.7467
83.129890 70.362 -9.7830
83.496101 70.346 -9.8071
83.862311 70.332 -9.8304
84.228522 70.321 -9.8606
84.594733 70.311 -9.9003
84.960944 70.302 -9.9493
85.327155 70.293 -10.0079
85.693366 70.284 -10.0776
86.059577 70.276 -10.1600
86.425788 70.266 -10.2551
86.791999 70.254 -10.3597
87.158210 70.240 -10.4675
87.524421 70.223 -10.5712
87.890632 70.204 -10.6635
88.256843 70.184 -10.7400
88.623054 70.164 -10.7995
88.989265 70.145 -10.8439
89.355476 70.127 -10.8774
89.721687 70.112 -10.9047
90.087898 70.097 -10.9285
90.454109 70.083 -10.9493
90.820320 70.071 -10.9658
91.186531 70.060 -10.9769
91.552742 70.051 -10.9844
91.918953 70.044 -10.9939
92.285164 70.040 -11.0135
92.651375 70.038 -11.0509
93.017586 70.036 -11.1097
93.383797 70.032 -11.1886
93.750008 70.027 -11.2817
94.116219 70.019 -11.3821
94.482430 70.008 -11.4840
94.848641 69.995 -11.5844
95.214851 69.980 -11.6815
95.581062 69.964 -11.7744
95.947273 69.945 -11.8606
96.313484 69.925 -11.9368
96.679695 69.904 -11.9995
97.045906 69.882 -12.0466
97.412117 69.861 -12.0778
97.778328 69.840 -12.0943
98.144539 69.821 -12.0986
98.510750 69.803 -12.0941
98.876961 69.788 -12.0847
99.243172 69.775 -12.0750
99.609383 69.764 -12.0694
99.975594 69.755 -12.0712
100.341805 69.746 -12.0815
100.708016 69.737 -12.1000
101.074227 69.729 -12.1242
101.440438 69.720 -12.1523
101.806649 69.711 -12.1828
102.172860 69.702 -12.2151
102.539071 69.692 -12.2490
102.905282 69.682 -12.2838
103.271493 69.672 -12.3179
103.637704 69.661 -12.3499
104.003915 69.650 -12.3785
104.370126 69.639 -12.4042
104.736337 69.629 -12.4285
105.102548 69.619 -12.4539
105.468759 69.610 -12.4827
105.834970 69.601 -12.5161
106.201180 69.591 -12.5538
106.567391 69.581 -12.5945
106.933602 69.570 -12.6359
107.299813 69.559 -12.6762
107.666024 69.547 -12.7137
108.032235 69.534 -12.7478
108.398446 69.522 -12.7782
108.764657 69.509 -12.8055
109.130868 69.497 -12.8304
109.497079 69.485 -12.8538
109.863290 69.473 -12.8755
110.229501 69.461 -12.8953
110.595712 69.449 -12.9122
110.961923 69.437 -12.9258
111.328134 69.426 -12.9370
111.694345 69.416 -12.9475
112.060556 69.406 -12.9600
112.426767 69.397 -12.9764
112.792978 69.388 -12.9974
113.159189 69.378 -13.0221
113.525400 69.369 -13.0485
113.891611 69.358 -13.0743
114.257822 69.347 -13.0981
114.624033 69.336 -13.1189
114.990244 69.325 -13.1362
115.356455 69.314 -13.1498
115.722666 69.304 -13.1601
116.088877 69.294 -13.1682
116.455088 69.285 -13.1761
116.821299 69.276 -13.1860
117.187510 69.268 -13.1992
117.553720 69.260 -13.2153
117.919931 69.253 -13.2334
118.286142 69.245 -13.2523
118.652353 69.237 -13.2720
119.018564 69.229 -13.2934
119.384775 69.222 -13.3175
119.750986 69.213 -13.3441
120.117197 69.204 -13.3715
120.483408 69.194 -13.3966
120.849619 69.183 -13.4162
121.215830 69.172 -13.4285
121.582041 69.161 -13.4329
121.948252 69.149 -13.4304
122.314463 69.138 -13.4224
122.680674 69.128 -13.4099
123.046885 69.117 -13.3943
123.413096 69.108 -13.3765
123.779307 69.099 -13.3577
124.145518 69.090 -13.3389
124.511729 69.082 -13.3214
124.877940 69.074 -13.3062
125.244151 69.067 -13.2946
125.610362 69.061 -13.2878
125.976573 69.055 -13.2870
126.342784 69.048 -13.2926
126.708995 69.042 -13.3043
127.075206 69.035 -13.3213
127.441417 69.027 -13.3422
127.807628 69.019 -13.3656
128.173839 69.010 -13.3901
128.540049 69.001 -13.4143
128.906260 68.992 -13.4368
129.272471 68.982 -13.4560
129.638682 68.973 -13.4713
130.004893 68.964 -13.4827
130.371104 68.955 -13.4907
130.737315 68.948 -13.4964
131.103526 68.941 -13.5005
131.469737 68.935 -13.5038
131.835948 68.930 -13.5066
132.202159 68.925 -13.5093
132.568370 68.920 -13.5118
132.934581 68.916 -13.5141
133.300792 68.911 -13.5155
133.667003 68.907 -13.5155
134.033214 68.902 -13.5135
134.399425 68.897 -13.5098
134.765636 68.893 -13.5048
135.131847 68.889 -13.4994
135.498058 68.884 -13.4951
135.864269 68.880 -13.4928
136.230480 68.875 -13.4935
136.596691 68.870 -13.4976
136.962902 68.864 -13.5049
137.329113 68.858 -13.5146
137.695324 68.851 -13.5259
138.061535 68.843 -13.5378
138.427746 68.835 -13.5496
138.793957 68.826 -13.5613
139.160168 68.817 -13.5730
139.526379 68.808 -13.5850
139.892589 68.799 -13.5970
140.258800 68.790 -13.6089
140.625011 68.780 -13.6203
140.991222 68.770 -13.6309
141.357433 68.761 -13.6404
141.723644 68.751 -13.6486
142.089855 68.741 -13.6550
142.456066 68.732 -13.6595
142.822277 68.722 -13.6619
143.188488 68.713 -13.6620
143.554699 68.704 -13.6599
143.920910 68.695 -13.6556
144.287121 68.686 -13.6489
144.653332 68.677 -13.6398
145.019543 68.669 -13.6282
145.385754 68.660 -13.6144
145.751965 68.652 -13.5986
146.118176 68.644 -13.5812
146.484387 68.637 -13.5623
