* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 3, 2023 6:49:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mahina Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.173 171.2546
0.732422 55.644 161.0769
1.098633 56.133 149.4083
1.464844 56.459 137.4249
1.831055 56.582 126.8140
2.197266 56.623 119.1487
2.563477 56.862 114.9678
2.929688 57.556 112.8279
3.295899 58.649 110.2918
3.662110 59.837 106.2838
4.028321 60.873 101.4070
4.394532 61.683 96.7949
4.760743 62.331 93.2766
5.126954 62.937 90.9999
5.493164 63.588 89.4533
5.859375 64.281 87.9470
6.225586 64.946 86.1531
6.591797 65.527 84.1988
6.958008 66.013 82.3883
7.324219 66.435 80.9051
7.690430 66.832 79.6996
8.056641 67.219 78.5840
8.422852 67.589 77.4103
8.789063 67.927 76.1604
9.155274 68.230 74.8993
9.521485 68.505 73.6766
9.887696 68.762 72.4814
10.253907 68.933 71.2729
10.620118 69.060 70.0348
10.986329 69.173 68.7926
11.352540 69.277 67.5815
11.718751 69.379 66.4081
12.084962 69.482 65.2469
12.451173 69.586 64.0718
12.817384 69.733 62.8862
13.183595 69.879 61.7207
13.549806 70.019 60.6034
13.916017 70.155 59.5349
14.282228 70.288 58.4930
14.648439 70.416 57.4583
15.014650 70.534 56.4358
15.380861 70.641 55.4505
15.747072 70.739 54.5232
16.113283 70.837 53.6510
16.479493 70.943 52.8074
16.845704 71.046 51.9616
17.211915 71.143 51.0987
17.578126 71.230 50.2250
17.944337 71.308 49.3589
18.310548 71.377 48.5165
18.676759 71.441 47.7022
19.042970 71.504 46.9072
19.409181 71.566 46.1152
19.775392 71.628 45.3109
20.141603 71.687 44.4893
20.507814 71.742 43.6616
20.874025 71.792 42.8509
21.240236 71.837 42.0797
21.606447 71.883 41.3533
21.972658 71.934 40.6535
22.338869 71.988 39.9483
22.705080 72.042 39.2149
23.071291 72.090 38.4581
23.437502 72.128 37.7094
23.803713 72.159 37.0076
24.169924 72.187 36.3725
24.536135 72.217 35.7899
24.902346 72.254 35.2201
25.268557 72.294 34.6222
25.634768 72.331 33.9779
26.000979 72.361 33.3001
26.367190 72.381 32.6215
26.733401 72.392 31.9740
27.099612 72.399 31.3719
27.465823 72.406 30.8076
27.832033 72.416 30.2608
28.198244 72.428 29.7128
28.564455 72.440 29.1556
28.930666 72.450 28.5935
29.296877 72.460 28.0346
29.663088 72.469 27.4838
30.029299 72.478 26.9392
30.395510 72.488 26.3954
30.761721 72.497 25.8499
31.127932 72.505 25.3062
31.494143 72.511 24.7718
31.860354 72.515 24.2531
32.226565 72.519 23.7517
32.592776 72.522 23.2642
32.958987 72.526 22.7860
33.325198 72.529 22.3150
33.691409 72.530 21.8520
34.057620 72.531 21.3987
34.423831 72.531 20.9546
34.790042 72.531 20.5173
35.156253 72.530 20.0838
35.522464 72.528 19.6525
35.888675 72.525 19.2241
36.254886 72.520 18.7996
36.621097 72.515 18.3794
36.987308 72.508 17.9634
37.353519 72.501 17.5527
37.719730 72.492 17.1500
38.085941 72.483 16.7585
38.452152 72.475 16.3788
38.818363 72.468 16.0057
39.184573 72.463 15.6295
39.550784 72.459 15.2409
39.916995 72.454 14.8369
40.283206 72.447 14.4249
40.649417 72.437 14.0200
41.015628 72.423 13.6375
41.381839 72.410 13.2847
41.748050 72.398 12.9569
42.114261 72.389 12.6404
42.480472 72.382 12.3211
42.846683 72.377 11.9921
43.212894 72.370 11.6557
43.579105 72.362 11.3200
43.945316 72.353 10.9915
44.311527 72.343 10.6718
44.677738 72.333 10.3580
45.043949 72.323 10.0472
45.410160 72.313 9.7393
45.776371 72.301 9.4368
46.142582 72.290 9.1424
46.508793 72.278 8.8558
46.875004 72.266 8.5744
47.241215 72.255 8.2952
47.607426 72.243 8.0175
47.973637 72.231 7.7423
48.339848 72.219 7.4702
48.706059 72.208 7.2004
49.072270 72.196 6.9308
49.438481 72.184 6.6602
49.804692 72.172 6.3898
50.170902 72.159 6.1222
50.537113 72.146 5.8593
50.903324 72.133 5.6009
51.269535 72.121 5.3453
51.635746 72.108 5.0915
52.001957 72.094 4.8412
52.368168 72.081 4.5974
52.734379 72.067 4.3619
53.100590 72.054 4.1331
53.466801 72.042 3.9064
53.833012 72.031 3.6779
54.199223 72.018 3.4477
54.565434 72.005 3.2198
54.931645 71.991 2.9997
55.297856 71.977 2.7895
55.664067 71.963 2.5867
56.030278 71.951 2.3859
56.396489 71.938 2.1830
56.762700 71.925 1.9784
57.128911 71.911 1.7757
57.495122 71.897 1.5786
57.861333 71.883 1.3868
58.227544 71.870 1.1959
58.593755 71.857 1.0004
58.959966 71.844 0.7978
59.326177 71.830 0.5904
59.692388 71.815 0.3838
60.058599 71.799 0.1833
60.424810 71.782 -0.0089
60.791021 71.766 -0.1941
61.157232 71.750 -0.3749
61.523442 71.735 -0.5531
61.889653 71.720 -0.7287
62.255864 71.705 -0.9011
62.622075 71.691 -1.0700
62.988286 71.677 -1.2365
63.354497 71.663 -1.4023
63.720708 71.649 -1.5684
64.086919 71.635 -1.7341
64.453130 71.621 -1.8976
64.819341 71.606 -2.0568
65.185552 71.590 -2.2107
65.551763 71.575 -2.3597
65.917974 71.561 -2.5055
66.284185 71.546 -2.6501
66.650396 71.532 -2.7951
67.016607 71.517 -2.9409
67.382818 71.503 -3.0868
67.749029 71.488 -3.2318
68.115240 71.472 -3.3751
68.481451 71.457 -3.5162
68.847662 71.441 -3.6554
69.213873 71.425 -3.7929
69.580084 71.409 -3.9284
69.946295 71.394 -4.0616
70.312506 71.378 -4.1917
70.678717 71.362 -4.3185
71.044928 71.347 -4.4425
71.411139 71.333 -4.5650
71.777350 71.319 -4.6876
72.143561 71.305 -4.8113
72.509771 71.291 -4.9361
72.875982 71.276 -5.0606
73.242193 71.262 -5.1829
73.608404 71.247 -5.3017
73.974615 71.232 -5.4169
74.340826 71.217 -5.5295
74.707037 71.202 -5.6410
75.073248 71.187 -5.7517
75.439459 71.172 -5.8605
75.805670 71.157 -5.9657
76.171881 71.141 -6.0662
76.538092 71.127 -6.1628
76.904303 71.113 -6.2583
77.270514 71.099 -6.3561
77.636725 71.086 -6.4587
78.002936 71.073 -6.5661
78.369147 71.059 -6.6757
78.735358 71.044 -6.7842
79.101569 71.029 -6.8887
79.467780 71.014 -6.9884
79.833991 70.999 -7.0845
80.200202 70.985 -7.1794
80.566413 70.971 -7.2747
80.932624 70.958 -7.3708
81.298835 70.944 -7.4663
81.665046 70.930 -7.5596
82.031257 70.917 -7.6500
82.397468 70.903 -7.7378
82.763679 70.891 -7.8247
83.129890 70.878 -7.9121
83.496101 70.865 -8.0008
83.862311 70.853 -8.0907
84.228522 70.839 -8.1813
84.594733 70.826 -8.2713
84.960944 70.811 -8.3589
85.327155 70.796 -8.4418
85.693366 70.780 -8.5172
86.059577 70.765 -8.5841
86.425788 70.750 -8.6442
86.791999 70.737 -8.7019
87.158210 70.724 -8.7629
87.524421 70.713 -8.8312
87.890632 70.701 -8.9067
88.256843 70.688 -8.9856
88.623054 70.674 -9.0627
88.989265 70.659 -9.1342
89.355476 70.645 -9.1997
89.721687 70.631 -9.2614
90.087898 70.618 -9.3224
90.454109 70.606 -9.3847
90.820320 70.593 -9.4484
91.186531 70.581 -9.5125
91.552742 70.569 -9.5759
91.918953 70.557 -9.6386
92.285164 70.545 -9.7015
92.651375 70.534 -9.7658
93.017586 70.523 -9.8324
93.383797 70.511 -9.9008
93.750008 70.499 -9.9698
94.116219 70.486 -10.0377
94.482430 70.473 -10.1023
94.848641 70.459 -10.1621
95.214851 70.445 -10.2167
95.581062 70.432 -10.2669
95.947273 70.418 -10.3144
96.313484 70.406 -10.3609
96.679695 70.393 -10.4071
97.045906 70.380 -10.4523
97.412117 70.367 -10.4956
97.778328 70.354 -10.5364
98.144539 70.342 -10.5756
98.510750 70.331 -10.6154
98.876961 70.320 -10.6583
99.243172 70.310 -10.7062
99.609383 70.299 -10.7588
99.975594 70.288 -10.8142
100.341805 70.276 -10.8697
100.708016 70.264 -10.9229
101.074227 70.251 -10.9729
101.440438 70.239 -11.0203
101.806649 70.228 -11.0665
102.172860 70.216 -11.1129
102.539071 70.205 -11.1597
102.905282 70.194 -11.2064
103.271493 70.182 -11.2520
103.637704 70.171 -11.2959
104.003915 70.160 -11.3384
104.370126 70.148 -11.3802
104.736337 70.137 -11.4221
105.102548 70.126 -11.4642
105.468759 70.114 -11.5056
105.834970 70.103 -11.5451
106.201180 70.091 -11.5818
106.567391 70.079 -11.6156
106.933602 70.067 -11.6473
107.299813 70.056 -11.6779
107.666024 70.045 -11.7083
108.032235 70.034 -11.7388
108.398446 70.023 -11.7693
108.764657 70.013 -11.7998
109.130868 70.002 -11.8307
109.497079 69.992 -11.8625
109.863290 69.982 -11.8959
110.229501 69.972 -11.9309
110.595712 69.961 -11.9671
110.961923 69.951 -12.0035
111.328134 69.940 -12.0388
111.694345 69.929 -12.0723
112.060556 69.918 -12.1034
112.426767 69.907 -12.1323
112.792978 69.896 -12.1596
113.159189 69.885 -12.1859
113.525400 69.874 -12.2116
113.891611 69.863 -12.2369
114.257822 69.853 -12.2616
114.624033 69.842 -12.2855
114.990244 69.831 -12.3084
115.356455 69.820 -12.3306
115.722666 69.809 -12.3522
116.088877 69.799 -12.3731
116.455088 69.788 -12.3931
116.821299 69.777 -12.4119
117.187510 69.766 -12.4294
117.553720 69.755 -12.4463
117.919931 69.745 -12.4635
118.286142 69.735 -12.4820
118.652353 69.726 -12.5021
119.018564 69.716 -12.5234
119.384775 69.706 -12.5449
119.750986 69.697 -12.5660
120.117197 69.688 -12.5870
120.483408 69.678 -12.6086
120.849619 69.670 -12.6318
121.215830 69.661 -12.6566
121.582041 69.652 -12.6824
121.948252 69.643 -12.7078
122.314463 69.633 -12.7315
122.680674 69.623 -12.7527
123.046885 69.614 -12.7715
123.413096 69.604 -12.7882
123.779307 69.595 -12.8035
124.145518 69.586 -12.8179
124.511729 69.577 -12.8315
124.877940 69.568 -12.8445
125.244151 69.560 -12.8569
125.610362 69.551 -12.8691
125.976573 69.543 -12.8810
126.342784 69.535 -12.8930
126.708995 69.527 -12.9052
127.075206 69.519 -12.9178
127.441417 69.511 -12.9308
127.807628 69.503 -12.9443
128.173839 69.495 -12.9580
128.540049 69.487 -12.9716
128.906260 69.479 -12.9850
129.272471 69.471 -12.9983
129.638682 69.463 -13.0118
130.004893 69.456 -13.0258
130.371104 69.449 -13.0404
130.737315 69.442 -13.0556
131.103526 69.435 -13.0713
131.469737 69.428 -13.0870
131.835948 69.422 -13.1025
132.202159 69.415 -13.1174
132.568370 69.408 -13.1314
132.934581 69.401 -13.1440
133.300792 69.395 -13.1550
133.667003 69.388 -13.1642
134.033214 69.381 -13.1718
134.399425 69.374 -13.1782
134.765636 69.368 -13.1838
135.131847 69.361 -13.1892
135.498058 69.355 -13.1946
135.864269 69.348 -13.2001
136.230480 69.341 -13.2056
136.596691 69.334 -13.2108
136.962902 69.326 -13.2156
137.329113 69.319 -13.2199
137.695324 69.311 -13.2237
138.061535 69.303 -13.2268
138.427746 69.295 -13.2294
138.793957 69.287 -13.2318
139.160168 69.280 -13.2343
139.526379 69.272 -13.2374
139.892589 69.265 -13.2411
140.258800 69.258 -13.2457
140.625011 69.251 -13.2508
140.991222 69.244 -13.2562
141.357433 69.238 -13.2617
141.723644 69.231 -13.2671
142.089855 69.225 -13.2722
142.456066 69.219 -13.2770
142.822277 69.213 -13.2815
143.188488 69.207 -13.2857
143.554699 69.201 -13.2897
143.920910 69.196 -13.2936
144.287121 69.190 -13.2974
144.653332 69.185 -13.3010
145.019543 69.179 -13.3043
145.385754 69.173 -13.3069
145.751965 69.167 -13.3083
146.118176 69.161 -13.3085
146.484387 69.155 -13.3073
146.850598 69.149 -13.3047
