* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 3, 2023 6:50:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mahina Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.325 -27.7414
0.732422 60.962 -58.7079
1.098633 56.818 -101.7310
1.464844 54.164 -173.3153
1.831055 56.804 129.7477
2.197266 58.536 100.6466
2.563477 58.428 86.1460
2.929688 57.416 87.0746
3.295899 57.886 100.7834
3.662110 60.225 107.8590
4.028321 62.291 104.8681
4.394532 63.430 98.3912
4.760743 63.798 92.8383
5.126954 63.804 90.5246
5.493164 63.966 91.2740
5.859375 64.543 92.2961
6.225586 65.313 91.2293
6.591797 65.953 88.2474
6.958008 66.344 84.8032
7.324219 66.566 82.1318
7.690430 66.783 80.5547
8.056641 67.107 79.4781
8.422852 67.521 78.1197
8.789063 67.931 76.2499
9.155274 68.273 74.1937
9.521485 68.551 72.3701
9.887696 68.809 70.9288
10.253907 69.009 69.7163
10.620118 69.189 68.5081
10.986329 69.356 67.2299
11.352540 69.494 65.9641
11.718751 69.609 64.8069
12.084962 69.714 63.7584
12.451173 69.816 62.7428
12.817384 69.956 61.7021
13.183595 70.086 60.6496
13.549806 70.200 59.6320
13.916017 70.305 58.6627
14.282228 70.409 57.7009
14.648439 70.510 56.6969
15.014650 70.602 55.6444
15.380861 70.682 54.5836
15.747072 70.755 53.5579
16.113283 70.832 52.5735
16.479493 70.922 51.6016
16.845704 71.013 50.6169
17.211915 71.100 49.6245
17.578126 71.181 48.6522
17.944337 71.260 47.7202
18.310548 71.337 46.8227
18.676759 71.414 45.9417
19.042970 71.485 45.0725
19.409181 71.549 44.2313
19.775392 71.608 43.4382
20.141603 71.665 42.6938
20.507814 71.725 41.9742
20.874025 71.783 41.2490
21.240236 71.837 40.5044
21.606447 71.882 39.7508
21.972658 71.918 39.0109
22.338869 71.948 38.3008
22.705080 71.975 37.6212
23.071291 72.002 36.9596
23.437502 72.031 36.2991
23.803713 72.059 35.6257
24.169924 72.087 34.9326
24.536135 72.112 34.2236
24.902346 72.132 33.5133
25.268557 72.148 32.8209
25.634768 72.163 32.1599
26.000979 72.180 31.5301
26.367190 72.198 30.9198
26.733401 72.219 30.3156
27.099612 72.240 29.7117
27.465823 72.261 29.1112
27.832033 72.281 28.5176
28.198244 72.299 27.9286
28.564455 72.315 27.3393
28.930666 72.327 26.7510
29.296877 72.335 26.1754
29.663088 72.338 25.6285
30.029299 72.339 25.1170
30.395510 72.342 24.6302
30.761721 72.347 24.1467
31.127932 72.352 23.6491
31.494143 72.355 23.1364
31.860354 72.355 22.6211
32.226565 72.351 22.1179
32.592776 72.346 21.6314
32.958987 72.342 21.1553
33.325198 72.338 20.6802
33.691409 72.335 20.2036
34.057620 72.329 19.7308
34.423831 72.323 19.2694
34.790042 72.318 18.8217
35.156253 72.313 18.3826
35.522464 72.308 17.9454
35.888675 72.303 17.5088
36.254886 72.297 17.0789
36.621097 72.289 16.6655
36.987308 72.281 16.2732
37.353519 72.274 15.8964
37.719730 72.270 15.5209
38.085941 72.268 15.1329
38.452152 72.263 14.7287
38.818363 72.256 14.3174
39.184573 72.244 13.9161
39.550784 72.230 13.5381
39.916995 72.216 13.1843
40.283206 72.205 12.8433
40.649417 72.196 12.5003
41.015628 72.188 12.1475
41.381839 72.178 11.7887
41.748050 72.166 11.4342
42.114261 72.153 11.0925
42.480472 72.141 10.7634
42.846683 72.130 10.4404
43.212894 72.119 10.1167
43.579105 72.108 9.7910
43.945316 72.096 9.4673
44.311527 72.083 9.1505
44.677738 72.071 8.8423
45.043949 72.058 8.5399
45.410160 72.046 8.2395
45.776371 72.034 7.9393
46.142582 72.021 7.6406
46.508793 72.007 7.3462
46.875004 71.993 7.0580
47.241215 71.979 6.7766
47.607426 71.965 6.5010
47.973637 71.951 6.2300
48.339848 71.937 5.9628
48.706059 71.923 5.6985
49.072270 71.910 5.4363
49.438481 71.896 5.1758
49.804692 71.883 4.9171
50.170902 71.869 4.6610
50.537113 71.855 4.4084
50.903324 71.840 4.1602
51.269535 71.826 3.9170
51.635746 71.811 3.6793
52.001957 71.796 3.4476
52.368168 71.781 3.2217
52.734379 71.767 3.0007
53.100590 71.752 2.7831
53.466801 71.739 2.5670
53.833012 71.725 2.3511
54.199223 71.711 2.1349
54.565434 71.697 1.9189
54.931645 71.683 1.7038
55.297856 71.669 1.4905
55.664067 71.654 1.2793
56.030278 71.639 1.0704
56.396489 71.624 0.8650
56.762700 71.609 0.6641
57.128911 71.593 0.4689
57.495122 71.578 0.2789
57.861333 71.564 0.0913
58.227544 71.550 -0.0970
58.593755 71.535 -0.2867
58.959966 71.520 -0.4749
59.326177 71.503 -0.6558
59.692388 71.487 -0.8250
60.058599 71.471 -0.9834
60.424810 71.457 -1.1378
60.791021 71.444 -1.2968
61.157232 71.431 -1.4652
61.523442 71.417 -1.6412
61.889653 71.402 -1.8176
62.255864 71.384 -1.9864
62.622075 71.367 -2.1445
62.988286 71.350 -2.2943
63.354497 71.333 -2.4410
63.720708 71.317 -2.5889
64.086919 71.301 -2.7390
64.453130 71.285 -2.8899
64.819341 71.269 -3.0394
65.185552 71.253 -3.1868
65.551763 71.237 -3.3320
65.917974 71.221 -3.4748
66.284185 71.206 -3.6152
66.650396 71.191 -3.7535
67.016607 71.176 -3.8909
67.382818 71.162 -4.0290
67.749029 71.147 -4.1685
68.115240 71.132 -4.3074
68.481451 71.116 -4.4424
68.847662 71.100 -4.5706
69.213873 71.083 -4.6912
69.580084 71.068 -4.8060
69.946295 71.052 -4.9186
70.312506 71.037 -5.0317
70.678717 71.022 -5.1458
71.044928 71.007 -5.2598
71.411139 70.991 -5.3727
71.777350 70.976 -5.4843
72.143561 70.960 -5.5957
72.509771 70.945 -5.7075
72.875982 70.929 -5.8193
73.242193 70.913 -5.9302
73.608404 70.897 -6.0388
73.974615 70.881 -6.1453
74.340826 70.865 -6.2502
74.707037 70.850 -6.3547
75.073248 70.835 -6.4584
75.439459 70.819 -6.5609
75.805670 70.804 -6.6615
76.171881 70.790 -6.7607
76.538092 70.775 -6.8596
76.904303 70.761 -6.9584
77.270514 70.746 -7.0555
77.636725 70.731 -7.1488
78.002936 70.716 -7.2369
78.369147 70.702 -7.3209
78.735358 70.688 -7.4040
79.101569 70.675 -7.4895
79.467780 70.662 -7.5788
79.833991 70.648 -7.6698
80.200202 70.634 -7.7585
80.566413 70.619 -7.8419
80.932624 70.604 -7.9189
81.298835 70.590 -7.9917
81.665046 70.576 -8.0634
82.031257 70.563 -8.1365
82.397468 70.550 -8.2122
82.763679 70.536 -8.2897
83.129890 70.523 -8.3683
83.496101 70.509 -8.4470
83.862311 70.495 -8.5250
84.228522 70.481 -8.6016
84.594733 70.467 -8.6765
84.960944 70.453 -8.7495
85.327155 70.439 -8.8206
85.693366 70.425 -8.8905
86.059577 70.411 -8.9596
86.425788 70.398 -9.0282
86.791999 70.384 -9.0961
87.158210 70.370 -9.1631
87.524421 70.357 -9.2290
87.890632 70.343 -9.2933
88.256843 70.329 -9.3556
88.623054 70.316 -9.4153
88.989265 70.302 -9.4721
89.355476 70.289 -9.5264
89.721687 70.276 -9.5794
90.087898 70.264 -9.6329
90.454109 70.252 -9.6881
90.820320 70.240 -9.7453
91.186531 70.227 -9.8036
91.552742 70.215 -9.8612
91.918953 70.201 -9.9165
92.285164 70.188 -9.9688
92.651375 70.175 -10.0179
93.017586 70.162 -10.0653
93.383797 70.150 -10.1119
93.750008 70.138 -10.1587
94.116219 70.126 -10.2059
94.482430 70.114 -10.2537
94.848641 70.102 -10.3016
95.214851 70.090 -10.3498
95.581062 70.078 -10.3980
95.947273 70.066 -10.4463
96.313484 70.053 -10.4944
96.679695 70.041 -10.5416
97.045906 70.029 -10.5877
97.412117 70.016 -10.6322
97.778328 70.003 -10.6752
98.144539 69.991 -10.7168
98.510750 69.979 -10.7572
98.876961 69.966 -10.7964
99.243172 69.954 -10.8339
99.609383 69.942 -10.8698
99.975594 69.930 -10.9044
100.341805 69.918 -10.9390
100.708016 69.907 -10.9745
101.074227 69.896 -11.0118
101.440438 69.885 -11.0506
101.806649 69.874 -11.0898
102.172860 69.862 -11.1283
102.539071 69.851 -11.1653
102.905282 69.839 -11.2006
103.271493 69.828 -11.2345
103.637704 69.816 -11.2672
104.003915 69.805 -11.2991
104.370126 69.794 -11.3303
104.736337 69.784 -11.3613
105.102548 69.773 -11.3923
105.468759 69.763 -11.4241
105.834970 69.752 -11.4563
106.201180 69.741 -11.4886
106.567391 69.731 -11.5203
106.933602 69.720 -11.5504
107.299813 69.709 -11.5790
107.666024 69.698 -11.6061
108.032235 69.687 -11.6323
108.398446 69.676 -11.6583
108.764657 69.665 -11.6840
109.130868 69.654 -11.7094
109.497079 69.643 -11.7338
109.863290 69.632 -11.7566
110.229501 69.621 -11.7777
110.595712 69.610 -11.7975
110.961923 69.600 -11.8168
111.328134 69.590 -11.8367
111.694345 69.580 -11.8578
112.060556 69.570 -11.8802
112.426767 69.560 -11.9036
112.792978 69.550 -11.9271
113.159189 69.540 -11.9507
113.525400 69.529 -11.9741
113.891611 69.519 -11.9975
114.257822 69.509 -12.0209
114.624033 69.499 -12.0438
114.990244 69.489 -12.0657
115.356455 69.479 -12.0863
115.722666 69.468 -12.1061
116.088877 69.458 -12.1257
116.455088 69.448 -12.1454
116.821299 69.438 -12.1648
117.187510 69.428 -12.1827
117.553720 69.418 -12.1978
117.919931 69.407 -12.2092
118.286142 69.397 -12.2177
118.652353 69.388 -12.2249
119.018564 69.379 -12.2332
119.384775 69.371 -12.2440
119.750986 69.363 -12.2574
120.117197 69.354 -12.2727
120.483408 69.346 -12.2883
120.849619 69.337 -12.3029
121.215830 69.328 -12.3162
121.582041 69.319 -12.3281
121.948252 69.310 -12.3395
122.314463 69.301 -12.3507
122.680674 69.292 -12.3619
123.046885 69.283 -12.3729
123.413096 69.274 -12.3834
123.779307 69.265 -12.3934
124.145518 69.256 -12.4028
124.511729 69.247 -12.4120
124.877940 69.239 -12.4213
125.244151 69.231 -12.4308
125.610362 69.223 -12.4407
125.976573 69.215 -12.4504
126.342784 69.207 -12.4597
126.708995 69.199 -12.4684
127.075206 69.192 -12.4766
127.441417 69.184 -12.4849
127.807628 69.177 -12.4936
128.173839 69.170 -12.5031
128.540049 69.163 -12.5129
128.906260 69.155 -12.5228
129.272471 69.148 -12.5321
129.638682 69.141 -12.5403
130.004893 69.134 -12.5472
130.371104 69.127 -12.5530
130.737315 69.120 -12.5580
131.103526 69.113 -12.5625
131.469737 69.106 -12.5668
131.835948 69.100 -12.5713
132.202159 69.094 -12.5762
132.568370 69.088 -12.5817
132.934581 69.081 -12.5876
133.300792 69.075 -12.5941
133.667003 69.069 -12.6008
134.033214 69.062 -12.6078
134.399425 69.056 -12.6147
134.765636 69.049 -12.6217
135.131847 69.042 -12.6284
135.498058 69.036 -12.6348
135.864269 69.029 -12.6408
136.230480 69.022 -12.6462
136.596691 69.016 -12.6512
136.962902 69.009 -12.6558
137.329113 69.002 -12.6596
137.695324 68.996 -12.6626
138.061535 68.989 -12.6648
138.427746 68.982 -12.6661
138.793957 68.976 -12.6666
139.160168 68.969 -12.6666
139.526379 68.963 -12.6660
139.892589 68.957 -12.6649
140.258800 68.950 -12.6631
140.625011 68.944 -12.6605
140.991222 68.938 -12.6572
141.357433 68.932 -12.6531
141.723644 68.926 -12.6487
142.089855 68.920 -12.6442
142.456066 68.914 -12.6399
142.822277 68.908 -12.6361
143.188488 68.902 -12.6327
143.554699 68.896 -12.6298
143.920910 68.890 -12.6272
144.287121 68.884 -12.6249
144.653332 68.877 -12.6226
145.019543 68.871 -12.6204
145.385754 68.865 -12.6178
145.751965 68.859 -12.6149
146.118176 68.853 -12.6115
146.484387 68.847 -12.6078
